step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-21 01:29:37,1437,1437,25.6,32.4,35.9,37.9,1437,0,1.0
1,2026-06-21 01:30:37,1535,1535,31.7,33.0,35.7,37.2,1535,0,1.0
2,2026-06-21 01:31:37,1031,1032,25.8,32.2,36.0,37.9,1031,0,1.0
3,2026-06-21 01:32:37,1088,1088,23.3,21.9,35.9,39.0,1088,0,1.0
4,2026-06-21 01:33:37,1214,1214,25.3,30.2,35.9,37.9,1214,0,1.0
5,2026-06-21 01:34:37,295,296,30.2,27.1,43.6,44.6,295,0,1.0
6,2026-06-21 01:35:37,1494,1494,24.5,27.0,35.5,37.4,1494,0,1.0
7,2026-06-21 01:36:37,1194,1194,23.9,23.7,35.9,38.6,1194,0,1.0
8,2026-06-21 01:37:37,1552,1553,19.5,15.1,34.8,36.5,1552,0,1.0
9,2026-06-21 01:38:37,1818,1818,16.9,13.1,32.1,36.2,1818,0,1.0
10,2026-06-21 01:39:37,539,540,17.3,12.9,33.8,42.9,539,0,1.0
11,2026-06-21 01:40:37,1830,1831,16.2,12.5,31.7,35.8,1830,0,1.0
12,2026-06-21 01:41:37,2374,2374,16.4,12.8,31.4,36.2,2374,0,1.0
13,2026-06-21 01:42:37,1590,1591,16.7,12.9,32.6,36.8,1590,0,1.0
14,2026-06-21 01:43:37,1142,1143,17.5,13.6,33.7,36.5,1142,0,1.0
15,2026-06-21 01:44:37,1289,1290,17.5,13.6,32.8,36.5,1289,0,1.0
16,2026-06-21 01:45:37,1459,1459,18.4,14.3,34.5,36.6,1459,0,1.0
17,2026-06-21 01:46:37,1056,1057,17.4,13.8,33.2,36.3,1056,0,1.0
18,2026-06-21 01:47:37,1674,1674,17.3,13.4,32.4,37.8,1674,0,1.0
19,2026-06-21 01:48:37,1061,1062,15.7,12.5,30.4,36.2,1061,0,1.0
20,2026-06-21 01:49:37,1372,1373,15.4,12.0,30.1,36.0,1372,0,1.0
21,2026-06-21 01:50:37,1609,1610,15.7,12.2,30.8,35.8,1609,0,1.0
22,2026-06-21 01:51:37,1231,1231,16.2,12.6,32.0,36.3,1231,0,1.0
23,2026-06-21 01:52:37,1330,1331,16.5,13.0,32.6,36.5,1330,0,1.0
24,2026-06-21 01:53:37,1184,1185,16.4,13.0,31.8,36.5,1184,0,1.0
25,2026-06-21 01:54:37,1024,1025,17.9,14.0,34.4,36.7,1024,0,1.0
26,2026-06-21 01:55:37,1370,1371,18.1,14.2,33.6,36.8,1370,0,1.0
27,2026-06-21 01:56:37,1941,1941,17.4,13.5,33.0,36.4,1941,0,1.0
28,2026-06-21 01:57:37,917,918,16.8,13.1,33.0,37.6,917,0,1.0
29,2026-06-21 01:58:37,1510,1511,16.8,13.0,32.4,36.5,1510,0,1.0
30,2026-06-21 01:59:36,1563,1564,16.8,13.1,31.8,36.5,1563,0,1.0
31,2026-06-21 02:00:36,1667,1667,18.4,14.1,33.7,38.1,1667,0,1.0
32,2026-06-21 02:01:36,1307,1308,17.5,13.6,32.9,36.6,1307,0,1.0
33,2026-06-21 02:02:36,1473,1473,17.3,13.5,33.0,36.5,1473,0,1.0
34,2026-06-21 02:03:36,1803,1803,19.1,14.8,35.1,36.9,1803,0,1.0
35,2026-06-21 02:04:36,1822,1822,19.8,15.1,35.2,36.9,1822,0,1.0
36,2026-06-21 02:05:36,1951,1951,20.0,15.8,35.1,37.2,1951,0,1.0
37,2026-06-21 02:06:36,1196,1197,20.1,15.8,34.9,37.1,1196,0,1.0
38,2026-06-21 02:07:36,1303,1304,22.2,19.0,35.4,36.9,1303,0,1.0
39,2026-06-21 02:08:36,1689,1689,20.8,17.1,35.0,37.8,1689,0,1.0
40,2026-06-21 02:09:36,1241,1241,21.1,17.1,35.3,37.1,1241,0,1.0
41,2026-06-21 02:10:36,1777,1778,20.7,17.3,35.4,37.4,1777,0,1.0
42,2026-06-21 02:11:36,1295,1296,19.2,15.2,34.3,36.7,1295,0,1.0
43,2026-06-21 02:12:36,385,386,23.9,21.8,36.7,43.0,385,0,1.0
44,2026-06-21 02:13:36,1965,1965,17.8,13.8,32.9,36.6,1965,0,1.0
45,2026-06-21 02:14:36,1366,1367,18.3,14.2,34.2,36.7,1366,0,1.0
46,2026-06-21 02:15:36,1985,1985,18.3,14.1,33.8,37.0,1985,0,1.0
47,2026-06-21 02:16:36,1515,1515,18.9,14.4,35.0,36.7,1515,0,1.0
48,2026-06-21 02:17:36,1086,1087,18.8,14.5,35.0,37.4,1086,0,1.0
49,2026-06-21 02:18:36,1639,1640,18.5,14.1,34.2,36.5,1639,0,1.0
50,2026-06-21 02:19:36,1792,1793,17.7,13.7,33.6,36.4,1792,0,1.0
51,2026-06-21 02:20:36,1878,1878,17.2,13.4,33.4,36.6,1878,0,1.0
52,2026-06-21 02:21:36,1455,1456,17.1,13.4,32.4,36.2,1455,0,1.0
