step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-21 03:30:55,1437,1437,18.1,13.9,33.0,36.5,1437,0,1.0
1,2026-06-21 03:31:55,1535,1535,32.3,33.0,35.5,37.8,1535,0,1.0
2,2026-06-21 03:32:55,1031,1032,33.4,35.3,36.2,38.3,1031,0,1.0
3,2026-06-21 03:33:55,1088,1089,22.3,19.1,35.2,36.8,1088,0,1.0
4,2026-06-21 03:34:55,1214,1215,23.9,24.5,35.4,36.6,1214,0,1.0
5,2026-06-21 03:35:55,295,296,29.5,25.3,43.2,45.2,295,0,1.0
6,2026-06-21 03:36:54,1494,1494,25.8,31.3,35.4,37.0,1494,0,1.0
7,2026-06-21 03:37:55,1194,1194,25.5,30.3,36.0,38.5,1194,0,1.0
8,2026-06-21 03:38:55,1552,1552,22.9,21.6,35.5,37.0,1552,0,1.0
9,2026-06-21 03:39:54,1818,1818,17.7,13.7,32.6,36.1,1818,0,1.0
10,2026-06-21 03:40:54,539,540,16.5,12.8,24.3,42.5,539,0,1.0
11,2026-06-21 03:41:54,1830,1831,16.3,12.5,31.8,36.3,1830,0,1.0
12,2026-06-21 03:42:54,2374,2373,16.8,13.0,32.4,36.5,2374,0,1.0
13,2026-06-21 03:43:54,1590,1590,16.1,12.4,32.1,36.3,1590,0,1.0
14,2026-06-21 03:44:54,1142,1143,15.9,12.6,31.0,36.0,1142,0,1.0
15,2026-06-21 03:45:54,1289,1290,18.0,13.8,34.6,36.5,1289,0,1.0
16,2026-06-21 03:46:54,1459,1459,18.0,14.0,33.7,36.4,1459,0,1.0
17,2026-06-21 03:47:54,1056,1056,17.2,13.2,33.0,36.8,1056,0,1.0
18,2026-06-21 03:48:54,1674,1674,17.5,13.6,33.2,38.0,1674,0,1.0
19,2026-06-21 03:49:54,1061,1062,17.0,13.4,33.0,36.7,1061,0,1.0
20,2026-06-21 03:50:54,1372,1373,16.1,12.2,32.1,36.4,1372,0,1.0
21,2026-06-21 03:51:54,1609,1609,15.9,12.2,31.1,35.8,1609,0,1.0
22,2026-06-21 03:52:54,1231,1232,14.9,11.8,28.1,35.8,1231,0,1.0
23,2026-06-21 03:53:54,1330,1331,15.7,12.4,31.5,36.3,1330,0,1.0
24,2026-06-21 03:54:54,1184,1185,16.6,12.9,33.0,36.4,1184,0,1.0
25,2026-06-21 03:55:54,1024,1025,16.8,13.4,32.7,36.1,1024,0,1.0
26,2026-06-21 03:56:54,1370,1370,17.9,14.0,33.7,36.6,1370,0,1.0
27,2026-06-21 03:57:54,1941,1941,17.6,13.6,33.0,36.2,1941,0,1.0
28,2026-06-21 03:58:54,917,918,16.3,12.7,31.4,36.2,917,0,1.0
29,2026-06-21 03:59:54,1510,1511,16.2,12.9,31.2,36.1,1510,0,1.0
30,2026-06-21 04:00:54,1563,1564,16.9,13.2,32.6,36.6,1563,0,1.0
31,2026-06-21 04:01:54,1667,1667,18.0,13.6,34.1,38.3,1667,0,1.0
32,2026-06-21 04:02:54,1307,1308,18.2,14.0,34.3,36.5,1307,0,1.0
33,2026-06-21 04:03:54,1473,1474,17.1,13.4,32.7,36.4,1473,0,1.0
34,2026-06-21 04:04:54,1803,1804,17.5,13.5,32.7,36.7,1803,0,1.0
35,2026-06-21 04:05:54,1822,1822,19.1,14.7,35.0,36.5,1822,0,1.0
36,2026-06-21 04:06:54,1951,1950,18.8,14.6,33.4,36.3,1951,0,1.0
37,2026-06-21 04:07:54,1196,1197,19.3,15.2,34.3,36.3,1196,0,1.0
38,2026-06-21 04:08:54,1303,1304,20.2,16.3,34.5,36.6,1303,0,1.0
39,2026-06-21 04:09:54,1689,1688,22.5,20.5,35.3,37.8,1689,0,1.0
40,2026-06-21 04:10:54,1241,1241,20.2,16.4,35.0,36.6,1241,0,1.0
41,2026-06-21 04:11:54,1777,1777,21.1,18.2,35.7,36.9,1777,0,1.0
42,2026-06-21 04:12:54,1295,1295,20.5,16.9,34.9,36.6,1295,0,1.0
43,2026-06-21 04:13:54,385,386,25.2,22.5,39.7,44.0,385,0,1.0
44,2026-06-21 04:14:54,1965,1965,17.4,13.7,32.7,36.2,1965,0,1.0
45,2026-06-21 04:15:54,1366,1366,17.9,13.7,33.8,36.6,1366,0,1.0
46,2026-06-21 04:16:54,1985,1985,17.2,13.3,32.5,36.1,1985,0,1.0
47,2026-06-21 04:17:54,1515,1516,18.0,13.6,33.9,36.4,1515,0,1.0
48,2026-06-21 04:18:54,1086,1087,18.3,14.1,34.6,37.2,1086,0,1.0
49,2026-06-21 04:19:54,1639,1639,19.4,14.9,34.4,37.1,1639,0,1.0
50,2026-06-21 04:20:54,1792,1791,18.3,14.2,33.1,36.3,1792,0,1.0
51,2026-06-21 04:21:54,1878,1878,17.8,13.7,34.0,36.9,1878,0,1.0
52,2026-06-21 04:22:54,1455,1456,17.2,13.5,32.5,36.6,1455,0,1.0
53,2026-06-21 04:23:54,1697,1698,17.0,13.5,32.0,37.6,1697,0,1.0
54,2026-06-21 04:24:54,1859,1859,17.5,13.5,33.7,36.4,1859,0,1.0
55,2026-06-21 04:25:54,954,955,18.5,14.3,34.6,36.9,954,0,1.0
56,2026-06-21 04:26:54,1475,1475,19.4,14.7,34.7,36.5,1475,0,1.0
57,2026-06-21 04:27:54,1475,1476,19.4,15.0,34.2,36.7,1475,0,1.0
58,2026-06-21 04:28:54,1784,1784,19.8,15.6,34.0,36.4,1784,0,1.0
59,2026-06-21 04:29:54,1563,1564,19.7,15.4,33.9,36.3,1563,0,1.0
60,2026-06-21 04:30:54,861,862,18.6,14.5,34.1,36.4,861,0,1.0
61,2026-06-21 04:31:54,1143,1143,20.1,15.7,35.0,37.4,1143,0,1.0
62,2026-06-21 04:32:54,1637,1638,19.7,15.6,33.8,36.2,1637,0,1.0
63,2026-06-21 04:33:54,985,986,18.6,14.3,33.6,36.5,985,0,1.0
64,2026-06-21 04:34:54,1945,1945,18.0,13.7,33.0,36.3,1945,0,1.0
65,2026-06-21 04:35:54,1218,1219,17.7,13.9,33.2,35.9,1218,0,1.0
66,2026-06-21 04:36:53,1406,1406,16.5,12.7,32.2,36.2,1406,0,1.0
67,2026-06-21 04:37:53,1589,1590,16.6,12.9,32.5,36.6,1589,0,1.0
