path,workload,model,variant,label,cls,lat_sla,mean_lat,cost_vcpu_h,cost_usd,scales,run_hours,n_steps
results_k8s_v2/k8s_cpu_hpa_baseline.csv,cpu,hpa,baseline,HPA,HPA,56.7,265.1,1.31,226,19,2.03,120
results_k8s_v2/k8s_cpu_qwen3-80b_cot.csv,cpu,qwen3-80b,cot,qwen3-80b_cot,LLM,90.0,174.3,5.22,371,26,4.93,120
results_k8s_v2/k8s_cpu_qwen3-80b_domain.csv,cpu,qwen3-80b,domain,qwen3-80b_domain,LLM,84.2,198.3,3.43,589,67,2.04,120
results_k8s_v2/k8s_cpu_llama-70b_domain.csv,cpu,llama-70b,domain,llama-70b_domain,LLM,95.8,90.4,4.71,652,18,2.53,120
results_k8s_v2/k8s_cpu_rl-ppo_baseline.csv,cpu,rl-ppo,baseline,PPO,PPO,98.3,73.3,4.04,707,11,2.01,120
results_k8s_v2/k8s_cpu_llama-70b_zero_shot.csv,cpu,llama-70b,zero_shot,llama-70b_zero_shot,LLM,98.3,76.0,4.58,714,4,2.25,120
results_k8s_v2/k8s_cpu_qwen3-80b_zero_shot.csv,cpu,qwen3-80b,zero_shot,qwen3-80b_zero_shot,LLM,91.7,106.9,4.14,715,18,2.03,120
results_k8s_v2/k8s_cpu_qwen3-80b_history_5.csv,cpu,qwen3-80b,history_5,qwen3-80b_history_5,LLM,95.8,89.8,5.62,720,59,2.74,120
results_k8s_v2/k8s_cpu_rl-dqn_baseline.csv,cpu,rl-dqn,baseline,DQN,DQN,93.3,91.1,4.64,811,24,2.01,120
results_k8s_v2/k8s_cpu_llama-70b_cot.csv,cpu,llama-70b,cot,llama-70b_cot,LLM,96.7,118.4,8.43,828,14,3.57,120
results_k8s_v2/k8s_cpu_mistral-small4_zero_shot.csv,cpu,mistral-small4,zero_shot,mistral-small4_zero_shot,LLM,95.8,85.3,4.86,845,6,2.02,120
results_k8s_v2/k8s_cpu_llama-8b_zero_shot.csv,cpu,llama-8b,zero_shot,llama-8b_zero_shot,LLM,96.7,81.8,5.08,882,4,2.02,120
results_k8s_v2/k8s_cpu_mistral-small4_domain.csv,cpu,mistral-small4,domain,mistral-small4_domain,LLM,95.0,81.4,5.1,887,26,2.02,120
results_k8s_v2/k8s_cpu_mistral-small4_cot.csv,cpu,mistral-small4,cot,mistral-small4_cot,LLM,97.5,75.3,5.31,923,3,2.02,120
results_k8s_v2/k8s_cpu_llama-70b_history_5.csv,cpu,llama-70b,history_5,llama-70b_history_5,LLM,99.2,64.8,7.62,941,45,2.84,120
results_k8s_v2/k8s_cpu_mistral-small4_history_5.csv,cpu,mistral-small4,history_5,mistral-small4_history_5,LLM,98.3,78.1,5.5,954,22,2.02,120
results_k8s_v2/k8s_cpu_keda_baseline.csv,cpu,keda,baseline,KEDA,KEDA,96.7,73.9,7.0,1223,70,2.01,120
results_k8s_v2/k8s_cpu_llama-8b_domain.csv,cpu,llama-8b,domain,llama-8b_domain,LLM,99.2,61.6,7.08,1225,7,2.02,120
results_k8s_v2/k8s_cpu_llama-8b_cot.csv,cpu,llama-8b,cot,llama-8b_cot,LLM,99.2,66.8,7.82,1289,16,2.13,120
results_k8s_v2/k8s_cpu_llama-8b_history_5.csv,cpu,llama-8b,history_5,llama-8b_history_5,LLM,99.2,60.5,7.5,1299,39,2.02,120
