path,workload,model,variant,label,cls,mean_p50,sla_p50,mean_p90,sla_p90,mean_p99,sla_p99,mean_mean,tail_ratio,n_steps
results_k8s_v2/load_cpu_llama-8b_domain.csv,cpu,llama-8b,domain,llama-8b_domain,LLM,58.0,100.0,113.0,100.0,160.8,90.8,67.0,2.77,120
results_k8s_v2/load_cpu_llama-8b_history_5.csv,cpu,llama-8b,history_5,llama-8b_history_5,LLM,56.6,100.0,112.1,100.0,161.7,89.2,65.8,2.86,120
results_k8s_v2/load_cpu_llama-8b_cot.csv,cpu,llama-8b,cot,llama-8b_cot,LLM,57.1,100.0,112.9,100.0,162.8,90.8,66.4,2.85,120
results_k8s_v2/load_cpu_keda_baseline.csv,cpu,keda,baseline,KEDA,KEDA,57.6,100.0,113.8,100.0,171.5,80.0,67.2,2.98,120
results_k8s_v2/load_cpu_mistral-small4_history_5.csv,cpu,mistral-small4,history_5,mistral-small4_history_5,LLM,58.2,100.0,113.6,100.0,171.6,80.8,67.3,2.95,120
results_k8s_v2/load_cpu_mistral-small4_cot.csv,cpu,mistral-small4,cot,mistral-small4_cot,LLM,58.6,100.0,114.2,100.0,173.1,80.0,67.8,2.95,120
results_k8s_v2/load_cpu_llama-70b_history_5.csv,cpu,llama-70b,history_5,llama-70b_history_5,LLM,56.1,100.0,113.7,100.0,175.9,77.5,66.4,3.14,120
results_k8s_v2/load_cpu_mistral-small4_domain.csv,cpu,mistral-small4,domain,mistral-small4_domain,LLM,58.1,100.0,114.5,100.0,177.4,72.5,67.7,3.05,120
results_k8s_v2/load_cpu_llama-8b_zero_shot.csv,cpu,llama-8b,zero_shot,llama-8b_zero_shot,LLM,58.3,100.0,114.5,100.0,178.5,75.0,67.8,3.06,120
results_k8s_v2/load_cpu_llama-70b_domain.csv,cpu,llama-70b,domain,llama-70b_domain,LLM,54.8,100.0,111.7,100.0,180.7,70.0,65.5,3.3,120
results_k8s_v2/load_cpu_qwen3-80b_history_5.csv,cpu,qwen3-80b,history_5,qwen3-80b_history_5,LLM,57.7,100.0,116.0,100.0,182.3,70.8,68.1,3.16,120
results_k8s_v2/load_cpu_rl-ppo_baseline.csv,cpu,rl-ppo,baseline,PPO,PPO,58.5,100.0,116.9,100.0,185.5,68.3,68.7,3.17,120
results_k8s_v2/load_cpu_llama-70b_zero_shot.csv,cpu,llama-70b,zero_shot,llama-70b_zero_shot,LLM,58.5,100.0,118.1,100.0,194.1,61.7,69.1,3.32,120
results_k8s_v2/load_cpu_rl-dqn_baseline.csv,cpu,rl-dqn,baseline,DQN,DQN,58.2,100.0,115.4,100.0,194.8,58.3,68.6,3.35,120
results_k8s_v2/load_cpu_mistral-small4_zero_shot.csv,cpu,mistral-small4,zero_shot,mistral-small4_zero_shot,LLM,58.8,100.0,117.2,100.0,202.0,56.7,69.6,3.44,120
results_k8s_v2/load_cpu_qwen3-80b_zero_shot.csv,cpu,qwen3-80b,zero_shot,qwen3-80b_zero_shot,LLM,44.9,100.0,103.2,100.0,212.8,40.8,59.4,4.74,120
results_k8s_v2/load_cpu_deepseek-v4-flash_domain.csv,cpu,deepseek-v4-flash,domain,deepseek-v4-flash_domain,LLM,45.7,100.0,103.5,100.0,213.7,39.2,60.1,4.68,120
results_k8s_v2/load_cpu_llama-70b_cot.csv,cpu,llama-70b,cot,llama-70b_cot,LLM,95.2,99.2,197.4,98.3,275.8,62.5,106.6,2.9,120
results_k8s_v2/load_cpu_deepseek-v4-flash_zero_shot.csv,cpu,deepseek-v4-flash,zero_shot,deepseek-v4-flash_zero_shot,LLM,60.8,100.0,161.9,82.5,387.5,12.5,86.0,6.37,120
results_k8s_v2/load_cpu_qwen3-80b_domain.csv,cpu,qwen3-80b,domain,qwen3-80b_domain,LLM,78.0,99.2,235.2,95.0,389.5,34.2,109.3,4.99,120
results_k8s_v2/load_cpu_qwen3-80b_cot.csv,cpu,qwen3-80b,cot,qwen3-80b_cot,LLM,58.7,100.0,283.5,96.7,395.2,38.3,131.4,6.73,120
results_k8s_v2/load_cpu_hpa_baseline.csv,cpu,hpa,baseline,HPA,HPA,74.6,98.3,195.0,91.7,449.4,37.5,103.5,6.02,120
