path,workload,model,variant,label,cls,lat_sla,mean_lat,cost_vcpu_h,cost_usd,scales,run_hours,n_steps
results_k8s_v2/k8s_io_hpa_baseline.csv,io,hpa,baseline,HPA,HPA,100.0,28.7,0.5,88,1,2.0,120
results_k8s_v2/k8s_io_llama-70b_domain.csv,io,llama-70b,domain,llama-70b_domain,LLM,100.0,26.5,0.79,123,1,2.26,120
results_k8s_v2/k8s_io_qwen3-80b_history_5.csv,io,qwen3-80b,history_5,qwen3-80b_history_5,LLM,100.0,25.2,1.04,139,26,2.63,120
results_k8s_v2/k8s_io_qwen3-80b_cot.csv,io,qwen3-80b,cot,qwen3-80b_cot,LLM,100.0,29.0,2.2,165,4,4.68,120
results_k8s_v2/k8s_io_qwen3-80b_domain.csv,io,qwen3-80b,domain,qwen3-80b_domain,LLM,100.0,25.1,0.99,172,56,2.02,120
results_k8s_v2/k8s_io_qwen3-80b_zero_shot.csv,io,qwen3-80b,zero_shot,qwen3-80b_zero_shot,LLM,100.0,21.4,1.52,263,0,2.02,120
results_k8s_v2/k8s_io_mistral-small4_zero_shot.csv,io,mistral-small4,zero_shot,mistral-small4_zero_shot,LLM,100.0,24.5,1.5,263,0,2.01,120
results_k8s_v2/k8s_io_mistral-small4_history_5.csv,io,mistral-small4,history_5,mistral-small4_history_5,LLM,100.0,22.9,1.5,263,0,2.01,120
results_k8s_v2/k8s_io_mistral-small4_domain.csv,io,mistral-small4,domain,mistral-small4_domain,LLM,100.0,22.5,1.5,263,0,2.01,120
results_k8s_v2/k8s_io_mistral-small4_cot.csv,io,mistral-small4,cot,mistral-small4_cot,LLM,100.0,23.7,1.5,263,0,2.01,120
results_k8s_v2/k8s_io_llama-8b_zero_shot.csv,io,llama-8b,zero_shot,llama-8b_zero_shot,LLM,100.0,21.7,1.51,263,0,2.01,120
results_k8s_v2/k8s_io_llama-8b_domain.csv,io,llama-8b,domain,llama-8b_domain,LLM,100.0,24.5,1.57,263,0,2.1,120
results_k8s_v2/k8s_io_llama-8b_cot.csv,io,llama-8b,cot,llama-8b_cot,LLM,100.0,25.0,1.58,263,0,2.1,120
results_k8s_v2/k8s_io_llama-70b_zero_shot.csv,io,llama-70b,zero_shot,llama-70b_zero_shot,LLM,100.0,25.2,1.92,263,0,2.55,120
results_k8s_v2/k8s_io_llama-70b_cot.csv,io,llama-70b,cot,llama-70b_cot,LLM,100.0,26.8,3.46,353,2,3.44,120
results_k8s_v2/k8s_io_rl-ppo_baseline.csv,io,rl-ppo,baseline,PPO,PPO,100.0,22.8,4.0,702,3,2.0,120
results_k8s_v2/k8s_io_llama-70b_history_5.csv,io,llama-70b,history_5,llama-70b_history_5,LLM,100.0,26.1,5.56,741,17,2.63,120
results_k8s_v2/k8s_io_llama-8b_history_5.csv,io,llama-8b,history_5,llama-8b_history_5,LLM,100.0,21.9,4.31,750,29,2.02,120
results_k8s_v2/k8s_io_rl-dqn_baseline.csv,io,rl-dqn,baseline,DQN,DQN,100.0,22.1,7.05,1237,42,2.0,120
results_k8s_v2/k8s_io_keda_baseline.csv,io,keda,baseline,KEDA,KEDA,100.0,22.7,9.63,1690,24,2.0,120
