step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,13.7,48.7,292,1.0,1.5,0,dqn,rl,0,0
1,5,5,9.4,25.9,259,1.0,4.0,1,dqn,rl,0,0
2,5,5,8.8,20.0,200,1.0,6.5,0,dqn,rl,0,0
3,7,7,8.5,14.6,205,1.0,10.0,1,dqn,rl,0,0
4,7,7,8.6,15.9,222,1.0,13.5,0,dqn,rl,0,0
5,7,7,8.9,20.4,286,1.0,17.0,0,dqn,rl,0,0
6,7,7,11.7,41.1,575,1.0,20.5,0,dqn,rl,0,0
7,7,7,16.2,55.4,776,1.0,24.0,0,dqn,rl,0,0
8,7,7,15.3,53.3,746,1.0,27.5,0,dqn,rl,0,0
9,7,7,12.8,45.6,639,1.0,31.0,0,dqn,rl,0,0
10,7,7,14.8,51.9,727,1.0,34.5,0,dqn,rl,0,0
11,7,7,13.8,49.0,686,1.0,38.0,0,dqn,rl,0,0
12,7,7,11.5,40.1,561,1.0,41.5,0,dqn,rl,0,0
13,7,7,11.7,41.2,577,1.0,45.0,0,dqn,rl,0,0
14,7,7,11.7,41.1,575,1.0,48.5,0,dqn,rl,0,0
15,7,7,11.9,42.1,590,1.0,52.0,0,dqn,rl,0,0
16,7,7,12.1,43.1,604,1.0,55.5,0,dqn,rl,0,0
17,7,7,14.8,52.1,729,1.0,59.0,0,dqn,rl,0,0
18,7,7,15.7,54.3,760,1.0,62.5,0,dqn,rl,0,0
19,7,7,15.8,54.5,763,1.0,66.0,0,dqn,rl,0,0
20,7,7,15.0,52.5,735,1.0,69.5,0,dqn,rl,0,0
21,7,7,14.5,51.3,718,1.0,73.0,0,dqn,rl,0,0
22,7,7,12.5,44.5,623,1.0,76.5,0,dqn,rl,0,0
23,7,7,11.4,39.9,559,1.0,80.0,0,dqn,rl,0,0
24,7,7,11.6,40.6,569,1.0,83.5,0,dqn,rl,0,0
25,7,7,12.8,45.7,640,1.0,87.0,0,dqn,rl,0,0
