step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,1254.4,100,914,0.7383,1.5,0,dqn,rl,0,0
1,14,14,10.6,35.3,989,1.0,8.5,1,dqn,rl,0,0
2,7,7,25.5,69.1,967,1.0,12.0,1,dqn,rl,0,0
3,7,7,21.4,64.4,902,1.0,15.5,0,dqn,rl,0,0
4,12,12,10.9,36.8,884,1.0,21.5,1,dqn,rl,0,0
5,12,12,11.2,38.5,923,1.0,27.5,0,dqn,rl,0,0
6,12,12,13.1,46.8,1123,1.0,33.5,0,dqn,rl,0,0
7,12,12,13.4,47.7,1145,1.0,39.5,0,dqn,rl,0,0
8,12,12,12.7,45.2,1085,1.0,45.5,0,dqn,rl,0,0
9,12,12,14.7,51.8,1244,1.0,51.5,0,dqn,rl,0,0
10,12,12,13.1,47.0,1127,1.0,57.5,0,dqn,rl,0,0
11,12,12,11.3,39.4,946,1.0,63.5,0,dqn,rl,0,0
12,12,12,12.3,43.9,1054,1.0,69.5,0,dqn,rl,0,0
13,12,12,11.5,40.2,964,1.0,75.5,0,dqn,rl,0,0
14,12,12,12.9,46.0,1104,1.0,81.5,0,dqn,rl,0,0
15,12,12,12.4,44.0,1056,1.0,87.5,0,dqn,rl,0,0
16,12,12,10.9,37.0,889,1.0,93.5,0,dqn,rl,0,0
17,12,12,10.9,37.1,890,1.0,99.5,0,dqn,rl,0,0
18,12,12,10.8,36.7,881,1.0,105.5,0,dqn,rl,0,0
19,12,12,11.5,40.4,970,1.0,111.5,0,dqn,rl,0,0
20,12,12,10.5,34.8,834,1.0,117.5,0,dqn,rl,0,0
21,12,12,10.9,37.3,896,1.0,123.5,0,dqn,rl,0,0
22,12,12,10.4,34.0,815,1.0,129.5,0,dqn,rl,0,0
23,12,12,10.3,33.2,797,1.0,135.5,0,dqn,rl,0,0
24,12,12,11.0,37.7,905,1.0,141.5,0,dqn,rl,0,0
25,12,12,11.0,37.5,901,1.0,147.5,0,dqn,rl,0,0
26,12,12,11.4,39.5,948,1.0,153.5,0,dqn,rl,0,0
27,12,12,12.9,46.1,1107,1.0,159.5,0,dqn,rl,0,0
28,12,12,14.2,50.2,1206,1.0,165.5,0,dqn,rl,0,0
29,12,12,16.2,55.5,1333,1.0,171.5,0,dqn,rl,0,0
30,14,14,15.4,53.7,1503,1.0,178.5,1,dqn,rl,0,0
31,14,14,17.4,58.0,1623,1.0,185.5,0,dqn,rl,0,0
32,14,14,20.4,63.0,1765,1.0,192.5,0,dqn,rl,0,0
33,14,14,21.3,64.3,1800,1.0,199.5,0,dqn,rl,0,0
34,14,14,24.0,67.5,1889,1.0,206.5,0,dqn,rl,0,0
35,14,14,22.8,66.1,1851,1.0,213.5,0,dqn,rl,0,0
36,14,14,18.0,59.1,1654,1.0,220.5,0,dqn,rl,0,0
37,14,14,17.4,57.9,1621,1.0,227.5,0,dqn,rl,0,0
38,14,14,13.5,48.2,1349,1.0,234.5,0,dqn,rl,0,0
39,7,7,84.9,90.1,1261,1.0,238.0,1,dqn,rl,0,0
40,7,7,48.1,82.0,1148,1.0,241.5,0,dqn,rl,0,0
41,14,14,10.8,36.7,1028,1.0,248.5,1,dqn,rl,0,0
42,7,7,20.8,63.5,889,1.0,252.0,1,dqn,rl,0,0
43,7,7,17.7,58.5,819,1.0,255.5,0,dqn,rl,0,0
44,7,7,18.7,60.4,845,1.0,259.0,0,dqn,rl,0,0
45,7,7,21.0,63.9,894,1.0,262.5,0,dqn,rl,0,0
46,12,12,10.4,34.1,819,1.0,268.5,1,dqn,rl,0,0
47,12,12,9.8,29.3,704,1.0,274.5,0,dqn,rl,0,0
48,12,12,9.7,29.0,697,1.0,280.5,0,dqn,rl,0,0
49,12,12,10.0,30.9,742,1.0,286.5,0,dqn,rl,0,0
50,12,12,11.1,38.2,916,1.0,292.5,0,dqn,rl,0,0
51,12,12,10.3,33.6,806,1.0,298.5,0,dqn,rl,0,0
52,12,12,10.1,31.8,764,1.0,304.5,0,dqn,rl,0,0
53,12,12,10.2,32.7,784,1.0,310.5,0,dqn,rl,0,0
54,12,12,10.0,31.4,753,1.0,316.5,0,dqn,rl,0,0
55,12,12,10.4,34.0,815,1.0,322.5,0,dqn,rl,0,0
56,12,12,10.2,32.6,783,1.0,328.5,0,dqn,rl,0,0
