step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,6,3,99.9,91.8,551,1.0,1.5,1,gemini-flash,zero_shot,689,3015.9
1,6,6,12.8,43.3,520,1.0,4.5,0,gemini-flash,zero_shot,687,2565.3
2,4,4,11.4,41.6,499,1.0,7.5,1,gemini-flash,zero_shot,686,2650.8
3,4,4,21.1,64.1,513,1.0,9.5,0,gemini-flash,zero_shot,685,3230.7
4,4,4,20.9,64.9,519,1.0,11.5,0,gemini-flash,zero_shot,685,2829.2
5,3,3,28.5,71.4,571,1.0,13.5,1,gemini-flash,zero_shot,687,2418.2
6,8,3,652.2,100.0,795,0.8375,15.0,1,gemini-flash,zero_shot,690,2301.5
7,9,8,19.6,58.3,933,1.0,19.0,1,gemini-flash,zero_shot,686,2520.7
8,9,9,15.8,50.7,913,1.0,23.5,0,gemini-flash,zero_shot,686,2402.7
9,9,9,12.3,47.1,848,1.0,28.0,0,gemini-flash,zero_shot,687,2551.4
10,5,5,14.0,49.4,890,1.0,32.5,1,gemini-flash,zero_shot,685,2518.8
11,9,5,80.0,88.9,889,1.0,35.0,1,gemini-flash,zero_shot,685,2691.5
12,8,8,12.7,42.7,768,1.0,39.5,1,gemini-flash,zero_shot,688,2495.3
13,8,8,14.1,48.9,782,1.0,43.5,0,gemini-flash,zero_shot,686,2498.0
14,8,8,15.1,48.4,774,1.0,47.5,0,gemini-flash,zero_shot,688,2535.2
15,8,8,14.2,49.4,790,1.0,51.5,0,gemini-flash,zero_shot,685,3799.0
16,8,8,12.9,50.0,800,1.0,55.5,0,gemini-flash,zero_shot,691,2499.0
17,9,8,18.3,56.0,896,1.0,59.5,1,gemini-flash,zero_shot,686,4218.0
18,9,9,14.5,50.9,917,1.0,64.0,0,gemini-flash,zero_shot,687,3233.7
19,9,9,13.6,51.8,933,1.0,68.5,0,gemini-flash,zero_shot,685,2492.6
20,9,9,14.1,49.7,894,1.0,73.0,0,gemini-flash,zero_shot,687,3217.8
21,9,9,13.0,49.2,885,1.0,77.5,0,gemini-flash,zero_shot,686,4274.2
22,8,8,12.3,45.4,818,1.0,82.0,1,gemini-flash,zero_shot,686,3087.3
23,8,8,13.6,49.6,793,1.0,86.0,0,gemini-flash,zero_shot,685,3287.8
24,8,8,14.0,49.3,789,1.0,90.0,0,gemini-flash,zero_shot,688,4026.5
