step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,4,3,96.2,91.8,551,1.0,1.5,1,gpt-4o-mini,zero_shot,182,2499.3
1,4,4,20.7,65.0,520,1.0,3.5,0,gpt-4o-mini,zero_shot,181,2136.3
2,4,4,20.8,62.4,499,1.0,5.5,0,gpt-4o-mini,zero_shot,181,1456.0
3,4,4,20.9,64.1,513,1.0,7.5,0,gpt-4o-mini,zero_shot,181,1725.0
4,4,4,22.5,64.9,519,1.0,9.5,0,gpt-4o-mini,zero_shot,181,1664.2
5,5,4,28.0,71.4,571,1.0,11.5,1,gpt-4o-mini,zero_shot,182,1402.5
6,6,5,41.1,79.5,795,1.0,14.0,1,gpt-4o-mini,zero_shot,182,1368.4
7,6,6,36.2,77.8,933,1.0,17.0,0,gpt-4o-mini,zero_shot,182,1878.2
8,7,6,35.1,76.1,913,1.0,20.0,1,gpt-4o-mini,zero_shot,182,1703.3
9,7,7,18.5,60.6,848,1.0,23.5,0,gpt-4o-mini,zero_shot,181,1658.9
10,7,7,19.5,63.6,890,1.0,27.0,0,gpt-4o-mini,zero_shot,181,1270.1
11,7,7,20.1,63.5,889,1.0,30.5,0,gpt-4o-mini,zero_shot,181,1427.1
12,7,7,15.4,54.9,768,1.0,34.0,0,gpt-4o-mini,zero_shot,181,1515.9
13,7,7,15.2,55.9,782,1.0,37.5,0,gpt-4o-mini,zero_shot,181,1621.9
14,7,7,16.2,55.3,774,1.0,41.0,0,gpt-4o-mini,zero_shot,181,2216.7
15,7,7,17.3,56.4,790,1.0,44.5,0,gpt-4o-mini,zero_shot,181,2056.1
16,7,7,17.2,57.1,800,1.0,48.0,0,gpt-4o-mini,zero_shot,181,1597.2
17,7,7,20.3,64.0,896,1.0,51.5,0,gpt-4o-mini,zero_shot,181,3072.1
18,7,7,22.3,65.5,917,1.0,55.0,0,gpt-4o-mini,zero_shot,181,1643.4
19,7,7,24.3,66.6,933,1.0,58.5,0,gpt-4o-mini,zero_shot,181,1616.6
20,7,7,22.9,63.9,894,1.0,62.0,0,gpt-4o-mini,zero_shot,181,1088.9
21,7,7,19.6,63.2,885,1.0,65.5,0,gpt-4o-mini,zero_shot,181,1736.3
22,7,7,17.0,58.4,818,1.0,69.0,0,gpt-4o-mini,zero_shot,181,1991.9
23,7,7,16.4,56.6,793,1.0,72.5,0,gpt-4o-mini,zero_shot,181,1481.5
24,7,7,17.6,56.4,789,1.0,76.0,0,gpt-4o-mini,zero_shot,181,3856.5
25,7,7,16.5,57.8,809,1.0,79.5,0,gpt-4o-mini,zero_shot,181,1434.6
26,7,7,17.9,57.7,808,1.0,83.0,0,gpt-4o-mini,zero_shot,181,1527.8
27,7,7,19.8,61.4,860,1.0,86.5,0,gpt-4o-mini,zero_shot,181,1922.7
28,7,7,14.7,53.6,750,1.0,90.0,0,gpt-4o-mini,zero_shot,181,1468.2
29,7,7,15.1,53.6,751,1.0,93.5,0,gpt-4o-mini,zero_shot,181,1729.3
30,7,7,19.5,58.8,823,1.0,97.0,0,gpt-4o-mini,zero_shot,181,1926.0
31,7,7,16.6,56.6,792,1.0,100.5,0,gpt-4o-mini,zero_shot,181,1176.0
32,7,7,14.5,48.6,681,1.0,104.0,0,gpt-4o-mini,zero_shot,181,1609.2
33,7,7,13.7,48.4,678,1.0,107.5,0,gpt-4o-mini,zero_shot,181,1564.7
34,7,7,12.3,45.6,638,1.0,111.0,0,gpt-4o-mini,zero_shot,181,1623.8
35,7,7,12.2,43.4,608,1.0,114.5,0,gpt-4o-mini,zero_shot,181,1690.3
36,7,7,11.3,40.8,571,1.0,118.0,0,gpt-4o-mini,zero_shot,181,1682.9
37,7,7,12.6,44.9,629,1.0,121.5,0,gpt-4o-mini,zero_shot,181,1792.0
38,7,7,12.6,43.9,614,1.0,125.0,0,gpt-4o-mini,zero_shot,181,1373.3
39,7,7,12.5,43.9,615,1.0,128.5,0,gpt-4o-mini,zero_shot,181,1410.6
40,7,7,12.6,48.4,678,1.0,132.0,0,gpt-4o-mini,zero_shot,181,1278.5
41,7,7,17.4,57.8,809,1.0,135.5,0,gpt-4o-mini,zero_shot,181,1613.3
42,7,7,13.6,51.7,724,1.0,139.0,0,gpt-4o-mini,zero_shot,181,2287.9
43,7,7,14.8,54.0,756,1.0,142.5,0,gpt-4o-mini,zero_shot,181,1778.7
44,7,7,13.7,52.3,732,1.0,146.0,0,gpt-4o-mini,zero_shot,181,2294.5
45,7,7,14.6,52.7,738,1.0,149.5,0,gpt-4o-mini,zero_shot,181,1604.6
46,7,7,13.1,49.8,697,1.0,153.0,0,gpt-4o-mini,zero_shot,181,1563.1
47,7,7,16.1,52.3,732,1.0,156.5,0,gpt-4o-mini,zero_shot,181,1516.7
48,7,7,17.2,58.2,815,1.0,160.0,0,gpt-4o-mini,zero_shot,181,1569.9
49,7,7,18.2,58.5,819,1.0,163.5,0,gpt-4o-mini,zero_shot,181,1524.0
50,7,7,18.7,59.7,836,1.0,167.0,0,gpt-4o-mini,zero_shot,181,4554.5
51,7,7,15.8,58.7,822,1.0,170.5,0,gpt-4o-mini,zero_shot,181,1481.0
52,7,7,14.4,50.5,707,1.0,174.0,0,gpt-4o-mini,zero_shot,181,1544.1
53,7,7,13.6,48.1,673,1.0,177.5,0,gpt-4o-mini,zero_shot,182,1574.5
54,7,7,12.9,45.2,633,1.0,181.0,0,gpt-4o-mini,zero_shot,181,1902.6
55,7,7,12.9,45.7,640,1.0,184.5,0,gpt-4o-mini,zero_shot,181,1589.9
56,7,7,12.3,44.5,623,1.0,188.0,0,gpt-4o-mini,zero_shot,181,1698.7
57,7,7,14.1,49.9,698,1.0,191.5,0,gpt-4o-mini,zero_shot,181,1058.6
58,7,7,11.5,42.1,590,1.0,195.0,0,gpt-4o-mini,zero_shot,181,2316.9
59,7,7,11.7,43.1,604,1.0,198.5,0,gpt-4o-mini,zero_shot,181,1986.8
60,7,7,15.1,50.3,704,1.0,202.0,0,gpt-4o-mini,zero_shot,181,2946.1
61,7,7,15.5,51.4,719,1.0,205.5,0,gpt-4o-mini,zero_shot,181,1590.2
62,7,7,16.4,53.2,745,1.0,209.0,0,gpt-4o-mini,zero_shot,181,1192.6
63,7,7,18.6,56.8,795,1.0,212.5,0,gpt-4o-mini,zero_shot,181,1490.9
64,7,7,16.2,56.6,793,1.0,216.0,0,gpt-4o-mini,zero_shot,181,1619.4
65,7,7,14.7,52.4,734,1.0,219.5,0,gpt-4o-mini,zero_shot,182,2151.7
66,7,7,15.1,50.9,712,1.0,223.0,0,gpt-4o-mini,zero_shot,181,1570.8
67,7,7,12.3,50.1,702,1.0,226.5,0,gpt-4o-mini,zero_shot,181,1136.2
68,7,7,13.7,52.1,730,1.0,230.0,0,gpt-4o-mini,zero_shot,181,1481.1
69,7,7,13.0,44.6,625,1.0,233.5,0,gpt-4o-mini,zero_shot,181,1587.6
70,7,7,14.0,49.6,695,1.0,237.0,0,gpt-4o-mini,zero_shot,181,1689.2
71,7,7,12.7,44.1,618,1.0,240.5,0,gpt-4o-mini,zero_shot,181,2075.1
72,7,7,12.3,39.7,556,1.0,244.0,0,gpt-4o-mini,zero_shot,181,1961.8
73,7,7,11.8,42.1,589,1.0,247.5,0,gpt-4o-mini,zero_shot,181,2316.6
74,7,7,11.1,37.4,523,1.0,251.0,0,gpt-4o-mini,zero_shot,181,1673.8
75,7,7,11.5,43.4,607,1.0,254.5,0,gpt-4o-mini,zero_shot,181,1523.1
76,7,7,16.6,56.7,794,1.0,258.0,0,gpt-4o-mini,zero_shot,181,2734.3
77,7,7,20.8,63.6,890,1.0,261.5,0,gpt-4o-mini,zero_shot,181,1598.1
78,7,7,33.1,73.9,1034,1.0,265.0,0,gpt-4o-mini,zero_shot,182,1641.0
79,10,7,143.3,94.5,1323,1.0,268.5,1,gpt-4o-mini,zero_shot,183,1678.1
80,10,10,17.5,57.6,1152,1.0,273.5,0,gpt-4o-mini,zero_shot,182,1557.4
81,10,10,13.7,49.1,982,1.0,278.5,0,gpt-4o-mini,zero_shot,181,1483.7
82,10,10,12.7,42.4,847,1.0,283.5,0,gpt-4o-mini,zero_shot,181,1091.8
83,10,10,11.6,41.1,823,1.0,288.5,0,gpt-4o-mini,zero_shot,181,1612.7
84,10,10,12.2,43.4,868,1.0,293.5,0,gpt-4o-mini,zero_shot,181,1193.6
85,10,10,16.7,52.8,1056,1.0,298.5,0,gpt-4o-mini,zero_shot,182,1805.5
86,10,10,13.1,49.0,980,1.0,303.5,0,gpt-4o-mini,zero_shot,181,1499.9
87,10,10,12.9,45.8,916,1.0,308.5,0,gpt-4o-mini,zero_shot,181,1636.2
88,10,10,13.8,49.2,985,1.0,313.5,0,gpt-4o-mini,zero_shot,181,2061.8
89,10,10,14.2,47.9,958,1.0,318.5,0,gpt-4o-mini,zero_shot,181,1111.8
90,10,10,13.7,50.5,1011,1.0,323.5,0,gpt-4o-mini,zero_shot,182,2367.3
91,10,10,15.4,51.1,1023,1.0,328.5,0,gpt-4o-mini,zero_shot,182,2244.3
92,10,10,14.5,51.5,1031,1.0,333.5,0,gpt-4o-mini,zero_shot,182,1116.2
93,10,10,18.5,57.0,1140,1.0,338.5,0,gpt-4o-mini,zero_shot,182,1288.5
94,10,10,13.8,50.7,1015,1.0,343.5,0,gpt-4o-mini,zero_shot,182,1609.6
95,10,10,14.7,49.5,989,1.0,348.5,0,gpt-4o-mini,zero_shot,181,1466.2
96,10,10,11.4,42.9,858,1.0,353.5,0,gpt-4o-mini,zero_shot,181,2004.5
97,10,10,11.7,41.2,824,1.0,358.5,0,gpt-4o-mini,zero_shot,181,1742.4
98,10,10,12.0,43.8,875,1.0,363.5,0,gpt-4o-mini,zero_shot,181,1507.6
99,10,10,14.0,45.3,906,1.0,368.5,0,gpt-4o-mini,zero_shot,181,2218.1
100,10,10,11.5,39.4,788,1.0,373.5,0,gpt-4o-mini,zero_shot,181,1996.3
101,10,10,11.6,37.7,754,1.0,378.5,0,gpt-4o-mini,zero_shot,181,1952.0
102,10,10,10.6,34.8,697,1.0,383.5,0,gpt-4o-mini,zero_shot,181,1180.9
103,10,10,10.0,36.4,729,1.0,388.5,0,gpt-4o-mini,zero_shot,181,1860.3
104,10,10,13.5,45.4,908,1.0,393.5,0,gpt-4o-mini,zero_shot,181,1598.7
105,10,10,12.4,43.5,870,1.0,398.5,0,gpt-4o-mini,zero_shot,181,1556.2
106,10,10,11.1,39.1,783,1.0,403.5,0,gpt-4o-mini,zero_shot,181,1422.1
107,10,10,11.0,39.4,788,1.0,408.5,0,gpt-4o-mini,zero_shot,181,1106.7
108,10,10,11.9,40.1,802,1.0,413.5,0,gpt-4o-mini,zero_shot,181,1068.0
109,10,10,12.4,40.1,802,1.0,418.5,0,gpt-4o-mini,zero_shot,181,2035.8
110,10,10,13.5,43.3,866,1.0,423.5,0,gpt-4o-mini,zero_shot,181,1462.2
111,10,10,13.0,44.2,884,1.0,428.5,0,gpt-4o-mini,zero_shot,181,1700.1
112,10,10,11.6,40.5,810,1.0,433.5,0,gpt-4o-mini,zero_shot,181,1484.8
113,10,10,11.1,41.2,824,1.0,438.5,0,gpt-4o-mini,zero_shot,181,704.1
114,10,10,11.0,42.0,841,1.0,443.5,0,gpt-4o-mini,zero_shot,181,1537.0
115,10,10,11.0,39.1,783,1.0,448.5,0,gpt-4o-mini,zero_shot,181,1364.4
116,10,10,9.5,39.2,785,1.0,453.5,0,gpt-4o-mini,zero_shot,181,1532.9
117,10,10,10.6,36.8,736,1.0,458.5,0,gpt-4o-mini,zero_shot,181,2053.0
118,10,10,10.1,38.6,772,1.0,463.5,0,gpt-4o-mini,zero_shot,181,2062.7
119,10,10,11.7,36.0,720,1.0,468.5,0,gpt-4o-mini,zero_shot,181,1541.4
120,10,10,11.9,43.4,868,1.0,473.5,0,gpt-4o-mini,zero_shot,181,2250.6
121,10,10,15.0,49.2,984,1.0,478.5,0,gpt-4o-mini,zero_shot,181,1790.1
122,10,10,12.6,44.8,896,1.0,483.5,0,gpt-4o-mini,zero_shot,181,1549.1
123,10,10,12.3,43.0,861,1.0,488.5,0,gpt-4o-mini,zero_shot,181,1354.3
124,10,10,11.8,43.2,864,1.0,493.5,0,gpt-4o-mini,zero_shot,181,1513.1
125,10,10,12.8,46.9,938,1.0,498.5,0,gpt-4o-mini,zero_shot,181,1796.1
126,10,10,15.0,49.9,997,1.0,503.5,0,gpt-4o-mini,zero_shot,181,1658.1
127,10,10,13.2,42.4,849,1.0,508.5,0,gpt-4o-mini,zero_shot,181,1661.3
128,10,10,11.5,39.9,798,1.0,513.5,0,gpt-4o-mini,zero_shot,181,1526.5
129,10,10,12.1,37.4,747,1.0,518.5,0,gpt-4o-mini,zero_shot,181,1409.0
130,10,10,12.5,43.1,863,1.0,523.5,0,gpt-4o-mini,zero_shot,181,78244.3
131,10,10,13.4,47.4,948,1.0,528.5,0,gpt-4o-mini,zero_shot,181,1977.9
132,10,10,13.2,50.4,1008,1.0,533.5,0,gpt-4o-mini,zero_shot,182,1079.4
133,10,10,14.4,51.1,1023,1.0,538.5,0,gpt-4o-mini,zero_shot,182,2072.9
134,10,10,18.5,57.2,1145,1.0,543.5,0,gpt-4o-mini,zero_shot,182,1460.9
135,10,10,18.2,56.0,1121,1.0,548.5,0,gpt-4o-mini,zero_shot,182,1391.1
136,10,10,22.4,64.6,1293,1.0,553.5,0,gpt-4o-mini,zero_shot,182,1543.8
137,10,10,21.1,64.3,1287,1.0,558.5,0,gpt-4o-mini,zero_shot,183,4386.8
138,10,10,26.4,68.8,1377,1.0,563.5,0,gpt-4o-mini,zero_shot,182,1977.2
139,10,10,30.8,73.0,1459,1.0,568.5,0,gpt-4o-mini,zero_shot,182,1630.0
140,10,10,57.0,84.8,1696,1.0,573.5,0,gpt-4o-mini,zero_shot,182,1863.0
141,10,10,64.6,86.0,1720,1.0,578.5,0,gpt-4o-mini,zero_shot,182,1970.9
142,12,10,148.1,95.2,1904,1.0,583.5,1,gpt-4o-mini,zero_shot,182,1445.4
143,20,12,140.8,95.1,2283,1.0,589.5,1,gpt-4o-mini,zero_shot,183,1652.6
144,20,20,21.8,66.7,2668,1.0,599.5,0,gpt-4o-mini,zero_shot,182,1827.8
145,20,20,28.9,72.0,2882,1.0,609.5,0,gpt-4o-mini,zero_shot,182,1050.5
146,20,20,45.2,80.3,3211,1.0,619.5,0,gpt-4o-mini,zero_shot,182,1426.7
147,20,20,68.4,86.5,3461,1.0,629.5,0,gpt-4o-mini,zero_shot,182,1421.3
148,20,20,84.5,90.2,3607,1.0,639.5,0,gpt-4o-mini,zero_shot,182,1539.6
149,20,20,101.1,91.5,3659,1.0,649.5,0,gpt-4o-mini,zero_shot,182,2129.2
