step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,1,1,103.1,91.8,551,1.0,1.5,1,gpt-oss-120b,history_5,757,849.2
1,3,1,5148.6,100.0,520,0.5,2.0,1,gpt-oss-120b,history_5,578,534.1
2,1,1,55.5,83.2,499,1.0,3.5,1,gpt-oss-120b,history_5,826,462.0
3,3,1,5665.7,100.0,513,0.5,4.0,1,gpt-oss-120b,history_5,677,54617.3
4,2,2,63.1,86.5,519,1.0,5.5,1,gpt-oss-120b,history_5,754,416.3
5,3,2,916.7,100.0,571,0.7863,6.5,1,gpt-oss-120b,history_5,718,501.9
6,1,1,658.5,100.0,795,0.8375,8.0,1,gpt-oss-120b,history_5,931,496.0
7,3,1,5289.6,100.0,933,0.5,8.5,1,gpt-oss-120b,history_5,733,381.0
8,4,3,1285.3,100.0,913,0.7392,10.0,1,gpt-oss-120b,history_5,717,361.2
9,5,4,326.2,100.0,848,0.97,12.0,1,gpt-oss-120b,history_5,705,57665.8
10,1,1,75.3,89.0,890,1.0,14.5,1,gpt-oss-120b,history_5,932,546.3
11,5,1,5166.5,100.0,889,0.5,15.0,1,gpt-oss-120b,history_5,807,406.0
12,5,5,34.2,76.8,768,1.0,17.5,0,gpt-oss-120b,history_5,753,385.0
13,1,1,38.0,78.2,782,1.0,20.0,1,gpt-oss-120b,history_5,930,527.0
14,4,1,5529.9,100.0,774,0.5,20.5,1,gpt-oss-120b,history_5,844,474.6
15,5,4,199.4,98.8,790,1.0,22.5,1,gpt-oss-120b,history_5,821,54732.5
16,8,5,41.4,80.0,800,1.0,25.0,1,gpt-oss-120b,history_5,807,2389.6
17,1,1,16.0,56.0,896,1.0,29.0,1,gpt-oss-120b,history_5,928,809.9
18,1,1,5627.7,100.0,917,0.5,29.5,0,gpt-oss-120b,history_5,929,495.1
19,1,1,5159.2,100.0,933,0.5,30.0,0,gpt-oss-120b,history_5,930,563.2
20,5,1,5336.1,100.0,894,0.5,30.5,1,gpt-oss-120b,history_5,901,462.6
21,1,1,77.7,88.5,885,1.0,33.0,1,gpt-oss-120b,history_5,930,51724.2
22,1,1,4752.8,100.0,818,0.5,33.5,0,gpt-oss-120b,history_5,931,461.1
23,5,1,5455.7,100.0,793,0.5,34.0,1,gpt-oss-120b,history_5,796,426.4
24,7,5,36.0,78.9,789,1.0,36.5,1,gpt-oss-120b,history_5,871,435.6
25,5,5,16.7,57.8,809,1.0,40.0,1,gpt-oss-120b,history_5,829,472.5
26,1,1,48.2,80.8,808,1.0,42.5,1,gpt-oss-120b,history_5,929,546.2
27,1,1,5226.8,100.0,860,0.5,43.0,0,gpt-oss-120b,history_5,930,54678.6
28,1,1,5036.8,100.0,750,0.5,43.5,0,gpt-oss-120b,history_5,930,492.5
29,1,1,5185.3,100.0,751,0.5,44.0,0,gpt-oss-120b,history_5,930,588.1
30,5,1,5514.9,100.0,823,0.5,44.5,1,gpt-oss-120b,history_5,778,444.0
31,1,1,40.9,79.2,792,1.0,47.0,1,gpt-oss-120b,history_5,931,475.5
32,1,1,4769.1,100.0,681,0.5,47.5,0,gpt-oss-120b,history_5,932,612.7
33,4,1,5156.5,100.0,678,0.5,48.0,1,gpt-oss-120b,history_5,798,54602.7
34,4,4,40.2,79.8,638,1.0,50.0,0,gpt-oss-120b,history_5,739,1332.3
35,1,1,34.7,76.0,608,1.0,52.0,1,gpt-oss-120b,history_5,930,511.4
36,1,1,5755.1,100.0,571,0.5,52.5,0,gpt-oss-120b,history_5,930,615.9
37,4,1,4896.8,100.0,629,0.5,53.0,1,gpt-oss-120b,history_5,737,470.0
38,1,1,33.3,76.8,614,1.0,55.0,1,gpt-oss-120b,history_5,930,494.5
39,4,1,5195.2,100.0,615,0.5,55.5,1,gpt-oss-120b,history_5,849,54783.0
40,1,1,54.6,84.8,678,1.0,57.5,1,gpt-oss-120b,history_5,930,639.5
41,4,1,5233.5,100.0,809,0.5,58.0,1,gpt-oss-120b,history_5,649,330.0
42,1,1,89.3,90.5,724,1.0,60.0,1,gpt-oss-120b,history_5,930,514.3
43,4,1,5192.9,100.0,756,0.5,60.5,1,gpt-oss-120b,history_5,924,695.3
44,1,1,93.9,91.5,732,1.0,62.5,1,gpt-oss-120b,history_5,930,525.9
45,4,1,5407.5,100.0,738,0.5,63.0,1,gpt-oss-120b,history_5,878,53676.2
46,4,4,63.3,87.1,697,1.0,65.0,0,gpt-oss-120b,history_5,791,427.7
47,8,4,98.3,91.5,732,1.0,67.0,1,gpt-oss-120b,history_5,912,521.6
48,1,1,14.1,50.9,815,1.0,71.0,1,gpt-oss-120b,history_5,929,674.3
49,5,1,5263.5,100.0,819,0.5,71.5,1,gpt-oss-120b,history_5,897,446.6
50,1,1,55.9,83.6,836,1.0,74.0,1,gpt-oss-120b,history_5,929,497.7
51,5,1,4989.2,100.0,822,0.5,74.5,1,gpt-oss-120b,history_5,823,54657.8
52,1,1,26.6,70.7,707,1.0,77.0,1,gpt-oss-120b,history_5,929,501.4
53,5,1,5718.8,100.0,673,0.5,77.5,1,gpt-oss-120b,history_5,826,817.9
54,4,4,20.4,63.3,633,1.0,80.0,1,gpt-oss-120b,history_5,915,504.1
55,1,1,41.6,80.0,640,1.0,82.0,1,gpt-oss-120b,history_5,929,523.1
56,4,1,5133.3,100.0,623,0.5,82.5,1,gpt-oss-120b,history_5,748,491.9
57,1,1,66.4,87.2,698,1.0,84.5,1,gpt-oss-120b,history_5,929,54720.0
58,1,1,5206.0,100.0,590,0.5,85.0,0,gpt-oss-120b,history_5,930,513.6
59,3,1,4931.9,100.0,604,0.5,85.5,1,gpt-oss-120b,history_5,832,1227.9
60,4,3,421.5,100.0,704,0.9133,87.0,1,gpt-oss-120b,history_5,728,379.9
61,1,1,83.4,89.9,719,1.0,89.0,1,gpt-oss-120b,history_5,931,487.6
62,4,1,5249.5,100.0,745,0.5,89.5,1,gpt-oss-120b,history_5,777,366.7
63,1,1,243.6,99.4,795,1.0,91.5,1,gpt-oss-120b,history_5,931,54680.8
64,1,1,5050.4,100.0,793,0.5,92.0,0,gpt-oss-120b,history_5,931,541.6
65,4,1,5027.2,100.0,734,0.5,92.5,1,gpt-oss-120b,history_5,849,463.6
66,1,1,78.2,89.0,712,1.0,94.5,1,gpt-oss-120b,history_5,930,540.6
67,4,1,4962.9,100.0,702,0.5,95.0,1,gpt-oss-120b,history_5,817,485.3
68,1,1,100.7,91.2,730,1.0,97.0,1,gpt-oss-120b,history_5,930,513.7
69,4,1,5376.8,100.0,625,0.5,97.5,1,gpt-oss-120b,history_5,869,54755.1
70,1,1,63.9,86.9,695,1.0,99.5,1,gpt-oss-120b,history_5,930,502.8
71,4,1,5009.0,100.0,618,0.5,100.0,1,gpt-oss-120b,history_5,812,441.9
72,1,1,28.1,69.5,556,1.0,102.0,1,gpt-oss-120b,history_5,930,494.3
73,1,1,5249.4,100.0,589,0.5,102.5,0,gpt-oss-120b,history_5,930,523.8
74,4,1,4968.8,100.0,523,0.5,103.0,1,gpt-oss-120b,history_5,862,488.5
75,1,1,33.7,75.9,607,1.0,105.0,1,gpt-oss-120b,history_5,930,54871.6
76,4,1,5459.1,100.0,794,0.5,105.5,1,gpt-oss-120b,history_5,858,455.6
77,1,1,331.7,100.0,890,0.9437,107.5,1,gpt-oss-120b,history_5,931,508.2
78,4,1,5289.0,100.0,1034,0.5,108.0,1,gpt-oss-120b,history_5,928,439.4
79,1,1,1741.6,100.0,1323,0.6731,110.0,1,gpt-oss-120b,history_5,935,484.9
80,5,1,5041.6,100.0,1152,0.5,110.5,1,gpt-oss-120b,history_5,857,506.0
81,1,1,215.4,98.2,982,1.0,113.0,1,gpt-oss-120b,history_5,936,54750.4
82,5,1,5019.0,100.0,847,0.5,113.5,1,gpt-oss-120b,history_5,747,654.2
83,5,5,55.6,82.3,823,1.0,116.0,0,gpt-oss-120b,history_5,818,569.1
84,5,5,69.0,86.8,868,1.0,118.5,0,gpt-oss-120b,history_5,738,378.1
85,8,5,317.3,100.0,1056,0.972,121.0,1,gpt-oss-120b,history_5,856,545.5
86,1,1,18.1,61.3,980,1.0,125.0,1,gpt-oss-120b,history_5,929,535.9
87,1,1,5516.0,100.0,916,0.5,125.5,0,gpt-oss-120b,history_5,930,54747.0
88,1,1,5522.9,100.0,985,0.5,126.0,0,gpt-oss-120b,history_5,930,486.3
89,8,1,5239.2,100.0,958,0.5,126.5,1,gpt-oss-120b,history_5,833,429.6
90,1,1,19.5,63.2,1011,1.0,130.5,1,gpt-oss-120b,history_5,932,501.6
91,1,1,5112.5,100.0,1023,0.5,131.0,0,gpt-oss-120b,history_5,933,713.3
92,3,1,5078.7,100.0,1031,0.5,131.5,1,gpt-oss-120b,history_5,738,379.2
93,1,1,3824.5,100.0,1140,0.55,133.0,1,gpt-oss-120b,history_5,936,54742.9
94,1,1,4998.5,100.0,1015,0.5,133.5,0,gpt-oss-120b,history_5,937,587.9
95,1,1,5101.3,100.0,989,0.5,134.0,0,gpt-oss-120b,history_5,937,603.3
96,3,1,5265.2,100.0,858,0.5,134.5,1,gpt-oss-120b,history_5,679,400.2
97,5,3,856.0,100.0,824,0.8133,136.0,1,gpt-oss-120b,history_5,806,393.9
98,1,1,64.7,87.5,875,1.0,138.5,1,gpt-oss-120b,history_5,934,459.8
99,5,1,5753.2,100.0,906,0.5,139.0,1,gpt-oss-120b,history_5,873,55422.7
100,1,1,40.8,78.8,788,1.0,141.5,1,gpt-oss-120b,history_5,931,547.9
101,5,1,4944.3,100.0,754,0.5,142.0,1,gpt-oss-120b,history_5,743,361.0
102,1,1,28.4,69.7,697,1.0,144.5,1,gpt-oss-120b,history_5,930,501.7
103,4,1,5193.4,100.0,729,0.5,145.0,1,gpt-oss-120b,history_5,805,462.1
104,5,4,403.8,100.0,908,0.9325,147.0,1,gpt-oss-120b,history_5,842,504.9
105,5,5,72.1,87.0,870,1.0,149.5,0,gpt-oss-120b,history_5,922,55701.1
106,5,5,38.2,78.3,783,1.0,152.0,0,gpt-oss-120b,history_5,823,434.2
