step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,6,3,101.6,91.8,551,1.0,1.5,1,hpa,baseline,0,0
1,6,6,11.5,43.3,520,1.0,4.5,0,hpa,baseline,0,0
2,5,5,12.5,41.6,499,1.0,7.5,1,hpa,baseline,0,0
3,6,5,14.9,51.3,513,1.0,10.0,1,hpa,baseline,0,0
4,6,6,12.4,43.2,519,1.0,13.0,0,hpa,baseline,0,0
5,6,6,12.2,47.6,571,1.0,16.0,0,hpa,baseline,0,0
6,8,6,23.5,66.2,795,1.0,19.0,1,hpa,baseline,0,0
7,10,8,16.0,58.3,933,1.0,23.0,1,hpa,baseline,0,0
8,10,10,12.7,45.6,913,1.0,28.0,0,hpa,baseline,0,0
9,9,9,11.9,42.4,848,1.0,33.0,1,hpa,baseline,0,0
10,9,9,15.1,49.4,890,1.0,37.5,0,hpa,baseline,0,0
11,9,9,14.5,49.4,889,1.0,42.0,0,hpa,baseline,0,0
12,8,8,11.5,42.7,768,1.0,46.5,1,hpa,baseline,0,0
13,8,8,13.5,48.9,782,1.0,50.5,0,hpa,baseline,0,0
14,8,8,12.7,48.4,774,1.0,54.5,0,hpa,baseline,0,0
15,8,8,15.4,49.4,790,1.0,58.5,0,hpa,baseline,0,0
16,8,8,13.4,50.0,800,1.0,62.5,0,hpa,baseline,0,0
17,9,8,16.2,56.0,896,1.0,66.5,1,hpa,baseline,0,0
18,10,9,15.1,50.9,917,1.0,71.0,1,hpa,baseline,0,0
19,10,10,14.1,46.7,933,1.0,76.0,0,hpa,baseline,0,0
20,9,9,12.2,44.7,894,1.0,81.0,1,hpa,baseline,0,0
21,9,9,14.0,49.2,885,1.0,85.5,0,hpa,baseline,0,0
22,9,9,12.8,45.4,818,1.0,90.0,0,hpa,baseline,0,0
23,8,8,11.1,44.1,793,1.0,94.5,1,hpa,baseline,0,0
24,8,8,13.8,49.3,789,1.0,98.5,0,hpa,baseline,0,0
25,9,8,14.2,50.6,809,1.0,102.5,1,hpa,baseline,0,0
26,9,9,13.2,44.9,808,1.0,107.0,0,hpa,baseline,0,0
27,9,9,13.2,47.8,860,1.0,111.5,0,hpa,baseline,0,0
28,8,8,13.1,41.7,750,1.0,116.0,1,hpa,baseline,0,0
29,8,8,13.3,46.9,751,1.0,120.0,0,hpa,baseline,0,0
30,9,8,13.5,51.4,823,1.0,124.0,1,hpa,baseline,0,0
31,8,8,12.1,44.0,792,1.0,128.5,1,hpa,baseline,0,0
32,7,7,11.6,42.6,681,1.0,132.5,1,hpa,baseline,0,0
33,7,7,13.6,48.4,678,1.0,136.0,0,hpa,baseline,0,0
34,7,7,11.6,45.6,638,1.0,139.5,0,hpa,baseline,0,0
35,7,7,11.6,43.4,608,1.0,143.0,0,hpa,baseline,0,0
