step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,20,3,101.0,91.8,551,1.0,1.5,1,llama-70b,cot,772,27196.8
1,3,3,8.0,13.0,520,1.0,11.5,1,llama-70b,cot,772,41548.8
2,3,3,48.1,83.2,499,1.0,13.0,0,llama-70b,cot,652,7812.3
3,20,3,59.3,85.5,513,1.0,14.5,1,llama-70b,cot,772,8580.5
4,3,3,8.4,13.0,519,1.0,24.5,1,llama-70b,cot,690,26096.5
5,4,3,131.5,95.2,571,1.0,26.0,1,llama-70b,cot,682,17282.3
6,5,4,246.0,99.4,795,1.0,28.0,1,llama-70b,cot,746,9694.2
7,6,5,113.1,93.3,933,1.0,30.5,1,llama-70b,cot,698,8871.3
8,6,6,34.5,76.1,913,1.0,33.5,0,llama-70b,cot,698,37993.5
9,6,6,27.4,70.7,848,1.0,36.5,0,llama-70b,cot,609,44148.5
10,6,6,31.7,74.2,890,1.0,39.5,0,llama-70b,cot,637,172923.2
11,6,6,32.3,74.1,889,1.0,42.5,0,llama-70b,cot,631,96797.4
12,6,6,20.0,64.0,768,1.0,45.5,0,llama-70b,cot,628,100265.1
13,6,6,20.8,65.2,782,1.0,48.5,0,llama-70b,cot,610,42064.9
14,6,6,21.4,64.5,774,1.0,51.5,0,llama-70b,cot,590,24880.6
15,6,6,24.9,65.8,790,1.0,54.5,0,llama-70b,cot,608,21360.3
16,6,6,22.7,66.7,800,1.0,57.5,0,llama-70b,cot,591,26762.7
17,6,6,31.7,74.7,896,1.0,60.5,0,llama-70b,cot,558,38314.5
18,6,6,38.1,76.4,917,1.0,63.5,0,llama-70b,cot,659,53036.3
19,6,6,37.6,77.8,933,1.0,66.5,0,llama-70b,cot,581,32328.7
20,6,6,32.4,74.5,894,1.0,69.5,0,llama-70b,cot,578,49669.3
21,6,6,32.0,73.8,885,1.0,72.5,0,llama-70b,cot,647,102597.7
22,6,6,26.4,68.2,818,1.0,75.5,0,llama-70b,cot,632,336092.0
23,6,6,25.6,66.1,793,1.0,78.5,0,llama-70b,cot,620,30964.0
24,6,6,24.7,65.8,789,1.0,81.5,0,llama-70b,cot,620,75658.5
25,6,6,23.6,67.4,809,1.0,84.5,0,llama-70b,cot,610,42774.8
26,6,6,23.3,67.3,808,1.0,87.5,0,llama-70b,cot,613,15026.1
27,6,6,24.9,71.7,860,1.0,90.5,0,llama-70b,cot,632,14429.6
28,6,6,20.0,62.5,750,1.0,93.5,0,llama-70b,cot,628,25031.5
29,6,6,24.1,62.6,751,1.0,96.5,0,llama-70b,cot,580,3917.3
30,6,6,26.7,68.6,823,1.0,99.5,0,llama-70b,cot,607,23943.1
31,6,6,23.5,66.0,792,1.0,102.5,0,llama-70b,cot,644,7907.5
32,6,6,16.7,56.8,681,1.0,105.5,0,llama-70b,cot,602,4377.4
33,2,2,16.2,56.5,678,1.0,108.5,1,llama-70b,cot,772,7423.9
34,4,2,1554.1,100.0,638,0.7025,109.5,1,llama-70b,cot,749,7261.0
35,4,4,32.8,76.0,608,1.0,111.5,0,llama-70b,cot,604,5345.9
36,4,4,28.4,71.4,571,1.0,113.5,0,llama-70b,cot,617,6195.8
37,4,4,38.7,78.6,629,1.0,115.5,0,llama-70b,cot,582,27155.2
38,4,4,36.7,76.8,614,1.0,117.5,0,llama-70b,cot,603,5024.5
39,4,4,39.4,76.9,615,1.0,119.5,0,llama-70b,cot,592,6157.9
40,4,4,51.8,84.8,678,1.0,121.5,0,llama-70b,cot,569,7180.2
41,20,4,269.6,100.0,809,0.9944,123.5,1,llama-70b,cot,773,37578.6
42,10,10,8.8,18.1,724,1.0,133.5,1,llama-70b,cot,670,5076.0
43,10,10,11.3,37.8,756,1.0,138.5,0,llama-70b,cot,577,8113.5
44,5,5,11.4,36.6,732,1.0,143.5,1,llama-70b,cot,772,10173.4
45,5,5,30.1,73.8,738,1.0,146.0,0,llama-70b,cot,602,20732.0
46,4,4,26.3,69.7,697,1.0,148.5,1,llama-70b,cot,772,11427.6
47,5,4,96.4,91.5,732,1.0,150.5,1,llama-70b,cot,702,23960.0
48,5,5,48.7,81.5,815,1.0,153.0,0,llama-70b,cot,643,11179.2
49,5,5,49.2,81.9,819,1.0,155.5,0,llama-70b,cot,562,26371.2
50,5,5,46.3,83.6,836,1.0,158.0,0,llama-70b,cot,699,51643.8
51,5,5,45.8,82.2,822,1.0,160.5,0,llama-70b,cot,627,52409.4
52,5,5,27.3,70.7,707,1.0,163.0,0,llama-70b,cot,727,64705.4
53,5,5,25.7,67.3,673,1.0,165.5,0,llama-70b,cot,594,79480.6
54,4,4,20.7,63.3,633,1.0,168.0,1,llama-70b,cot,707,65972.4
55,4,4,44.5,80.0,640,1.0,170.0,0,llama-70b,cot,607,345756.0
56,4,4,38.9,77.9,623,1.0,172.0,0,llama-70b,cot,632,55604.2
57,4,4,71.6,87.2,698,1.0,174.0,0,llama-70b,cot,583,33798.4
58,4,4,32.6,73.8,590,1.0,176.0,0,llama-70b,cot,583,128201.6
59,4,4,34.3,75.5,604,1.0,178.0,0,llama-70b,cot,587,223931.1
60,4,4,66.4,88.0,704,1.0,180.0,0,llama-70b,cot,595,84571.9
61,4,4,81.1,89.9,719,1.0,182.0,0,llama-70b,cot,598,85638.9
62,5,4,110.6,93.1,745,1.0,184.0,1,llama-70b,cot,751,76258.8
63,5,5,42.5,79.5,795,1.0,186.5,0,llama-70b,cot,621,16969.1
64,5,5,37.5,79.3,793,1.0,189.0,0,llama-70b,cot,645,7366.4
65,5,5,30.6,73.4,734,1.0,191.5,0,llama-70b,cot,614,12410.5
66,5,5,29.0,71.2,712,1.0,194.0,0,llama-70b,cot,605,15658.1
67,5,5,26.6,70.2,702,1.0,196.5,0,llama-70b,cot,661,5518.7
68,5,5,29.1,73.0,730,1.0,199.0,0,llama-70b,cot,644,15673.9
69,5,5,22.1,62.5,625,1.0,201.5,0,llama-70b,cot,656,13779.6
70,4,4,23.5,69.5,695,1.0,204.0,1,llama-70b,cot,772,15598.2
71,4,4,37.9,77.2,618,1.0,206.0,0,llama-70b,cot,588,44118.9
72,4,4,25.9,69.5,556,1.0,208.0,0,llama-70b,cot,636,5804.1
73,4,4,31.2,73.6,589,1.0,210.0,0,llama-70b,cot,605,25997.7
74,4,4,22.6,65.4,523,1.0,212.0,0,llama-70b,cot,620,25242.9
75,4,4,33.7,75.9,607,1.0,214.0,0,llama-70b,cot,586,45372.7
76,5,4,216.8,99.2,794,1.0,216.0,1,llama-70b,cot,732,376719.5
77,5,5,74.7,89.0,890,1.0,218.5,0,llama-70b,cot,630,728724.2
78,7,5,307.3,100.0,1034,0.983,221.0,1,llama-70b,cot,605,123437.5
79,7,7,115.5,94.5,1323,1.0,224.5,0,llama-70b,cot,571,14360.8
80,7,7,48.7,82.3,1152,1.0,228.0,0,llama-70b,cot,625,57287.1
81,7,7,24.8,70.1,982,1.0,231.5,0,llama-70b,cot,596,49575.9
82,7,7,19.2,60.5,847,1.0,235.0,0,llama-70b,cot,622,34401.3
83,7,7,18.0,58.8,823,1.0,238.5,0,llama-70b,cot,598,39338.7
84,7,7,20.0,62.0,868,1.0,242.0,0,llama-70b,cot,673,6783.8
85,7,7,34.4,75.4,1056,1.0,245.5,0,llama-70b,cot,607,21537.6
86,7,7,25.6,70.0,980,1.0,249.0,0,llama-70b,cot,683,18197.7
87,7,7,18.9,65.4,916,1.0,252.5,0,llama-70b,cot,612,4532.7
88,7,7,27.8,70.4,985,1.0,256.0,0,llama-70b,cot,720,32991.7
89,7,7,24.8,68.4,958,1.0,259.5,0,llama-70b,cot,617,4945.4
90,7,7,27.5,72.2,1011,1.0,263.0,0,llama-70b,cot,612,19266.7
91,7,7,28.7,73.1,1023,1.0,266.5,0,llama-70b,cot,610,5240.4
92,7,7,31.1,73.6,1031,1.0,270.0,0,llama-70b,cot,635,7372.5
93,7,7,49.1,81.4,1140,1.0,273.5,0,llama-70b,cot,720,16631.5
94,7,7,28.5,72.5,1015,1.0,277.0,0,llama-70b,cot,621,5799.0
95,7,7,28.1,70.6,989,1.0,280.5,0,llama-70b,cot,617,6210.0
96,7,7,19.0,61.3,858,1.0,284.0,0,llama-70b,cot,612,24666.2
97,7,7,18.0,58.9,824,1.0,287.5,0,llama-70b,cot,602,13370.9
98,7,7,18.8,62.5,875,1.0,291.0,0,llama-70b,cot,613,37272.4
99,7,7,22.1,64.7,906,1.0,294.5,0,llama-70b,cot,591,23898.6
100,7,7,17.8,56.3,788,1.0,298.0,0,llama-70b,cot,585,31687.6
101,6,6,14.9,53.9,754,1.0,301.5,1,llama-70b,cot,677,38363.2
102,6,6,19.9,58.1,697,1.0,304.5,0,llama-70b,cot,635,31362.6
103,6,6,22.9,60.8,729,1.0,307.5,0,llama-70b,cot,654,104622.0
104,6,6,34.9,75.7,908,1.0,310.5,0,llama-70b,cot,627,377225.7
105,6,6,29.2,72.5,870,1.0,313.5,0,llama-70b,cot,601,387902.8
106,6,6,20.8,65.2,783,1.0,316.5,0,llama-70b,cot,648,49119.6
107,6,6,20.4,65.7,788,1.0,319.5,0,llama-70b,cot,628,21117.8
108,6,6,22.6,66.8,802,1.0,322.5,0,llama-70b,cot,638,5793.8
109,6,6,22.7,66.8,802,1.0,325.5,0,llama-70b,cot,633,34069.3
110,6,6,26.7,72.2,866,1.0,328.5,0,llama-70b,cot,679,13824.0
111,6,6,30.4,73.7,884,1.0,331.5,0,llama-70b,cot,577,29129.6
112,6,6,23.5,67.5,810,1.0,334.5,0,llama-70b,cot,600,6036.0
113,6,6,25.8,68.7,824,1.0,337.5,0,llama-70b,cot,579,22647.4
114,6,6,28.3,70.1,841,1.0,340.5,0,llama-70b,cot,605,30814.0
115,6,6,22.7,65.2,783,1.0,343.5,0,llama-70b,cot,591,21476.0
116,6,6,22.2,65.4,785,1.0,346.5,0,llama-70b,cot,601,33686.9
117,6,6,19.9,61.3,736,1.0,349.5,0,llama-70b,cot,763,32308.3
118,6,6,20.3,64.3,772,1.0,352.5,0,llama-70b,cot,620,6759.6
119,6,6,18.1,60.0,720,1.0,355.5,0,llama-70b,cot,596,7434.7
120,6,6,29.5,72.3,868,1.0,358.5,0,llama-70b,cot,731,8375.3
121,6,6,49.4,82.0,984,1.0,361.5,0,llama-70b,cot,606,8054.8
122,6,6,33.1,74.7,896,1.0,364.5,0,llama-70b,cot,630,51580.5
123,6,6,27.0,71.8,861,1.0,367.5,0,llama-70b,cot,590,9886.4
124,6,6,27.7,72.0,864,1.0,370.5,0,llama-70b,cot,604,28680.8
125,6,6,39.9,78.2,938,1.0,373.5,0,llama-70b,cot,614,48371.4
126,6,6,48.9,83.1,997,1.0,376.5,0,llama-70b,cot,611,29660.1
127,6,6,26.1,70.8,849,1.0,379.5,0,llama-70b,cot,615,24430.8
128,6,6,23.7,66.5,798,1.0,382.5,0,llama-70b,cot,677,23774.0
129,6,6,18.6,62.3,747,1.0,385.5,0,llama-70b,cot,611,6970.0
130,6,6,27.9,71.9,863,1.0,388.5,0,llama-70b,cot,590,11064.4
131,6,6,43.2,79.0,948,1.0,391.5,0,llama-70b,cot,579,33938.1
132,6,6,53.4,84.0,1008,1.0,394.5,0,llama-70b,cot,746,68983.5
133,6,6,61.8,85.2,1023,1.0,397.5,0,llama-70b,cot,586,31367.4
134,7,6,142.8,95.4,1145,1.0,400.5,1,llama-70b,cot,773,141124.5
135,8,7,42.3,80.1,1121,1.0,404.0,1,llama-70b,cot,662,390435.2
136,8,8,43.6,80.8,1293,1.0,408.0,0,llama-70b,cot,619,53869.4
137,8,8,43.1,80.4,1287,1.0,412.0,0,llama-70b,cot,613,144507.4
138,8,8,59.6,86.1,1377,1.0,416.0,0,llama-70b,cot,668,40371.5
139,8,8,94.8,91.2,1459,1.0,420.0,0,llama-70b,cot,656,52393.5
140,3,3,292.8,100.0,1696,0.97,424.0,1,llama-70b,cot,773,125042.3
141,5,3,5422.2,100.0,1720,0.5,425.5,1,llama-70b,cot,774,10199.5
142,10,5,3840.4,100.0,1904,0.548,428.0,1,llama-70b,cot,698,5980.1
143,12,10,389.3,100.0,2283,0.9293,433.0,1,llama-70b,cot,762,7404.8
144,16,12,365.3,100.0,2668,0.9442,439.0,1,llama-70b,cot,774,6884.7
145,16,16,84.7,90.1,2882,1.0,447.0,0,llama-70b,cot,645,13947.0
146,16,16,254.5,100.0,3211,0.9983,455.0,0,llama-70b,cot,774,7584.1
147,20,16,325.5,100.0,3461,0.9592,463.0,1,llama-70b,cot,774,19458.3
148,20,20,87.2,90.2,3607,1.0,473.0,0,llama-70b,cot,745,6554.1
149,20,20,97.4,91.5,3659,1.0,483.0,0,llama-70b,cot,616,17665.9
150,20,20,145.8,95.6,3823,1.0,493.0,0,llama-70b,cot,659,5394.7
151,20,20,161.0,96.7,3866,1.0,503.0,0,llama-70b,cot,632,14821.1
152,20,20,121.3,94.4,3775,1.0,513.0,0,llama-70b,cot,631,5564.6
153,20,20,71.3,88.8,3550,1.0,523.0,0,llama-70b,cot,622,5679.6
154,20,20,56.7,84.3,3373,1.0,533.0,0,llama-70b,cot,677,11175.3
155,20,20,44.8,81.7,3268,1.0,543.0,0,llama-70b,cot,649,24768.2
156,20,20,37.8,77.8,3112,1.0,553.0,0,llama-70b,cot,659,7083.4
157,20,20,32.1,73.9,2955,1.0,563.0,0,llama-70b,cot,607,19954.5
158,20,20,29.1,72.0,2880,1.0,573.0,0,llama-70b,cot,591,5846.9
159,20,20,24.5,69.7,2786,1.0,583.0,0,llama-70b,cot,619,4980.4
160,20,20,22.3,66.6,2666,1.0,593.0,0,llama-70b,cot,660,5275.3
161,18,18,19.1,62.4,2494,1.0,603.0,1,llama-70b,cot,665,44669.5
162,18,18,23.8,66.0,2375,1.0,612.0,0,llama-70b,cot,630,5199.0
163,18,18,21.1,63.1,2270,1.0,621.0,0,llama-70b,cot,607,15920.9
164,18,18,17.8,59.7,2148,1.0,630.0,0,llama-70b,cot,587,12271.3
165,18,18,17.5,57.0,2053,1.0,639.0,0,llama-70b,cot,582,4974.8
166,18,18,15.3,51.4,1852,1.0,648.0,0,llama-70b,cot,577,4878.8
167,18,18,13.0,47.1,1696,1.0,657.0,0,llama-70b,cot,573,18326.0
168,18,18,13.7,45.2,1628,1.0,666.0,0,llama-70b,cot,644,6006.8
169,18,18,13.2,44.8,1612,1.0,675.0,0,llama-70b,cot,660,5919.8
170,18,18,12.9,45.1,1622,1.0,684.0,0,llama-70b,cot,628,5653.0
171,18,18,10.8,41.8,1504,1.0,693.0,0,llama-70b,cot,593,14272.1
172,18,18,11.2,35.8,1287,1.0,702.0,0,llama-70b,cot,596,4626.6
173,1,1,11.1,33.9,1220,1.0,711.0,1,llama-70b,cot,773,7254.7
174,10,1,5025.6,100.0,1131,0.5,711.5,1,llama-70b,cot,774,7209.1
175,10,10,16.5,54.1,1083,1.0,716.5,0,llama-70b,cot,590,8457.1
176,10,10,13.5,52.5,1051,1.0,721.5,0,llama-70b,cot,625,14665.0
177,9,9,13.0,47.6,953,1.0,726.5,1,llama-70b,cot,690,34356.0
178,9,9,12.6,49.9,899,1.0,731.0,0,llama-70b,cot,573,4496.6
179,5,5,14.1,51.1,920,1.0,735.5,1,llama-70b,cot,750,17827.9
180,3,3,275.3,100.0,1018,0.991,738.0,1,llama-70b,cot,773,29674.5
181,8,3,1936.3,100.0,991,0.6742,739.5,1,llama-70b,cot,738,35317.1
182,8,8,16.9,60.0,960,1.0,743.5,0,llama-70b,cot,709,657748.7
183,8,8,16.4,56.4,902,1.0,747.5,0,llama-70b,cot,622,62041.6
184,8,8,16.4,57.2,916,1.0,751.5,0,llama-70b,cot,576,43348.4
185,8,8,17.3,57.2,915,1.0,755.5,0,llama-70b,cot,602,323923.9
186,8,8,14.6,51.0,816,1.0,759.5,0,llama-70b,cot,630,9699.3
187,7,7,12.7,43.8,700,1.0,763.5,1,llama-70b,cot,655,49505.7
188,7,7,14.1,48.9,684,1.0,767.0,0,llama-70b,cot,574,11382.5
189,7,7,13.5,48.9,684,1.0,770.5,0,llama-70b,cot,693,22048.0
190,6,6,19.3,57.4,804,1.0,774.0,1,llama-70b,cot,735,47250.5
191,6,6,18.2,60.2,722,1.0,777.0,0,llama-70b,cot,610,6482.1
192,6,6,16.5,55.2,663,1.0,780.0,0,llama-70b,cot,666,13039.8
193,6,6,19.4,61.6,739,1.0,783.0,0,llama-70b,cot,602,10468.2
