step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,4,3,91.8,91.8,551,1.0,1.5,1,llama-8b,domain,343,823.0
1,5,4,20.9,65.0,520,1.0,3.5,1,llama-8b,domain,343,367.0
2,5,5,14.0,49.9,499,1.0,6.0,0,llama-8b,domain,343,392.7
3,5,5,14.7,51.3,513,1.0,8.5,0,llama-8b,domain,343,413.7
4,5,5,15.2,51.9,519,1.0,11.0,0,llama-8b,domain,343,407.2
5,5,5,17.9,57.1,571,1.0,13.5,0,llama-8b,domain,343,421.0
6,6,5,37.3,79.5,795,1.0,16.0,1,llama-8b,domain,343,403.4
7,8,6,41.1,77.8,933,1.0,19.0,1,llama-8b,domain,343,408.1
8,10,8,16.3,57.1,913,1.0,23.0,1,llama-8b,domain,343,512.8
9,12,10,13.2,42.4,848,1.0,28.0,1,llama-8b,domain,343,366.8
10,15,12,11.8,37.1,890,1.0,34.0,1,llama-8b,domain,343,519.1
11,15,15,9.4,29.6,889,1.0,41.5,0,llama-8b,domain,343,348.5
12,15,15,9.5,25.6,768,1.0,49.0,0,llama-8b,domain,343,374.2
13,15,15,9.5,26.1,782,1.0,56.5,0,llama-8b,domain,343,473.5
14,15,15,9.2,25.8,774,1.0,64.0,0,llama-8b,domain,343,390.3
15,15,15,9.2,26.3,790,1.0,71.5,0,llama-8b,domain,343,429.4
16,15,15,9.1,26.7,800,1.0,79.0,0,llama-8b,domain,343,359.2
17,15,15,10.0,29.9,896,1.0,86.5,0,llama-8b,domain,343,374.2
18,15,15,10.4,30.6,917,1.0,94.0,0,llama-8b,domain,343,473.5
19,15,15,10.3,31.1,933,1.0,101.5,0,llama-8b,domain,343,416.0
20,16,15,9.8,29.8,894,1.0,109.0,1,llama-8b,domain,343,387.3
21,16,16,10.2,27.7,885,1.0,117.0,0,llama-8b,domain,343,434.5
