step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,4,3,100.4,91.8,551,1.0,1.5,1,llama-8b,history_5,215,876.8
1,4,4,19.6,65.0,520,1.0,3.5,0,llama-8b,history_5,249,417.3
2,4,4,18.8,62.4,499,1.0,5.5,0,llama-8b,history_5,283,453.7
3,4,4,20.8,64.1,513,1.0,7.5,0,llama-8b,history_5,317,401.5
4,4,4,21.4,64.9,519,1.0,9.5,0,llama-8b,history_5,351,456.5
5,5,4,29.9,71.4,571,1.0,11.5,1,llama-8b,history_5,385,431.1
6,6,5,44.7,79.5,795,1.0,14.0,1,llama-8b,history_5,385,442.5
7,8,6,38.3,77.8,933,1.0,17.0,1,llama-8b,history_5,385,4917.9
8,9,8,17.3,57.1,913,1.0,21.0,1,llama-8b,history_5,385,391.0
9,9,9,13.7,47.1,848,1.0,25.5,0,llama-8b,history_5,385,390.8
10,10,9,13.7,49.4,890,1.0,30.0,1,llama-8b,history_5,385,1407.0
11,10,10,12.3,44.5,889,1.0,35.0,0,llama-8b,history_5,385,428.3
12,10,10,10.3,38.4,768,1.0,40.0,0,llama-8b,history_5,385,1488.5
13,11,10,11.5,39.1,782,1.0,45.0,1,llama-8b,history_5,385,417.3
14,11,11,10.8,35.2,774,1.0,50.5,0,llama-8b,history_5,385,394.2
15,11,11,10.2,35.9,790,1.0,56.0,0,llama-8b,history_5,385,420.4
16,11,11,10.7,36.4,800,1.0,61.5,0,llama-8b,history_5,385,397.3
17,12,11,12.8,40.7,896,1.0,67.0,1,llama-8b,history_5,385,397.5
18,13,12,10.8,38.2,917,1.0,73.0,1,llama-8b,history_5,385,632.0
19,14,13,11.2,35.9,933,1.0,79.5,1,llama-8b,history_5,385,378.6
20,15,14,9.6,31.9,894,1.0,86.5,1,llama-8b,history_5,385,415.2
21,15,15,9.3,29.5,885,1.0,94.0,0,llama-8b,history_5,385,368.8
22,15,15,9.7,27.3,818,1.0,101.5,0,llama-8b,history_5,385,1161.2
23,15,15,9.0,26.4,793,1.0,109.0,0,llama-8b,history_5,385,416.0
24,15,15,8.6,26.3,789,1.0,116.5,0,llama-8b,history_5,385,430.3
25,15,15,9.5,27.0,809,1.0,124.0,0,llama-8b,history_5,385,415.3
26,15,15,9.6,26.9,808,1.0,131.5,0,llama-8b,history_5,385,855.1
27,16,15,9.6,28.7,860,1.0,139.0,1,llama-8b,history_5,385,524.7
28,16,16,8.4,23.4,750,1.0,147.0,0,llama-8b,history_5,385,371.1
29,17,16,9.7,23.5,751,1.0,155.0,1,llama-8b,history_5,385,395.4
30,18,17,10.2,24.2,823,1.0,163.5,1,llama-8b,history_5,385,412.1
31,19,18,9.1,22.0,792,1.0,172.5,1,llama-8b,history_5,385,410.3
32,20,19,8.6,17.9,681,1.0,182.0,1,llama-8b,history_5,385,401.8
33,20,20,8.7,17.0,678,1.0,192.0,0,llama-8b,history_5,385,408.2
34,20,20,8.0,16.0,638,1.0,202.0,0,llama-8b,history_5,385,392.7
35,20,20,8.1,15.2,608,1.0,212.0,0,llama-8b,history_5,385,381.9
36,20,20,8.4,14.3,571,1.0,222.0,0,llama-8b,history_5,385,412.3
37,20,20,8.8,15.7,629,1.0,232.0,0,llama-8b,history_5,385,415.4
38,20,20,8.3,15.3,614,1.0,242.0,0,llama-8b,history_5,385,399.6
39,20,20,8.6,15.4,615,1.0,252.0,0,llama-8b,history_5,385,465.1
40,20,20,8.7,17.0,678,1.0,262.0,0,llama-8b,history_5,385,442.3
41,20,20,8.9,20.2,809,1.0,272.0,0,llama-8b,history_5,385,449.5
42,20,20,10.2,18.1,724,1.0,282.0,0,llama-8b,history_5,385,427.5
43,20,20,8.6,18.9,756,1.0,292.0,0,llama-8b,history_5,385,378.5
44,20,20,8.6,18.3,732,1.0,302.0,0,llama-8b,history_5,385,392.9
45,20,20,9.0,18.4,738,1.0,312.0,0,llama-8b,history_5,385,432.2
