step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,4,3,92.5,91.8,551,1.0,1.5,1,llama-8b,zero_shot,207,5596.2
1,4,4,22.0,65.0,520,1.0,3.5,0,llama-8b,zero_shot,207,474.2
2,4,4,20.7,62.4,499,1.0,5.5,0,llama-8b,zero_shot,207,512.5
3,5,4,21.3,64.1,513,1.0,7.5,1,llama-8b,zero_shot,207,345.6
4,5,5,16.1,51.9,519,1.0,10.0,0,llama-8b,zero_shot,207,440.6
5,5,5,17.5,57.1,571,1.0,12.5,0,llama-8b,zero_shot,207,379.8
6,6,5,43.8,79.5,795,1.0,15.0,1,llama-8b,zero_shot,207,340.8
7,6,6,41.6,77.8,933,1.0,18.0,0,llama-8b,zero_shot,207,349.5
8,6,6,36.6,76.1,913,1.0,21.0,0,llama-8b,zero_shot,207,387.0
9,6,6,28.2,70.7,848,1.0,24.0,0,llama-8b,zero_shot,207,337.7
10,7,6,33.8,74.2,890,1.0,27.0,1,llama-8b,zero_shot,207,369.5
11,8,7,21.0,63.5,889,1.0,30.5,1,llama-8b,zero_shot,207,345.2
12,8,8,13.6,48.0,768,1.0,34.5,0,llama-8b,zero_shot,207,446.6
13,9,8,14.4,48.9,782,1.0,38.5,1,llama-8b,zero_shot,207,425.6
14,10,9,12.5,43.0,774,1.0,43.0,1,llama-8b,zero_shot,207,368.6
15,10,10,11.2,39.5,790,1.0,48.0,0,llama-8b,zero_shot,207,624.3
16,10,10,11.6,40.0,800,1.0,53.0,0,llama-8b,zero_shot,207,542.5
17,10,10,12.3,44.8,896,1.0,58.0,0,llama-8b,zero_shot,207,366.7
18,10,10,13.4,45.9,917,1.0,63.0,0,llama-8b,zero_shot,207,2111.7
19,10,10,12.6,46.7,933,1.0,68.0,0,llama-8b,zero_shot,207,355.3
20,10,10,11.8,44.7,894,1.0,73.0,0,llama-8b,zero_shot,207,400.9
21,10,10,12.2,44.2,885,1.0,78.0,0,llama-8b,zero_shot,207,353.9
22,10,10,11.2,40.9,818,1.0,83.0,0,llama-8b,zero_shot,207,348.6
23,10,10,12.4,39.6,793,1.0,88.0,0,llama-8b,zero_shot,207,373.8
24,10,10,11.1,39.5,789,1.0,93.0,0,llama-8b,zero_shot,207,343.4
25,10,10,12.2,40.5,809,1.0,98.0,0,llama-8b,zero_shot,207,355.7
26,10,10,11.9,40.4,808,1.0,103.0,0,llama-8b,zero_shot,207,363.1
27,10,10,12.3,43.0,860,1.0,108.0,0,llama-8b,zero_shot,207,378.8
28,10,10,10.9,37.5,750,1.0,113.0,0,llama-8b,zero_shot,207,356.8
29,10,10,11.7,37.5,751,1.0,118.0,0,llama-8b,zero_shot,207,364.0
30,10,10,11.9,41.1,823,1.0,123.0,0,llama-8b,zero_shot,207,451.6
31,10,10,11.0,39.6,792,1.0,128.0,0,llama-8b,zero_shot,207,389.1
32,10,10,10.2,34.1,681,1.0,133.0,0,llama-8b,zero_shot,207,416.1
33,10,10,11.2,33.9,678,1.0,138.0,0,llama-8b,zero_shot,207,341.1
34,10,10,9.6,31.9,638,1.0,143.0,0,llama-8b,zero_shot,207,327.6
35,10,10,10.0,30.4,608,1.0,148.0,0,llama-8b,zero_shot,207,412.3
36,10,10,10.4,28.5,571,1.0,153.0,0,llama-8b,zero_shot,207,315.5
37,10,10,9.7,31.4,629,1.0,158.0,0,llama-8b,zero_shot,207,369.1
38,10,10,9.7,30.7,614,1.0,163.0,0,llama-8b,zero_shot,207,350.7
39,10,10,9.7,30.8,615,1.0,168.0,0,llama-8b,zero_shot,207,377.7
40,10,10,9.8,33.9,678,1.0,173.0,0,llama-8b,zero_shot,207,374.2
41,10,10,13.1,40.5,809,1.0,178.0,0,llama-8b,zero_shot,207,1315.7
42,10,10,10.1,36.2,724,1.0,183.0,0,llama-8b,zero_shot,207,575.8
43,10,10,10.3,37.8,756,1.0,188.0,0,llama-8b,zero_shot,207,315.3
44,10,10,11.0,36.6,732,1.0,193.0,0,llama-8b,zero_shot,207,536.4
45,10,10,10.8,36.9,738,1.0,198.0,0,llama-8b,zero_shot,207,319.8
46,10,10,9.8,34.8,697,1.0,203.0,0,llama-8b,zero_shot,207,330.4
47,10,10,10.7,36.6,732,1.0,208.0,0,llama-8b,zero_shot,207,406.2
48,10,10,11.8,40.8,815,1.0,213.0,0,llama-8b,zero_shot,207,367.3
49,10,10,11.8,40.9,819,1.0,218.0,0,llama-8b,zero_shot,207,386.5
50,10,10,12.1,41.8,836,1.0,223.0,0,llama-8b,zero_shot,207,457.3
51,10,10,10.7,41.1,822,1.0,228.0,0,llama-8b,zero_shot,207,341.2
52,10,10,10.7,35.4,707,1.0,233.0,0,llama-8b,zero_shot,207,353.7
53,10,10,10.8,33.7,673,1.0,238.0,0,llama-8b,zero_shot,207,374.1
54,10,10,9.4,31.6,633,1.0,243.0,0,llama-8b,zero_shot,207,348.0
55,10,10,10.4,32.0,640,1.0,248.0,0,llama-8b,zero_shot,207,315.8
56,10,10,10.6,31.1,623,1.0,253.0,0,llama-8b,zero_shot,207,371.0
57,10,10,10.5,34.9,698,1.0,258.0,0,llama-8b,zero_shot,207,355.2
58,10,10,10.6,29.5,590,1.0,263.0,0,llama-8b,zero_shot,207,382.1
59,10,10,10.4,30.2,604,1.0,268.0,0,llama-8b,zero_shot,207,416.0
60,10,10,11.1,35.2,704,1.0,273.0,0,llama-8b,zero_shot,207,382.3
61,10,10,10.7,35.9,719,1.0,278.0,0,llama-8b,zero_shot,207,407.1
62,10,10,11.4,37.2,745,1.0,283.0,0,llama-8b,zero_shot,207,2427.1
63,10,10,11.4,39.8,795,1.0,288.0,0,llama-8b,zero_shot,207,440.7
64,10,10,10.7,39.6,793,1.0,293.0,0,llama-8b,zero_shot,207,381.6
65,10,10,10.3,36.7,734,1.0,298.0,0,llama-8b,zero_shot,207,395.7
66,10,10,10.6,35.6,712,1.0,303.0,0,llama-8b,zero_shot,207,372.3
67,10,10,9.9,35.1,702,1.0,308.0,0,llama-8b,zero_shot,207,389.6
68,10,10,10.0,36.5,730,1.0,313.0,0,llama-8b,zero_shot,207,366.7
69,10,10,10.5,31.2,625,1.0,318.0,0,llama-8b,zero_shot,207,373.8
70,10,10,10.1,34.8,695,1.0,323.0,0,llama-8b,zero_shot,207,337.6
71,10,10,9.3,30.9,618,1.0,328.0,0,llama-8b,zero_shot,207,377.2
72,10,10,8.8,27.8,556,1.0,333.0,0,llama-8b,zero_shot,207,404.4
73,10,10,10.0,29.4,589,1.0,338.0,0,llama-8b,zero_shot,207,311.2
74,10,10,9.7,26.2,523,1.0,343.0,0,llama-8b,zero_shot,207,344.7
75,10,10,9.2,30.3,607,1.0,348.0,0,llama-8b,zero_shot,207,320.7
76,10,10,11.4,39.7,794,1.0,353.0,0,llama-8b,zero_shot,207,416.7
77,10,10,12.7,44.5,890,1.0,358.0,0,llama-8b,zero_shot,207,421.9
78,10,10,14.0,51.7,1034,1.0,363.0,0,llama-8b,zero_shot,208,342.6
