step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,99.0,91.8,551,1.0,1.5,0,llama4-scout,domain,0,0.0
1,3,3,64.7,86.7,520,1.0,3.0,0,llama4-scout,domain,0,0.0
2,3,3,53.0,83.2,499,1.0,4.5,0,llama4-scout,domain,0,0.0
3,3,3,57.4,85.5,513,1.0,6.0,0,llama4-scout,domain,0,0.0
4,3,3,65.6,86.5,519,1.0,7.5,0,llama4-scout,domain,0,0.0
5,3,3,147.7,95.2,571,1.0,9.0,0,llama4-scout,domain,0,0.0
6,3,3,678.1,100.0,795,0.8375,10.5,0,llama4-scout,domain,0,0.0
7,3,3,1435.7,100.0,933,0.7225,12.0,0,llama4-scout,domain,0,0.0
8,3,3,1191.6,100.0,913,0.7392,13.5,0,llama4-scout,domain,0,0.0
9,6,3,970.2,100.0,848,0.7933,15.0,1,llama4-scout,domain,322,119.8
10,7,6,29.5,74.2,890,1.0,18.0,1,llama4-scout,domain,321,91.6
11,7,7,21.6,63.5,889,1.0,21.5,0,llama4-scout,domain,321,100.5
12,7,7,16.4,54.9,768,1.0,25.0,0,llama4-scout,domain,321,113.4
13,7,7,14.1,55.9,782,1.0,28.5,0,llama4-scout,domain,321,122.9
14,7,7,17.7,55.3,774,1.0,32.0,0,llama4-scout,domain,321,110.2
15,7,7,15.5,56.4,790,1.0,35.5,0,llama4-scout,domain,321,170.7
16,7,7,17.8,57.1,800,1.0,39.0,0,llama4-scout,domain,321,96.4
17,7,7,20.6,64.0,896,1.0,42.5,0,llama4-scout,domain,321,154.7
18,7,7,24.2,65.5,917,1.0,46.0,0,llama4-scout,domain,321,98.0
19,8,7,25.0,66.6,933,1.0,49.5,1,llama4-scout,domain,321,108.5
20,8,8,15.6,55.9,894,1.0,53.5,0,llama4-scout,domain,321,101.6
21,8,8,16.7,55.3,885,1.0,57.5,0,llama4-scout,domain,321,145.9
22,8,8,14.3,51.1,818,1.0,61.5,0,llama4-scout,domain,321,137.4
23,8,8,14.9,49.6,793,1.0,65.5,0,llama4-scout,domain,321,114.4
24,8,8,13.9,49.3,789,1.0,69.5,0,llama4-scout,domain,321,105.2
25,8,8,14.2,50.6,809,1.0,73.5,0,llama4-scout,domain,321,181.0
26,8,8,14.7,50.5,808,1.0,77.5,0,llama4-scout,domain,321,91.9
27,8,8,15.2,53.8,860,1.0,81.5,0,llama4-scout,domain,321,105.2
28,8,8,11.4,46.9,750,1.0,85.5,0,llama4-scout,domain,321,102.4
29,8,8,13.2,46.9,751,1.0,89.5,0,llama4-scout,domain,321,107.6
30,8,8,14.5,51.4,823,1.0,93.5,0,llama4-scout,domain,321,160.3
31,8,8,14.9,49.5,792,1.0,97.5,0,llama4-scout,domain,321,112.4
32,8,8,12.9,42.6,681,1.0,101.5,0,llama4-scout,domain,321,174.0
33,8,8,12.2,42.4,678,1.0,105.5,0,llama4-scout,domain,321,96.2
34,8,8,11.3,39.9,638,1.0,109.5,0,llama4-scout,domain,321,116.4
35,8,8,11.4,38.0,608,1.0,113.5,0,llama4-scout,domain,321,110.4
36,8,8,11.4,35.7,571,1.0,117.5,0,llama4-scout,domain,321,114.5
37,8,8,11.1,39.3,629,1.0,121.5,0,llama4-scout,domain,321,132.8
38,8,8,12.0,38.4,614,1.0,125.5,0,llama4-scout,domain,321,124.0
39,8,8,11.3,38.4,615,1.0,129.5,0,llama4-scout,domain,321,105.1
40,8,8,11.4,42.4,678,1.0,133.5,0,llama4-scout,domain,321,97.5
41,8,8,14.1,50.6,809,1.0,137.5,0,llama4-scout,domain,321,103.4
42,8,8,13.1,45.2,724,1.0,141.5,0,llama4-scout,domain,321,116.8
43,8,8,12.6,47.2,756,1.0,145.5,0,llama4-scout,domain,321,114.9
44,8,8,12.9,45.8,732,1.0,149.5,0,llama4-scout,domain,321,104.0
45,8,8,12.4,46.1,738,1.0,153.5,0,llama4-scout,domain,321,98.4
46,8,8,12.3,43.6,697,1.0,157.5,0,llama4-scout,domain,321,118.5
47,8,8,13.4,45.8,732,1.0,161.5,0,llama4-scout,domain,321,159.5
48,8,8,14.6,50.9,815,1.0,165.5,0,llama4-scout,domain,321,94.0
49,8,8,15.8,51.2,819,1.0,169.5,0,llama4-scout,domain,321,108.6
50,8,8,15.1,52.2,836,1.0,173.5,0,llama4-scout,domain,321,154.8
51,8,8,13.8,51.4,822,1.0,177.5,0,llama4-scout,domain,321,100.1
52,8,8,12.9,44.2,707,1.0,181.5,0,llama4-scout,domain,321,113.3
53,8,8,11.7,42.1,673,1.0,185.5,0,llama4-scout,domain,321,101.8
54,8,8,11.1,39.6,633,1.0,189.5,0,llama4-scout,domain,321,114.4
55,8,8,11.7,40.0,640,1.0,193.5,0,llama4-scout,domain,321,104.4
56,8,8,11.4,38.9,623,1.0,197.5,0,llama4-scout,domain,321,108.4
57,8,8,12.9,43.6,698,1.0,201.5,0,llama4-scout,domain,321,128.7
58,8,8,10.8,36.9,590,1.0,205.5,0,llama4-scout,domain,321,239.6
59,8,8,10.7,37.8,604,1.0,209.5,0,llama4-scout,domain,321,111.9
60,8,8,13.0,44.0,704,1.0,213.5,0,llama4-scout,domain,321,101.9
61,8,8,13.5,44.9,719,1.0,217.5,0,llama4-scout,domain,321,106.4
62,8,8,11.4,46.6,745,1.0,221.5,0,llama4-scout,domain,321,97.3
63,8,8,14.6,49.7,795,1.0,225.5,0,llama4-scout,domain,321,127.9
64,8,8,13.5,49.6,793,1.0,229.5,0,llama4-scout,domain,321,156.9
65,8,8,11.0,45.9,734,1.0,233.5,0,llama4-scout,domain,321,121.7
66,8,8,13.2,44.5,712,1.0,237.5,0,llama4-scout,domain,321,108.7
67,8,8,11.5,43.9,702,1.0,241.5,0,llama4-scout,domain,321,225.5
68,8,8,10.4,45.6,730,1.0,245.5,0,llama4-scout,domain,321,112.1
69,8,8,11.1,39.1,625,1.0,249.5,0,llama4-scout,domain,321,228.6
70,8,8,11.9,43.4,695,1.0,253.5,0,llama4-scout,domain,321,93.3
71,8,8,11.4,38.6,618,1.0,257.5,0,llama4-scout,domain,321,287.6
72,8,8,10.3,34.8,556,1.0,261.5,0,llama4-scout,domain,321,108.0
73,8,8,9.6,36.8,589,1.0,265.5,0,llama4-scout,domain,321,600.1
74,8,8,9.9,32.7,523,1.0,269.5,0,llama4-scout,domain,321,319.6
75,8,8,10.2,37.9,607,1.0,273.5,0,llama4-scout,domain,321,89.8
76,8,8,14.2,49.6,794,1.0,277.5,0,llama4-scout,domain,321,143.7
77,8,8,14.9,55.6,890,1.0,281.5,0,llama4-scout,domain,321,184.6
78,8,8,21.5,64.6,1034,1.0,285.5,0,llama4-scout,domain,322,279.0
79,11,8,50.2,82.7,1323,1.0,289.5,1,llama4-scout,domain,322,100.5
80,11,11,14.1,52.4,1152,1.0,295.0,0,llama4-scout,domain,322,201.3
81,11,11,12.7,44.6,982,1.0,300.5,0,llama4-scout,domain,321,102.7
82,11,11,11.1,38.5,847,1.0,306.0,0,llama4-scout,domain,321,123.8
83,11,11,10.8,37.4,823,1.0,311.5,0,llama4-scout,domain,321,105.1
84,11,11,11.4,39.5,868,1.0,317.0,0,llama4-scout,domain,321,121.0
85,11,11,13.3,48.0,1056,1.0,322.5,0,llama4-scout,domain,322,94.7
86,11,11,10.8,44.5,980,1.0,328.0,0,llama4-scout,domain,321,124.2
87,11,11,12.0,41.6,916,1.0,333.5,0,llama4-scout,domain,321,113.1
88,11,11,12.0,44.8,985,1.0,339.0,0,llama4-scout,domain,321,91.0
89,11,11,13.6,43.5,958,1.0,344.5,0,llama4-scout,domain,321,109.5
90,11,11,12.5,46.0,1011,1.0,350.0,0,llama4-scout,domain,322,117.5
91,11,11,12.5,46.5,1023,1.0,355.5,0,llama4-scout,domain,322,98.5
92,11,11,13.0,46.9,1031,1.0,361.0,0,llama4-scout,domain,322,101.7
93,11,11,14.8,51.8,1140,1.0,366.5,0,llama4-scout,domain,322,91.7
94,11,11,12.5,46.1,1015,1.0,372.0,0,llama4-scout,domain,322,112.6
95,11,11,12.4,45.0,989,1.0,377.5,0,llama4-scout,domain,321,184.0
96,11,11,10.8,39.0,858,1.0,383.0,0,llama4-scout,domain,321,122.7
97,11,11,10.8,37.5,824,1.0,388.5,0,llama4-scout,domain,321,99.3
98,11,11,10.9,39.8,875,1.0,394.0,0,llama4-scout,domain,321,113.6
99,11,11,11.4,41.2,906,1.0,399.5,0,llama4-scout,domain,321,110.7
100,11,11,10.1,35.8,788,1.0,405.0,0,llama4-scout,domain,321,89.2
101,11,11,10.6,34.3,754,1.0,410.5,0,llama4-scout,domain,321,107.7
102,11,11,11.0,31.7,697,1.0,416.0,0,llama4-scout,domain,321,320.3
103,11,11,10.6,33.1,729,1.0,421.5,0,llama4-scout,domain,321,97.8
104,11,11,11.7,41.3,908,1.0,427.0,0,llama4-scout,domain,321,96.1
105,11,11,11.1,39.5,870,1.0,432.5,0,llama4-scout,domain,321,94.2
106,11,11,10.8,35.6,783,1.0,438.0,0,llama4-scout,domain,321,121.9
107,11,11,11.1,35.8,788,1.0,443.5,0,llama4-scout,domain,321,115.5
108,11,11,9.9,36.5,802,1.0,449.0,0,llama4-scout,domain,321,114.4
109,11,11,11.1,36.5,802,1.0,454.5,0,llama4-scout,domain,321,114.5
110,11,11,11.1,39.4,866,1.0,460.0,0,llama4-scout,domain,321,103.4
111,11,11,11.3,40.2,884,1.0,465.5,0,llama4-scout,domain,321,101.4
112,11,11,10.7,36.8,810,1.0,471.0,0,llama4-scout,domain,321,90.6
113,11,11,12.0,37.5,824,1.0,476.5,0,llama4-scout,domain,321,106.3
114,11,11,11.0,38.2,841,1.0,482.0,0,llama4-scout,domain,321,105.3
115,11,11,10.2,35.6,783,1.0,487.5,0,llama4-scout,domain,321,128.0
116,11,11,9.9,35.7,785,1.0,493.0,0,llama4-scout,domain,321,142.6
117,11,11,9.8,33.5,736,1.0,498.5,0,llama4-scout,domain,321,122.9
118,11,11,10.3,35.1,772,1.0,504.0,0,llama4-scout,domain,321,132.1
119,11,11,10.7,32.7,720,1.0,509.5,0,llama4-scout,domain,321,93.2
120,11,11,11.5,39.5,868,1.0,515.0,0,llama4-scout,domain,321,132.3
121,11,11,13.9,44.7,984,1.0,520.5,0,llama4-scout,domain,321,257.0
