step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,5,3,96.1,91.8,551,1.0,1.5,1,llama4-scout,zero_shot,186,661.0
1,5,5,15.0,52.0,520,1.0,4.0,0,llama4-scout,zero_shot,186,217.5
2,5,5,13.5,49.9,499,1.0,6.5,0,llama4-scout,zero_shot,186,242.3
3,5,5,14.0,51.3,513,1.0,9.0,0,llama4-scout,zero_shot,186,182.3
4,5,5,13.7,51.9,519,1.0,11.5,0,llama4-scout,zero_shot,186,194.6
5,5,5,18.4,57.1,571,1.0,14.0,0,llama4-scout,zero_shot,186,79.4
6,5,5,43.2,79.5,795,1.0,16.5,0,llama4-scout,zero_shot,186,448.0
7,6,5,112.2,93.3,933,1.0,19.0,1,llama4-scout,zero_shot,186,195.0
8,6,6,31.9,76.1,913,1.0,22.0,0,llama4-scout,zero_shot,186,455.3
9,6,6,27.5,70.7,848,1.0,25.0,0,llama4-scout,zero_shot,186,79.4
10,6,6,34.0,74.2,890,1.0,28.0,0,llama4-scout,zero_shot,186,187.1
11,6,6,30.0,74.1,889,1.0,31.0,0,llama4-scout,zero_shot,186,79.9
12,6,6,20.1,64.0,768,1.0,34.0,0,llama4-scout,zero_shot,186,135.8
13,6,6,21.1,65.2,782,1.0,37.0,0,llama4-scout,zero_shot,186,255.6
14,6,6,20.2,64.5,774,1.0,40.0,0,llama4-scout,zero_shot,186,74.3
15,6,6,24.1,65.8,790,1.0,43.0,0,llama4-scout,zero_shot,186,310.0
16,6,6,22.0,66.7,800,1.0,46.0,0,llama4-scout,zero_shot,186,676.2
17,6,6,29.1,74.7,896,1.0,49.0,0,llama4-scout,zero_shot,186,347.1
18,6,6,37.5,76.4,917,1.0,52.0,0,llama4-scout,zero_shot,186,139.8
19,6,6,34.9,77.8,933,1.0,55.0,0,llama4-scout,zero_shot,186,167.4
20,6,6,34.3,74.5,894,1.0,58.0,0,llama4-scout,zero_shot,186,212.6
21,6,6,32.7,73.8,885,1.0,61.0,0,llama4-scout,zero_shot,186,181.2
22,6,6,24.0,68.2,818,1.0,64.0,0,llama4-scout,zero_shot,186,98.7
23,6,6,23.6,66.1,793,1.0,67.0,0,llama4-scout,zero_shot,186,193.7
24,6,6,22.0,65.8,789,1.0,70.0,0,llama4-scout,zero_shot,186,483.7
25,6,6,24.7,67.4,809,1.0,73.0,0,llama4-scout,zero_shot,186,1659.0
26,6,6,25.1,67.3,808,1.0,76.0,0,llama4-scout,zero_shot,186,2604.9
27,6,6,27.2,71.7,860,1.0,79.0,0,llama4-scout,zero_shot,186,668.0
28,6,6,20.4,62.5,750,1.0,82.0,0,llama4-scout,zero_shot,186,352.6
29,6,6,22.3,62.6,751,1.0,85.0,0,llama4-scout,zero_shot,186,347.5
30,6,6,25.4,68.6,823,1.0,88.0,0,llama4-scout,zero_shot,186,77.6
31,6,6,22.7,66.0,792,1.0,91.0,0,llama4-scout,zero_shot,186,86.1
32,6,6,16.5,56.8,681,1.0,94.0,0,llama4-scout,zero_shot,186,83.0
33,6,6,15.4,56.5,678,1.0,97.0,0,llama4-scout,zero_shot,186,292.0
34,6,6,15.9,53.2,638,1.0,100.0,0,llama4-scout,zero_shot,186,415.6
35,6,6,15.8,50.7,608,1.0,103.0,0,llama4-scout,zero_shot,186,291.0
36,6,6,11.6,47.6,571,1.0,106.0,0,llama4-scout,zero_shot,186,353.2
37,6,6,14.4,52.4,629,1.0,109.0,0,llama4-scout,zero_shot,186,221.4
38,6,6,14.9,51.2,614,1.0,112.0,0,llama4-scout,zero_shot,186,86.5
39,6,6,15.1,51.2,615,1.0,115.0,0,llama4-scout,zero_shot,186,287.3
40,6,6,15.7,56.5,678,1.0,118.0,0,llama4-scout,zero_shot,186,264.0
41,6,6,23.7,67.4,809,1.0,121.0,0,llama4-scout,zero_shot,186,187.2
42,6,6,19.2,60.3,724,1.0,124.0,0,llama4-scout,zero_shot,186,404.0
43,6,6,22.9,63.0,756,1.0,127.0,0,llama4-scout,zero_shot,186,127.4
44,6,6,18.6,61.0,732,1.0,130.0,0,llama4-scout,zero_shot,186,145.3
45,6,6,18.6,61.5,738,1.0,133.0,0,llama4-scout,zero_shot,186,356.4
46,6,6,18.9,58.1,697,1.0,136.0,0,llama4-scout,zero_shot,186,335.0
47,6,6,19.6,61.0,732,1.0,139.0,0,llama4-scout,zero_shot,186,484.5
48,6,6,22.5,67.9,815,1.0,142.0,0,llama4-scout,zero_shot,186,80.6
49,6,6,25.5,68.2,819,1.0,145.0,0,llama4-scout,zero_shot,186,386.0
50,6,6,24.6,69.7,836,1.0,148.0,0,llama4-scout,zero_shot,186,85.7
