step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,4,3,90.1,91.8,551,1.0,1.5,1,mistral-small4,cot,272,617.4
1,4,4,21.9,65.0,520,1.0,3.5,0,mistral-small4,cot,272,241.5
2,4,4,18.9,62.4,499,1.0,5.5,0,mistral-small4,cot,272,212.1
3,4,4,20.1,64.1,513,1.0,7.5,0,mistral-small4,cot,272,249.3
4,4,4,22.3,64.9,519,1.0,9.5,0,mistral-small4,cot,272,240.9
5,4,4,29.4,71.4,571,1.0,11.5,0,mistral-small4,cot,272,730.6
6,6,4,235.0,99.4,795,1.0,13.5,1,mistral-small4,cot,273,222.6
7,6,6,36.4,77.8,933,1.0,16.5,0,mistral-small4,cot,272,1676.8
8,6,6,37.3,76.1,913,1.0,19.5,0,mistral-small4,cot,272,207.5
9,6,6,26.2,70.7,848,1.0,22.5,0,mistral-small4,cot,272,230.6
10,6,6,31.6,74.2,890,1.0,25.5,0,mistral-small4,cot,272,288.6
11,6,6,32.0,74.1,889,1.0,28.5,0,mistral-small4,cot,272,245.6
12,6,6,22.2,64.0,768,1.0,31.5,0,mistral-small4,cot,272,213.1
13,6,6,20.4,65.2,782,1.0,34.5,0,mistral-small4,cot,272,219.8
14,6,6,19.4,64.5,774,1.0,37.5,0,mistral-small4,cot,272,235.4
15,6,6,22.6,65.8,790,1.0,40.5,0,mistral-small4,cot,272,695.4
16,6,6,21.6,66.7,800,1.0,43.5,0,mistral-small4,cot,272,213.3
17,6,6,33.3,74.7,896,1.0,46.5,0,mistral-small4,cot,272,281.4
18,6,6,33.7,76.4,917,1.0,49.5,0,mistral-small4,cot,272,690.2
19,6,6,40.4,77.8,933,1.0,52.5,0,mistral-small4,cot,272,304.9
20,6,6,29.9,74.5,894,1.0,55.5,0,mistral-small4,cot,272,249.8
21,6,6,30.8,73.8,885,1.0,58.5,0,mistral-small4,cot,272,212.2
22,6,6,25.0,68.2,818,1.0,61.5,0,mistral-small4,cot,272,241.9
23,6,6,22.2,66.1,793,1.0,64.5,0,mistral-small4,cot,272,210.9
24,6,6,23.2,65.8,789,1.0,67.5,0,mistral-small4,cot,272,248.5
25,6,6,25.5,67.4,809,1.0,70.5,0,mistral-small4,cot,272,215.3
26,6,6,24.8,67.3,808,1.0,73.5,0,mistral-small4,cot,272,241.4
27,6,6,30.2,71.7,860,1.0,76.5,0,mistral-small4,cot,272,244.8
28,6,6,20.8,62.5,750,1.0,79.5,0,mistral-small4,cot,272,234.4
29,6,6,18.5,62.6,751,1.0,82.5,0,mistral-small4,cot,272,698.8
30,6,6,26.3,68.6,823,1.0,85.5,0,mistral-small4,cot,272,303.7
31,6,6,22.4,66.0,792,1.0,88.5,0,mistral-small4,cot,272,242.5
32,4,4,17.8,56.8,681,1.0,91.5,1,mistral-small4,cot,272,245.3
33,5,4,54.4,84.8,678,1.0,93.5,1,mistral-small4,cot,272,232.5
34,5,5,20.3,63.8,638,1.0,96.0,0,mistral-small4,cot,272,782.1
35,5,5,18.4,60.8,608,1.0,98.5,0,mistral-small4,cot,272,705.5
36,5,5,16.5,57.1,571,1.0,101.0,0,mistral-small4,cot,272,1703.3
37,5,5,22.0,62.9,629,1.0,103.5,0,mistral-small4,cot,272,1484.4
38,5,5,20.8,61.4,614,1.0,106.0,0,mistral-small4,cot,272,225.9
39,5,5,19.0,61.5,615,1.0,108.5,0,mistral-small4,cot,272,304.1
40,5,5,24.4,67.8,678,1.0,111.0,0,mistral-small4,cot,272,703.3
41,5,5,42.5,80.9,809,1.0,113.5,0,mistral-small4,cot,272,1429.8
42,5,5,28.2,72.4,724,1.0,116.0,0,mistral-small4,cot,272,741.0
43,5,5,31.8,75.6,756,1.0,118.5,0,mistral-small4,cot,272,751.0
44,5,5,31.1,73.2,732,1.0,121.0,0,mistral-small4,cot,272,1689.6
45,5,5,30.9,73.8,738,1.0,123.5,0,mistral-small4,cot,272,242.9
46,5,5,28.5,69.7,697,1.0,126.0,0,mistral-small4,cot,272,1567.4
47,5,5,30.4,73.2,732,1.0,128.5,0,mistral-small4,cot,272,286.1
48,5,5,47.9,81.5,815,1.0,131.0,0,mistral-small4,cot,272,234.5
49,5,5,47.4,81.9,819,1.0,133.5,0,mistral-small4,cot,272,213.1
50,5,5,52.9,83.6,836,1.0,136.0,0,mistral-small4,cot,272,681.4
51,5,5,50.9,82.2,822,1.0,138.5,0,mistral-small4,cot,272,317.2
52,5,5,28.2,70.7,707,1.0,141.0,0,mistral-small4,cot,272,236.3
53,5,5,22.3,67.3,673,1.0,143.5,0,mistral-small4,cot,272,658.6
54,5,5,19.4,63.3,633,1.0,146.0,0,mistral-small4,cot,272,223.7
55,5,5,21.3,64.0,640,1.0,148.5,0,mistral-small4,cot,272,1710.3
56,5,5,17.8,62.3,623,1.0,151.0,0,mistral-small4,cot,272,310.4
57,5,5,24.4,69.8,698,1.0,153.5,0,mistral-small4,cot,272,245.8
58,5,5,19.0,59.0,590,1.0,156.0,0,mistral-small4,cot,272,259.7
59,5,5,20.4,60.4,604,1.0,158.5,0,mistral-small4,cot,272,239.4
60,5,5,25.3,70.4,704,1.0,161.0,0,mistral-small4,cot,272,206.1
61,5,5,29.3,71.9,719,1.0,163.5,0,mistral-small4,cot,272,736.3
62,5,5,33.4,74.5,745,1.0,166.0,0,mistral-small4,cot,272,713.2
63,5,5,42.1,79.5,795,1.0,168.5,0,mistral-small4,cot,272,291.5
64,5,5,39.8,79.3,793,1.0,171.0,0,mistral-small4,cot,272,298.0
65,5,5,33.1,73.4,734,1.0,173.5,0,mistral-small4,cot,272,220.4
66,5,5,24.7,71.2,712,1.0,176.0,0,mistral-small4,cot,272,215.3
67,5,5,28.0,70.2,702,1.0,178.5,0,mistral-small4,cot,272,706.0
68,5,5,33.0,73.0,730,1.0,181.0,0,mistral-small4,cot,272,245.9
69,5,5,18.5,62.5,625,1.0,183.5,0,mistral-small4,cot,272,239.0
70,5,5,27.3,69.5,695,1.0,186.0,0,mistral-small4,cot,272,748.3
71,5,5,20.0,61.8,618,1.0,188.5,0,mistral-small4,cot,272,457.6
72,5,5,15.1,55.6,556,1.0,191.0,0,mistral-small4,cot,272,266.9
73,5,5,17.6,58.9,589,1.0,193.5,0,mistral-small4,cot,272,260.7
74,5,5,15.7,52.3,523,1.0,196.0,0,mistral-small4,cot,272,244.7
75,5,5,19.7,60.7,607,1.0,198.5,0,mistral-small4,cot,272,242.5
76,5,5,39.3,79.4,794,1.0,201.0,0,mistral-small4,cot,272,216.4
77,5,5,71.3,89.0,890,1.0,203.5,0,mistral-small4,cot,272,247.4
78,8,5,284.1,100.0,1034,0.983,206.0,1,mistral-small4,cot,277,746.2
79,8,8,52.1,82.7,1323,1.0,210.0,0,mistral-small4,cot,273,222.5
80,8,8,30.4,72.0,1152,1.0,214.0,0,mistral-small4,cot,273,708.5
81,8,8,17.9,61.4,982,1.0,218.0,0,mistral-small4,cot,272,476.2
82,8,8,14.8,52.9,847,1.0,222.0,0,mistral-small4,cot,272,673.7
83,8,8,13.5,51.4,823,1.0,226.0,0,mistral-small4,cot,272,255.5
84,8,8,15.7,54.2,868,1.0,230.0,0,mistral-small4,cot,272,242.0
85,8,8,22.8,66.0,1056,1.0,234.0,0,mistral-small4,cot,273,217.1
86,8,8,18.2,61.3,980,1.0,238.0,0,mistral-small4,cot,272,251.9
87,8,8,16.6,57.2,916,1.0,242.0,0,mistral-small4,cot,272,248.6
88,8,8,22.0,61.6,985,1.0,246.0,0,mistral-small4,cot,272,238.4
89,8,8,19.1,59.9,958,1.0,250.0,0,mistral-small4,cot,272,1537.5
90,8,8,19.5,63.2,1011,1.0,254.0,0,mistral-small4,cot,273,293.1
91,8,8,21.7,63.9,1023,1.0,258.0,0,mistral-small4,cot,273,268.3
92,8,8,22.2,64.4,1031,1.0,262.0,0,mistral-small4,cot,273,257.2
93,8,8,29.1,71.2,1140,1.0,266.0,0,mistral-small4,cot,273,706.2
94,8,8,20.4,63.4,1015,1.0,270.0,0,mistral-small4,cot,273,240.4
95,8,8,20.7,61.8,989,1.0,274.0,0,mistral-small4,cot,272,710.5
96,8,8,15.1,53.6,858,1.0,278.0,0,mistral-small4,cot,272,240.9
97,8,8,15.2,51.5,824,1.0,282.0,0,mistral-small4,cot,272,753.2
98,8,8,16.4,54.7,875,1.0,286.0,0,mistral-small4,cot,272,629.4
99,8,8,17.0,56.6,906,1.0,290.0,0,mistral-small4,cot,272,305.0
100,8,8,13.7,49.2,788,1.0,294.0,0,mistral-small4,cot,272,219.5
101,8,8,13.0,47.1,754,1.0,298.0,0,mistral-small4,cot,272,280.2
102,8,8,12.0,43.6,697,1.0,302.0,0,mistral-small4,cot,272,277.8
103,8,8,13.0,45.6,729,1.0,306.0,0,mistral-small4,cot,272,219.4
104,8,8,17.3,56.8,908,1.0,310.0,0,mistral-small4,cot,272,740.0
105,8,8,16.7,54.4,870,1.0,314.0,0,mistral-small4,cot,272,719.6
106,8,8,13.0,48.9,783,1.0,318.0,0,mistral-small4,cot,272,244.0
107,8,8,14.5,49.2,788,1.0,322.0,0,mistral-small4,cot,272,239.1
108,8,8,14.1,50.1,802,1.0,326.0,0,mistral-small4,cot,272,299.3
109,8,8,15.0,50.1,802,1.0,330.0,0,mistral-small4,cot,272,252.7
110,8,8,15.5,54.1,866,1.0,334.0,0,mistral-small4,cot,272,243.1
111,8,8,16.1,55.2,884,1.0,338.0,0,mistral-small4,cot,272,242.5
112,8,8,13.9,50.6,810,1.0,342.0,0,mistral-small4,cot,272,807.2
113,8,8,15.1,51.5,824,1.0,346.0,0,mistral-small4,cot,272,208.2
114,8,8,14.3,52.6,841,1.0,350.0,0,mistral-small4,cot,272,210.2
115,8,8,13.6,48.9,783,1.0,354.0,0,mistral-small4,cot,272,1618.0
116,8,8,13.9,49.1,785,1.0,358.0,0,mistral-small4,cot,272,1676.0
117,8,8,12.2,46.0,736,1.0,362.0,0,mistral-small4,cot,272,309.4
118,8,8,13.2,48.2,772,1.0,366.0,0,mistral-small4,cot,272,239.5
119,8,8,13.6,45.0,720,1.0,370.0,0,mistral-small4,cot,272,260.0
120,8,8,14.9,54.2,868,1.0,374.0,0,mistral-small4,cot,272,314.9
121,8,8,18.0,61.5,984,1.0,378.0,0,mistral-small4,cot,272,273.2
122,8,8,16.9,56.0,896,1.0,382.0,0,mistral-small4,cot,272,1653.4
123,8,8,15.7,53.8,861,1.0,386.0,0,mistral-small4,cot,272,238.7
124,8,8,15.5,54.0,864,1.0,390.0,0,mistral-small4,cot,272,239.3
125,8,8,16.5,58.6,938,1.0,394.0,0,mistral-small4,cot,272,343.4
126,8,8,19.7,62.3,997,1.0,398.0,0,mistral-small4,cot,272,251.9
127,8,8,14.7,53.1,849,1.0,402.0,0,mistral-small4,cot,272,799.8
128,8,8,14.2,49.9,798,1.0,406.0,0,mistral-small4,cot,272,291.1
129,8,8,13.1,46.7,747,1.0,410.0,0,mistral-small4,cot,272,252.7
130,8,8,15.0,53.9,863,1.0,414.0,0,mistral-small4,cot,272,236.2
131,8,8,19.0,59.2,948,1.0,418.0,0,mistral-small4,cot,272,736.7
132,8,8,21.8,63.0,1008,1.0,422.0,0,mistral-small4,cot,273,242.3
133,8,8,19.8,63.9,1023,1.0,426.0,0,mistral-small4,cot,273,760.5
134,8,8,26.6,71.6,1145,1.0,430.0,0,mistral-small4,cot,273,654.0
135,8,8,24.5,70.1,1121,1.0,434.0,0,mistral-small4,cot,273,226.0
136,8,8,42.7,80.8,1293,1.0,438.0,0,mistral-small4,cot,273,241.5
137,8,8,44.8,80.4,1287,1.0,442.0,0,mistral-small4,cot,273,213.6
138,8,8,62.2,86.1,1377,1.0,446.0,0,mistral-small4,cot,273,758.3
139,12,8,91.7,91.2,1459,1.0,450.0,1,mistral-small4,cot,274,421.3
140,12,12,29.9,70.7,1696,1.0,456.0,0,mistral-small4,cot,276,724.1
141,12,12,26.9,71.7,1720,1.0,462.0,0,mistral-small4,cot,276,255.8
142,12,12,40.8,79.3,1904,1.0,468.0,0,mistral-small4,cot,276,475.4
143,14,12,131.7,95.1,2283,1.0,474.0,1,mistral-small4,cot,277,248.5
144,16,14,145.2,95.3,2668,1.0,481.0,1,mistral-small4,cot,277,216.9
145,16,16,84.2,90.1,2882,1.0,489.0,0,mistral-small4,cot,276,660.3
146,20,16,237.3,100.0,3211,0.9983,497.0,1,mistral-small4,cot,281,666.9
147,20,20,63.6,86.5,3461,1.0,507.0,0,mistral-small4,cot,276,243.9
148,20,20,83.1,90.2,3607,1.0,517.0,0,mistral-small4,cot,276,674.8
149,20,20,98.3,91.5,3659,1.0,527.0,0,mistral-small4,cot,276,302.2
150,20,20,146.7,95.6,3823,1.0,537.0,0,mistral-small4,cot,277,250.3
151,20,20,156.4,96.7,3866,1.0,547.0,0,mistral-small4,cot,277,243.8
152,20,20,133.6,94.4,3775,1.0,557.0,0,mistral-small4,cot,277,220.1
153,20,20,78.3,88.8,3550,1.0,567.0,0,mistral-small4,cot,276,1572.0
154,20,20,50.2,84.3,3373,1.0,577.0,0,mistral-small4,cot,276,243.1
155,20,20,45.4,81.7,3268,1.0,587.0,0,mistral-small4,cot,276,285.9
156,20,20,37.7,77.8,3112,1.0,597.0,0,mistral-small4,cot,276,215.2
157,20,20,32.3,73.9,2955,1.0,607.0,0,mistral-small4,cot,276,249.9
158,20,20,29.1,72.0,2880,1.0,617.0,0,mistral-small4,cot,276,244.7
159,20,20,27.0,69.7,2786,1.0,627.0,0,mistral-small4,cot,276,350.1
160,20,20,22.6,66.6,2666,1.0,637.0,0,mistral-small4,cot,276,258.1
161,20,20,19.5,62.4,2494,1.0,647.0,0,mistral-small4,cot,276,710.3
162,20,20,17.2,59.4,2375,1.0,657.0,0,mistral-small4,cot,276,256.4
163,20,20,16.8,56.8,2270,1.0,667.0,0,mistral-small4,cot,276,223.5
164,20,20,15.0,53.7,2148,1.0,677.0,0,mistral-small4,cot,276,1552.4
165,20,20,15.3,51.3,2053,1.0,687.0,0,mistral-small4,cot,276,1490.4
166,20,20,13.1,46.3,1852,1.0,697.0,0,mistral-small4,cot,276,291.4
167,20,20,12.8,42.4,1696,1.0,707.0,0,mistral-small4,cot,276,243.3
168,20,20,11.1,40.7,1628,1.0,717.0,0,mistral-small4,cot,276,656.5
169,20,20,12.4,40.3,1612,1.0,727.0,0,mistral-small4,cot,276,247.4
170,20,20,11.8,40.6,1622,1.0,737.0,0,mistral-small4,cot,276,748.6
171,15,15,10.7,37.6,1504,1.0,747.0,1,mistral-small4,cot,276,290.4
172,15,15,12.4,42.9,1287,1.0,754.5,0,mistral-small4,cot,276,256.7
173,15,15,11.6,40.7,1220,1.0,762.0,0,mistral-small4,cot,276,263.7
174,15,15,11.4,37.7,1131,1.0,769.5,0,mistral-small4,cot,276,260.2
175,15,15,10.4,36.1,1083,1.0,777.0,0,mistral-small4,cot,276,813.1
176,15,15,10.5,35.0,1051,1.0,784.5,0,mistral-small4,cot,276,222.4
177,15,15,10.4,31.8,953,1.0,792.0,0,mistral-small4,cot,275,261.2
178,15,15,9.6,30.0,899,1.0,799.5,0,mistral-small4,cot,274,729.5
179,15,15,10.2,30.7,920,1.0,807.0,0,mistral-small4,cot,275,313.9
180,15,15,10.5,33.9,1018,1.0,814.5,0,mistral-small4,cot,276,246.5
181,15,15,10.5,33.0,991,1.0,822.0,0,mistral-small4,cot,275,256.6
182,15,15,10.5,32.0,960,1.0,829.5,0,mistral-small4,cot,275,233.4
183,15,15,10.2,30.1,902,1.0,837.0,0,mistral-small4,cot,275,259.7
184,15,15,9.5,30.5,916,1.0,844.5,0,mistral-small4,cot,274,268.3
185,15,15,9.7,30.5,915,1.0,852.0,0,mistral-small4,cot,274,247.3
186,15,15,9.3,27.2,816,1.0,859.5,0,mistral-small4,cot,274,304.9
187,15,15,9.5,23.3,700,1.0,867.0,0,mistral-small4,cot,274,258.7
188,15,15,8.8,22.8,684,1.0,874.5,0,mistral-small4,cot,274,241.8
189,15,15,8.8,22.8,684,1.0,882.0,0,mistral-small4,cot,274,675.7
