step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,4,3,106.0,91.8,551,1.0,1.5,1,mistral-small4,history_5,213,313.6
1,3,3,20.5,65.0,520,1.0,3.5,1,mistral-small4,history_5,249,237.8
2,4,3,54.7,83.2,499,1.0,5.0,1,mistral-small4,history_5,285,211.7
3,3,3,21.0,64.1,513,1.0,7.0,1,mistral-small4,history_5,321,241.4
4,4,3,66.3,86.5,519,1.0,8.5,1,mistral-small4,history_5,357,238.0
5,4,4,31.3,71.4,571,1.0,10.5,0,mistral-small4,history_5,393,211.9
6,8,4,243.8,99.4,795,1.0,12.5,1,mistral-small4,history_5,393,288.6
7,10,8,17.3,58.3,933,1.0,16.5,1,mistral-small4,history_5,394,256.9
8,10,10,12.9,45.6,913,1.0,21.5,0,mistral-small4,history_5,396,246.7
9,8,8,10.8,42.4,848,1.0,26.5,1,mistral-small4,history_5,396,246.2
10,8,8,15.5,55.6,890,1.0,30.5,0,mistral-small4,history_5,395,218.2
11,8,8,15.7,55.6,889,1.0,34.5,0,mistral-small4,history_5,395,239.9
12,8,8,12.6,48.0,768,1.0,38.5,0,mistral-small4,history_5,394,246.2
13,8,8,14.3,48.9,782,1.0,42.5,0,mistral-small4,history_5,394,698.4
14,8,8,14.0,48.4,774,1.0,46.5,0,mistral-small4,history_5,393,300.0
15,8,8,14.4,49.4,790,1.0,50.5,0,mistral-small4,history_5,392,214.3
16,8,8,15.0,50.0,800,1.0,54.5,0,mistral-small4,history_5,392,219.6
17,10,8,15.1,56.0,896,1.0,58.5,1,mistral-small4,history_5,393,216.2
18,10,10,12.4,45.9,917,1.0,63.5,0,mistral-small4,history_5,395,240.5
19,10,10,12.9,46.7,933,1.0,68.5,0,mistral-small4,history_5,396,213.2
20,10,10,12.9,44.7,894,1.0,73.5,0,mistral-small4,history_5,397,661.0
21,8,8,13.5,44.2,885,1.0,78.5,1,mistral-small4,history_5,397,671.6
22,8,8,14.6,51.1,818,1.0,82.5,0,mistral-small4,history_5,396,287.8
23,8,8,12.1,49.6,793,1.0,86.5,0,mistral-small4,history_5,396,255.3
24,8,8,14.6,49.3,789,1.0,90.5,0,mistral-small4,history_5,395,250.5
25,8,8,14.6,50.6,809,1.0,94.5,0,mistral-small4,history_5,394,207.6
26,8,8,15.3,50.5,808,1.0,98.5,0,mistral-small4,history_5,393,736.1
27,8,8,16.3,53.8,860,1.0,102.5,0,mistral-small4,history_5,392,244.9
28,8,8,13.6,46.9,750,1.0,106.5,0,mistral-small4,history_5,392,735.8
29,8,8,13.7,46.9,751,1.0,110.5,0,mistral-small4,history_5,392,246.8
30,8,8,15.8,51.4,823,1.0,114.5,0,mistral-small4,history_5,392,316.5
31,8,8,13.6,49.5,792,1.0,118.5,0,mistral-small4,history_5,392,242.3
32,6,6,11.8,42.6,681,1.0,122.5,1,mistral-small4,history_5,392,244.7
