step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,98.9,91.8,551,1.0,1.5,0,ppo,rl,0,0
1,7,7,10.9,37.1,520,1.0,5.0,1,ppo,rl,0,0
2,6,6,11.8,41.6,499,1.0,8.0,1,ppo,rl,0,0
3,6,6,12.1,42.8,513,1.0,11.0,0,ppo,rl,0,0
4,6,6,12.2,43.2,519,1.0,14.0,0,ppo,rl,0,0
5,6,6,13.3,47.6,571,1.0,17.0,0,ppo,rl,0,0
6,6,6,22.9,66.2,795,1.0,20.0,0,ppo,rl,0,0
7,7,7,23.2,66.6,933,1.0,23.5,1,ppo,rl,0,0
8,7,7,22.1,65.2,913,1.0,27.0,0,ppo,rl,0,0
9,7,7,18.9,60.6,848,1.0,30.5,0,ppo,rl,0,0
10,7,7,20.8,63.6,890,1.0,34.0,0,ppo,rl,0,0
11,7,7,20.8,63.5,889,1.0,37.5,0,ppo,rl,0,0
12,6,6,21.1,64.0,768,1.0,40.5,1,ppo,rl,0,0
13,6,6,22.0,65.2,782,1.0,43.5,0,ppo,rl,0,0
14,7,7,16.1,55.3,774,1.0,47.0,1,ppo,rl,0,0
15,6,6,22.6,65.8,790,1.0,50.0,1,ppo,rl,0,0
16,6,6,23.3,66.7,800,1.0,53.0,0,ppo,rl,0,0
17,7,7,21.1,64.0,896,1.0,56.5,1,ppo,rl,0,0
18,7,7,22.3,65.5,917,1.0,60.0,0,ppo,rl,0,0
19,7,7,23.2,66.6,933,1.0,63.5,0,ppo,rl,0,0
20,7,7,21.0,63.9,894,1.0,67.0,0,ppo,rl,0,0
21,7,7,20.6,63.2,885,1.0,70.5,0,ppo,rl,0,0
22,7,7,17.6,58.4,818,1.0,74.0,0,ppo,rl,0,0
23,6,6,22.8,66.1,793,1.0,77.0,1,ppo,rl,0,0
24,6,6,22.5,65.8,789,1.0,80.0,0,ppo,rl,0,0
25,7,7,17.3,57.8,809,1.0,83.5,1,ppo,rl,0,0
26,6,6,23.9,67.3,808,1.0,86.5,1,ppo,rl,0,0
27,6,6,28.5,71.7,860,1.0,89.5,0,ppo,rl,0,0
28,7,7,15.4,53.6,750,1.0,93.0,1,ppo,rl,0,0
