step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,5242.0,100,1437,0.5,1.5,0,ppo,rl,0,0
1,12,12,21.1,64.0,1535,1.0,7.5,1,ppo,rl,0,0
2,7,7,31.1,73.6,1031,1.0,11.0,1,ppo,rl,0,0
3,7,7,37.9,77.7,1088,1.0,14.5,0,ppo,rl,0,0
4,7,7,65.5,86.7,1214,1.0,18.0,0,ppo,rl,0,0
5,12,12,8.4,12.3,295,1.0,24.0,1,ppo,rl,0,0
6,10,10,32.6,74.7,1494,1.0,29.0,1,ppo,rl,0,0
7,8,8,32.5,74.6,1194,1.0,33.0,1,ppo,rl,0,0
8,8,8,171.1,97.0,1552,1.0,37.0,0,ppo,rl,0,0
9,12,12,34.3,75.8,1818,1.0,43.0,1,ppo,rl,0,0
10,6,6,12.6,44.9,539,1.0,46.0,1,ppo,rl,0,0
11,6,6,1260.7,100,1830,0.7375,49.0,0,ppo,rl,0,0
12,12,12,221.3,98.9,2374,1.0,55.0,1,ppo,rl,0,0
13,10,10,41.7,79.5,1590,1.0,60.0,1,ppo,rl,0,0
14,8,8,28.1,71.4,1142,1.0,64.0,1,ppo,rl,0,0
15,8,8,44.2,80.6,1289,1.0,68.0,0,ppo,rl,0,0
16,8,8,93.4,91.2,1459,1.0,72.0,0,ppo,rl,0,0
17,12,12,12.4,44.0,1056,1.0,78.0,1,ppo,rl,0,0
18,12,12,26.2,69.8,1674,1.0,84.0,0,ppo,rl,0,0
19,7,7,34.4,75.8,1061,1.0,87.5,1,ppo,rl,0,0
20,7,7,194.7,98.0,1372,1.0,91.0,0,ppo,rl,0,0
21,12,12,23.6,67.0,1609,1.0,97.0,1,ppo,rl,0,0
22,8,8,36.4,76.9,1231,1.0,101.0,1,ppo,rl,0,0
23,8,8,51.5,83.1,1330,1.0,105.0,0,ppo,rl,0,0
24,8,8,31.6,74.0,1184,1.0,109.0,0,ppo,rl,0,0
25,9,9,16.9,56.9,1024,1.0,113.5,1,ppo,rl,0,0
26,9,9,34.9,76.1,1370,1.0,118.0,0,ppo,rl,0,0
27,9,9,330.1,100,1941,0.9608,122.5,0,ppo,rl,0,0
28,12,12,11.1,38.2,917,1.0,128.5,1,ppo,rl,0,0
29,10,10,33.9,75.5,1510,1.0,133.5,1,ppo,rl,0,0
30,10,10,38.7,78.1,1563,1.0,138.5,0,ppo,rl,0,0
31,12,12,25.9,69.5,1667,1.0,144.5,1,ppo,rl,0,0
32,9,9,29.7,72.6,1307,1.0,149.0,1,ppo,rl,0,0
33,9,9,47.6,81.8,1473,1.0,153.5,0,ppo,rl,0,0
34,12,12,33.3,75.1,1803,1.0,159.5,1,ppo,rl,0,0
35,12,12,34.6,75.9,1822,1.0,165.5,0,ppo,rl,0,0
36,12,12,46.1,81.3,1951,1.0,171.5,0,ppo,rl,0,0
37,8,8,32.7,74.8,1196,1.0,175.5,1,ppo,rl,0,0
38,8,8,46.5,81.4,1303,1.0,179.5,0,ppo,rl,0,0
39,12,12,26.9,70.4,1689,1.0,185.5,1,ppo,rl,0,0
