step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,4,3,97.2,91.8,551,1.0,1.5,1,qwen3-80b,cot,267,877.4
1,4,4,20.1,65.0,520,1.0,3.5,0,qwen3-80b,cot,267,762.6
2,4,4,19.6,62.4,499,1.0,5.5,0,qwen3-80b,cot,267,508.5
3,4,4,21.8,64.1,513,1.0,7.5,0,qwen3-80b,cot,267,461.6
4,4,4,21.7,64.9,519,1.0,9.5,0,qwen3-80b,cot,267,959.9
5,4,4,27.9,71.4,571,1.0,11.5,0,qwen3-80b,cot,267,512.2
6,5,4,228.9,99.4,795,1.0,13.5,1,qwen3-80b,cot,268,487.4
7,6,5,120.3,93.3,933,1.0,16.0,1,qwen3-80b,cot,268,476.3
8,6,6,32.0,76.1,913,1.0,19.0,0,qwen3-80b,cot,267,1711.0
9,6,6,25.6,70.7,848,1.0,22.0,0,qwen3-80b,cot,267,659.6
10,6,6,32.8,74.2,890,1.0,25.0,0,qwen3-80b,cot,267,478.4
11,6,6,32.1,74.1,889,1.0,28.0,0,qwen3-80b,cot,267,670.0
12,6,6,22.2,64.0,768,1.0,31.0,0,qwen3-80b,cot,267,469.0
13,6,6,21.1,65.2,782,1.0,34.0,0,qwen3-80b,cot,267,493.5
14,6,6,23.1,64.5,774,1.0,37.0,0,qwen3-80b,cot,267,749.2
15,6,6,23.0,65.8,790,1.0,40.0,0,qwen3-80b,cot,267,1688.7
16,6,6,25.1,66.7,800,1.0,43.0,0,qwen3-80b,cot,267,921.2
17,6,6,32.2,74.7,896,1.0,46.0,0,qwen3-80b,cot,267,485.2
18,6,6,36.3,76.4,917,1.0,49.0,0,qwen3-80b,cot,267,473.3
19,6,6,37.8,77.8,933,1.0,52.0,0,qwen3-80b,cot,264,471.3
20,6,6,30.3,74.5,894,1.0,55.0,0,qwen3-80b,cot,267,646.0
21,6,6,31.1,73.8,885,1.0,58.0,0,qwen3-80b,cot,264,1758.3
22,6,6,23.3,68.2,818,1.0,61.0,0,qwen3-80b,cot,267,480.4
23,6,6,22.0,66.1,793,1.0,64.0,0,qwen3-80b,cot,267,541.1
24,6,6,22.5,65.8,789,1.0,67.0,0,qwen3-80b,cot,267,2333.3
25,6,6,24.1,67.4,809,1.0,70.0,0,qwen3-80b,cot,267,449.7
26,6,6,24.7,67.3,808,1.0,73.0,0,qwen3-80b,cot,267,485.0
27,6,6,28.8,71.7,860,1.0,76.0,0,qwen3-80b,cot,267,1152.8
28,6,6,19.4,62.5,750,1.0,79.0,0,qwen3-80b,cot,267,479.9
29,6,6,21.1,62.6,751,1.0,82.0,0,qwen3-80b,cot,267,450.3
30,6,6,24.6,68.6,823,1.0,85.0,0,qwen3-80b,cot,267,516.7
31,6,6,21.7,66.0,792,1.0,88.0,0,qwen3-80b,cot,267,490.1
32,6,6,16.3,56.8,681,1.0,91.0,0,qwen3-80b,cot,267,708.1
33,6,6,18.0,56.5,678,1.0,94.0,0,qwen3-80b,cot,267,465.9
34,6,6,15.0,53.2,638,1.0,97.0,0,qwen3-80b,cot,267,640.2
35,6,6,13.6,50.7,608,1.0,100.0,0,qwen3-80b,cot,267,669.4
36,6,6,13.1,47.6,571,1.0,103.0,0,qwen3-80b,cot,267,482.2
37,6,6,15.1,52.4,629,1.0,106.0,0,qwen3-80b,cot,267,820.0
38,6,6,15.1,51.2,614,1.0,109.0,0,qwen3-80b,cot,267,466.4
39,6,6,14.5,51.2,615,1.0,112.0,0,qwen3-80b,cot,267,2390.9
40,6,6,16.9,56.5,678,1.0,115.0,0,qwen3-80b,cot,267,512.4
41,6,6,22.0,67.4,809,1.0,118.0,0,qwen3-80b,cot,267,544.3
42,6,6,19.5,60.3,724,1.0,121.0,0,qwen3-80b,cot,267,474.9
43,6,6,20.6,63.0,756,1.0,124.0,0,qwen3-80b,cot,267,443.6
44,6,6,18.8,61.0,732,1.0,127.0,0,qwen3-80b,cot,267,499.8
45,6,6,18.9,61.5,738,1.0,130.0,0,qwen3-80b,cot,267,478.2
46,6,6,17.1,58.1,697,1.0,133.0,0,qwen3-80b,cot,267,1928.0
47,6,6,20.9,61.0,732,1.0,136.0,0,qwen3-80b,cot,267,515.4
48,6,6,26.7,67.9,815,1.0,139.0,0,qwen3-80b,cot,267,476.1
49,6,6,25.4,68.2,819,1.0,142.0,0,qwen3-80b,cot,267,990.3
50,6,6,25.9,69.7,836,1.0,145.0,0,qwen3-80b,cot,267,604.2
51,6,6,24.6,68.5,822,1.0,148.0,0,qwen3-80b,cot,267,517.8
52,6,6,17.6,58.9,707,1.0,151.0,0,qwen3-80b,cot,267,528.0
53,6,6,17.7,56.1,673,1.0,154.0,0,qwen3-80b,cot,267,472.8
54,6,6,13.4,52.8,633,1.0,157.0,0,qwen3-80b,cot,267,524.4
55,6,6,15.8,53.3,640,1.0,160.0,0,qwen3-80b,cot,267,813.7
56,6,6,15.0,51.9,623,1.0,163.0,0,qwen3-80b,cot,267,494.6
57,6,6,18.9,58.2,698,1.0,166.0,0,qwen3-80b,cot,267,681.8
58,6,6,14.2,49.2,590,1.0,169.0,0,qwen3-80b,cot,267,519.3
59,6,6,13.4,50.3,604,1.0,172.0,0,qwen3-80b,cot,267,496.7
60,6,6,18.1,58.7,704,1.0,175.0,0,qwen3-80b,cot,267,1254.6
61,6,6,18.0,59.9,719,1.0,178.0,0,qwen3-80b,cot,267,479.4
62,6,6,19.8,62.1,745,1.0,181.0,0,qwen3-80b,cot,267,473.2
63,6,6,24.0,66.2,795,1.0,184.0,0,qwen3-80b,cot,267,517.1
64,6,6,22.8,66.1,793,1.0,187.0,0,qwen3-80b,cot,267,489.1
65,6,6,19.3,61.2,734,1.0,190.0,0,qwen3-80b,cot,267,462.1
66,6,6,18.3,59.3,712,1.0,193.0,0,qwen3-80b,cot,267,58766.5
67,6,6,17.8,58.5,702,1.0,196.0,0,qwen3-80b,cot,267,709.4
