step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,4,3,94.7,91.8,551,1.0,1.5,1,qwen3-80b,history_5,205,873.6
1,3,3,22.6,65.0,520,1.0,3.5,1,qwen3-80b,history_5,241,1906.2
2,4,3,55.0,83.2,499,1.0,5.0,1,qwen3-80b,history_5,277,580.9
3,3,3,20.3,64.1,513,1.0,7.0,1,qwen3-80b,history_5,313,442.8
4,4,3,66.0,86.5,519,1.0,8.5,1,qwen3-80b,history_5,349,1570.1
5,3,3,29.7,71.4,571,1.0,10.5,1,qwen3-80b,history_5,385,537.5
6,6,3,709.1,100.0,795,0.8375,12.0,1,qwen3-80b,history_5,390,699.4
7,5,5,37.3,77.8,933,1.0,15.0,1,qwen3-80b,history_5,390,480.3
8,6,5,92.2,91.3,913,1.0,17.5,1,qwen3-80b,history_5,390,443.6
9,5,5,29.6,70.7,848,1.0,20.5,1,qwen3-80b,history_5,390,440.1
10,6,5,77.5,89.0,890,1.0,23.0,1,qwen3-80b,history_5,390,547.7
11,5,5,31.6,74.1,889,1.0,26.0,1,qwen3-80b,history_5,390,445.7
12,5,5,38.3,76.8,768,1.0,28.5,0,qwen3-80b,history_5,385,427.6
13,5,5,42.0,78.2,782,1.0,31.0,0,qwen3-80b,history_5,385,1585.5
14,6,5,37.9,77.4,774,1.0,33.5,1,qwen3-80b,history_5,385,444.1
15,5,5,23.3,65.8,790,1.0,36.5,1,qwen3-80b,history_5,385,1963.7
16,6,5,44.6,80.0,800,1.0,39.0,1,qwen3-80b,history_5,385,462.9
17,5,5,30.8,74.7,896,1.0,42.0,1,qwen3-80b,history_5,385,471.9
18,6,5,95.6,91.7,917,1.0,44.5,1,qwen3-80b,history_5,385,999.5
19,6,6,34.1,77.8,933,1.0,47.5,0,qwen3-80b,history_5,385,525.5
20,6,6,34.1,74.5,894,1.0,50.5,0,qwen3-80b,history_5,385,420.3
21,5,5,31.5,73.8,885,1.0,53.5,1,qwen3-80b,history_5,385,425.1
22,6,5,46.6,81.8,818,1.0,56.0,1,qwen3-80b,history_5,385,427.1
23,5,5,23.7,66.1,793,1.0,59.0,1,qwen3-80b,history_5,385,605.4
24,6,5,40.7,78.9,789,1.0,61.5,1,qwen3-80b,history_5,385,965.2
25,5,5,22.6,67.4,809,1.0,64.5,1,qwen3-80b,history_5,385,444.5
26,6,5,43.0,80.8,808,1.0,67.0,1,qwen3-80b,history_5,385,848.6
27,5,5,27.7,71.7,860,1.0,70.0,1,qwen3-80b,history_5,385,545.8
28,6,5,34.3,75.0,750,1.0,72.5,1,qwen3-80b,history_5,385,457.2
29,5,5,19.4,62.6,751,1.0,75.5,1,qwen3-80b,history_5,385,439.0
30,6,5,48.8,82.3,823,1.0,78.0,1,qwen3-80b,history_5,385,424.9
31,5,5,23.7,66.0,792,1.0,81.0,1,qwen3-80b,history_5,385,421.3
32,5,5,25.1,68.1,681,1.0,83.5,0,qwen3-80b,history_5,385,437.4
33,5,5,26.8,67.8,678,1.0,86.0,0,qwen3-80b,history_5,385,610.8
34,5,5,23.2,63.8,638,1.0,88.5,0,qwen3-80b,history_5,385,544.8
35,5,5,19.9,60.8,608,1.0,91.0,0,qwen3-80b,history_5,385,624.5
36,5,5,18.6,57.1,571,1.0,93.5,0,qwen3-80b,history_5,385,430.2
37,5,5,20.2,62.9,629,1.0,96.0,0,qwen3-80b,history_5,385,417.3
38,5,5,18.9,61.4,614,1.0,98.5,0,qwen3-80b,history_5,385,490.9
39,5,5,21.0,61.5,615,1.0,101.0,0,qwen3-80b,history_5,385,432.1
40,6,5,24.9,67.8,678,1.0,103.5,1,qwen3-80b,history_5,385,468.5
41,7,6,22.8,67.4,809,1.0,106.5,1,qwen3-80b,history_5,385,513.0
42,6,6,15.3,51.7,724,1.0,110.0,1,qwen3-80b,history_5,385,455.5
43,6,6,20.3,63.0,756,1.0,113.0,0,qwen3-80b,history_5,385,466.7
44,6,6,19.1,61.0,732,1.0,116.0,0,qwen3-80b,history_5,385,780.5
45,6,6,20.8,61.5,738,1.0,119.0,0,qwen3-80b,history_5,385,425.8
46,6,6,17.3,58.1,697,1.0,122.0,0,qwen3-80b,history_5,385,430.7
47,6,6,19.6,61.0,732,1.0,125.0,0,qwen3-80b,history_5,385,469.7
48,6,6,25.0,67.9,815,1.0,128.0,0,qwen3-80b,history_5,385,432.9
49,7,6,23.7,68.2,819,1.0,131.0,1,qwen3-80b,history_5,385,496.4
50,6,6,18.9,59.7,836,1.0,134.5,1,qwen3-80b,history_5,385,529.2
51,7,6,24.0,68.5,822,1.0,137.5,1,qwen3-80b,history_5,385,602.2
52,6,6,13.5,50.5,707,1.0,141.0,1,qwen3-80b,history_5,385,468.0
53,6,6,15.5,56.1,673,1.0,144.0,0,qwen3-80b,history_5,385,439.8
54,5,5,14.9,52.8,633,1.0,147.0,1,qwen3-80b,history_5,385,435.1
55,6,5,22.8,64.0,640,1.0,149.5,1,qwen3-80b,history_5,385,751.5
56,5,5,16.6,51.9,623,1.0,152.5,1,qwen3-80b,history_5,385,488.1
57,6,5,25.8,69.8,698,1.0,155.0,1,qwen3-80b,history_5,385,470.4
