step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,4,3,99.0,91.8,551,1.0,1.5,1,qwen3-80b,zero_shot,197,871.7
1,4,4,22.0,65.0,520,1.0,3.5,0,qwen3-80b,zero_shot,197,2243.7
2,4,4,21.1,62.4,499,1.0,5.5,0,qwen3-80b,zero_shot,197,5485.4
3,4,4,21.9,64.1,513,1.0,7.5,0,qwen3-80b,zero_shot,197,705.4
4,4,4,20.7,64.9,519,1.0,9.5,0,qwen3-80b,zero_shot,197,441.9
5,4,4,25.1,71.4,571,1.0,11.5,0,qwen3-80b,zero_shot,197,544.6
6,5,4,244.4,99.4,795,1.0,13.5,1,qwen3-80b,zero_shot,198,643.2
7,6,5,112.7,93.3,933,1.0,16.0,1,qwen3-80b,zero_shot,198,486.5
8,6,6,35.1,76.1,913,1.0,19.0,0,qwen3-80b,zero_shot,197,678.6
9,6,6,26.6,70.7,848,1.0,22.0,0,qwen3-80b,zero_shot,197,553.8
10,5,5,34.5,74.2,890,1.0,25.0,1,qwen3-80b,zero_shot,197,602.2
11,5,5,71.7,88.9,889,1.0,27.5,0,qwen3-80b,zero_shot,197,64843.2
12,5,5,34.5,76.8,768,1.0,30.0,0,qwen3-80b,zero_shot,197,508.2
13,5,5,36.5,78.2,782,1.0,32.5,0,qwen3-80b,zero_shot,197,567.1
14,5,5,38.4,77.4,774,1.0,35.0,0,qwen3-80b,zero_shot,197,498.7
15,5,5,37.8,79.0,790,1.0,37.5,0,qwen3-80b,zero_shot,197,766.2
16,5,5,44.2,80.0,800,1.0,40.0,0,qwen3-80b,zero_shot,197,986.8
17,6,5,86.9,89.6,896,1.0,42.5,1,qwen3-80b,zero_shot,197,1910.2
18,6,6,34.3,76.4,917,1.0,45.5,0,qwen3-80b,zero_shot,197,452.0
19,6,6,35.4,77.8,933,1.0,48.5,0,qwen3-80b,zero_shot,197,649.3
20,6,6,29.2,74.5,894,1.0,51.5,0,qwen3-80b,zero_shot,197,525.5
21,5,5,34.2,73.8,885,1.0,54.5,1,qwen3-80b,zero_shot,197,582.1
22,5,5,46.7,81.8,818,1.0,57.0,0,qwen3-80b,zero_shot,197,776.6
23,5,5,41.5,79.3,793,1.0,59.5,0,qwen3-80b,zero_shot,197,467.1
24,4,4,41.0,78.9,789,1.0,62.0,1,qwen3-80b,zero_shot,197,459.4
25,5,4,280.5,100.0,809,0.9944,64.0,1,qwen3-80b,zero_shot,202,610.0
26,5,5,42.9,80.8,808,1.0,66.5,0,qwen3-80b,zero_shot,197,475.1
27,5,5,66.1,86.0,860,1.0,69.0,0,qwen3-80b,zero_shot,197,478.5
28,5,5,35.4,75.0,750,1.0,71.5,0,qwen3-80b,zero_shot,197,468.9
29,5,5,33.7,75.1,751,1.0,74.0,0,qwen3-80b,zero_shot,197,598.2
30,5,5,43.6,82.3,823,1.0,76.5,0,qwen3-80b,zero_shot,197,462.5
31,5,5,40.5,79.2,792,1.0,79.0,0,qwen3-80b,zero_shot,197,473.2
32,5,5,23.8,68.1,681,1.0,81.5,0,qwen3-80b,zero_shot,197,2357.3
33,5,5,24.7,67.8,678,1.0,84.0,0,qwen3-80b,zero_shot,197,439.5
34,5,5,21.1,63.8,638,1.0,86.5,0,qwen3-80b,zero_shot,197,502.5
35,5,5,19.1,60.8,608,1.0,89.0,0,qwen3-80b,zero_shot,197,444.6
36,5,5,17.4,57.1,571,1.0,91.5,0,qwen3-80b,zero_shot,197,1134.8
37,5,5,19.3,62.9,629,1.0,94.0,0,qwen3-80b,zero_shot,197,482.4
38,5,5,19.2,61.4,614,1.0,96.5,0,qwen3-80b,zero_shot,197,461.8
39,5,5,19.2,61.5,615,1.0,99.0,0,qwen3-80b,zero_shot,197,618.9
40,5,5,24.8,67.8,678,1.0,101.5,0,qwen3-80b,zero_shot,197,475.1
41,5,5,43.9,80.9,809,1.0,104.0,0,qwen3-80b,zero_shot,197,504.9
42,4,4,25.5,72.4,724,1.0,106.5,1,qwen3-80b,zero_shot,197,2271.0
43,5,4,119.7,94.5,756,1.0,108.5,1,qwen3-80b,zero_shot,198,796.8
44,5,5,32.8,73.2,732,1.0,111.0,0,qwen3-80b,zero_shot,197,450.8
45,5,5,31.3,73.8,738,1.0,113.5,0,qwen3-80b,zero_shot,197,621.8
46,5,5,25.9,69.7,697,1.0,116.0,0,qwen3-80b,zero_shot,197,606.0
47,5,5,28.3,73.2,732,1.0,118.5,0,qwen3-80b,zero_shot,197,506.3
48,5,5,44.9,81.5,815,1.0,121.0,0,qwen3-80b,zero_shot,197,751.8
49,5,5,45.8,81.9,819,1.0,123.5,0,qwen3-80b,zero_shot,197,460.3
50,5,5,50.1,83.6,836,1.0,126.0,0,qwen3-80b,zero_shot,197,1136.9
51,5,5,46.6,82.2,822,1.0,128.5,0,qwen3-80b,zero_shot,197,1573.6
52,5,5,27.5,70.7,707,1.0,131.0,0,qwen3-80b,zero_shot,197,458.0
53,5,5,22.2,67.3,673,1.0,133.5,0,qwen3-80b,zero_shot,197,567.2
54,5,5,20.3,63.3,633,1.0,136.0,0,qwen3-80b,zero_shot,197,549.0
55,5,5,19.9,64.0,640,1.0,138.5,0,qwen3-80b,zero_shot,197,582.8
56,5,5,21.0,62.3,623,1.0,141.0,0,qwen3-80b,zero_shot,197,637.0
57,5,5,26.4,69.8,698,1.0,143.5,0,qwen3-80b,zero_shot,197,2227.9
58,5,5,17.5,59.0,590,1.0,146.0,0,qwen3-80b,zero_shot,197,652.1
59,5,5,21.3,60.4,604,1.0,148.5,0,qwen3-80b,zero_shot,197,576.5
60,5,5,26.6,70.4,704,1.0,151.0,0,qwen3-80b,zero_shot,197,7795.6
61,4,4,27.9,71.9,719,1.0,153.5,1,qwen3-80b,zero_shot,197,560.3
62,5,4,115.9,93.1,745,1.0,155.5,1,qwen3-80b,zero_shot,198,622.3
63,5,5,40.1,79.5,795,1.0,158.0,0,qwen3-80b,zero_shot,197,481.2
64,5,5,43.2,79.3,793,1.0,160.5,0,qwen3-80b,zero_shot,197,469.8
65,5,5,30.8,73.4,734,1.0,163.0,0,qwen3-80b,zero_shot,197,460.0
66,4,4,30.4,71.2,712,1.0,165.5,1,qwen3-80b,zero_shot,197,1017.2
67,5,4,66.1,87.8,702,1.0,167.5,1,qwen3-80b,zero_shot,197,936.3
68,5,5,28.0,73.0,730,1.0,170.0,0,qwen3-80b,zero_shot,197,456.8
69,5,5,19.4,62.5,625,1.0,172.5,0,qwen3-80b,zero_shot,197,532.2
70,5,5,27.3,69.5,695,1.0,175.0,0,qwen3-80b,zero_shot,197,603.3
71,5,5,18.7,61.8,618,1.0,177.5,0,qwen3-80b,zero_shot,197,1610.2
72,5,5,16.5,55.6,556,1.0,180.0,0,qwen3-80b,zero_shot,197,2179.9
73,5,5,18.4,58.9,589,1.0,182.5,0,qwen3-80b,zero_shot,197,487.2
74,5,5,15.2,52.3,523,1.0,185.0,0,qwen3-80b,zero_shot,197,2473.0
