step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,66.7,42.9,551,1.0,0.75,0,gpt-oss-120b,domain,511,722.7
1,3,3,62.8,40.4,520,1.0,1.5,0,gpt-oss-120b,domain,505,283.3
2,3,3,56.6,38.8,499,1.0,2.25,0,gpt-oss-120b,domain,556,300.2
3,3,3,60.8,39.9,513,1.0,3.0,0,gpt-oss-120b,domain,560,300.3
4,3,3,60.1,40.4,519,1.0,3.75,0,gpt-oss-120b,domain,504,299.9
5,3,3,73.8,44.4,571,1.0,4.5,0,gpt-oss-120b,domain,506,290.5
6,3,3,113.5,61.8,795,1.0,5.25,0,gpt-oss-120b,domain,651,405.5
7,1,1,142.9,72.6,933,0.9999,6.0,1,gpt-oss-120b,domain,925,495.1
8,1,1,916.5,176.5,913,0.8287,6.25,0,gpt-oss-120b,domain,925,579.6
9,4,1,867.6,171.4,848,0.8661,6.5,1,gpt-oss-120b,domain,838,536.3
10,4,4,90.0,51.9,890,1.0,7.5,0,gpt-oss-120b,domain,556,640.4
11,4,4,87.6,51.9,889,1.0,8.5,0,gpt-oss-120b,domain,561,331.2
12,4,4,73.5,44.8,768,1.0,9.5,0,gpt-oss-120b,domain,534,309.4
13,4,4,76.1,45.6,782,1.0,10.5,0,gpt-oss-120b,domain,561,757.2
14,4,4,74.1,45.1,774,1.0,11.5,0,gpt-oss-120b,domain,553,337.7
15,4,4,73.7,46.1,790,1.0,12.5,0,gpt-oss-120b,domain,525,283.2
16,4,4,76.4,46.7,800,1.0,13.5,0,gpt-oss-120b,domain,542,254.2
17,4,4,95.3,52.3,896,1.0,14.5,0,gpt-oss-120b,domain,556,303.9
18,4,4,98.9,53.5,917,1.0,15.5,0,gpt-oss-120b,domain,551,348.9
19,4,4,94.5,54.4,933,1.0,16.5,0,gpt-oss-120b,domain,550,299.6
20,4,4,89.7,52.1,894,1.0,17.5,0,gpt-oss-120b,domain,537,320.3
21,4,4,89.5,51.6,885,1.0,18.5,0,gpt-oss-120b,domain,548,412.0
22,4,4,80.2,47.7,818,1.0,19.5,0,gpt-oss-120b,domain,502,251.7
23,4,4,76.9,46.3,793,1.0,20.5,0,gpt-oss-120b,domain,505,237.4
24,4,4,77.0,46.0,789,1.0,21.5,0,gpt-oss-120b,domain,557,272.6
25,4,4,81.6,47.2,809,1.0,22.5,0,gpt-oss-120b,domain,505,256.6
26,4,4,78.8,47.1,808,1.0,23.5,0,gpt-oss-120b,domain,505,240.9
27,4,4,83.9,50.2,860,1.0,24.5,0,gpt-oss-120b,domain,509,251.8
28,4,4,69.6,43.7,750,1.0,25.5,0,gpt-oss-120b,domain,506,265.2
29,4,4,69.1,43.8,751,1.0,26.5,0,gpt-oss-120b,domain,505,271.4
30,4,4,81.4,48.0,823,1.0,27.5,0,gpt-oss-120b,domain,531,329.0
31,4,4,74.5,46.2,792,1.0,28.5,0,gpt-oss-120b,domain,502,411.6
32,3,3,58.1,39.7,681,1.0,29.5,1,gpt-oss-120b,domain,818,432.5
33,3,3,97.8,52.7,678,1.0,30.25,0,gpt-oss-120b,domain,506,362.7
34,3,3,86.8,49.6,638,1.0,31.0,0,gpt-oss-120b,domain,573,290.2
35,3,3,78.1,47.3,608,1.0,31.75,0,gpt-oss-120b,domain,502,284.3
36,3,3,68.6,44.4,571,1.0,32.5,0,gpt-oss-120b,domain,544,404.3
37,3,3,79.8,48.9,629,1.0,33.25,0,gpt-oss-120b,domain,506,245.2
38,3,3,77.5,47.8,614,1.0,34.0,0,gpt-oss-120b,domain,506,237.9
39,3,3,79.7,47.8,615,1.0,34.75,0,gpt-oss-120b,domain,563,311.1
40,3,3,91.1,52.7,678,1.0,35.5,0,gpt-oss-120b,domain,585,291.0
41,3,3,117.0,62.9,809,1.0,36.25,0,gpt-oss-120b,domain,618,352.6
42,3,3,105.6,56.3,724,1.0,37.0,0,gpt-oss-120b,domain,553,346.1
43,3,3,111.7,58.8,756,1.0,37.75,0,gpt-oss-120b,domain,588,323.3
44,3,3,105.2,56.9,732,1.0,38.5,0,gpt-oss-120b,domain,539,371.9
45,3,3,114.7,57.4,738,1.0,39.25,0,gpt-oss-120b,domain,539,288.8
46,3,3,97.0,54.2,697,1.0,40.0,0,gpt-oss-120b,domain,502,280.3
47,3,3,98.4,56.9,732,1.0,40.75,0,gpt-oss-120b,domain,555,272.9
48,3,3,115.8,63.4,815,1.0,41.5,0,gpt-oss-120b,domain,608,328.5
49,3,3,116.5,63.7,819,1.0,42.25,0,gpt-oss-120b,domain,602,344.1
50,3,3,123.8,65.0,836,1.0,43.0,0,gpt-oss-120b,domain,674,359.6
51,3,3,121.3,63.9,822,1.0,43.75,0,gpt-oss-120b,domain,636,333.6
52,3,3,104.1,55.0,707,1.0,44.5,0,gpt-oss-120b,domain,555,320.8
53,3,3,90.0,52.3,673,1.0,45.25,0,gpt-oss-120b,domain,516,268.4
54,3,3,84.6,49.2,633,1.0,46.0,0,gpt-oss-120b,domain,505,323.8
55,3,3,84.8,49.8,640,1.0,46.75,0,gpt-oss-120b,domain,530,265.1
56,3,3,76.4,48.5,623,1.0,47.5,0,gpt-oss-120b,domain,557,328.6
57,3,3,99.3,54.3,698,1.0,48.25,0,gpt-oss-120b,domain,557,345.2
58,3,3,73.0,45.9,590,1.0,49.0,0,gpt-oss-120b,domain,545,326.7
59,3,3,79.7,47.0,604,1.0,49.75,0,gpt-oss-120b,domain,504,272.7
60,3,3,97.1,54.8,704,1.0,50.5,0,gpt-oss-120b,domain,556,270.4
61,3,3,104.0,55.9,719,1.0,51.25,0,gpt-oss-120b,domain,551,326.6
62,3,3,106.9,57.9,745,1.0,52.0,0,gpt-oss-120b,domain,511,282.2
63,3,3,111.9,61.8,795,1.0,52.75,0,gpt-oss-120b,domain,620,369.9
64,3,3,108.8,61.7,793,1.0,53.5,0,gpt-oss-120b,domain,557,276.3
65,3,3,102.6,57.1,734,1.0,54.25,0,gpt-oss-120b,domain,574,311.8
66,3,3,102.9,55.4,712,1.0,55.0,0,gpt-oss-120b,domain,564,281.0
67,3,3,98.2,54.6,702,1.0,55.75,0,gpt-oss-120b,domain,502,272.6
68,3,3,101.4,56.8,730,1.0,56.5,0,gpt-oss-120b,domain,555,272.4
69,3,3,81.5,48.6,625,1.0,57.25,0,gpt-oss-120b,domain,502,296.7
70,3,3,96.2,54.1,695,1.0,58.0,0,gpt-oss-120b,domain,505,252.2
71,3,3,83.1,48.1,618,1.0,58.75,0,gpt-oss-120b,domain,548,310.8
72,3,3,67.4,43.2,556,1.0,59.5,0,gpt-oss-120b,domain,505,269.5
73,3,3,75.8,45.8,589,1.0,60.25,0,gpt-oss-120b,domain,562,283.2
74,3,3,64.3,40.7,523,1.0,61.0,0,gpt-oss-120b,domain,505,251.0
75,3,3,77.3,47.2,607,1.0,61.75,0,gpt-oss-120b,domain,504,405.6
76,3,3,117.2,61.8,794,1.0,62.5,0,gpt-oss-120b,domain,707,401.0
77,5,3,136.3,69.2,890,0.9999,63.25,1,gpt-oss-120b,domain,925,666.8
78,5,5,79.4,48.3,1034,1.0,64.5,0,gpt-oss-120b,domain,551,355.7
79,5,5,114.0,61.7,1323,1.0,65.75,0,gpt-oss-120b,domain,613,334.8
80,5,5,94.3,53.8,1152,1.0,67.0,0,gpt-oss-120b,domain,558,269.0
81,5,5,71.8,45.8,982,1.0,68.25,0,gpt-oss-120b,domain,556,336.9
82,5,5,59.5,39.5,847,1.0,69.5,0,gpt-oss-120b,domain,636,330.3
83,1,1,55.5,38.4,823,1.0,70.75,1,gpt-oss-120b,domain,924,525.9
84,4,1,876.0,172.5,868,0.8517,71.0,1,gpt-oss-120b,domain,864,561.7
85,4,4,119.0,61.6,1056,1.0,72.0,0,gpt-oss-120b,domain,804,495.0
86,4,4,110.0,57.2,980,1.0,73.0,0,gpt-oss-120b,domain,535,263.0
87,4,4,93.8,53.4,916,1.0,74.0,0,gpt-oss-120b,domain,549,383.7
88,4,4,109.0,57.5,985,1.0,75.0,0,gpt-oss-120b,domain,554,354.6
89,4,4,96.7,55.9,958,1.0,76.0,0,gpt-oss-120b,domain,542,344.6
90,4,4,109.4,59.0,1011,1.0,77.0,0,gpt-oss-120b,domain,623,374.5
91,4,4,107.8,59.7,1023,1.0,78.0,0,gpt-oss-120b,domain,597,324.5
92,4,4,108.7,60.1,1031,1.0,79.0,0,gpt-oss-120b,domain,645,407.5
93,1,1,130.5,66.5,1140,0.9999,80.0,1,gpt-oss-120b,domain,926,522.0
94,1,1,947.1,183.7,1015,0.7758,80.25,0,gpt-oss-120b,domain,926,527.8
95,1,1,1018.0,182.1,989,0.7893,80.5,0,gpt-oss-120b,domain,926,530.5
96,4,1,879.4,171.5,858,0.8567,80.75,1,gpt-oss-120b,domain,804,438.7
97,4,4,78.9,48.1,824,1.0,81.75,0,gpt-oss-120b,domain,548,476.0
