step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,68.2,42.9,551,1.0,0.75,0,hpa,baseline,0,0
1,3,3,61.9,40.4,520,1.0,1.5,0,hpa,baseline,0,0
2,3,3,56.3,38.8,499,1.0,2.25,0,hpa,baseline,0,0
3,3,3,61.3,39.9,513,1.0,3.0,0,hpa,baseline,0,0
4,3,3,62.0,40.4,519,1.0,3.75,0,hpa,baseline,0,0
5,3,3,71.8,44.4,571,1.0,4.5,0,hpa,baseline,0,0
6,4,3,117.0,61.8,795,1.0,5.25,1,hpa,baseline,0,0
7,5,4,94.9,54.4,933,1.0,6.25,1,hpa,baseline,0,0
8,5,5,66.5,42.6,913,1.0,7.5,0,hpa,baseline,0,0
9,4,4,61.2,39.6,848,1.0,8.75,1,hpa,baseline,0,0
10,5,4,88.8,51.9,890,1.0,9.75,1,hpa,baseline,0,0
11,5,5,62.6,41.5,889,1.0,11.0,0,hpa,baseline,0,0
12,4,4,50.1,35.8,768,1.0,12.25,1,hpa,baseline,0,0
13,4,4,77.1,45.6,782,1.0,13.25,0,hpa,baseline,0,0
14,4,4,76.1,45.1,774,1.0,14.25,0,hpa,baseline,0,0
15,4,4,74.5,46.1,790,1.0,15.25,0,hpa,baseline,0,0
16,4,4,76.9,46.7,800,1.0,16.25,0,hpa,baseline,0,0
17,5,4,87.6,52.3,896,1.0,17.25,1,hpa,baseline,0,0
18,5,5,66.8,42.8,917,1.0,18.5,0,hpa,baseline,0,0
19,5,5,68.6,43.5,933,1.0,19.75,0,hpa,baseline,0,0
20,5,5,61.8,41.7,894,1.0,21.0,0,hpa,baseline,0,0
21,5,5,60.5,41.3,885,1.0,22.25,0,hpa,baseline,0,0
22,4,4,54.3,38.2,818,1.0,23.5,1,hpa,baseline,0,0
23,4,4,79.3,46.3,793,1.0,24.5,0,hpa,baseline,0,0
24,4,4,74.9,46.0,789,1.0,25.5,0,hpa,baseline,0,0
25,4,4,74.4,47.2,809,1.0,26.5,0,hpa,baseline,0,0
26,4,4,79.3,47.1,808,1.0,27.5,0,hpa,baseline,0,0
27,5,4,86.1,50.2,860,1.0,28.5,1,hpa,baseline,0,0
28,4,4,49.1,35.0,750,1.0,29.75,1,hpa,baseline,0,0
29,4,4,70.9,43.8,751,1.0,30.75,0,hpa,baseline,0,0
30,4,4,79.1,48.0,823,1.0,31.75,0,hpa,baseline,0,0
31,4,4,81.1,46.2,792,1.0,32.75,0,hpa,baseline,0,0
32,4,4,59.7,39.7,681,1.0,33.75,0,hpa,baseline,0,0
33,4,4,57.8,39.5,678,1.0,34.75,0,hpa,baseline,0,0
34,3,3,53.5,37.2,638,1.0,35.75,1,hpa,baseline,0,0
35,3,3,76.1,47.3,608,1.0,36.5,0,hpa,baseline,0,0
36,3,3,71.7,44.4,571,1.0,37.25,0,hpa,baseline,0,0
37,3,3,82.9,48.9,629,1.0,38.0,0,hpa,baseline,0,0
38,3,3,80.0,47.8,614,1.0,38.75,0,hpa,baseline,0,0
39,3,3,78.9,47.8,615,1.0,39.5,0,hpa,baseline,0,0
40,4,3,97.5,52.7,678,1.0,40.25,1,hpa,baseline,0,0
41,4,4,76.5,47.2,809,1.0,41.25,0,hpa,baseline,0,0
42,4,4,63.8,42.2,724,1.0,42.25,0,hpa,baseline,0,0
43,4,4,70.3,44.1,756,1.0,43.25,0,hpa,baseline,0,0
44,4,4,66.2,42.7,732,1.0,44.25,0,hpa,baseline,0,0
45,4,4,69.3,43.0,738,1.0,45.25,0,hpa,baseline,0,0
46,4,4,63.6,40.7,697,1.0,46.25,0,hpa,baseline,0,0
47,4,4,67.5,42.7,732,1.0,47.25,0,hpa,baseline,0,0
48,4,4,77.8,47.5,815,1.0,48.25,0,hpa,baseline,0,0
49,4,4,83.3,47.8,819,1.0,49.25,0,hpa,baseline,0,0
50,4,4,81.4,48.8,836,1.0,50.25,0,hpa,baseline,0,0
51,4,4,81.4,47.9,822,1.0,51.25,0,hpa,baseline,0,0
52,4,4,62.0,41.2,707,1.0,52.25,0,hpa,baseline,0,0
53,4,4,57.5,39.3,673,1.0,53.25,0,hpa,baseline,0,0
54,3,3,52.5,36.9,633,1.0,54.25,1,hpa,baseline,0,0
55,3,3,88.4,49.8,640,1.0,55.0,0,hpa,baseline,0,0
56,3,3,82.1,48.5,623,1.0,55.75,0,hpa,baseline,0,0
57,4,3,100.8,54.3,698,1.0,56.5,1,hpa,baseline,0,0
58,3,3,52.1,34.4,590,1.0,57.5,1,hpa,baseline,0,0
59,3,3,82.7,47.0,604,1.0,58.25,0,hpa,baseline,0,0
60,4,3,99.1,54.8,704,1.0,59.0,1,hpa,baseline,0,0
61,4,4,67.9,41.9,719,1.0,60.0,0,hpa,baseline,0,0
62,4,4,68.4,43.5,745,1.0,61.0,0,hpa,baseline,0,0
63,4,4,74.7,46.4,795,1.0,62.0,0,hpa,baseline,0,0
64,4,4,74.6,46.3,793,1.0,63.0,0,hpa,baseline,0,0
65,4,4,65.6,42.8,734,1.0,64.0,0,hpa,baseline,0,0
66,4,4,63.3,41.5,712,1.0,65.0,0,hpa,baseline,0,0
67,4,4,63.3,40.9,702,1.0,66.0,0,hpa,baseline,0,0
68,4,4,69.6,42.6,730,1.0,67.0,0,hpa,baseline,0,0
69,3,3,51.7,36.5,625,1.0,68.0,1,hpa,baseline,0,0
70,4,3,93.4,54.1,695,1.0,68.75,1,hpa,baseline,0,0
