step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,69.0,42.9,551,1.0,0.75,0,llama-8b,cot,281,767.2
1,3,3,61.7,40.4,520,1.0,1.5,0,llama-8b,cot,281,339.4
2,3,3,56.5,38.8,499,1.0,2.25,0,llama-8b,cot,281,363.0
3,3,3,57.1,39.9,513,1.0,3.0,0,llama-8b,cot,281,340.9
4,3,3,61.8,40.4,519,1.0,3.75,0,llama-8b,cot,539,2136.3
5,3,3,72.2,44.4,571,1.0,4.5,0,llama-8b,cot,486,1957.3
6,3,3,115.7,61.8,795,1.0,5.25,0,llama-8b,cot,585,4422.9
7,3,3,150.1,72.6,933,0.9999,6.0,0,llama-8b,cot,484,1928.9
8,3,3,139.3,71.0,913,0.9999,6.75,0,llama-8b,cot,282,370.8
9,3,3,131.1,66.0,848,1.0,7.5,0,llama-8b,cot,281,355.7
10,3,3,134.0,69.2,890,0.9999,8.25,0,llama-8b,cot,282,391.0
11,3,3,130.7,69.1,889,0.9999,9.0,0,llama-8b,cot,282,359.7
12,3,3,106.6,59.7,768,1.0,9.75,0,llama-8b,cot,281,385.9
13,3,3,112.8,60.8,782,1.0,10.5,0,llama-8b,cot,281,364.4
14,3,3,107.3,60.2,774,1.0,11.25,0,llama-8b,cot,412,1361.1
15,3,3,117.4,61.4,790,1.0,12.0,0,llama-8b,cot,502,2028.5
16,3,3,116.4,62.2,800,1.0,12.75,0,llama-8b,cot,281,399.8
17,3,3,138.2,69.7,896,0.9999,13.5,0,llama-8b,cot,282,354.1
18,3,3,136.8,71.3,917,0.9999,14.25,0,llama-8b,cot,282,377.4
19,3,3,142.3,72.6,933,0.9999,15.0,0,llama-8b,cot,282,373.2
20,3,3,131.7,69.5,894,0.9999,15.75,0,llama-8b,cot,282,348.2
21,3,3,131.8,68.8,885,0.9999,16.5,0,llama-8b,cot,588,2912.1
22,3,3,115.2,63.6,818,1.0,17.25,0,llama-8b,cot,281,371.4
23,3,3,118.7,61.7,793,1.0,18.0,0,llama-8b,cot,281,360.4
24,3,3,113.1,61.4,789,1.0,18.75,0,llama-8b,cot,281,380.1
25,3,3,124.8,62.9,809,1.0,19.5,0,llama-8b,cot,281,400.7
26,3,3,125.2,62.8,808,1.0,20.25,0,llama-8b,cot,281,585.7
27,3,3,122.9,66.9,860,0.9999,21.0,0,llama-8b,cot,282,366.3
28,3,3,106.7,58.3,750,1.0,21.75,0,llama-8b,cot,281,355.7
29,3,3,109.1,58.4,751,1.0,22.5,0,llama-8b,cot,524,3136.0
30,3,3,122.0,64.0,823,1.0,23.25,0,llama-8b,cot,281,431.7
31,3,3,122.1,61.6,792,1.0,24.0,0,llama-8b,cot,281,390.1
32,3,3,96.5,53.0,681,1.0,24.75,0,llama-8b,cot,281,352.0
33,3,3,91.4,52.7,678,1.0,25.5,0,llama-8b,cot,281,405.3
34,3,3,82.0,49.6,638,1.0,26.25,0,llama-8b,cot,281,366.5
35,3,3,80.4,47.3,608,1.0,27.0,0,llama-8b,cot,281,478.6
36,3,3,72.0,44.4,571,1.0,27.75,0,llama-8b,cot,281,361.2
37,3,3,83.8,48.9,629,1.0,28.5,0,llama-8b,cot,281,361.2
38,3,3,79.5,47.8,614,1.0,29.25,0,llama-8b,cot,281,359.6
39,3,3,76.5,47.8,615,1.0,30.0,0,llama-8b,cot,281,373.3
40,3,3,88.4,52.7,678,1.0,30.75,0,llama-8b,cot,281,355.4
41,3,3,122.0,62.9,809,1.0,31.5,0,llama-8b,cot,281,449.4
42,3,3,100.7,56.3,724,1.0,32.25,0,llama-8b,cot,500,2441.8
43,3,3,109.0,58.8,756,1.0,33.0,0,llama-8b,cot,281,360.5
44,3,3,106.7,56.9,732,1.0,33.75,0,llama-8b,cot,785,5231.0
45,4,3,103.2,57.4,738,1.0,34.5,1,llama-8b,cot,281,411.0
46,4,4,63.2,40.7,697,1.0,35.5,0,llama-8b,cot,281,416.5
