step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,4,3,65.2,42.9,551,1.0,0.75,1,llama-8b,history_5,229,798.4
1,4,4,51.5,30.3,520,1.0,1.75,0,llama-8b,history_5,263,434.9
2,4,4,49.2,29.1,499,1.0,2.75,0,llama-8b,history_5,297,387.0
3,4,4,51.6,29.9,513,1.0,3.75,0,llama-8b,history_5,331,418.6
4,4,4,50.6,30.3,519,1.0,4.75,0,llama-8b,history_5,365,428.6
5,4,4,49.3,33.3,571,1.0,5.75,0,llama-8b,history_5,399,385.7
6,6,4,75.2,46.4,795,1.0,6.75,1,llama-8b,history_5,399,418.6
7,8,6,50.4,36.3,933,1.0,8.25,1,llama-8b,history_5,399,433.5
8,8,8,47.8,26.6,913,1.0,10.25,0,llama-8b,history_5,399,396.8
9,8,8,48.3,24.7,848,1.0,12.25,0,llama-8b,history_5,399,401.7
10,8,8,50.7,26.0,890,1.0,14.25,0,llama-8b,history_5,399,461.4
11,8,8,50.1,25.9,889,1.0,16.25,0,llama-8b,history_5,399,437.9
12,8,8,49.7,22.4,768,1.0,18.25,0,llama-8b,history_5,399,429.3
13,8,8,51.5,22.8,782,1.0,20.25,0,llama-8b,history_5,399,424.1
14,8,8,52.0,22.6,774,1.0,22.25,0,llama-8b,history_5,399,398.4
15,8,8,48.1,23.0,790,1.0,24.25,0,llama-8b,history_5,399,449.1
16,8,8,51.5,23.3,800,1.0,26.25,0,llama-8b,history_5,399,421.7
17,8,8,49.3,26.1,896,1.0,28.25,0,llama-8b,history_5,399,438.2
18,9,8,47.7,26.7,917,1.0,30.25,1,llama-8b,history_5,399,433.8
19,10,9,51.4,24.2,933,1.0,32.5,1,llama-8b,history_5,399,430.2
20,11,10,49.0,20.9,894,1.0,35.0,1,llama-8b,history_5,399,434.6
21,11,11,48.4,18.8,885,1.0,37.75,0,llama-8b,history_5,399,397.2
22,11,11,48.3,17.4,818,1.0,40.5,0,llama-8b,history_5,399,405.4
23,11,11,47.5,16.8,793,1.0,43.25,0,llama-8b,history_5,399,431.8
24,11,11,46.7,16.7,789,1.0,46.0,0,llama-8b,history_5,399,429.2
25,11,11,47.9,17.2,809,1.0,48.75,0,llama-8b,history_5,399,457.6
26,11,11,49.5,17.1,808,1.0,51.5,0,llama-8b,history_5,399,424.3
27,11,11,47.3,18.2,860,1.0,54.25,0,llama-8b,history_5,399,397.3
28,11,11,49.4,15.9,750,1.0,57.0,0,llama-8b,history_5,399,429.4
29,11,11,48.3,15.9,751,1.0,59.75,0,llama-8b,history_5,399,408.3
30,11,11,48.9,17.5,823,1.0,62.5,0,llama-8b,history_5,399,403.2
31,11,11,48.0,16.8,792,1.0,65.25,0,llama-8b,history_5,399,399.7
32,11,11,50.5,14.4,681,1.0,68.0,0,llama-8b,history_5,399,428.4
33,11,11,47.1,14.4,678,1.0,70.75,0,llama-8b,history_5,399,421.6
34,11,11,46.8,13.5,638,1.0,73.5,0,llama-8b,history_5,399,426.4
35,12,11,49.3,12.9,608,1.0,76.25,1,llama-8b,history_5,399,456.6
36,12,12,48.2,11.1,571,1.0,79.25,0,llama-8b,history_5,399,382.9
37,12,12,48.1,12.2,629,1.0,82.25,0,llama-8b,history_5,399,420.7
38,12,12,48.3,11.9,614,1.0,85.25,0,llama-8b,history_5,399,461.5
39,12,12,49.8,12.0,615,1.0,88.25,0,llama-8b,history_5,399,398.2
40,12,12,48.2,13.2,678,1.0,91.25,0,llama-8b,history_5,399,428.0
41,13,12,47.5,15.7,809,1.0,94.25,1,llama-8b,history_5,399,431.8
42,14,13,49.2,13.0,724,1.0,97.5,1,llama-8b,history_5,399,452.3
43,15,14,50.4,12.6,756,1.0,101.0,1,llama-8b,history_5,399,388.4
44,16,15,47.8,11.4,732,1.0,104.75,1,llama-8b,history_5,399,385.8
45,16,16,46.9,10.8,738,1.0,108.75,0,llama-8b,history_5,399,448.0
46,16,16,47.2,10.2,697,1.0,112.75,0,llama-8b,history_5,399,391.3
47,16,16,50.3,10.7,732,1.0,116.75,0,llama-8b,history_5,399,477.1
48,16,16,48.0,11.9,815,1.0,120.75,0,llama-8b,history_5,399,392.9
49,16,16,47.7,11.9,819,1.0,124.75,0,llama-8b,history_5,399,390.7
50,16,16,49.5,12.2,836,1.0,128.75,0,llama-8b,history_5,399,449.1
51,17,16,49.4,12.0,822,1.0,132.75,1,llama-8b,history_5,399,418.5
52,17,17,46.7,9.7,707,1.0,137.0,0,llama-8b,history_5,399,439.8
53,17,17,48.4,9.2,673,1.0,141.25,0,llama-8b,history_5,399,419.3
54,17,17,47.6,8.7,633,1.0,145.5,0,llama-8b,history_5,399,400.6
55,18,17,48.4,8.8,640,1.0,149.75,1,llama-8b,history_5,399,470.7
56,18,18,46.4,8.1,623,1.0,154.25,0,llama-8b,history_5,399,413.1
57,18,18,49.5,9.0,698,1.0,158.75,0,llama-8b,history_5,399,425.1
58,18,18,48.9,7.6,590,1.0,163.25,0,llama-8b,history_5,399,496.8
59,19,18,50.9,7.8,604,1.0,167.75,1,llama-8b,history_5,399,433.8
60,19,19,48.7,8.6,704,1.0,172.5,0,llama-8b,history_5,399,397.1
61,20,19,48.2,8.8,719,1.0,177.25,1,llama-8b,history_5,399,818.0
62,20,20,47.5,8.7,745,1.0,182.25,0,llama-8b,history_5,399,461.4
63,20,20,49.1,9.3,795,1.0,187.25,0,llama-8b,history_5,399,475.3
64,20,20,50.0,9.3,793,1.0,192.25,0,llama-8b,history_5,399,416.6
65,20,20,46.5,8.6,734,1.0,197.25,0,llama-8b,history_5,399,417.6
66,20,20,50.1,8.3,712,1.0,202.25,0,llama-8b,history_5,399,1319.8
67,20,20,47.7,8.2,702,1.0,207.25,0,llama-8b,history_5,399,419.3
68,15,15,52.1,8.5,730,1.0,212.25,1,llama-8b,history_5,399,401.9
69,15,15,45.9,9.7,625,1.0,216.0,0,llama-8b,history_5,399,410.0
70,15,15,46.4,10.8,695,1.0,219.75,0,llama-8b,history_5,399,604.1
71,16,15,47.0,9.6,618,1.0,223.5,1,llama-8b,history_5,399,412.6
72,16,16,46.3,8.1,556,1.0,227.5,0,llama-8b,history_5,399,441.9
73,16,16,46.1,8.6,589,1.0,231.5,0,llama-8b,history_5,399,451.1
74,16,16,47.6,7.6,523,1.0,235.5,0,llama-8b,history_5,399,417.0
75,16,16,46.5,8.9,607,1.0,239.5,0,llama-8b,history_5,399,423.8
76,16,16,48.6,11.6,794,1.0,243.5,0,llama-8b,history_5,399,441.5
77,18,16,47.4,13.0,890,1.0,247.5,1,llama-8b,history_5,399,395.0
78,20,18,47.2,13.4,1034,1.0,252.0,1,llama-8b,history_5,400,426.7
79,20,20,48.0,15.4,1323,1.0,257.0,0,llama-8b,history_5,401,410.8
80,20,20,49.4,13.4,1152,1.0,262.0,0,llama-8b,history_5,402,393.7
81,20,20,49.1,11.5,982,1.0,267.0,0,llama-8b,history_5,402,432.8
82,20,20,47.8,9.9,847,1.0,272.0,0,llama-8b,history_5,402,412.7
83,20,20,48.9,9.6,823,1.0,277.0,0,llama-8b,history_5,402,411.2
84,20,20,50.0,10.1,868,1.0,282.0,0,llama-8b,history_5,401,428.3
85,20,20,47.0,12.3,1056,1.0,287.0,0,llama-8b,history_5,401,1623.8
86,20,20,49.4,11.4,980,1.0,292.0,0,llama-8b,history_5,400,1215.3
87,20,20,51.5,10.7,916,1.0,297.0,0,llama-8b,history_5,400,415.5
88,20,20,48.8,11.5,985,1.0,302.0,0,llama-8b,history_5,400,1575.4
89,20,20,48.2,11.2,958,1.0,307.0,0,llama-8b,history_5,400,3153.9
90,20,20,46.6,11.8,1011,1.0,312.0,0,llama-8b,history_5,401,1883.9
91,20,20,48.3,11.9,1023,1.0,317.0,0,llama-8b,history_5,401,4822.0
92,20,20,48.8,12.0,1031,1.0,322.0,0,llama-8b,history_5,402,1311.4
93,20,20,48.4,13.3,1140,1.0,327.0,0,llama-8b,history_5,403,456.4
94,20,20,48.0,11.8,1015,1.0,332.0,0,llama-8b,history_5,404,471.5
95,20,20,49.7,11.5,989,1.0,337.0,0,llama-8b,history_5,404,437.5
96,20,20,47.8,10.0,858,1.0,342.0,0,llama-8b,history_5,403,403.7
97,18,18,44.9,9.6,824,1.0,347.0,1,llama-8b,history_5,402,407.6
98,18,18,47.1,11.3,875,1.0,351.5,0,llama-8b,history_5,401,412.5
99,18,18,50.6,11.7,906,1.0,356.0,0,llama-8b,history_5,400,429.5
100,20,18,50.3,10.2,788,1.0,360.5,1,llama-8b,history_5,399,444.3
101,18,18,49.3,8.8,754,1.0,365.5,1,llama-8b,history_5,399,430.4
102,18,18,47.8,9.0,697,1.0,370.0,0,llama-8b,history_5,399,408.4
103,18,18,45.9,9.4,729,1.0,374.5,0,llama-8b,history_5,399,449.8
104,18,18,49.8,11.8,908,1.0,379.0,0,llama-8b,history_5,399,430.4
105,18,18,49.7,11.3,870,1.0,383.5,0,llama-8b,history_5,399,420.6
106,18,18,47.6,10.1,783,1.0,388.0,0,llama-8b,history_5,399,408.0
107,18,18,49.2,10.2,788,1.0,392.5,0,llama-8b,history_5,399,414.0
108,18,18,49.7,10.4,802,1.0,397.0,0,llama-8b,history_5,399,422.2
109,18,18,47.3,10.4,802,1.0,401.5,0,llama-8b,history_5,399,412.0
110,18,18,47.9,11.2,866,1.0,406.0,0,llama-8b,history_5,399,411.4
111,19,18,48.6,11.5,884,1.0,410.5,1,llama-8b,history_5,399,399.8
112,19,19,49.2,9.9,810,1.0,415.25,0,llama-8b,history_5,399,460.5
113,19,19,48.5,10.1,824,1.0,420.0,0,llama-8b,history_5,399,425.9
114,20,19,49.5,10.3,841,1.0,424.75,1,llama-8b,history_5,399,464.5
115,20,20,47.5,9.1,783,1.0,429.75,0,llama-8b,history_5,399,483.5
116,20,20,46.9,9.2,785,1.0,434.75,0,llama-8b,history_5,399,451.0
117,20,20,46.3,8.6,736,1.0,439.75,0,llama-8b,history_5,399,408.5
118,20,20,48.9,9.0,772,1.0,444.75,0,llama-8b,history_5,399,425.1
119,20,20,48.4,8.4,720,1.0,449.75,0,llama-8b,history_5,399,511.8
120,20,20,48.9,10.1,868,1.0,454.75,0,llama-8b,history_5,399,429.4
121,20,20,49.6,11.5,984,1.0,459.75,0,llama-8b,history_5,399,442.2
122,20,20,47.6,10.5,896,1.0,464.75,0,llama-8b,history_5,399,625.9
123,20,20,47.5,10.0,861,1.0,469.75,0,llama-8b,history_5,399,418.8
124,20,20,48.5,10.1,864,1.0,474.75,0,llama-8b,history_5,399,449.1
125,20,20,49.4,10.9,938,1.0,479.75,0,llama-8b,history_5,399,428.2
126,20,20,48.3,11.6,997,1.0,484.75,0,llama-8b,history_5,399,418.5
127,20,20,47.5,9.9,849,1.0,489.75,0,llama-8b,history_5,399,455.9
128,20,20,45.4,9.3,798,1.0,494.75,0,llama-8b,history_5,399,429.8
129,20,20,48.5,8.7,747,1.0,499.75,0,llama-8b,history_5,399,448.0
130,20,20,49.6,10.1,863,1.0,504.75,0,llama-8b,history_5,399,435.7
131,20,20,47.5,11.1,948,1.0,509.75,0,llama-8b,history_5,399,519.2
132,20,20,51.2,11.8,1008,1.0,514.75,0,llama-8b,history_5,400,711.6
133,20,20,47.1,11.9,1023,1.0,519.75,0,llama-8b,history_5,401,738.7
134,20,20,47.5,13.4,1145,1.0,524.75,0,llama-8b,history_5,402,1747.8
135,20,20,50.5,13.1,1121,1.0,529.75,0,llama-8b,history_5,403,2335.4
136,20,20,48.7,15.1,1293,1.0,534.75,0,llama-8b,history_5,404,451.5
137,20,20,49.3,15.0,1287,1.0,539.75,0,llama-8b,history_5,405,514.4
138,20,20,48.9,16.1,1377,1.0,544.75,0,llama-8b,history_5,405,732.3
139,20,20,49.5,17.0,1459,1.0,549.75,0,llama-8b,history_5,405,9901.3
