step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,70.1,42.9,551,1.0,0.75,0,llama-8b,zero_shot,221,814.4
1,3,3,62.3,40.4,520,1.0,1.5,0,llama-8b,zero_shot,221,365.1
2,3,3,58.9,38.8,499,1.0,2.25,0,llama-8b,zero_shot,221,342.8
3,3,3,57.7,39.9,513,1.0,3.0,0,llama-8b,zero_shot,221,344.4
4,3,3,60.8,40.4,519,1.0,3.75,0,llama-8b,zero_shot,221,339.9
5,3,3,75.3,44.4,571,1.0,4.5,0,llama-8b,zero_shot,221,558.8
6,3,3,115.5,61.8,795,1.0,5.25,0,llama-8b,zero_shot,221,343.0
7,3,3,141.9,72.6,933,0.9999,6.0,0,llama-8b,zero_shot,222,335.5
8,3,3,135.5,71.0,913,0.9999,6.75,0,llama-8b,zero_shot,222,397.7
9,3,3,127.8,66.0,848,1.0,7.5,0,llama-8b,zero_shot,221,399.6
10,3,3,129.9,69.2,890,0.9999,8.25,0,llama-8b,zero_shot,222,429.0
11,3,3,134.9,69.1,889,0.9999,9.0,0,llama-8b,zero_shot,222,388.0
12,3,3,114.7,59.7,768,1.0,9.75,0,llama-8b,zero_shot,221,372.8
13,3,3,112.9,60.8,782,1.0,10.5,0,llama-8b,zero_shot,221,355.1
14,3,3,103.7,60.2,774,1.0,11.25,0,llama-8b,zero_shot,221,344.1
15,3,3,114.3,61.4,790,1.0,12.0,0,llama-8b,zero_shot,221,496.9
16,3,3,113.5,62.2,800,1.0,12.75,0,llama-8b,zero_shot,221,337.5
17,3,3,142.3,69.7,896,0.9999,13.5,0,llama-8b,zero_shot,222,495.1
18,3,3,138.6,71.3,917,0.9999,14.25,0,llama-8b,zero_shot,222,350.3
19,3,3,142.7,72.6,933,0.9999,15.0,0,llama-8b,zero_shot,222,366.8
20,3,3,128.0,69.5,894,0.9999,15.75,0,llama-8b,zero_shot,222,410.7
21,3,3,129.9,68.8,885,0.9999,16.5,0,llama-8b,zero_shot,222,362.3
22,3,3,125.8,63.6,818,1.0,17.25,0,llama-8b,zero_shot,221,410.1
23,3,3,114.4,61.7,793,1.0,18.0,0,llama-8b,zero_shot,221,356.7
24,3,3,110.4,61.4,789,1.0,18.75,0,llama-8b,zero_shot,221,392.1
25,3,3,115.4,62.9,809,1.0,19.5,0,llama-8b,zero_shot,221,393.1
26,3,3,116.4,62.8,808,1.0,20.25,0,llama-8b,zero_shot,221,376.1
27,3,3,132.8,66.9,860,0.9999,21.0,0,llama-8b,zero_shot,222,353.2
28,3,3,105.5,58.3,750,1.0,21.75,0,llama-8b,zero_shot,221,403.2
29,4,3,105.1,58.4,751,1.0,22.5,1,llama-8b,zero_shot,221,362.3
30,4,4,79.9,48.0,823,1.0,23.5,0,llama-8b,zero_shot,221,429.8
