step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,69.2,42.9,551,1.0,0.75,0,llama4-scout,cot,763,1423.2
1,2,2,59.6,40.4,520,1.0,1.5,1,llama4-scout,cot,665,1023.7
2,2,2,103.9,58.2,499,1.0,2.0,0,llama4-scout,cot,722,2240.5
3,2,2,116.5,59.8,513,1.0,2.5,0,llama4-scout,cot,570,1037.9
4,20,2,114.8,60.5,519,1.0,3.0,1,llama4-scout,cot,763,1461.4
5,5,5,47.0,6.7,571,1.0,8.0,1,llama4-scout,cot,763,1656.6
6,20,5,53.4,37.1,795,1.0,9.25,1,llama4-scout,cot,763,1397.9
7,20,20,50.3,10.9,933,1.0,14.25,0,llama4-scout,cot,763,1319.8
8,20,20,48.3,10.7,913,1.0,19.25,0,llama4-scout,cot,763,1626.4
9,4,4,48.8,9.9,848,1.0,24.25,1,llama4-scout,cot,763,1241.8
10,3,3,93.5,51.9,890,1.0,25.25,1,llama4-scout,cot,649,1281.9
11,2,2,137.2,69.1,889,0.9999,26.0,1,llama4-scout,cot,764,1282.6
12,3,2,205.5,89.6,768,0.9996,26.5,1,llama4-scout,cot,556,2459.5
13,2,2,113.7,60.8,782,1.0,27.25,1,llama4-scout,cot,609,1425.0
14,3,2,189.4,90.3,774,0.9996,27.75,1,llama4-scout,cot,657,1105.9
15,2,2,122.2,61.4,790,1.0,28.5,1,llama4-scout,cot,634,1711.5
16,3,2,200.5,93.3,800,0.9994,29.0,1,llama4-scout,cot,515,1461.9
17,20,3,136.1,69.7,896,0.9999,29.75,1,llama4-scout,cot,764,2000.6
18,3,3,47.0,10.7,917,1.0,34.75,1,llama4-scout,cot,758,2544.8
19,2,2,142.5,72.6,933,0.9999,35.5,1,llama4-scout,cot,722,1814.5
20,3,2,229.1,104.2,894,0.9988,36.0,1,llama4-scout,cot,686,1910.4
21,3,3,131.9,68.8,885,0.9999,36.75,0,llama4-scout,cot,740,1196.6
22,3,3,121.6,63.6,818,1.0,37.5,0,llama4-scout,cot,668,1491.6
23,2,2,112.3,61.7,793,1.0,38.25,1,llama4-scout,cot,763,1258.6
24,2,2,191.9,92.0,789,0.9995,38.75,0,llama4-scout,cot,706,1142.2
25,3,2,224.6,94.3,809,0.9994,39.25,1,llama4-scout,cot,583,826.5
26,20,3,120.1,62.8,808,1.0,40.0,1,llama4-scout,cot,763,1327.0
27,2,2,48.0,10.0,860,1.0,45.0,1,llama4-scout,cot,745,1205.5
28,2,2,184.1,87.5,750,0.9997,45.5,0,llama4-scout,cot,751,1243.0
29,2,2,189.4,87.6,751,0.9996,46.0,0,llama4-scout,cot,610,1230.9
30,3,2,207.6,96.0,823,0.9993,46.5,1,llama4-scout,cot,609,1611.6
31,3,3,113.2,61.6,792,1.0,47.25,0,llama4-scout,cot,763,2131.9
32,2,2,99.0,53.0,681,1.0,48.0,1,llama4-scout,cot,710,1259.5
33,2,2,163.1,79.1,678,0.9998,48.5,0,llama4-scout,cot,723,1539.8
34,2,2,148.6,74.4,638,0.9999,49.0,0,llama4-scout,cot,764,1405.3
35,2,2,146.0,70.9,608,0.9999,49.5,0,llama4-scout,cot,720,1634.1
36,2,2,121.7,66.6,571,0.9999,50.0,0,llama4-scout,cot,718,1312.6
37,2,2,149.3,73.4,629,0.9999,50.5,0,llama4-scout,cot,750,1194.1
38,2,2,149.7,71.6,614,0.9999,51.0,0,llama4-scout,cot,671,1025.7
39,2,2,140.6,71.7,615,0.9999,51.5,0,llama4-scout,cot,591,957.8
40,2,2,158.6,79.1,678,0.9998,52.0,0,llama4-scout,cot,636,1202.3
41,3,2,211.4,94.3,809,0.9994,52.5,1,llama4-scout,cot,575,2572.2
42,20,3,102.1,56.3,724,1.0,53.25,1,llama4-scout,cot,763,2348.6
43,2,2,47.3,8.8,756,1.0,58.25,1,llama4-scout,cot,683,1147.5
44,2,2,183.0,85.4,732,0.9997,58.75,0,llama4-scout,cot,642,1596.0
45,2,2,179.6,86.1,738,0.9997,59.25,0,llama4-scout,cot,726,1211.9
46,2,2,168.0,81.3,697,0.9998,59.75,0,llama4-scout,cot,671,1273.4
47,2,2,190.9,85.4,732,0.9997,60.25,0,llama4-scout,cot,686,1282.1
48,3,2,211.1,95.0,815,0.9994,60.75,1,llama4-scout,cot,525,1198.1
49,2,2,121.4,63.7,819,1.0,61.5,1,llama4-scout,cot,725,1141.0
50,3,2,217.2,97.5,836,0.9992,62.0,1,llama4-scout,cot,670,1474.4
51,3,3,118.9,63.9,822,1.0,62.75,0,llama4-scout,cot,763,1498.7
52,2,2,97.8,55.0,707,1.0,63.5,1,llama4-scout,cot,684,1058.0
53,2,2,167.6,78.5,673,0.9998,64.0,0,llama4-scout,cot,764,1761.6
54,1,1,147.9,73.8,633,0.9999,64.5,1,llama4-scout,cot,764,1791.4
55,2,1,491.5,146.6,640,0.9814,64.75,1,llama4-scout,cot,626,1343.5
56,2,2,148.0,72.7,623,0.9999,65.25,0,llama4-scout,cot,731,1206.5
57,2,2,163.7,81.4,698,0.9998,65.75,0,llama4-scout,cot,585,1003.5
58,2,2,137.7,68.8,590,0.9999,66.25,0,llama4-scout,cot,721,1187.4
59,2,2,143.1,70.5,604,0.9999,66.75,0,llama4-scout,cot,749,1247.5
60,2,2,168.6,82.1,704,0.9998,67.25,0,llama4-scout,cot,660,1091.5
61,2,2,177.5,83.9,719,0.9997,67.75,0,llama4-scout,cot,693,1065.9
62,2,2,189.7,86.9,745,0.9997,68.25,0,llama4-scout,cot,670,1010.4
63,3,2,203.7,92.7,795,0.9995,68.75,1,llama4-scout,cot,627,1768.9
64,2,2,108.5,61.7,793,1.0,69.5,1,llama4-scout,cot,716,1136.6
65,2,2,180.8,85.6,734,0.9997,70.0,0,llama4-scout,cot,696,1082.3
66,2,2,169.9,83.0,712,0.9998,70.5,0,llama4-scout,cot,605,868.1
67,2,2,160.3,81.9,702,0.9998,71.0,0,llama4-scout,cot,674,1039.9
68,2,2,174.8,85.1,730,0.9997,71.5,0,llama4-scout,cot,762,1253.0
69,2,2,140.4,72.9,625,0.9999,72.0,0,llama4-scout,cot,720,1667.4
70,2,2,163.6,81.1,695,0.9998,72.5,0,llama4-scout,cot,695,1859.6
71,2,2,139.9,72.1,618,0.9999,73.0,0,llama4-scout,cot,716,1196.8
72,2,2,121.6,64.9,556,1.0,73.5,0,llama4-scout,cot,744,1230.9
73,6,2,135.4,68.7,589,0.9999,74.0,1,llama4-scout,cot,764,1233.1
74,7,6,46.3,20.3,523,1.0,75.5,1,llama4-scout,cot,763,1379.5
75,2,2,50.4,20.2,607,1.0,77.25,1,llama4-scout,cot,752,1257.2
76,3,2,206.4,92.6,794,0.9995,77.75,1,llama4-scout,cot,757,1450.8
77,20,3,135.3,69.2,890,0.9999,78.5,1,llama4-scout,cot,764,1896.5
78,3,3,46.9,12.1,1034,1.0,83.5,1,llama4-scout,cot,721,1553.3
79,4,3,227.0,102.8,1323,0.9989,84.25,1,llama4-scout,cot,513,683.3
80,3,3,128.1,67.2,1152,0.9999,85.25,1,llama4-scout,cot,753,1280.2
81,2,2,149.2,76.4,982,0.9999,86.0,1,llama4-scout,cot,667,1680.2
82,3,2,229.9,98.7,847,0.9992,86.5,1,llama4-scout,cot,643,1469.3
83,2,2,125.2,64.0,823,1.0,87.25,1,llama4-scout,cot,755,1503.4
84,3,2,232.6,101.2,868,0.999,87.75,1,llama4-scout,cot,569,1776.8
85,2,2,168.8,82.1,1056,0.9998,88.5,1,llama4-scout,cot,765,1230.5
86,3,2,282.8,114.1,980,0.9975,89.0,1,llama4-scout,cot,666,1437.1
87,3,3,132.6,71.2,916,0.9999,89.75,0,llama4-scout,cot,686,1079.9
88,20,3,156.5,76.6,985,0.9999,90.5,1,llama4-scout,cot,764,1888.0
89,3,3,46.7,11.2,958,1.0,95.5,1,llama4-scout,cot,730,1784.7
90,3,3,159.7,78.6,1011,0.9998,96.25,0,llama4-scout,cot,765,1232.7
91,3,3,159.4,79.6,1023,0.9998,97.0,0,llama4-scout,cot,660,1310.6
92,2,2,165.0,80.2,1031,0.9998,97.75,1,llama4-scout,cot,765,1384.1
93,3,2,384.3,132.0,1140,0.9923,98.25,1,llama4-scout,cot,763,1387.3
94,3,3,166.2,78.9,1015,0.9998,99.0,0,llama4-scout,cot,630,1689.2
95,3,3,155.8,76.9,989,0.9999,99.75,0,llama4-scout,cot,764,1921.5
96,5,3,125.2,66.7,858,0.9999,100.5,1,llama4-scout,cot,764,1614.0
97,3,3,56.5,38.5,824,1.0,101.75,1,llama4-scout,cot,707,1516.0
98,3,3,133.4,68.1,875,0.9999,102.5,0,llama4-scout,cot,764,1846.5
99,3,3,140.5,70.5,906,0.9999,103.25,0,llama4-scout,cot,691,1510.4
100,20,3,115.3,61.3,788,1.0,104.0,1,llama4-scout,cot,763,1496.8
101,2,2,45.5,8.8,754,1.0,109.0,1,llama4-scout,cot,649,1100.9
102,2,2,171.0,81.3,697,0.9998,109.5,0,llama4-scout,cot,762,1922.0
103,2,2,171.9,85.0,729,0.9997,110.0,0,llama4-scout,cot,656,1226.2
104,3,2,250.5,105.8,908,0.9986,110.5,1,llama4-scout,cot,629,1097.9
105,2,2,135.9,67.7,870,0.9999,111.25,1,llama4-scout,cot,764,1431.8
106,3,2,192.3,91.3,783,0.9995,111.75,1,llama4-scout,cot,576,1191.5
107,3,3,113.0,61.3,788,1.0,112.5,0,llama4-scout,cot,646,1530.9
108,4,3,120.7,62.4,802,1.0,113.25,1,llama4-scout,cot,763,1243.3
109,3,3,75.1,46.8,802,1.0,114.25,1,llama4-scout,cot,677,1190.6
110,3,3,132.2,67.4,866,0.9999,115.0,0,llama4-scout,cot,764,1474.0
111,3,3,128.1,68.8,884,0.9999,115.75,0,llama4-scout,cot,764,1804.9
112,2,2,118.7,63.0,810,1.0,116.5,1,llama4-scout,cot,678,1338.3
113,3,2,212.4,96.1,824,0.9993,117.0,1,llama4-scout,cot,618,1081.0
114,2,2,120.3,65.4,841,1.0,117.75,1,llama4-scout,cot,763,1674.3
115,3,2,202.7,91.3,783,0.9995,118.25,1,llama4-scout,cot,556,898.4
116,2,2,118.0,61.1,785,1.0,119.0,1,llama4-scout,cot,763,1603.7
117,2,2,191.9,85.8,736,0.9997,119.5,0,llama4-scout,cot,642,1561.2
118,2,2,194.7,90.0,772,0.9996,120.0,0,llama4-scout,cot,690,1307.1
119,2,2,173.6,84.0,720,0.9997,120.5,0,llama4-scout,cot,723,1564.7
120,3,2,234.5,101.2,868,0.999,121.0,1,llama4-scout,cot,686,1393.6
121,2,2,149.1,76.5,984,0.9999,121.75,1,llama4-scout,cot,764,2214.2
122,3,2,245.1,104.4,896,0.9987,122.25,1,llama4-scout,cot,682,1239.1
123,2,2,123.4,67.0,861,0.9999,123.0,1,llama4-scout,cot,764,1298.8
124,3,2,240.3,100.7,864,0.999,123.5,1,llama4-scout,cot,636,990.3
125,20,3,140.7,72.9,938,0.9999,124.25,1,llama4-scout,cot,764,1223.3
126,20,20,45.7,11.6,997,1.0,129.25,0,llama4-scout,cot,0,0.0
127,2,2,48.8,9.9,849,1.0,134.25,1,llama4-scout,cot,747,2223.3
128,3,2,212.2,93.0,798,0.9995,134.75,1,llama4-scout,cot,578,940.0
129,2,2,110.3,58.1,747,1.0,135.5,1,llama4-scout,cot,753,3789.0
130,3,2,233.8,100.6,863,0.999,136.0,1,llama4-scout,cot,588,1512.8
131,7,3,142.5,73.7,948,0.9999,136.75,1,llama4-scout,cot,764,1676.8
132,20,7,51.0,33.6,1008,1.0,138.5,1,llama4-scout,cot,764,2395.9
133,2,2,43.9,11.9,1023,1.0,143.5,1,llama4-scout,cot,731,2073.4
134,3,2,389.9,132.5,1145,0.992,144.0,1,llama4-scout,cot,718,3207.7
135,4,3,188.7,87.2,1121,0.9997,144.75,1,llama4-scout,cot,765,2068.4
136,4,4,153.7,75.4,1293,0.9999,145.75,0,llama4-scout,cot,701,1626.5
137,3,3,153.0,75.1,1287,0.9999,146.75,1,llama4-scout,cot,757,1892.5
138,4,3,247.6,106.9,1377,0.9985,147.5,1,llama4-scout,cot,663,1437.7
139,4,4,188.9,85.1,1459,0.9997,148.5,0,llama4-scout,cot,751,2282.3
140,5,4,232.9,98.8,1696,0.9992,149.5,1,llama4-scout,cot,738,1312.1
141,4,4,166.2,80.3,1720,0.9998,150.75,1,llama4-scout,cot,693,1504.1
142,5,4,264.5,110.8,1904,0.998,151.75,1,llama4-scout,cot,681,1075.3
143,6,5,256.5,106.4,2283,0.9985,153.0,1,llama4-scout,cot,689,1641.4
144,20,6,244.1,103.6,2668,0.9988,154.5,1,llama4-scout,cot,765,1907.6
145,7,7,53.3,33.6,2882,1.0,159.5,1,llama4-scout,cot,764,2716.2
146,8,7,262.8,106.9,3211,0.9985,161.25,1,llama4-scout,cot,715,1580.9
147,9,8,235.5,100.8,3461,0.999,163.25,1,llama4-scout,cot,658,1388.3
148,10,9,205.5,93.5,3607,0.9994,165.5,1,llama4-scout,cot,583,1005.8
149,9,9,186.3,85.4,3659,0.9997,168.0,1,llama4-scout,cot,721,1539.4
150,10,9,220.1,99.0,3823,0.9991,170.25,1,llama4-scout,cot,734,1986.3
151,11,10,203.1,90.2,3866,0.9996,172.75,1,llama4-scout,cot,737,2018.3
152,9,9,177.8,80.1,3775,0.9998,175.5,1,llama4-scout,cot,748,1412.5
153,10,9,208.2,92.0,3550,0.9995,177.75,1,llama4-scout,cot,736,1361.2
154,8,8,158.7,78.7,3373,0.9998,180.25,1,llama4-scout,cot,638,1524.9
155,9,8,204.7,95.3,3268,0.9994,182.25,1,llama4-scout,cot,265,311.1
156,8,8,170.2,80.7,3112,0.9998,184.5,1,llama4-scout,cot,640,1188.6
157,8,8,189.8,86.2,2955,0.9997,186.5,0,llama4-scout,cot,696,1472.4
158,7,7,180.7,84.0,2880,0.9997,188.5,1,llama4-scout,cot,709,1544.3
159,8,7,200.3,92.8,2786,0.9995,190.25,1,llama4-scout,cot,600,2026.8
160,7,7,156.4,77.7,2666,0.9999,192.25,1,llama4-scout,cot,765,2408.5
161,6,6,169.1,83.1,2494,0.9998,194.0,1,llama4-scout,cot,750,2296.1
162,7,6,212.4,92.3,2375,0.9995,195.5,1,llama4-scout,cot,668,2091.3
163,20,7,159.6,75.7,2270,0.9999,197.25,1,llama4-scout,cot,765,1548.6
164,20,20,53.0,25.1,2148,1.0,202.25,0,llama4-scout,cot,764,1820.3
165,5,5,50.3,24.0,2053,1.0,207.25,1,llama4-scout,cot,575,861.8
166,5,5,182.2,86.4,1852,0.9997,208.5,0,llama4-scout,cot,615,1355.4
167,4,4,165.1,79.1,1696,0.9998,209.75,1,llama4-scout,cot,632,1263.8
168,5,4,208.1,94.9,1628,0.9994,210.75,1,llama4-scout,cot,561,2506.3
169,4,4,150.9,75.2,1612,0.9999,212.0,1,llama4-scout,cot,751,3733.4
170,5,4,218.3,94.6,1622,0.9994,213.0,1,llama4-scout,cot,562,2197.5
171,4,4,136.4,70.2,1504,0.9999,214.25,1,llama4-scout,cot,734,1641.0
172,4,4,149.2,75.1,1287,0.9999,215.25,0,llama4-scout,cot,765,1547.2
173,3,3,143.6,71.2,1220,0.9999,216.25,1,llama4-scout,cot,662,1980.8
174,3,3,187.3,87.9,1131,0.9996,217.0,0,llama4-scout,cot,678,1133.9
175,3,3,167.8,84.2,1083,0.9997,217.75,0,llama4-scout,cot,765,2015.4
176,3,3,174.3,81.7,1051,0.9998,218.5,0,llama4-scout,cot,718,1419.5
177,20,3,143.4,74.1,953,0.9999,219.25,1,llama4-scout,cot,764,1835.3
178,2,2,46.6,10.5,899,1.0,224.25,1,llama4-scout,cot,731,3026.5
179,3,2,268.1,107.2,920,0.9985,224.75,1,llama4-scout,cot,628,1049.3
180,20,3,162.0,79.2,1018,0.9998,225.5,1,llama4-scout,cot,765,1405.5
181,6,6,47.5,11.6,991,1.0,230.5,1,llama4-scout,cot,763,2267.8
182,6,6,54.7,37.3,960,1.0,232.0,0,llama4-scout,cot,763,1567.7
183,3,3,49.1,35.1,902,1.0,233.5,1,llama4-scout,cot,749,1869.1
184,2,2,142.0,71.2,916,0.9999,234.25,1,llama4-scout,cot,745,2347.5
