step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,69.7,42.9,551,1.0,0.75,0,llama4-scout,domain,361,487.3
1,3,3,60.4,40.4,520,1.0,1.5,0,llama4-scout,domain,361,132.2
2,3,3,60.4,38.8,499,1.0,2.25,0,llama4-scout,domain,361,132.6
3,3,3,59.0,39.9,513,1.0,3.0,0,llama4-scout,domain,361,82.9
4,3,3,60.7,40.4,519,1.0,3.75,0,llama4-scout,domain,361,84.5
5,3,3,74.6,44.4,571,1.0,4.5,0,llama4-scout,domain,361,86.0
6,3,3,121.4,61.8,795,1.0,5.25,0,llama4-scout,domain,361,107.4
7,3,3,146.8,72.6,933,0.9999,6.0,0,llama4-scout,domain,362,120.0
8,4,3,139.0,71.0,913,0.9999,6.75,1,llama4-scout,domain,362,99.8
9,4,4,82.2,49.5,848,1.0,7.75,0,llama4-scout,domain,361,195.1
10,4,4,93.1,51.9,890,1.0,8.75,0,llama4-scout,domain,361,84.4
11,5,4,91.4,51.9,889,1.0,9.75,1,llama4-scout,domain,361,106.6
12,5,5,50.2,35.8,768,1.0,11.0,0,llama4-scout,domain,361,79.0
13,5,5,49.9,36.5,782,1.0,12.25,0,llama4-scout,domain,361,85.0
14,5,5,50.7,36.1,774,1.0,13.5,0,llama4-scout,domain,361,88.6
15,5,5,51.4,36.9,790,1.0,14.75,0,llama4-scout,domain,361,84.0
16,5,5,53.5,37.3,800,1.0,16.0,0,llama4-scout,domain,361,82.0
17,5,5,66.9,41.8,896,1.0,17.25,0,llama4-scout,domain,361,96.5
18,5,5,69.9,42.8,917,1.0,18.5,0,llama4-scout,domain,361,82.6
19,5,5,73.5,43.5,933,1.0,19.75,0,llama4-scout,domain,361,223.5
20,5,5,68.4,41.7,894,1.0,21.0,0,llama4-scout,domain,361,80.1
21,5,5,65.1,41.3,885,1.0,22.25,0,llama4-scout,domain,361,81.5
22,5,5,53.8,38.2,818,1.0,23.5,0,llama4-scout,domain,361,86.6
23,5,5,52.0,37.0,793,1.0,24.75,0,llama4-scout,domain,361,86.3
24,5,5,54.4,36.8,789,1.0,26.0,0,llama4-scout,domain,361,149.9
25,5,5,51.6,37.8,809,1.0,27.25,0,llama4-scout,domain,361,83.3
26,5,5,52.9,37.7,808,1.0,28.5,0,llama4-scout,domain,361,123.3
27,5,5,58.8,40.1,860,1.0,29.75,0,llama4-scout,domain,361,176.3
28,5,5,53.4,35.0,750,1.0,31.0,0,llama4-scout,domain,361,80.4
29,5,5,49.4,35.0,751,1.0,32.25,0,llama4-scout,domain,361,81.0
30,5,5,54.2,38.4,823,1.0,33.5,0,llama4-scout,domain,361,81.9
31,5,5,51.6,37.0,792,1.0,34.75,0,llama4-scout,domain,361,142.1
32,5,5,50.9,31.8,681,1.0,36.0,0,llama4-scout,domain,361,166.5
33,5,5,48.8,31.6,678,1.0,37.25,0,llama4-scout,domain,361,415.7
34,5,5,49.2,29.8,638,1.0,38.5,0,llama4-scout,domain,361,84.0
35,5,5,48.0,28.4,608,1.0,39.75,0,llama4-scout,domain,361,73.9
36,5,5,50.0,26.6,571,1.0,41.0,0,llama4-scout,domain,361,76.5
37,5,5,50.0,29.4,629,1.0,42.25,0,llama4-scout,domain,361,79.3
38,5,5,48.5,28.7,614,1.0,43.5,0,llama4-scout,domain,361,83.1
39,5,5,50.1,28.7,615,1.0,44.75,0,llama4-scout,domain,361,175.7
40,5,5,48.8,31.6,678,1.0,46.0,0,llama4-scout,domain,361,107.6
41,5,5,52.0,37.8,809,1.0,47.25,0,llama4-scout,domain,361,81.6
42,5,5,51.5,33.8,724,1.0,48.5,0,llama4-scout,domain,361,92.6
43,5,5,52.2,35.3,756,1.0,49.75,0,llama4-scout,domain,361,86.6
44,5,5,50.7,34.2,732,1.0,51.0,0,llama4-scout,domain,361,316.3
45,5,5,50.3,34.4,738,1.0,52.25,0,llama4-scout,domain,361,111.1
46,5,5,52.0,32.5,697,1.0,53.5,0,llama4-scout,domain,361,78.2
47,5,5,50.3,34.2,732,1.0,54.75,0,llama4-scout,domain,361,114.2
48,5,5,55.2,38.0,815,1.0,56.0,0,llama4-scout,domain,361,84.7
49,5,5,54.1,38.2,819,1.0,57.25,0,llama4-scout,domain,361,77.8
50,5,5,55.3,39.0,836,1.0,58.5,0,llama4-scout,domain,361,80.3
51,5,5,56.9,38.4,822,1.0,59.75,0,llama4-scout,domain,361,78.4
52,5,5,50.2,33.0,707,1.0,61.0,0,llama4-scout,domain,361,81.0
53,5,5,52.0,31.4,673,1.0,62.25,0,llama4-scout,domain,361,144.0
54,5,5,49.1,29.5,633,1.0,63.5,0,llama4-scout,domain,361,288.1
55,5,5,52.9,29.9,640,1.0,64.75,0,llama4-scout,domain,361,83.2
56,5,5,51.3,29.1,623,1.0,66.0,0,llama4-scout,domain,361,120.8
57,5,5,50.1,32.6,698,1.0,67.25,0,llama4-scout,domain,361,115.1
58,5,5,49.3,27.5,590,1.0,68.5,0,llama4-scout,domain,361,100.2
59,5,5,48.8,28.2,604,1.0,69.75,0,llama4-scout,domain,361,103.4
60,5,5,51.4,32.9,704,1.0,71.0,0,llama4-scout,domain,361,118.3
61,5,5,49.2,33.6,719,1.0,72.25,0,llama4-scout,domain,361,79.8
62,5,5,52.1,34.8,745,1.0,73.5,0,llama4-scout,domain,361,92.4
63,5,5,53.2,37.1,795,1.0,74.75,0,llama4-scout,domain,361,81.0
64,5,5,51.8,37.0,793,1.0,76.0,0,llama4-scout,domain,361,81.2
65,5,5,50.8,34.3,734,1.0,77.25,0,llama4-scout,domain,361,160.9
66,5,5,49.4,33.2,712,1.0,78.5,0,llama4-scout,domain,361,283.7
67,5,5,48.5,32.8,702,1.0,79.75,0,llama4-scout,domain,361,397.6
68,5,5,52.0,34.1,730,1.0,81.0,0,llama4-scout,domain,361,84.2
69,5,5,50.9,29.2,625,1.0,82.25,0,llama4-scout,domain,361,85.9
70,5,5,48.6,32.4,695,1.0,83.5,0,llama4-scout,domain,361,82.1
71,5,5,48.6,28.8,618,1.0,84.75,0,llama4-scout,domain,361,86.8
72,5,5,51.1,25.9,556,1.0,86.0,0,llama4-scout,domain,361,89.2
73,5,5,49.7,27.5,589,1.0,87.25,0,llama4-scout,domain,361,237.5
74,5,5,48.0,24.4,523,1.0,88.5,0,llama4-scout,domain,361,273.4
75,5,5,50.2,28.3,607,1.0,89.75,0,llama4-scout,domain,361,140.7
76,5,5,52.7,37.1,794,1.0,91.0,0,llama4-scout,domain,361,90.9
77,5,5,63.7,41.5,890,1.0,92.25,0,llama4-scout,domain,361,152.8
78,5,5,83.2,48.3,1034,1.0,93.5,0,llama4-scout,domain,362,78.9
79,5,5,114.2,61.7,1323,1.0,94.75,0,llama4-scout,domain,362,145.6
80,5,5,88.9,53.8,1152,1.0,96.0,0,llama4-scout,domain,362,277.4
81,5,5,72.4,45.8,982,1.0,97.25,0,llama4-scout,domain,361,111.1
82,5,5,58.9,39.5,847,1.0,98.5,0,llama4-scout,domain,361,398.5
83,5,5,56.5,38.4,823,1.0,99.75,0,llama4-scout,domain,361,78.3
84,5,5,62.3,40.5,868,1.0,101.0,0,llama4-scout,domain,361,87.7
85,5,5,80.0,49.3,1056,1.0,102.25,0,llama4-scout,domain,362,156.9
86,5,5,71.7,45.7,980,1.0,103.5,0,llama4-scout,domain,361,154.8
87,5,5,65.9,42.7,916,1.0,104.75,0,llama4-scout,domain,361,240.5
88,5,5,71.6,46.0,985,1.0,106.0,0,llama4-scout,domain,361,79.0
89,5,5,70.0,44.7,958,1.0,107.25,0,llama4-scout,domain,361,113.9
90,5,5,82.1,47.2,1011,1.0,108.5,0,llama4-scout,domain,362,130.7
91,6,5,79.4,47.7,1023,1.0,109.75,1,llama4-scout,domain,362,79.1
92,6,6,60.2,40.1,1031,1.0,111.25,0,llama4-scout,domain,362,163.6
93,6,6,69.4,44.3,1140,1.0,112.75,0,llama4-scout,domain,362,185.9
94,6,6,56.6,39.5,1015,1.0,114.25,0,llama4-scout,domain,362,100.8
95,6,6,57.6,38.5,989,1.0,115.75,0,llama4-scout,domain,361,78.3
96,6,6,51.4,33.4,858,1.0,117.25,0,llama4-scout,domain,361,79.3
97,6,6,51.2,32.0,824,1.0,118.75,0,llama4-scout,domain,361,85.8
98,6,6,50.6,34.0,875,1.0,120.25,0,llama4-scout,domain,361,81.6
99,6,6,50.3,35.2,906,1.0,121.75,0,llama4-scout,domain,361,124.5
100,6,6,49.9,30.6,788,1.0,123.25,0,llama4-scout,domain,361,100.8
101,6,6,49.4,29.3,754,1.0,124.75,0,llama4-scout,domain,361,79.9
102,6,6,51.1,27.1,697,1.0,126.25,0,llama4-scout,domain,361,228.7
103,6,6,51.9,28.3,729,1.0,127.75,0,llama4-scout,domain,361,82.5
104,6,6,50.0,35.3,908,1.0,129.25,0,llama4-scout,domain,361,489.8
105,6,6,51.2,33.8,870,1.0,130.75,0,llama4-scout,domain,361,88.5
106,6,6,48.8,30.4,783,1.0,132.25,0,llama4-scout,domain,361,82.5
107,6,6,49.8,30.6,788,1.0,133.75,0,llama4-scout,domain,361,81.2
108,6,6,50.4,31.2,802,1.0,135.25,0,llama4-scout,domain,361,156.9
109,6,6,51.8,31.2,802,1.0,136.75,0,llama4-scout,domain,361,107.5
110,6,6,52.6,33.7,866,1.0,138.25,0,llama4-scout,domain,361,79.2
111,6,6,49.6,34.4,884,1.0,139.75,0,llama4-scout,domain,361,81.2
112,6,6,48.3,31.5,810,1.0,141.25,0,llama4-scout,domain,361,162.4
113,6,6,50.3,32.0,824,1.0,142.75,0,llama4-scout,domain,361,78.5
114,6,6,49.5,32.7,841,1.0,144.25,0,llama4-scout,domain,361,205.2
115,6,6,47.8,30.4,783,1.0,145.75,0,llama4-scout,domain,361,93.2
116,6,6,50.1,30.5,785,1.0,147.25,0,llama4-scout,domain,361,167.4
117,6,6,46.0,28.6,736,1.0,148.75,0,llama4-scout,domain,361,391.0
118,6,6,51.9,30.0,772,1.0,150.25,0,llama4-scout,domain,361,101.6
119,6,6,48.7,28.0,720,1.0,151.75,0,llama4-scout,domain,361,95.9
120,6,6,52.0,33.8,868,1.0,153.25,0,llama4-scout,domain,361,84.3
121,6,6,54.5,38.3,984,1.0,154.75,0,llama4-scout,domain,361,82.1
122,6,6,48.8,34.8,896,1.0,156.25,0,llama4-scout,domain,361,81.3
123,6,6,51.1,33.5,861,1.0,157.75,0,llama4-scout,domain,361,121.3
124,6,6,50.6,33.6,864,1.0,159.25,0,llama4-scout,domain,361,181.0
125,6,6,50.7,36.5,938,1.0,160.75,0,llama4-scout,domain,361,80.4
126,6,6,56.1,38.8,997,1.0,162.25,0,llama4-scout,domain,361,82.4
127,6,6,47.4,33.0,849,1.0,163.75,0,llama4-scout,domain,361,82.5
128,6,6,50.1,31.0,798,1.0,165.25,0,llama4-scout,domain,361,78.7
129,6,6,48.6,29.0,747,1.0,166.75,0,llama4-scout,domain,361,81.6
130,6,6,50.1,33.6,863,1.0,168.25,0,llama4-scout,domain,361,354.7
131,6,6,50.3,36.9,948,1.0,169.75,0,llama4-scout,domain,361,79.6
132,6,6,57.3,39.2,1008,1.0,171.25,0,llama4-scout,domain,362,82.3
133,6,6,60.7,39.8,1023,1.0,172.75,0,llama4-scout,domain,362,84.6
134,6,6,73.1,44.5,1145,1.0,174.25,0,llama4-scout,domain,362,201.2
135,6,6,69.1,43.6,1121,1.0,175.75,0,llama4-scout,domain,362,112.3
136,6,6,84.4,50.3,1293,1.0,177.25,0,llama4-scout,domain,362,112.4
137,6,6,84.2,50.0,1287,1.0,178.75,0,llama4-scout,domain,362,271.2
138,6,6,93.0,53.5,1377,1.0,180.25,0,llama4-scout,domain,362,194.9
139,6,6,99.1,56.7,1459,1.0,181.75,0,llama4-scout,domain,362,76.0
140,6,6,130.3,66.0,1696,1.0,183.25,0,llama4-scout,domain,362,182.0
141,6,6,130.9,66.9,1720,0.9999,184.75,0,llama4-scout,domain,363,108.1
142,7,6,147.1,74.0,1904,0.9999,186.25,1,llama4-scout,domain,363,81.4
143,7,7,157.0,76.1,2283,0.9999,188.0,0,llama4-scout,domain,363,116.8
144,7,7,187.7,88.9,2668,0.9996,189.75,0,llama4-scout,domain,363,295.6
145,7,7,213.0,96.0,2882,0.9993,191.5,0,llama4-scout,domain,363,78.2
146,8,7,253.7,106.9,3211,0.9985,193.25,1,llama4-scout,domain,363,122.4
147,8,8,237.1,100.8,3461,0.999,195.25,0,llama4-scout,domain,362,80.2
148,10,8,256.8,105.1,3607,0.9987,197.25,1,llama4-scout,domain,363,159.9
149,10,10,171.0,85.4,3659,0.9997,199.75,0,llama4-scout,domain,363,395.4
150,10,10,196.8,89.2,3823,0.9996,202.25,0,llama4-scout,domain,363,80.2
151,10,10,189.0,90.2,3866,0.9996,204.75,0,llama4-scout,domain,363,80.7
152,10,10,190.4,88.1,3775,0.9996,207.25,0,llama4-scout,domain,363,76.2
153,10,10,172.2,82.8,3550,0.9998,209.75,0,llama4-scout,domain,363,84.2
154,10,10,163.6,78.7,3373,0.9998,212.25,0,llama4-scout,domain,363,81.3
155,10,10,158.8,76.2,3268,0.9999,214.75,0,llama4-scout,domain,363,121.9
156,11,10,157.2,72.6,3112,0.9999,217.25,1,llama4-scout,domain,363,83.5
157,11,11,122.4,62.7,2955,1.0,220.0,0,llama4-scout,domain,362,93.9
158,11,11,120.6,61.1,2880,1.0,222.75,0,llama4-scout,domain,362,235.6
159,11,11,111.1,59.1,2786,1.0,225.5,0,llama4-scout,domain,362,86.0
160,11,11,104.5,56.6,2666,1.0,228.25,0,llama4-scout,domain,362,82.7
161,11,11,93.8,52.9,2494,1.0,231.0,0,llama4-scout,domain,362,79.4
162,11,11,86.3,50.4,2375,1.0,233.75,0,llama4-scout,domain,362,87.0
163,11,11,81.5,48.2,2270,1.0,236.5,0,llama4-scout,domain,362,83.2
164,11,11,75.3,45.6,2148,1.0,239.25,0,llama4-scout,domain,362,115.6
165,11,11,70.5,43.5,2053,1.0,242.0,0,llama4-scout,domain,362,82.9
166,11,11,61.0,39.3,1852,1.0,244.75,0,llama4-scout,domain,362,161.9
167,11,11,53.3,36.0,1696,1.0,247.5,0,llama4-scout,domain,362,89.8
168,11,11,51.4,34.5,1628,1.0,250.25,0,llama4-scout,domain,362,172.5
169,11,11,52.4,34.2,1612,1.0,253.0,0,llama4-scout,domain,362,90.2
170,11,11,46.1,34.4,1622,1.0,255.75,0,llama4-scout,domain,362,81.1
171,11,11,50.2,31.9,1504,1.0,258.5,0,llama4-scout,domain,362,88.0
172,11,11,47.0,27.3,1287,1.0,261.25,0,llama4-scout,domain,362,80.9
173,11,11,48.7,25.9,1220,1.0,264.0,0,llama4-scout,domain,362,158.9
174,11,11,50.2,24.0,1131,1.0,266.75,0,llama4-scout,domain,362,78.9
175,11,11,49.4,23.0,1083,1.0,269.5,0,llama4-scout,domain,362,80.8
176,11,11,48.7,22.3,1051,1.0,272.25,0,llama4-scout,domain,362,107.9
177,11,11,51.6,20.2,953,1.0,275.0,0,llama4-scout,domain,361,164.0
178,11,11,49.6,19.1,899,1.0,277.75,0,llama4-scout,domain,361,148.5
179,11,11,48.0,19.5,920,1.0,280.5,0,llama4-scout,domain,361,77.1
180,11,11,48.6,21.6,1018,1.0,283.25,0,llama4-scout,domain,362,81.3
181,11,11,48.5,21.0,991,1.0,286.0,0,llama4-scout,domain,361,80.2
182,11,11,49.5,20.4,960,1.0,288.75,0,llama4-scout,domain,361,76.8
183,11,11,48.5,19.1,902,1.0,291.5,0,llama4-scout,domain,361,79.2
184,11,11,48.3,19.4,916,1.0,294.25,0,llama4-scout,domain,361,78.5
185,11,11,47.3,19.4,915,1.0,297.0,0,llama4-scout,domain,361,153.2
186,11,11,49.1,17.3,816,1.0,299.75,0,llama4-scout,domain,361,78.8
187,11,11,50.1,14.8,700,1.0,302.5,0,llama4-scout,domain,361,82.9
188,11,11,47.2,14.5,684,1.0,305.25,0,llama4-scout,domain,361,90.6
189,11,11,49.2,14.5,684,1.0,308.0,0,llama4-scout,domain,361,78.2
190,11,11,45.0,17.1,804,1.0,310.75,0,llama4-scout,domain,361,81.0
191,11,11,49.6,15.3,722,1.0,313.5,0,llama4-scout,domain,361,90.8
192,11,11,47.9,14.1,663,1.0,316.25,0,llama4-scout,domain,361,124.4
193,11,11,48.0,15.7,739,1.0,319.0,0,llama4-scout,domain,361,78.3
194,11,11,48.4,16.2,762,1.0,321.75,0,llama4-scout,domain,361,82.6
195,11,11,48.0,16.2,763,1.0,324.5,0,llama4-scout,domain,361,81.1
196,11,11,48.6,16.0,755,1.0,327.25,0,llama4-scout,domain,361,77.0
197,11,11,48.2,16.5,778,1.0,330.0,0,llama4-scout,domain,361,80.2
198,11,11,48.5,14.2,669,1.0,332.75,0,llama4-scout,domain,361,145.7
199,11,11,46.9,15.1,712,1.0,335.5,0,llama4-scout,domain,361,79.8
200,11,11,47.2,15.0,707,1.0,338.25,0,llama4-scout,domain,361,77.8
201,11,11,48.7,15.4,727,1.0,341.0,0,llama4-scout,domain,361,86.3
202,10,10,46.7,16.2,763,1.0,343.75,1,llama4-scout,domain,361,92.8
203,9,9,47.3,18.9,808,1.0,346.25,1,llama4-scout,domain,361,94.5
204,9,9,46.9,22.8,880,1.0,348.5,0,llama4-scout,domain,361,80.0
205,9,9,51.7,25.2,971,1.0,350.75,0,llama4-scout,domain,361,80.0
206,9,9,51.8,26.5,1024,1.0,353.0,0,llama4-scout,domain,362,78.2
207,9,9,49.2,23.3,899,1.0,355.25,0,llama4-scout,domain,361,111.1
208,9,9,49.5,22.7,876,1.0,357.5,0,llama4-scout,domain,361,96.3
209,9,9,47.2,23.3,897,1.0,359.75,0,llama4-scout,domain,361,84.4
210,9,9,45.9,24.3,937,1.0,362.0,0,llama4-scout,domain,361,92.7
211,9,9,51.0,22.4,864,1.0,364.25,0,llama4-scout,domain,361,80.4
