step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,64.9,42.9,551,1.0,0.75,0,llama4-scout,zero_shot,200,481.2
1,3,3,61.9,40.4,520,1.0,1.5,0,llama4-scout,zero_shot,200,275.3
2,3,3,58.0,38.8,499,1.0,2.25,0,llama4-scout,zero_shot,200,65.3
3,3,3,57.5,39.9,513,1.0,3.0,0,llama4-scout,zero_shot,200,679.8
4,3,3,60.1,40.4,519,1.0,3.75,0,llama4-scout,zero_shot,200,69.6
5,3,3,71.4,44.4,571,1.0,4.5,0,llama4-scout,zero_shot,200,68.5
6,3,3,114.9,61.8,795,1.0,5.25,0,llama4-scout,zero_shot,200,66.3
7,3,3,141.0,72.6,933,0.9999,6.0,0,llama4-scout,zero_shot,201,80.0
8,3,3,147.8,71.0,913,0.9999,6.75,0,llama4-scout,zero_shot,201,73.7
9,3,3,126.6,66.0,848,1.0,7.5,0,llama4-scout,zero_shot,200,66.9
10,3,3,130.4,69.2,890,0.9999,8.25,0,llama4-scout,zero_shot,201,189.8
11,3,3,131.1,69.1,889,0.9999,9.0,0,llama4-scout,zero_shot,201,74.0
12,3,3,110.2,59.7,768,1.0,9.75,0,llama4-scout,zero_shot,200,63.7
13,3,3,112.9,60.8,782,1.0,10.5,0,llama4-scout,zero_shot,200,63.4
14,3,3,108.0,60.2,774,1.0,11.25,0,llama4-scout,zero_shot,200,164.7
15,3,3,114.9,61.4,790,1.0,12.0,0,llama4-scout,zero_shot,200,488.6
16,3,3,114.3,62.2,800,1.0,12.75,0,llama4-scout,zero_shot,200,123.0
17,3,3,140.4,69.7,896,0.9999,13.5,0,llama4-scout,zero_shot,201,64.7
18,3,3,141.8,71.3,917,0.9999,14.25,0,llama4-scout,zero_shot,201,132.5
19,3,3,144.0,72.6,933,0.9999,15.0,0,llama4-scout,zero_shot,201,67.4
20,3,3,135.9,69.5,894,0.9999,15.75,0,llama4-scout,zero_shot,201,503.2
21,3,3,126.3,68.8,885,0.9999,16.5,0,llama4-scout,zero_shot,201,159.4
22,3,3,120.6,63.6,818,1.0,17.25,0,llama4-scout,zero_shot,200,66.5
23,3,3,117.3,61.7,793,1.0,18.0,0,llama4-scout,zero_shot,200,68.8
24,3,3,111.6,61.4,789,1.0,18.75,0,llama4-scout,zero_shot,200,71.5
25,3,3,113.8,62.9,809,1.0,19.5,0,llama4-scout,zero_shot,200,573.5
26,3,3,115.4,62.8,808,1.0,20.25,0,llama4-scout,zero_shot,200,66.7
27,3,3,127.6,66.9,860,0.9999,21.0,0,llama4-scout,zero_shot,201,316.9
28,3,3,110.6,58.3,750,1.0,21.75,0,llama4-scout,zero_shot,200,96.5
29,3,3,104.8,58.4,751,1.0,22.5,0,llama4-scout,zero_shot,200,67.9
30,3,3,125.3,64.0,823,1.0,23.25,0,llama4-scout,zero_shot,200,65.7
31,3,3,120.5,61.6,792,1.0,24.0,0,llama4-scout,zero_shot,200,148.2
32,3,3,95.3,53.0,681,1.0,24.75,0,llama4-scout,zero_shot,200,63.4
33,3,3,93.5,52.7,678,1.0,25.5,0,llama4-scout,zero_shot,200,64.4
34,3,3,84.8,49.6,638,1.0,26.25,0,llama4-scout,zero_shot,200,68.9
35,3,3,81.9,47.3,608,1.0,27.0,0,llama4-scout,zero_shot,200,96.0
36,3,3,70.0,44.4,571,1.0,27.75,0,llama4-scout,zero_shot,200,150.0
37,3,3,86.3,48.9,629,1.0,28.5,0,llama4-scout,zero_shot,200,64.6
38,3,3,75.3,47.8,614,1.0,29.25,0,llama4-scout,zero_shot,200,62.3
39,3,3,81.9,47.8,615,1.0,30.0,0,llama4-scout,zero_shot,200,84.6
40,3,3,98.9,52.7,678,1.0,30.75,0,llama4-scout,zero_shot,200,64.6
41,3,3,123.4,62.9,809,1.0,31.5,0,llama4-scout,zero_shot,200,69.2
42,3,3,101.3,56.3,724,1.0,32.25,0,llama4-scout,zero_shot,200,89.2
43,3,3,99.7,58.8,756,1.0,33.0,0,llama4-scout,zero_shot,200,64.8
44,3,3,107.0,56.9,732,1.0,33.75,0,llama4-scout,zero_shot,200,68.5
45,3,3,109.3,57.4,738,1.0,34.5,0,llama4-scout,zero_shot,200,66.4
46,3,3,95.9,54.2,697,1.0,35.25,0,llama4-scout,zero_shot,200,542.6
47,3,3,103.5,56.9,732,1.0,36.0,0,llama4-scout,zero_shot,200,150.0
48,3,3,119.2,63.4,815,1.0,36.75,0,llama4-scout,zero_shot,200,379.3
49,3,3,123.6,63.7,819,1.0,37.5,0,llama4-scout,zero_shot,200,117.2
50,3,3,124.2,65.0,836,1.0,38.25,0,llama4-scout,zero_shot,200,68.2
51,3,3,117.7,63.9,822,1.0,39.0,0,llama4-scout,zero_shot,200,97.6
52,3,3,96.7,55.0,707,1.0,39.75,0,llama4-scout,zero_shot,200,65.1
53,3,3,91.1,52.3,673,1.0,40.5,0,llama4-scout,zero_shot,200,65.2
54,3,3,77.3,49.2,633,1.0,41.25,0,llama4-scout,zero_shot,200,97.9
55,3,3,83.8,49.8,640,1.0,42.0,0,llama4-scout,zero_shot,200,98.7
56,3,3,80.1,48.5,623,1.0,42.75,0,llama4-scout,zero_shot,200,93.8
57,3,3,93.3,54.3,698,1.0,43.5,0,llama4-scout,zero_shot,200,98.4
58,3,3,77.7,45.9,590,1.0,44.25,0,llama4-scout,zero_shot,200,65.6
59,3,3,76.0,47.0,604,1.0,45.0,0,llama4-scout,zero_shot,200,66.1
60,3,3,102.3,54.8,704,1.0,45.75,0,llama4-scout,zero_shot,200,263.8
61,3,3,100.8,55.9,719,1.0,46.5,0,llama4-scout,zero_shot,200,71.1
62,3,3,112.5,57.9,745,1.0,47.25,0,llama4-scout,zero_shot,200,68.5
63,3,3,116.6,61.8,795,1.0,48.0,0,llama4-scout,zero_shot,200,140.9
64,3,3,120.1,61.7,793,1.0,48.75,0,llama4-scout,zero_shot,200,67.8
65,3,3,105.3,57.1,734,1.0,49.5,0,llama4-scout,zero_shot,200,65.3
66,3,3,99.0,55.4,712,1.0,50.25,0,llama4-scout,zero_shot,200,257.5
67,3,3,101.0,54.6,702,1.0,51.0,0,llama4-scout,zero_shot,200,123.8
68,3,3,106.3,56.8,730,1.0,51.75,0,llama4-scout,zero_shot,200,96.4
69,3,3,83.9,48.6,625,1.0,52.5,0,llama4-scout,zero_shot,200,160.7
70,3,3,99.4,54.1,695,1.0,53.25,0,llama4-scout,zero_shot,200,156.9
71,3,3,79.7,48.1,618,1.0,54.0,0,llama4-scout,zero_shot,200,72.4
72,3,3,64.9,43.2,556,1.0,54.75,0,llama4-scout,zero_shot,200,224.1
73,3,3,72.2,45.8,589,1.0,55.5,0,llama4-scout,zero_shot,200,141.3
74,3,3,64.5,40.7,523,1.0,56.25,0,llama4-scout,zero_shot,200,267.6
75,3,3,81.3,47.2,607,1.0,57.0,0,llama4-scout,zero_shot,200,349.2
76,3,3,114.3,61.8,794,1.0,57.75,0,llama4-scout,zero_shot,200,78.6
77,3,3,130.9,69.2,890,0.9999,58.5,0,llama4-scout,zero_shot,201,137.5
78,3,3,174.7,80.4,1034,0.9998,59.25,0,llama4-scout,zero_shot,202,309.0
79,4,3,238.4,102.8,1323,0.9989,60.0,1,llama4-scout,zero_shot,202,67.2
80,5,4,129.2,67.2,1152,0.9999,61.0,1,llama4-scout,zero_shot,202,96.4
81,6,5,75.6,45.8,982,1.0,62.25,1,llama4-scout,zero_shot,200,140.6
82,6,6,50.5,32.9,847,1.0,63.75,0,llama4-scout,zero_shot,200,69.3
83,6,6,50.8,32.0,823,1.0,65.25,0,llama4-scout,zero_shot,200,324.3
84,6,6,51.2,33.8,868,1.0,66.75,0,llama4-scout,zero_shot,200,77.8
85,6,6,62.9,41.1,1056,1.0,68.25,0,llama4-scout,zero_shot,201,438.3
86,6,6,55.4,38.1,980,1.0,69.75,0,llama4-scout,zero_shot,200,66.5
87,6,6,49.7,35.6,916,1.0,71.25,0,llama4-scout,zero_shot,200,168.1
88,6,6,50.6,38.3,985,1.0,72.75,0,llama4-scout,zero_shot,200,65.9
89,6,6,53.3,37.3,958,1.0,74.25,0,llama4-scout,zero_shot,200,82.4
90,6,6,55.7,39.3,1011,1.0,75.75,0,llama4-scout,zero_shot,201,261.4
91,6,6,61.4,39.8,1023,1.0,77.25,0,llama4-scout,zero_shot,201,184.1
92,6,6,60.6,40.1,1031,1.0,78.75,0,llama4-scout,zero_shot,201,77.0
93,6,6,71.3,44.3,1140,1.0,80.25,0,llama4-scout,zero_shot,201,84.9
94,6,6,59.2,39.5,1015,1.0,81.75,0,llama4-scout,zero_shot,201,100.6
95,6,6,55.0,38.5,989,1.0,83.25,0,llama4-scout,zero_shot,200,65.0
96,6,6,50.7,33.4,858,1.0,84.75,0,llama4-scout,zero_shot,200,65.3
97,6,6,50.4,32.0,824,1.0,86.25,0,llama4-scout,zero_shot,200,74.7
98,6,6,50.1,34.0,875,1.0,87.75,0,llama4-scout,zero_shot,200,201.1
99,6,6,53.3,35.2,906,1.0,89.25,0,llama4-scout,zero_shot,200,134.1
100,6,6,49.4,30.6,788,1.0,90.75,0,llama4-scout,zero_shot,200,115.5
101,6,6,50.5,29.3,754,1.0,92.25,0,llama4-scout,zero_shot,200,67.8
102,5,5,51.9,27.1,697,1.0,93.75,1,llama4-scout,zero_shot,200,97.7
103,5,5,49.3,34.0,729,1.0,95.0,0,llama4-scout,zero_shot,200,142.8
104,5,5,67.8,42.4,908,1.0,96.25,0,llama4-scout,zero_shot,200,103.1
105,5,5,61.9,40.6,870,1.0,97.5,0,llama4-scout,zero_shot,200,95.0
106,5,5,52.7,36.5,783,1.0,98.75,0,llama4-scout,zero_shot,200,80.7
107,5,5,50.7,36.8,788,1.0,100.0,0,llama4-scout,zero_shot,200,68.8
108,5,5,50.9,37.4,802,1.0,101.25,0,llama4-scout,zero_shot,200,65.0
109,5,5,53.5,37.4,802,1.0,102.5,0,llama4-scout,zero_shot,200,99.4
110,5,5,61.5,40.4,866,1.0,103.75,0,llama4-scout,zero_shot,200,235.6
111,5,5,65.2,41.3,884,1.0,105.0,0,llama4-scout,zero_shot,200,68.9
112,5,5,51.2,37.8,810,1.0,106.25,0,llama4-scout,zero_shot,200,66.3
113,5,5,55.0,38.5,824,1.0,107.5,0,llama4-scout,zero_shot,200,68.2
114,5,5,55.5,39.2,841,1.0,108.75,0,llama4-scout,zero_shot,200,70.9
115,5,5,49.9,36.5,783,1.0,110.0,0,llama4-scout,zero_shot,200,97.3
116,5,5,49.2,36.6,785,1.0,111.25,0,llama4-scout,zero_shot,200,65.5
117,5,5,52.0,34.3,736,1.0,112.5,0,llama4-scout,zero_shot,200,67.0
118,5,5,49.6,36.0,772,1.0,113.75,0,llama4-scout,zero_shot,200,71.1
119,5,5,48.5,33.6,720,1.0,115.0,0,llama4-scout,zero_shot,200,67.4
120,5,5,65.6,40.5,868,1.0,116.25,0,llama4-scout,zero_shot,200,96.6
121,6,5,74.1,45.9,984,1.0,117.5,1,llama4-scout,zero_shot,200,113.2
122,6,6,52.2,34.8,896,1.0,119.0,0,llama4-scout,zero_shot,200,145.5
123,6,6,50.1,33.5,861,1.0,120.5,0,llama4-scout,zero_shot,200,66.9
124,6,6,50.0,33.6,864,1.0,122.0,0,llama4-scout,zero_shot,200,64.2
125,6,6,50.9,36.5,938,1.0,123.5,0,llama4-scout,zero_shot,200,67.0
126,6,6,58.2,38.8,997,1.0,125.0,0,llama4-scout,zero_shot,200,240.1
127,6,6,49.9,33.0,849,1.0,126.5,0,llama4-scout,zero_shot,200,155.6
128,6,6,49.4,31.0,798,1.0,128.0,0,llama4-scout,zero_shot,200,81.7
129,6,6,50.1,29.0,747,1.0,129.5,0,llama4-scout,zero_shot,200,65.4
130,6,6,48.9,33.6,863,1.0,131.0,0,llama4-scout,zero_shot,200,97.3
131,6,6,50.2,36.9,948,1.0,132.5,0,llama4-scout,zero_shot,200,68.7
132,6,6,58.9,39.2,1008,1.0,134.0,0,llama4-scout,zero_shot,201,70.6
133,6,6,58.9,39.8,1023,1.0,135.5,0,llama4-scout,zero_shot,201,67.9
134,6,6,71.1,44.5,1145,1.0,137.0,0,llama4-scout,zero_shot,201,144.8
135,6,6,71.5,43.6,1121,1.0,138.5,0,llama4-scout,zero_shot,201,67.7
136,6,6,83.4,50.3,1293,1.0,140.0,0,llama4-scout,zero_shot,201,70.1
137,6,6,84.9,50.0,1287,1.0,141.5,0,llama4-scout,zero_shot,201,69.8
138,6,6,96.8,53.5,1377,1.0,143.0,0,llama4-scout,zero_shot,201,223.2
139,6,6,102.0,56.7,1459,1.0,144.5,0,llama4-scout,zero_shot,201,71.5
140,6,6,124.2,66.0,1696,1.0,146.0,0,llama4-scout,zero_shot,201,105.4
141,6,6,132.4,66.9,1720,0.9999,147.5,0,llama4-scout,zero_shot,202,64.1
142,6,6,144.0,74.0,1904,0.9999,149.0,0,llama4-scout,zero_shot,202,68.1
143,6,6,190.6,88.7,2283,0.9996,150.5,0,llama4-scout,zero_shot,202,69.0
144,7,6,243.9,103.6,2668,0.9988,152.0,1,llama4-scout,zero_shot,202,67.4
145,8,7,215.0,96.0,2882,0.9993,153.75,1,llama4-scout,zero_shot,202,64.6
146,9,8,204.4,93.6,3211,0.9994,155.75,1,llama4-scout,zero_shot,202,66.1
147,9,9,196.2,89.7,3461,0.9996,158.0,0,llama4-scout,zero_shot,202,67.0
148,10,9,208.2,93.5,3607,0.9994,160.25,1,llama4-scout,zero_shot,202,71.3
149,10,10,183.7,85.4,3659,0.9997,162.75,0,llama4-scout,zero_shot,202,150.2
150,10,10,199.4,89.2,3823,0.9996,165.25,0,llama4-scout,zero_shot,202,188.3
151,10,10,197.3,90.2,3866,0.9996,167.75,0,llama4-scout,zero_shot,202,132.2
152,10,10,192.4,88.1,3775,0.9996,170.25,0,llama4-scout,zero_shot,202,254.3
153,9,9,172.6,82.8,3550,0.9998,172.75,1,llama4-scout,zero_shot,202,159.9
154,9,9,200.7,87.4,3373,0.9997,175.0,0,llama4-scout,zero_shot,202,247.3
155,9,9,173.3,84.7,3268,0.9997,177.25,0,llama4-scout,zero_shot,202,97.0
156,9,9,169.4,80.7,3112,0.9998,179.5,0,llama4-scout,zero_shot,202,65.0
157,9,9,155.2,76.6,2955,0.9999,181.75,0,llama4-scout,zero_shot,202,112.0
158,9,9,148.4,74.7,2880,0.9999,184.0,0,llama4-scout,zero_shot,202,67.4
159,9,9,144.2,72.2,2786,0.9999,186.25,0,llama4-scout,zero_shot,202,133.1
160,9,9,134.1,69.1,2666,0.9999,188.5,0,llama4-scout,zero_shot,202,714.0
161,9,9,123.8,64.7,2494,1.0,190.75,0,llama4-scout,zero_shot,201,70.8
162,9,9,116.6,61.6,2375,1.0,193.0,0,llama4-scout,zero_shot,201,68.4
163,9,9,108.6,58.9,2270,1.0,195.25,0,llama4-scout,zero_shot,201,83.5
164,9,9,102.6,55.7,2148,1.0,197.5,0,llama4-scout,zero_shot,201,197.4
165,9,9,94.7,53.2,2053,1.0,199.75,0,llama4-scout,zero_shot,201,338.5
166,9,9,83.9,48.0,1852,1.0,202.0,0,llama4-scout,zero_shot,201,63.4
167,9,9,71.7,44.0,1696,1.0,204.25,0,llama4-scout,zero_shot,201,66.0
168,9,9,67.8,42.2,1628,1.0,206.5,0,llama4-scout,zero_shot,201,70.1
169,9,9,68.5,41.8,1612,1.0,208.75,0,llama4-scout,zero_shot,201,68.1
170,9,9,66.3,42.1,1622,1.0,211.0,0,llama4-scout,zero_shot,201,101.2
171,9,9,58.1,39.0,1504,1.0,213.25,0,llama4-scout,zero_shot,201,139.8
172,9,9,49.9,33.4,1287,1.0,215.5,0,llama4-scout,zero_shot,201,65.0
173,9,9,51.5,31.6,1220,1.0,217.75,0,llama4-scout,zero_shot,201,105.9
174,9,9,52.9,29.3,1131,1.0,220.0,0,llama4-scout,zero_shot,201,446.8
175,9,9,52.5,28.1,1083,1.0,222.25,0,llama4-scout,zero_shot,201,66.2
176,9,9,48.8,27.2,1051,1.0,224.5,0,llama4-scout,zero_shot,201,120.3
177,9,9,49.9,24.7,953,1.0,226.75,0,llama4-scout,zero_shot,200,65.1
178,9,9,49.1,23.3,899,1.0,229.0,0,llama4-scout,zero_shot,200,142.8
179,9,9,47.7,23.9,920,1.0,231.25,0,llama4-scout,zero_shot,200,66.9
180,9,9,47.2,26.4,1018,1.0,233.5,0,llama4-scout,zero_shot,201,201.3
181,9,9,49.7,25.7,991,1.0,235.75,0,llama4-scout,zero_shot,200,66.8
182,9,9,48.6,24.9,960,1.0,238.0,0,llama4-scout,zero_shot,200,81.4
183,9,9,50.4,23.4,902,1.0,240.25,0,llama4-scout,zero_shot,200,185.5
184,9,9,49.3,23.7,916,1.0,242.5,0,llama4-scout,zero_shot,200,65.9
185,9,9,50.8,23.7,915,1.0,244.75,0,llama4-scout,zero_shot,200,104.2
186,9,9,47.9,21.2,816,1.0,247.0,0,llama4-scout,zero_shot,200,97.3
187,9,9,49.4,18.1,700,1.0,249.25,0,llama4-scout,zero_shot,200,65.2
188,8,8,46.4,17.7,684,1.0,251.5,1,llama4-scout,zero_shot,200,153.3
189,7,7,49.4,19.9,684,1.0,253.5,1,llama4-scout,zero_shot,200,625.4
190,7,7,50.4,26.8,804,1.0,255.25,0,llama4-scout,zero_shot,200,383.3
191,7,7,50.9,24.1,722,1.0,257.0,0,llama4-scout,zero_shot,200,68.4
192,7,7,48.9,22.1,663,1.0,258.75,0,llama4-scout,zero_shot,200,100.1
193,7,7,48.3,24.6,739,1.0,260.5,0,llama4-scout,zero_shot,200,181.9
194,7,7,50.4,25.4,762,1.0,262.25,0,llama4-scout,zero_shot,200,68.0
195,7,7,49.1,25.4,763,1.0,264.0,0,llama4-scout,zero_shot,200,316.3
196,7,7,50.8,25.2,755,1.0,265.75,0,llama4-scout,zero_shot,200,65.3
197,7,7,51.3,25.9,778,1.0,267.5,0,llama4-scout,zero_shot,200,213.6
198,7,7,49.2,22.3,669,1.0,269.25,0,llama4-scout,zero_shot,200,150.0
199,7,7,49.5,23.7,712,1.0,271.0,0,llama4-scout,zero_shot,200,194.9
200,7,7,50.5,23.6,707,1.0,272.75,0,llama4-scout,zero_shot,200,119.5
201,7,7,46.4,24.2,727,1.0,274.5,0,llama4-scout,zero_shot,200,279.9
202,7,7,51.8,25.4,763,1.0,276.25,0,llama4-scout,zero_shot,200,557.9
203,7,7,48.8,26.9,808,1.0,278.0,0,llama4-scout,zero_shot,200,73.7
204,7,7,49.5,29.3,880,1.0,279.75,0,llama4-scout,zero_shot,200,65.8
205,7,7,51.3,32.4,971,1.0,281.5,0,llama4-scout,zero_shot,200,68.2
206,7,7,48.7,34.1,1024,1.0,283.25,0,llama4-scout,zero_shot,201,139.5
207,7,7,48.5,30.0,899,1.0,285.0,0,llama4-scout,zero_shot,200,95.1
208,7,7,49.3,29.2,876,1.0,286.75,0,llama4-scout,zero_shot,200,99.0
209,7,7,51.3,29.9,897,1.0,288.5,0,llama4-scout,zero_shot,200,149.8
210,7,7,50.8,31.2,937,1.0,290.25,0,llama4-scout,zero_shot,200,66.8
211,7,7,49.5,28.8,864,1.0,292.0,0,llama4-scout,zero_shot,200,70.8
212,7,7,50.9,27.9,837,1.0,293.75,0,llama4-scout,zero_shot,200,136.3
213,7,7,49.7,24.9,748,1.0,295.5,0,llama4-scout,zero_shot,200,132.2
214,7,7,48.9,21.9,656,1.0,297.25,0,llama4-scout,zero_shot,200,69.7
215,7,7,51.7,23.0,691,1.0,299.0,0,llama4-scout,zero_shot,200,132.3
216,7,7,49.3,22.1,664,1.0,300.75,0,llama4-scout,zero_shot,200,87.5
217,7,7,49.1,21.6,649,1.0,302.5,0,llama4-scout,zero_shot,200,92.4
218,7,7,48.4,24.0,720,1.0,304.25,0,llama4-scout,zero_shot,200,124.4
219,7,7,49.6,26.9,806,1.0,306.0,0,llama4-scout,zero_shot,200,63.6
220,7,7,49.7,27.9,838,1.0,307.75,0,llama4-scout,zero_shot,200,65.3
221,7,7,51.7,29.3,879,1.0,309.5,0,llama4-scout,zero_shot,200,153.7
222,7,7,50.4,29.6,887,1.0,311.25,0,llama4-scout,zero_shot,200,67.0
223,7,7,50.1,26.9,808,1.0,313.0,0,llama4-scout,zero_shot,200,65.2
224,7,7,51.9,29.5,884,1.0,314.75,0,llama4-scout,zero_shot,200,67.6
225,7,7,47.4,27.6,829,1.0,316.5,0,llama4-scout,zero_shot,200,96.6
226,7,7,48.2,27.2,816,1.0,318.25,0,llama4-scout,zero_shot,200,65.0
227,7,7,49.8,28.0,840,1.0,320.0,0,llama4-scout,zero_shot,200,119.8
228,7,7,51.3,29.7,890,1.0,321.75,0,llama4-scout,zero_shot,200,256.2
229,7,7,50.2,31.6,948,1.0,323.5,0,llama4-scout,zero_shot,200,65.2
230,7,7,52.6,29.0,870,1.0,325.25,0,llama4-scout,zero_shot,200,74.4
231,7,7,47.5,28.2,847,1.0,327.0,0,llama4-scout,zero_shot,200,65.4
232,7,7,51.3,29.6,887,1.0,328.75,0,llama4-scout,zero_shot,200,66.1
233,7,7,48.7,29.4,883,1.0,330.5,0,llama4-scout,zero_shot,200,116.4
234,7,7,47.7,29.4,882,1.0,332.25,0,llama4-scout,zero_shot,200,67.3
235,7,7,47.7,29.4,881,1.0,334.0,0,llama4-scout,zero_shot,200,64.7
