step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,69.3,42.9,551,1.0,0.75,0,mistral-small4,cot,289,811.2
1,3,3,64.7,40.4,520,1.0,1.5,0,mistral-small4,cot,289,386.3
2,3,3,53.9,38.8,499,1.0,2.25,0,mistral-small4,cot,289,393.5
3,3,3,62.3,39.9,513,1.0,3.0,0,mistral-small4,cot,289,524.9
4,3,3,62.6,40.4,519,1.0,3.75,0,mistral-small4,cot,289,367.2
5,3,3,76.0,44.4,571,1.0,4.5,0,mistral-small4,cot,289,381.1
6,3,3,114.7,61.8,795,1.0,5.25,0,mistral-small4,cot,290,449.5
7,4,3,141.3,72.6,933,0.9999,6.0,1,mistral-small4,cot,293,408.7
8,4,4,94.2,53.3,913,1.0,7.0,0,mistral-small4,cot,289,368.5
9,4,4,91.0,49.5,848,1.0,8.0,0,mistral-small4,cot,289,414.5
10,4,4,88.2,51.9,890,1.0,9.0,0,mistral-small4,cot,289,377.4
11,4,4,94.6,51.9,889,1.0,10.0,0,mistral-small4,cot,289,370.5
12,4,4,74.8,44.8,768,1.0,11.0,0,mistral-small4,cot,289,458.8
13,4,4,76.4,45.6,782,1.0,12.0,0,mistral-small4,cot,289,380.4
14,4,4,70.3,45.1,774,1.0,13.0,0,mistral-small4,cot,289,386.8
15,4,4,73.6,46.1,790,1.0,14.0,0,mistral-small4,cot,289,438.4
16,4,4,80.2,46.7,800,1.0,15.0,0,mistral-small4,cot,289,390.2
17,4,4,89.1,52.3,896,1.0,16.0,0,mistral-small4,cot,289,437.5
18,4,4,95.4,53.5,917,1.0,17.0,0,mistral-small4,cot,289,417.9
19,4,4,97.2,54.4,933,1.0,18.0,0,mistral-small4,cot,289,381.5
20,4,4,91.3,52.1,894,1.0,19.0,0,mistral-small4,cot,289,383.3
21,4,4,86.3,51.6,885,1.0,20.0,0,mistral-small4,cot,289,386.9
22,4,4,81.7,47.7,818,1.0,21.0,0,mistral-small4,cot,289,421.4
23,4,4,78.1,46.3,793,1.0,22.0,0,mistral-small4,cot,289,379.0
24,4,4,72.1,46.0,789,1.0,23.0,0,mistral-small4,cot,289,378.1
25,4,4,81.2,47.2,809,1.0,24.0,0,mistral-small4,cot,289,386.2
26,4,4,75.7,47.1,808,1.0,25.0,0,mistral-small4,cot,289,409.4
27,4,4,80.5,50.2,860,1.0,26.0,0,mistral-small4,cot,289,387.3
28,4,4,68.9,43.7,750,1.0,27.0,0,mistral-small4,cot,289,405.1
29,4,4,71.4,43.8,751,1.0,28.0,0,mistral-small4,cot,289,379.3
30,4,4,82.8,48.0,823,1.0,29.0,0,mistral-small4,cot,289,383.8
31,4,4,72.5,46.2,792,1.0,30.0,0,mistral-small4,cot,289,413.5
32,4,4,60.7,39.7,681,1.0,31.0,0,mistral-small4,cot,289,426.7
33,4,4,59.2,39.5,678,1.0,32.0,0,mistral-small4,cot,289,379.1
34,4,4,50.9,37.2,638,1.0,33.0,0,mistral-small4,cot,289,368.5
35,4,4,49.3,35.5,608,1.0,34.0,0,mistral-small4,cot,289,415.0
36,4,4,50.9,33.3,571,1.0,35.0,0,mistral-small4,cot,289,371.7
37,4,4,51.8,36.7,629,1.0,36.0,0,mistral-small4,cot,289,401.7
38,4,4,49.2,35.8,614,1.0,37.0,0,mistral-small4,cot,289,405.5
39,4,4,48.6,35.9,615,1.0,38.0,0,mistral-small4,cot,289,417.3
40,4,4,56.5,39.5,678,1.0,39.0,0,mistral-small4,cot,289,391.5
41,4,4,78.6,47.2,809,1.0,40.0,0,mistral-small4,cot,289,428.1
42,4,4,62.3,42.2,724,1.0,41.0,0,mistral-small4,cot,289,398.1
43,4,4,69.5,44.1,756,1.0,42.0,0,mistral-small4,cot,289,370.3
