step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,68.2,42.9,551,1.0,0.75,0,mistral-small4,domain,406,842.3
1,3,3,61.2,40.4,520,1.0,1.5,0,mistral-small4,domain,406,454.5
2,3,3,60.6,38.8,499,1.0,2.25,0,mistral-small4,domain,406,369.5
3,3,3,61.7,39.9,513,1.0,3.0,0,mistral-small4,domain,406,360.7
4,3,3,59.5,40.4,519,1.0,3.75,0,mistral-small4,domain,406,469.1
5,3,3,70.2,44.4,571,1.0,4.5,0,mistral-small4,domain,406,387.3
6,3,3,115.5,61.8,795,1.0,5.25,0,mistral-small4,domain,407,378.6
7,4,3,137.8,72.6,933,0.9999,6.0,1,mistral-small4,domain,410,477.0
8,4,4,96.2,53.3,913,1.0,7.0,0,mistral-small4,domain,406,351.3
9,4,4,84.6,49.5,848,1.0,8.0,0,mistral-small4,domain,406,346.3
10,4,4,88.7,51.9,890,1.0,9.0,0,mistral-small4,domain,406,367.1
11,4,4,91.0,51.9,889,1.0,10.0,0,mistral-small4,domain,406,351.6
12,4,4,74.9,44.8,768,1.0,11.0,0,mistral-small4,domain,406,330.2
13,4,4,76.3,45.6,782,1.0,12.0,0,mistral-small4,domain,406,343.8
14,4,4,72.6,45.1,774,1.0,13.0,0,mistral-small4,domain,406,408.3
15,4,4,78.7,46.1,790,1.0,14.0,0,mistral-small4,domain,406,404.2
16,4,4,81.1,46.7,800,1.0,15.0,0,mistral-small4,domain,406,404.8
17,4,4,92.7,52.3,896,1.0,16.0,0,mistral-small4,domain,406,346.1
18,3,3,92.0,53.5,917,1.0,17.0,1,mistral-small4,domain,406,378.4
19,4,3,150.9,72.6,933,0.9999,17.75,1,mistral-small4,domain,410,379.4
20,4,4,91.8,52.1,894,1.0,18.75,0,mistral-small4,domain,406,374.6
21,4,4,86.4,51.6,885,1.0,19.75,0,mistral-small4,domain,406,364.2
22,4,4,79.7,47.7,818,1.0,20.75,0,mistral-small4,domain,406,373.3
23,4,4,74.9,46.3,793,1.0,21.75,0,mistral-small4,domain,406,476.8
24,4,4,74.7,46.0,789,1.0,22.75,0,mistral-small4,domain,406,376.0
25,4,4,76.6,47.2,809,1.0,23.75,0,mistral-small4,domain,406,357.2
26,4,4,73.6,47.1,808,1.0,24.75,0,mistral-small4,domain,406,345.9
27,4,4,83.9,50.2,860,1.0,25.75,0,mistral-small4,domain,406,348.1
28,4,4,68.5,43.7,750,1.0,26.75,0,mistral-small4,domain,406,340.0
29,4,4,69.9,43.8,751,1.0,27.75,0,mistral-small4,domain,406,334.6
30,4,4,81.4,48.0,823,1.0,28.75,0,mistral-small4,domain,406,340.8
31,4,4,73.3,46.2,792,1.0,29.75,0,mistral-small4,domain,406,371.7
32,4,4,59.3,39.7,681,1.0,30.75,0,mistral-small4,domain,406,413.7
33,4,4,61.4,39.5,678,1.0,31.75,0,mistral-small4,domain,406,451.7
34,4,4,48.2,37.2,638,1.0,32.75,0,mistral-small4,domain,406,355.6
35,4,4,51.0,35.5,608,1.0,33.75,0,mistral-small4,domain,406,419.6
36,4,4,54.1,33.3,571,1.0,34.75,0,mistral-small4,domain,406,351.8
37,4,4,54.4,36.7,629,1.0,35.75,0,mistral-small4,domain,406,369.8
38,4,4,49.5,35.8,614,1.0,36.75,0,mistral-small4,domain,406,360.4
39,4,4,51.6,35.9,615,1.0,37.75,0,mistral-small4,domain,406,365.5
40,4,4,59.3,39.5,678,1.0,38.75,0,mistral-small4,domain,406,359.3
41,4,4,76.0,47.2,809,1.0,39.75,0,mistral-small4,domain,406,353.5
42,4,4,64.4,42.2,724,1.0,40.75,0,mistral-small4,domain,406,329.6
43,4,4,70.2,44.1,756,1.0,41.75,0,mistral-small4,domain,406,336.5
44,4,4,66.6,42.7,732,1.0,42.75,0,mistral-small4,domain,406,428.6
45,4,4,66.5,43.0,738,1.0,43.75,0,mistral-small4,domain,406,381.3
46,4,4,62.5,40.7,697,1.0,44.75,0,mistral-small4,domain,406,330.1
47,4,4,69.9,42.7,732,1.0,45.75,0,mistral-small4,domain,406,405.4
48,4,4,76.0,47.5,815,1.0,46.75,0,mistral-small4,domain,406,346.3
49,4,4,82.4,47.8,819,1.0,47.75,0,mistral-small4,domain,406,344.1
50,4,4,85.7,48.8,836,1.0,48.75,0,mistral-small4,domain,406,374.7
51,4,4,83.1,47.9,822,1.0,49.75,0,mistral-small4,domain,406,455.9
52,4,4,62.5,41.2,707,1.0,50.75,0,mistral-small4,domain,406,351.3
53,4,4,59.3,39.3,673,1.0,51.75,0,mistral-small4,domain,406,363.5
54,4,4,51.9,36.9,633,1.0,52.75,0,mistral-small4,domain,406,416.5
55,4,4,54.1,37.3,640,1.0,53.75,0,mistral-small4,domain,406,333.9
56,4,4,50.1,36.3,623,1.0,54.75,0,mistral-small4,domain,406,477.2
57,4,4,64.4,40.7,698,1.0,55.75,0,mistral-small4,domain,406,403.4
58,4,4,51.5,34.4,590,1.0,56.75,0,mistral-small4,domain,406,365.7
59,4,4,50.3,35.2,604,1.0,57.75,0,mistral-small4,domain,406,357.3
60,4,4,62.6,41.1,704,1.0,58.75,0,mistral-small4,domain,406,351.5
61,4,4,59.9,41.9,719,1.0,59.75,0,mistral-small4,domain,406,373.2
62,4,4,69.2,43.5,745,1.0,60.75,0,mistral-small4,domain,406,354.9
63,4,4,76.3,46.4,795,1.0,61.75,0,mistral-small4,domain,406,363.7
64,4,4,80.1,46.3,793,1.0,62.75,0,mistral-small4,domain,406,357.9
65,4,4,64.8,42.8,734,1.0,63.75,0,mistral-small4,domain,406,384.9
66,4,4,65.2,41.5,712,1.0,64.75,0,mistral-small4,domain,406,371.3
67,4,4,64.3,40.9,702,1.0,65.75,0,mistral-small4,domain,406,347.5
68,4,4,67.1,42.6,730,1.0,66.75,0,mistral-small4,domain,406,352.7
69,4,4,49.6,36.5,625,1.0,67.75,0,mistral-small4,domain,406,332.5
70,4,4,61.1,40.5,695,1.0,68.75,0,mistral-small4,domain,406,328.9
71,4,4,48.9,36.0,618,1.0,69.75,0,mistral-small4,domain,406,346.0
72,4,4,52.1,32.4,556,1.0,70.75,0,mistral-small4,domain,406,391.1
73,4,4,50.4,34.4,589,1.0,71.75,0,mistral-small4,domain,406,327.4
74,4,4,48.2,30.5,523,1.0,72.75,0,mistral-small4,domain,406,385.4
75,4,4,50.9,35.4,607,1.0,73.75,0,mistral-small4,domain,406,367.7
76,4,4,76.8,46.3,794,1.0,74.75,0,mistral-small4,domain,406,372.7
77,4,4,92.1,51.9,890,1.0,75.75,0,mistral-small4,domain,406,335.5
78,4,4,111.8,60.3,1034,1.0,76.75,0,mistral-small4,domain,408,372.2
79,5,4,149.7,77.2,1323,0.9999,77.75,1,mistral-small4,domain,411,341.5
80,5,5,94.8,53.8,1152,1.0,79.0,0,mistral-small4,domain,407,334.2
81,5,5,73.4,45.8,982,1.0,80.25,0,mistral-small4,domain,406,328.7
82,5,5,60.1,39.5,847,1.0,81.5,0,mistral-small4,domain,406,372.2
83,5,5,56.7,38.4,823,1.0,82.75,0,mistral-small4,domain,406,357.2
84,5,5,59.8,40.5,868,1.0,84.0,0,mistral-small4,domain,406,348.4
85,5,5,83.5,49.3,1056,1.0,85.25,0,mistral-small4,domain,407,341.5
86,5,5,70.8,45.7,980,1.0,86.5,0,mistral-small4,domain,406,363.4
87,5,5,67.0,42.7,916,1.0,87.75,0,mistral-small4,domain,406,575.2
88,5,5,75.2,46.0,985,1.0,89.0,0,mistral-small4,domain,406,335.9
89,5,5,75.1,44.7,958,1.0,90.25,0,mistral-small4,domain,406,342.2
90,5,5,81.9,47.2,1011,1.0,91.5,0,mistral-small4,domain,407,405.2
91,5,5,78.0,47.7,1023,1.0,92.75,0,mistral-small4,domain,407,353.9
92,5,5,84.2,48.1,1031,1.0,94.0,0,mistral-small4,domain,407,383.7
93,5,5,98.8,53.2,1140,1.0,95.25,0,mistral-small4,domain,407,362.7
94,5,5,80.2,47.4,1015,1.0,96.5,0,mistral-small4,domain,407,336.8
95,5,5,77.2,46.2,989,1.0,97.75,0,mistral-small4,domain,406,339.8
96,5,5,59.6,40.0,858,1.0,99.0,0,mistral-small4,domain,406,351.5
97,5,5,53.4,38.5,824,1.0,100.25,0,mistral-small4,domain,406,347.1
98,5,5,57.8,40.8,875,1.0,101.5,0,mistral-small4,domain,406,338.2
99,3,3,62.4,42.3,906,1.0,102.75,1,mistral-small4,domain,406,345.1
100,3,3,116.6,61.3,788,1.0,103.5,0,mistral-small4,domain,407,447.8
101,3,3,117.0,58.6,754,1.0,104.25,0,mistral-small4,domain,407,471.5
102,3,3,96.5,54.2,697,1.0,105.0,0,mistral-small4,domain,406,351.3
103,3,3,105.4,56.7,729,1.0,105.75,0,mistral-small4,domain,407,363.8
104,3,3,145.4,70.6,908,0.9999,106.5,0,mistral-small4,domain,410,344.5
105,3,3,136.4,67.7,870,0.9999,107.25,0,mistral-small4,domain,410,361.4
106,3,3,111.5,60.9,783,1.0,108.0,0,mistral-small4,domain,407,384.8
107,3,3,114.3,61.3,788,1.0,108.75,0,mistral-small4,domain,407,377.5
108,3,3,113.6,62.4,802,1.0,109.5,0,mistral-small4,domain,407,339.0
109,3,3,113.2,62.4,802,1.0,110.25,0,mistral-small4,domain,407,339.5
110,4,3,131.4,67.4,866,0.9999,111.0,1,mistral-small4,domain,410,464.3
111,4,4,92.5,51.6,884,1.0,112.0,0,mistral-small4,domain,406,391.5
112,4,4,79.3,47.2,810,1.0,113.0,0,mistral-small4,domain,406,494.8
113,4,4,79.6,48.1,824,1.0,114.0,0,mistral-small4,domain,406,351.5
114,4,4,82.3,49.1,841,1.0,115.0,0,mistral-small4,domain,406,360.0
115,4,4,73.6,45.7,783,1.0,116.0,0,mistral-small4,domain,406,401.9
116,4,4,80.5,45.8,785,1.0,117.0,0,mistral-small4,domain,406,347.4
117,4,4,71.8,42.9,736,1.0,118.0,0,mistral-small4,domain,406,349.4
118,4,4,77.1,45.0,772,1.0,119.0,0,mistral-small4,domain,406,437.1
119,4,4,67.0,42.0,720,1.0,120.0,0,mistral-small4,domain,406,341.4
120,4,4,90.4,50.6,868,1.0,121.0,0,mistral-small4,domain,406,378.7
121,4,4,109.2,57.4,984,1.0,122.0,0,mistral-small4,domain,407,341.3
122,4,4,90.0,52.3,896,1.0,123.0,0,mistral-small4,domain,406,388.5
123,4,4,86.5,50.2,861,1.0,124.0,0,mistral-small4,domain,406,348.7
