step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,69.2,42.9,551,1.0,0.75,0,mistral-small4,zero_shot,221,933.4
1,2,2,61.9,40.4,520,1.0,1.5,1,mistral-small4,zero_shot,221,376.8
2,2,2,102.8,58.2,499,1.0,2.0,0,mistral-small4,zero_shot,222,373.7
3,2,2,114.1,59.8,513,1.0,2.5,0,mistral-small4,zero_shot,222,422.5
4,2,2,109.8,60.5,519,1.0,3.0,0,mistral-small4,zero_shot,222,381.1
5,2,2,127.2,66.6,571,0.9999,3.5,0,mistral-small4,zero_shot,225,374.8
6,3,2,215.1,92.7,795,0.9995,4.0,1,mistral-small4,zero_shot,225,378.9
7,4,3,143.3,72.6,933,0.9999,4.75,1,mistral-small4,zero_shot,225,385.2
8,4,4,96.9,53.3,913,1.0,5.75,0,mistral-small4,zero_shot,221,346.1
9,4,4,82.5,49.5,848,1.0,6.75,0,mistral-small4,zero_shot,221,348.2
10,4,4,90.7,51.9,890,1.0,7.75,0,mistral-small4,zero_shot,221,407.0
11,4,4,85.4,51.9,889,1.0,8.75,0,mistral-small4,zero_shot,221,396.3
12,4,4,72.5,44.8,768,1.0,9.75,0,mistral-small4,zero_shot,221,371.8
13,4,4,76.5,45.6,782,1.0,10.75,0,mistral-small4,zero_shot,221,379.9
14,4,4,77.6,45.1,774,1.0,11.75,0,mistral-small4,zero_shot,221,409.4
15,4,4,75.7,46.1,790,1.0,12.75,0,mistral-small4,zero_shot,221,415.4
16,4,4,80.2,46.7,800,1.0,13.75,0,mistral-small4,zero_shot,221,444.4
17,4,4,94.3,52.3,896,1.0,14.75,0,mistral-small4,zero_shot,221,413.3
18,4,4,93.7,53.5,917,1.0,15.75,0,mistral-small4,zero_shot,221,416.5
19,5,4,97.0,54.4,933,1.0,16.75,1,mistral-small4,zero_shot,221,394.1
20,5,5,63.0,41.7,894,1.0,18.0,0,mistral-small4,zero_shot,221,347.7
21,5,5,61.8,41.3,885,1.0,19.25,0,mistral-small4,zero_shot,221,344.4
22,5,5,53.3,38.2,818,1.0,20.5,0,mistral-small4,zero_shot,221,425.9
23,5,5,52.6,37.0,793,1.0,21.75,0,mistral-small4,zero_shot,221,366.5
24,5,5,50.5,36.8,789,1.0,23.0,0,mistral-small4,zero_shot,221,361.7
