step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,65.3,42.9,551,1.0,0.75,0,qwen3-80b,zero_shot,214,336934.4
1,3,3,61.3,40.4,520,1.0,1.5,0,qwen3-80b,zero_shot,214,253227.7
2,3,3,57.3,38.8,499,1.0,2.25,0,qwen3-80b,zero_shot,214,337677.8
3,3,3,63.6,39.9,513,1.0,3.0,0,qwen3-80b,zero_shot,214,456319.4
4,3,3,61.8,40.4,519,1.0,3.75,0,qwen3-80b,zero_shot,214,3112.0
5,3,3,73.5,44.4,571,1.0,4.5,0,qwen3-80b,zero_shot,214,2010.7
6,3,3,119.8,61.8,795,1.0,5.25,0,qwen3-80b,zero_shot,215,65955.0
7,4,3,141.0,72.6,933,0.9999,6.0,1,qwen3-80b,zero_shot,218,103171.3
8,5,4,92.4,53.3,913,1.0,7.0,1,qwen3-80b,zero_shot,214,303522.8
9,5,5,58.1,39.6,848,1.0,8.25,0,qwen3-80b,zero_shot,214,305300.8
10,5,5,61.7,41.5,890,1.0,9.5,0,qwen3-80b,zero_shot,214,380950.4
11,5,5,63.2,41.5,889,1.0,10.75,0,qwen3-80b,zero_shot,214,7937.0
12,5,5,47.9,35.8,768,1.0,12.0,0,qwen3-80b,zero_shot,214,339020.3
13,5,5,54.9,36.5,782,1.0,13.25,0,qwen3-80b,zero_shot,214,399630.2
14,5,5,51.6,36.1,774,1.0,14.5,0,qwen3-80b,zero_shot,214,2514.2
15,5,5,51.0,36.9,790,1.0,15.75,0,qwen3-80b,zero_shot,214,100971.5
16,5,5,54.7,37.3,800,1.0,17.0,0,qwen3-80b,zero_shot,214,342794.1
17,5,5,65.6,41.8,896,1.0,18.25,0,qwen3-80b,zero_shot,214,312025.0
18,5,5,66.6,42.8,917,1.0,19.5,0,qwen3-80b,zero_shot,214,107157.5
19,5,5,67.6,43.5,933,1.0,20.75,0,qwen3-80b,zero_shot,214,825503.3
20,5,5,64.2,41.7,894,1.0,22.0,0,qwen3-80b,zero_shot,214,645183.7
21,5,5,61.2,41.3,885,1.0,23.25,0,qwen3-80b,zero_shot,214,42083.7
22,5,5,56.3,38.2,818,1.0,24.5,0,qwen3-80b,zero_shot,0,0.0
23,5,5,54.0,37.0,793,1.0,25.75,0,qwen3-80b,zero_shot,214,38808.5
24,5,5,50.5,36.8,789,1.0,27.0,0,qwen3-80b,zero_shot,214,4390.4
25,5,5,53.8,37.8,809,1.0,28.25,0,qwen3-80b,zero_shot,214,163892.0
26,5,5,57.7,37.7,808,1.0,29.5,0,qwen3-80b,zero_shot,214,1983.0
27,5,5,59.8,40.1,860,1.0,30.75,0,qwen3-80b,zero_shot,214,9900.8
28,5,5,47.3,35.0,750,1.0,32.0,0,qwen3-80b,zero_shot,214,226551.6
29,5,5,49.4,35.0,751,1.0,33.25,0,qwen3-80b,zero_shot,214,304977.7
30,5,5,56.8,38.4,823,1.0,34.5,0,qwen3-80b,zero_shot,214,43935.0
31,5,5,50.5,37.0,792,1.0,35.75,0,qwen3-80b,zero_shot,214,7074.7
32,5,5,49.5,31.8,681,1.0,37.0,0,qwen3-80b,zero_shot,214,14743.2
33,5,5,50.1,31.6,678,1.0,38.25,0,qwen3-80b,zero_shot,214,135187.5
34,5,5,47.7,29.8,638,1.0,39.5,0,qwen3-80b,zero_shot,214,41802.2
35,5,5,50.0,28.4,608,1.0,40.75,0,qwen3-80b,zero_shot,214,433455.7
36,5,5,51.9,26.6,571,1.0,42.0,0,qwen3-80b,zero_shot,214,22365.0
37,5,5,49.5,29.4,629,1.0,43.25,0,qwen3-80b,zero_shot,214,42088.1
38,5,5,48.5,28.7,614,1.0,44.5,0,qwen3-80b,zero_shot,214,606277.0
39,5,5,50.0,28.7,615,1.0,45.75,0,qwen3-80b,zero_shot,214,4516.4
40,5,5,48.9,31.6,678,1.0,47.0,0,qwen3-80b,zero_shot,214,92876.8
41,5,5,54.3,37.8,809,1.0,48.25,0,qwen3-80b,zero_shot,214,10803.4
42,5,5,49.8,33.8,724,1.0,49.5,0,qwen3-80b,zero_shot,214,6337.5
43,5,5,51.1,35.3,756,1.0,50.75,0,qwen3-80b,zero_shot,214,4454.4
44,5,5,48.9,34.2,732,1.0,52.0,0,qwen3-80b,zero_shot,214,1480.1
45,5,5,52.1,34.4,738,1.0,53.25,0,qwen3-80b,zero_shot,214,2176.4
46,5,5,47.5,32.5,697,1.0,54.5,0,qwen3-80b,zero_shot,214,96803.8
47,5,5,53.3,34.2,732,1.0,55.75,0,qwen3-80b,zero_shot,214,463722.2
48,5,5,56.1,38.0,815,1.0,57.0,0,qwen3-80b,zero_shot,214,1280.0
49,5,5,53.9,38.2,819,1.0,58.25,0,qwen3-80b,zero_shot,214,341466.3
50,5,5,60.3,39.0,836,1.0,59.5,0,qwen3-80b,zero_shot,214,37639.3
51,5,5,53.7,38.4,822,1.0,60.75,0,qwen3-80b,zero_shot,214,8983.6
52,5,5,49.4,33.0,707,1.0,62.0,0,qwen3-80b,zero_shot,214,3607.9
53,5,5,48.0,31.4,673,1.0,63.25,0,qwen3-80b,zero_shot,214,4181.7
54,5,5,49.6,29.5,633,1.0,64.5,0,qwen3-80b,zero_shot,214,918.5
55,5,5,47.9,29.9,640,1.0,65.75,0,qwen3-80b,zero_shot,214,649.7
56,5,5,49.7,29.1,623,1.0,67.0,0,qwen3-80b,zero_shot,214,63878.7
57,5,5,49.6,32.6,698,1.0,68.25,0,qwen3-80b,zero_shot,214,1467.1
58,5,5,52.3,27.5,590,1.0,69.5,0,qwen3-80b,zero_shot,214,17745.4
59,5,5,47.8,28.2,604,1.0,70.75,0,qwen3-80b,zero_shot,214,12040.3
60,5,5,47.7,32.9,704,1.0,72.0,0,qwen3-80b,zero_shot,214,148489.7
61,5,5,50.7,33.6,719,1.0,73.25,0,qwen3-80b,zero_shot,214,6138.9
62,5,5,50.7,34.8,745,1.0,74.5,0,qwen3-80b,zero_shot,214,8525.9
63,5,5,54.3,37.1,795,1.0,75.75,0,qwen3-80b,zero_shot,214,339450.0
64,5,5,51.2,37.0,793,1.0,77.0,0,qwen3-80b,zero_shot,214,9818.8
65,5,5,51.4,34.3,734,1.0,78.25,0,qwen3-80b,zero_shot,214,8106.4
66,5,5,50.5,33.2,712,1.0,79.5,0,qwen3-80b,zero_shot,214,6738.9
67,5,5,45.9,32.8,702,1.0,80.75,0,qwen3-80b,zero_shot,214,3237.1
68,5,5,51.8,34.1,730,1.0,82.0,0,qwen3-80b,zero_shot,214,33083.8
69,5,5,53.2,29.2,625,1.0,83.25,0,qwen3-80b,zero_shot,214,4483.9
70,5,5,49.4,32.4,695,1.0,84.5,0,qwen3-80b,zero_shot,214,7058.2
71,5,5,48.9,28.8,618,1.0,85.75,0,qwen3-80b,zero_shot,214,1245.0
72,5,5,48.7,25.9,556,1.0,87.0,0,qwen3-80b,zero_shot,214,1008.9
73,5,5,51.5,27.5,589,1.0,88.25,0,qwen3-80b,zero_shot,214,6127.7
74,5,5,50.4,24.4,523,1.0,89.5,0,qwen3-80b,zero_shot,214,1251.3
75,5,5,48.6,28.3,607,1.0,90.75,0,qwen3-80b,zero_shot,214,3340.6
76,5,5,49.3,37.1,794,1.0,92.0,0,qwen3-80b,zero_shot,214,5871.6
77,5,5,62.1,41.5,890,1.0,93.25,0,qwen3-80b,zero_shot,214,15352.8
78,3,3,87.1,48.3,1034,1.0,94.5,1,qwen3-80b,zero_shot,215,8979.8
79,4,3,245.8,102.8,1323,0.9989,95.25,1,qwen3-80b,zero_shot,220,7668.1
80,5,4,127.6,67.2,1152,0.9999,96.25,1,qwen3-80b,zero_shot,219,9088.3
81,5,5,78.6,45.8,982,1.0,97.5,0,qwen3-80b,zero_shot,214,6518.3
82,5,5,59.4,39.5,847,1.0,98.75,0,qwen3-80b,zero_shot,214,4361.2
83,5,5,55.3,38.4,823,1.0,100.0,0,qwen3-80b,zero_shot,214,45421.3
84,5,5,61.9,40.5,868,1.0,101.25,0,qwen3-80b,zero_shot,214,7892.2
85,3,3,83.9,49.3,1056,1.0,102.5,1,qwen3-80b,zero_shot,215,8294.5
86,4,3,148.2,76.2,980,0.9999,103.25,1,qwen3-80b,zero_shot,218,5276.9
87,5,4,92.7,53.4,916,1.0,104.25,1,qwen3-80b,zero_shot,214,47286.6
88,3,3,72.4,46.0,985,1.0,105.5,1,qwen3-80b,zero_shot,214,4325.4
89,4,3,142.7,74.5,958,0.9999,106.25,1,qwen3-80b,zero_shot,218,4395.4
90,5,4,104.5,59.0,1011,1.0,107.25,1,qwen3-80b,zero_shot,216,4693.0
91,3,3,81.1,47.7,1023,1.0,108.5,1,qwen3-80b,zero_shot,215,105667.0
92,4,3,158.1,80.2,1031,0.9998,109.25,1,qwen3-80b,zero_shot,219,2279.0
93,5,4,133.5,66.5,1140,0.9999,110.25,1,qwen3-80b,zero_shot,219,1031.3
94,3,3,77.4,47.4,1015,1.0,111.5,1,qwen3-80b,zero_shot,215,1371.4
95,4,3,153.7,76.9,989,0.9999,112.25,1,qwen3-80b,zero_shot,218,10625.8
96,4,4,85.1,50.0,858,1.0,113.25,0,qwen3-80b,zero_shot,214,70916.3
97,4,4,78.0,48.1,824,1.0,114.25,0,qwen3-80b,zero_shot,214,66397.1
98,4,4,87.9,51.0,875,1.0,115.25,0,qwen3-80b,zero_shot,214,5227.2
99,5,4,93.8,52.8,906,1.0,116.25,1,qwen3-80b,zero_shot,214,610676.4
