step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-16 13:35:14,4,3,64,44,292,223.3,1.0,4,1,gpt-oss-120b,cot,658,53477.3,CPU-intensive
1,2026-07-16 13:37:09,1,4,254,44,259,69.7,1.0,1,1,gpt-oss-120b,cot,788,20251.3,CPU-intensive
2,2026-07-16 13:38:30,14,1,235,11,200,3608.5,1.0,14,1,gpt-oss-120b,cot,778,95289.0,CPU-intensive
3,2026-07-16 13:41:20,1,14,438,154,205,36.8,1.0,1,1,gpt-oss-120b,cot,788,6675.7,CPU-intensive
4,2026-07-16 13:42:27,2,0,492,13,222,4.7,0.0,2,1,gpt-oss-120b,cot,746,12413.8,CPU-intensive
5,2026-07-16 13:43:40,2,2,632,25,286,134.9,1.0,2,0,gpt-oss-120b,cot,643,6137.9,CPU-intensive
6,2026-07-16 13:44:47,3,2,483,24,575,235.8,1.0,3,1,gpt-oss-120b,cot,705,113469.3,CPU-intensive
7,2026-07-16 13:47:42,3,3,501,35,776,122.9,1.0,3,0,gpt-oss-120b,cot,487,305453.3,CPU-intensive
8,2026-07-16 13:53:48,3,3,606,35,746,72.9,1.0,3,0,gpt-oss-120b,cot,681,10789.8,CPU-intensive
9,2026-07-16 13:55:00,3,3,593,36,639,104.9,1.0,3,0,gpt-oss-120b,cot,556,7136.5,CPU-intensive
10,2026-07-16 13:56:08,7,3,575,35,727,420.5,1.0,7,1,gpt-oss-120b,cot,600,377027.3,CPU-intensive
11,2026-07-16 14:03:26,7,7,574,79,686,44.7,1.0,7,0,gpt-oss-120b,cot,697,107002.1,CPU-intensive
12,2026-07-16 14:06:13,1,7,500,79,561,76.4,1.0,1,1,gpt-oss-120b,cot,788,204103.0,CPU-intensive
13,2026-07-16 14:10:38,14,1,414,14,577,5008.3,0.0,14,1,gpt-oss-120b,cot,637,4646.7,CPU-intensive
14,2026-07-16 14:11:48,1,14,305,156,575,47.4,1.0,1,1,gpt-oss-120b,cot,788,11476.6,CPU-intensive
15,2026-07-16 14:13:00,1,0,465,14,590,4.5,0.0,1,0,gpt-oss-120b,cot,788,7509.6,CPU-intensive
16,2026-07-16 14:14:08,14,1,378,14,604,4521.4,1.0,14,1,gpt-oss-120b,cot,763,613280.4,CPU-intensive
17,2026-07-16 14:25:43,2,14,546,158,729,92.1,1.0,2,1,gpt-oss-120b,cot,761,13794.8,CPU-intensive
18,2026-07-16 14:26:58,4,2,555,22,760,808.4,1.0,4,1,gpt-oss-120b,cot,735,76973.3,CPU-intensive
19,2026-07-16 14:29:19,1,4,449,44,763,131.7,1.0,1,1,gpt-oss-120b,cot,788,8601.6,CPU-intensive
20,2026-07-16 14:30:29,3,1,480,14,735,5005.7,0.0,3,1,gpt-oss-120b,cot,787,14222.8,CPU-intensive
21,2026-07-16 14:31:48,1,3,405,35,718,75.5,1.0,1,1,gpt-oss-120b,cot,788,7018.0,CPU-intensive
22,2026-07-16 14:32:56,14,1,346,13,623,4678.0,0.2,14,1,gpt-oss-120b,cot,731,6960.6,CPU-intensive
23,2026-07-16 14:34:12,3,14,440,156,559,74.1,1.0,3,1,gpt-oss-120b,cot,736,170836.2,CPU-intensive
24,2026-07-16 14:38:03,9,3,549,33,569,568.2,1.0,9,1,gpt-oss-120b,cot,618,642591.5,CPU-intensive
25,2026-07-16 14:49:47,1,9,532,99,640,59.9,1.0,1,1,gpt-oss-120b,cot,788,14896.4,CPU-intensive
26,2026-07-16 14:51:03,2,0,500,14,640,4.6,0.0,2,1,gpt-oss-120b,cot,772,12222.3,CPU-intensive
27,2026-07-16 15:07:23,1,2,974,27,688,5007.2,0.8,1,1,gpt-oss-120b,cot,789,150027.7,CPU-intensive
28,2026-07-16 15:11:27,1,1,501,13,545,5012.8,0.1,1,0,gpt-oss-120b,cot,789,47773.6,CPU-intensive
29,2026-07-16 15:13:35,1,0,501,14,550,4.6,0.0,1,0,gpt-oss-120b,cot,788,11620.8,CPU-intensive
30,2026-07-16 15:14:46,14,1,501,15,643,5018.6,0.0,14,1,gpt-oss-120b,cot,533,2352.1,CPU-intensive
31,2026-07-16 15:15:59,14,14,669,157,592,316.3,1.0,14,0,gpt-oss-120b,cot,540,20087.8,CPU-intensive
32,2026-07-16 15:17:20,1,14,699,157,443,37.8,1.0,1,1,gpt-oss-120b,cot,788,12481.2,CPU-intensive
33,2026-07-16 15:18:33,1,0,478,13,442,4.5,0.0,1,0,gpt-oss-120b,cot,788,437255.2,CPU-intensive
34,2026-07-16 15:26:51,14,1,499,15,401,5020.2,0.1,14,1,gpt-oss-120b,cot,660,23080.5,CPU-intensive
35,2026-07-16 15:28:29,1,14,590,157,378,38.7,1.0,1,1,gpt-oss-120b,cot,788,372689.0,CPU-intensive
