step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-16 19:53:24,292,293,87.6,84.7,126.2,156.4,292,0,1.0
1,2026-07-16 19:54:24,259,255,1144.7,1207.5,2502.4,3442.0,259,0,1.0
2,2026-07-16 19:55:25,200,201,75.8,78.3,87.5,95.4,200,0,1.0
3,2026-07-16 19:56:25,205,206,253.6,89.5,938.7,1577.0,205,0,1.0
4,2026-07-16 19:57:25,222,220,204.5,89.9,662.8,1628.8,222,0,1.0
5,2026-07-16 19:58:25,286,284,101.3,89.2,138.9,418.8,286,0,1.0
6,2026-07-16 19:59:26,575,576,1410.0,85.4,5015.1,5021.3,429,146,0.7461
7,2026-07-16 20:00:26,776,733,1897.6,115.0,5016.1,5021.4,552,224,0.7113
8,2026-07-16 20:01:29,746,676,3326.0,4589.9,5018.2,5021.1,229,517,0.307
9,2026-07-16 20:02:35,639,639,1765.3,116.2,5016.3,5021.4,400,239,0.626
10,2026-07-16 20:03:35,727,727,62.1,48.2,111.4,213.5,727,0,1.0
11,2026-07-16 20:04:35,686,644,1405.8,85.0,5012.8,5021.0,580,106,0.8455
12,2026-07-16 20:05:39,561,561,2504.0,2623.3,5019.5,5022.2,295,266,0.5258
13,2026-07-16 20:06:39,577,577,73.4,65.3,127.3,228.7,577,0,1.0
14,2026-07-16 20:07:39,575,575,77.1,65.5,132.9,263.4,575,0,1.0
15,2026-07-16 20:08:39,590,590,79.7,69.3,132.9,319.2,590,0,1.0
16,2026-07-16 20:09:39,604,559,902.1,76.3,5016.8,5022.1,527,77,0.8725
17,2026-07-16 20:10:44,729,716,3028.1,4338.4,5020.0,5022.2,191,538,0.262
18,2026-07-16 20:11:45,760,707,3207.9,4931.1,5020.4,5022.4,160,600,0.2105
19,2026-07-16 20:12:50,763,763,1419.7,53.4,5018.0,5022.1,526,237,0.6894
20,2026-07-16 20:13:49,735,735,68.0,49.6,123.2,288.3,735,0,1.0
21,2026-07-16 20:14:49,718,719,67.6,50.9,127.1,280.3,718,0,1.0
22,2026-07-16 20:15:49,623,623,73.9,61.3,133.3,241.7,623,0,1.0
23,2026-07-16 20:16:49,559,559,78.9,69.2,133.9,257.0,559,0,1.0
24,2026-07-16 20:17:49,569,569,82.1,68.6,131.5,380.8,569,0,1.0
25,2026-07-16 20:18:49,640,640,67.8,56.7,120.3,155.5,640,0,1.0
26,2026-07-16 20:19:49,640,640,69.9,57.4,124.8,244.5,640,0,1.0
27,2026-07-16 20:20:49,688,689,68.4,53.7,125.6,222.0,688,0,1.0
28,2026-07-16 20:21:49,545,545,82.9,73.7,138.6,326.8,545,0,1.0
29,2026-07-16 20:22:49,550,551,84.4,74.5,138.0,331.1,550,0,1.0
30,2026-07-16 20:23:49,643,643,68.5,58.6,117.8,224.4,643,0,1.0
31,2026-07-16 20:24:49,592,592,90.1,69.4,149.4,548.6,592,0,1.0
32,2026-07-16 20:25:49,443,443,97.7,81.1,142.5,518.0,443,0,1.0
