step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type,decision_timeout
0,2026-07-19 04:19:57,1,3,174,45,960,185.2,1.0,1,1,gpt-oss-120b,cot,788,37263.55726784095,CPU-intensive,0
1,2026-07-19 04:21:35,1,0,501,14,1022,4.5,0.0,1,0,gpt-oss-120b,cot,791,30867.509961593896,CPU-intensive,0
2,2026-07-19 04:23:07,14,1,499,17,1122,5018.4,0.0,14,1,gpt-oss-120b,cot,746,503.96784767508507,CPU-intensive,0
3,2026-07-19 04:24:23,1,14,618,157,1096,52.3,1.0,1,1,gpt-oss-120b,cot,791,514.9627062492073,CPU-intensive,0
4,2026-07-19 04:25:24,1,0,501,13,905,4.9,0.0,1,0,gpt-oss-120b,cot,790,680.8194760233164,CPU-intensive,0
5,2026-07-19 04:26:25,12,1,500,15,703,5007.5,0.0,12,1,gpt-oss-120b,cot,686,439.39314829185605,CPU-intensive,0
6,2026-07-19 04:27:31,1,12,457,135,572,44.1,1.0,1,1,gpt-oss-120b,cot,790,712.7351346425712,CPU-intensive,0
7,2026-07-19 04:28:32,1,0,479,13,486,5008.5,0.0,1,0,gpt-oss-120b,cot,791,635.1321637630463,CPU-intensive,0
8,2026-07-19 04:29:38,14,1,432,15,458,5020.8,0.0,14,1,gpt-oss-120b,cot,732,648.4595779329538,CPU-intensive,0
9,2026-07-19 04:30:54,1,14,418,157,488,37.0,1.0,1,1,gpt-oss-120b,cot,790,491.9715980067849,CPU-intensive,0
10,2026-07-19 04:31:55,14,1,454,14,515,5018.8,0.1,14,1,gpt-oss-120b,cot,649,546.7892019078135,CPU-intensive,0
11,2026-07-19 04:33:06,1,14,582,156,592,40.2,1.0,1,1,gpt-oss-120b,cot,790,490.67489290609956,CPU-intensive,0
12,2026-07-19 04:34:07,1,0,499,14,786,4.4,0.0,1,0,gpt-oss-120b,cot,790,513.3206429891288,CPU-intensive,0
13,2026-07-19 04:35:08,1,1,500,15,1041,5019.2,0.0,1,0,gpt-oss-120b,cot,792,515.3721766546369,CPU-intensive,0
14,2026-07-19 04:36:19,1,1,500,15,1258,4844.6,0.2,1,0,gpt-oss-120b,cot,792,734.6585090272129,CPU-intensive,0
15,2026-07-19 04:37:28,14,1,500,19,1359,5007.6,0.0,14,1,gpt-oss-120b,cot,694,483.1628226675093,CPU-intensive,0
16,2026-07-19 04:38:34,2,14,782,158,1406,39.0,1.0,2,1,gpt-oss-120b,cot,788,537.7325238659978,CPU-intensive,0
17,2026-07-19 04:39:35,4,2,882,28,1405,5009.8,0.5,4,1,gpt-oss-120b,cot,721,469.0520619042218,CPU-intensive,0
18,2026-07-19 04:41:14,10,4,856,50,1396,496.2,1.0,10,1,gpt-oss-120b,cot,764,472.7873899973929,CPU-intensive,0
19,2026-07-19 04:42:17,1,10,820,116,1411,77.2,1.0,1,1,gpt-oss-120b,cot,791,553.3549170941114,CPU-intensive,0
20,2026-07-19 04:43:18,14,1,501,15,1437,5020.9,0.1,14,1,gpt-oss-120b,cot,645,661.1425243318081,CPU-intensive,0
21,2026-07-19 04:44:32,1,14,780,158,1392,98.9,1.0,1,1,gpt-oss-120b,cot,791,508.00149887800217,CPU-intensive,0
22,2026-07-19 04:45:34,1,0,502,15,1242,4.3,0.0,1,0,gpt-oss-120b,cot,791,575.32805390656,CPU-intensive,0
23,2026-07-19 04:46:34,1,0,501,19,1054,4.4,0.0,1,0,gpt-oss-120b,cot,791,778.4479479305446,CPU-intensive,0
24,2026-07-19 04:47:36,1,1,469,15,968,5006.9,0.0,1,0,gpt-oss-120b,cot,791,514.1831361688673,CPU-intensive,0
25,2026-07-19 04:48:46,14,1,501,18,1008,5007.7,0.0,14,1,gpt-oss-120b,cot,662,424.9937301501632,CPU-intensive,0
26,2026-07-19 04:49:52,1,14,761,158,1107,114.1,1.0,1,1,gpt-oss-120b,cot,791,512.5178890302777,CPU-intensive,0
27,2026-07-19 04:50:54,2,0,501,16,1108,4.5,0.0,2,1,gpt-oss-120b,cot,768,498.9068740978837,CPU-intensive,0
28,2026-07-19 04:51:55,14,2,760,28,998,5015.2,0.7,14,1,gpt-oss-120b,cot,641,474.6342319995165,CPU-intensive,0
29,2026-07-19 04:53:21,1,14,532,160,817,41.0,1.0,1,1,gpt-oss-120b,cot,790,668.1010699830949,CPU-intensive,0
30,2026-07-19 04:54:22,2,0,500,14,655,4.6,0.0,2,1,gpt-oss-120b,cot,784,535.72216629982,CPU-intensive,0
31,2026-07-19 04:55:23,4,2,706,24,560,366.2,1.0,4,1,gpt-oss-120b,cot,616,485.14966620132327,CPU-intensive,0
32,2026-07-19 04:56:25,1,4,445,46,517,56.0,1.0,1,1,gpt-oss-120b,cot,780,496.9103499315679,CPU-intensive,0
33,2026-07-19 04:57:26,1,1,500,14,533,5019.8,0.1,1,0,gpt-oss-120b,cot,791,503.34124313667417,CPU-intensive,0
34,2026-07-19 04:58:45,14,1,479,14,548,5014.2,0.0,14,1,gpt-oss-120b,cot,495,326.67798828333616,CPU-intensive,0
35,2026-07-19 04:59:56,1,14,559,157,596,62.4,1.0,1,1,gpt-oss-120b,cot,790,544.5522619411349,CPU-intensive,0
36,2026-07-19 05:00:57,2,0,499,14,768,4.4,0.0,2,1,gpt-oss-120b,cot,750,489.0268868766725,CPU-intensive,0
37,2026-07-19 05:01:58,1,0,895,27,1035,4.5,0.0,1,1,gpt-oss-120b,cot,791,471.31754318252206,CPU-intensive,0
38,2026-07-19 05:02:59,1,0,500,15,1295,5018.2,0.0,1,0,gpt-oss-120b,cot,792,546.8116900883615,CPU-intensive,0
39,2026-07-19 05:04:20,2,0,493,15,1435,4.4,0.0,2,1,gpt-oss-120b,cot,706,439.12847293540835,CPU-intensive,0
40,2026-07-19 05:05:21,1,2,978,28,1538,4420.6,1.0,1,1,gpt-oss-120b,cot,792,518.936122301966,CPU-intensive,0
41,2026-07-19 05:06:31,12,1,456,15,1547,4585.4,0.1,12,1,gpt-oss-120b,cot,700,681.4616890624166,CPU-intensive,0
42,2026-07-19 05:07:36,1,12,830,135,1562,178.1,1.0,1,1,gpt-oss-120b,cot,791,515.754038002342,CPU-intensive,0
43,2026-07-19 05:08:38,14,1,500,15,1588,5007.1,0.0,14,1,gpt-oss-120b,cot,718,595.4792737029493,CPU-intensive,0
44,2026-07-19 05:09:44,1,14,887,157,1649,57.2,1.0,1,1,gpt-oss-120b,cot,770,467.9570458829403,CPU-intensive,0
45,2026-07-19 05:10:45,2,0,501,15,1697,4.5,0.0,2,1,gpt-oss-120b,cot,678,428.5914800129831,CPU-intensive,0
46,2026-07-19 05:11:46,14,1,950,28,1578,5019.1,0.7,14,1,gpt-oss-120b,cot,788,630.8987610973418,CPU-intensive,0
47,2026-07-19 05:13:26,1,14,717,159,1340,40.7,1.0,1,1,gpt-oss-120b,cot,791,507.8424299135804,CPU-intensive,0
48,2026-07-19 05:14:27,1,0,500,15,1242,4.4,0.0,1,0,gpt-oss-120b,cot,791,622.6149080321193,CPU-intensive,0
49,2026-07-19 05:15:28,1,0,500,15,1264,4.5,0.0,1,0,gpt-oss-120b,cot,791,515.453927218914,CPU-intensive,0
50,2026-07-19 05:16:29,14,1,459,15,1372,5021.1,0.0,14,1,gpt-oss-120b,cot,650,569.7459131479263,CPU-intensive,0
51,2026-07-19 05:17:45,1,14,699,157,1378,83.8,1.0,1,1,gpt-oss-120b,cot,791,522.8154477663338,CPU-intensive,0
52,2026-07-19 05:18:47,1,0,500,15,1223,4.5,0.0,1,0,gpt-oss-120b,cot,791,714.5801796577871,CPU-intensive,0
53,2026-07-19 05:19:48,14,1,411,15,1002,5005.8,0.0,14,1,gpt-oss-120b,cot,603,374.92181407287717,CPU-intensive,0
54,2026-07-19 05:20:53,1,14,531,157,802,37.9,1.0,1,1,gpt-oss-120b,cot,790,594.2277773283422,CPU-intensive,0
55,2026-07-19 05:21:55,1,0,501,15,688,4.3,0.0,1,0,gpt-oss-120b,cot,790,527.6309093460441,CPU-intensive,0
56,2026-07-19 05:22:56,1,0,500,17,653,4.5,0.0,1,0,gpt-oss-120b,cot,790,568.2953060604632,CPU-intensive,0
57,2026-07-19 05:23:56,2,0,502,20,669,4.6,0.0,2,1,gpt-oss-120b,cot,670,417.4906127154827,CPU-intensive,0
58,2026-07-19 05:24:57,14,2,730,28,650,5019.6,0.7,14,1,gpt-oss-120b,cot,554,369.14379009976983,CPU-intensive,0
