step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-19 04:19:46,960,849,824.7,43.8,5019.0,5022.3,833,127,0.8677
1,2026-07-19 04:20:54,1022,956,2362.6,231.5,5021.2,5022.4,114,908,0.1115
2,2026-07-19 04:21:58,1122,1070,2219.7,20.0,5021.3,5022.6,103,1019,0.0918
3,2026-07-19 04:23:01,1096,1096,931.6,37.1,5017.7,5022.1,655,441,0.5976
4,2026-07-19 04:24:01,905,827,1770.0,64.1,5020.1,5022.1,638,267,0.705
5,2026-07-19 04:25:07,703,668,3327.4,5013.4,5021.6,5022.5,100,603,0.1422
6,2026-07-19 04:26:10,572,572,1375.7,82.4,5020.4,5022.2,401,171,0.701
7,2026-07-19 04:27:10,486,449,1941.1,141.2,5020.2,5022.0,374,112,0.7695
8,2026-07-19 04:28:15,458,423,2676.3,3781.8,5021.4,5022.4,141,317,0.3079
9,2026-07-19 04:29:20,488,489,1868.6,107.0,5021.2,5022.5,245,243,0.502
10,2026-07-19 04:30:20,515,503,1087.9,87.9,5019.2,5021.9,443,72,0.8602
11,2026-07-19 04:31:21,592,592,2632.3,2757.3,5021.3,5022.6,235,357,0.397
12,2026-07-19 04:32:21,786,721,899.1,47.6,5019.5,5022.2,675,111,0.8588
13,2026-07-19 04:33:26,1041,992,2291.4,48.8,5020.8,5022.4,144,897,0.1383
14,2026-07-19 04:34:29,1258,1074,1956.9,19.9,5020.9,5022.5,104,1154,0.0827
15,2026-07-19 04:35:40,1359,1150,1914.2,18.6,5020.9,5022.5,90,1269,0.0662
16,2026-07-19 04:36:51,1406,1406,1447.0,20.5,5020.1,5022.2,361,1045,0.2568
17,2026-07-19 04:37:51,1405,1153,819.7,36.3,3897.6,5020.0,1303,102,0.9274
18,2026-07-19 04:39:04,1396,1010,2781.2,2787.9,5012.0,5021.2,806,590,0.5774
19,2026-07-19 04:40:27,1411,1411,65.4,36.9,133.9,313.9,1411,0,1.0
20,2026-07-19 04:41:27,1437,1214,558.9,35.9,3689.7,5022.1,1310,127,0.9116
21,2026-07-19 04:42:38,1392,1285,1848.0,18.2,5021.1,5022.6,172,1220,0.1236
22,2026-07-19 04:43:43,1242,1079,574.8,37.1,3810.7,5022.1,1132,110,0.9114
23,2026-07-19 04:44:52,1054,1004,2267.9,36.1,5021.4,5022.5,132,922,0.1252
24,2026-07-19 04:45:55,968,895,2551.9,3602.9,5021.5,5022.9,74,894,0.0764
25,2026-07-19 04:47:00,1008,855,2412.5,1387.3,5021.6,5022.5,105,903,0.1042
26,2026-07-19 04:48:10,1107,1107,1811.4,39.8,5021.0,5022.3,329,778,0.2972
27,2026-07-19 04:49:10,1108,1054,710.1,39.4,5009.2,5022.4,990,118,0.8935
28,2026-07-19 04:50:13,998,869,2717.0,3687.5,5020.7,5022.3,257,741,0.2575
