step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-15 15:29:28,292,293,8.0,5.5,17.7,23.3,292,0,1.0
1,2026-07-15 15:30:28,259,260,7.2,5.4,15.0,23.6,259,0,1.0
2,2026-07-15 15:31:28,200,201,6.1,5.4,7.0,21.7,200,0,1.0
3,2026-07-15 15:32:27,205,206,5.9,5.4,5.9,19.5,205,0,1.0
4,2026-07-15 15:33:27,222,223,5.9,5.4,6.1,18.6,222,0,1.0
5,2026-07-15 15:34:27,286,287,6.1,5.3,6.3,20.9,286,0,1.0
6,2026-07-15 15:35:26,575,576,6.4,5.4,7.7,21.1,575,0,1.0
7,2026-07-15 15:36:26,776,777,6.8,5.3,11.8,21.4,776,0,1.0
8,2026-07-15 15:37:26,746,747,6.7,5.3,11.6,22.5,746,0,1.0
9,2026-07-15 15:38:26,639,640,6.1,5.3,6.4,21.2,639,0,1.0
10,2026-07-15 15:39:26,727,728,5.9,5.3,6.0,18.3,727,0,1.0
11,2026-07-15 15:40:26,686,687,6.1,5.3,6.0,20.8,686,0,1.0
12,2026-07-15 15:41:26,561,562,5.9,5.3,5.9,21.0,561,0,1.0
13,2026-07-15 15:42:26,577,578,5.9,5.3,5.9,18.0,577,0,1.0
14,2026-07-15 15:43:26,575,576,5.9,5.3,5.8,18.8,575,0,1.0
15,2026-07-15 15:44:26,590,591,5.9,5.3,5.9,17.1,590,0,1.0
16,2026-07-15 15:45:26,604,605,5.9,5.3,5.8,19.8,604,0,1.0
17,2026-07-15 15:46:26,729,730,5.6,5.3,5.7,16.2,729,0,1.0
18,2026-07-15 15:47:25,760,761,5.7,5.3,5.8,15.5,760,0,1.0
19,2026-07-15 15:48:25,763,764,6.1,5.3,6.4,18.6,763,0,1.0
20,2026-07-15 15:49:25,735,736,6.3,5.3,7.9,21.1,735,0,1.0
21,2026-07-15 15:50:25,718,719,6.7,5.3,10.0,22.3,718,0,1.0
22,2026-07-15 15:51:25,623,624,6.8,5.3,11.8,21.7,623,0,1.0
23,2026-07-15 15:52:25,559,560,7.2,5.5,14.1,22.5,559,0,1.0
24,2026-07-15 15:53:25,569,570,7.5,5.6,15.7,23.0,569,0,1.0
25,2026-07-15 15:54:25,640,641,7.6,5.7,16.0,22.9,640,0,1.0
26,2026-07-15 15:55:25,640,641,7.6,5.7,15.6,22.8,640,0,1.0
27,2026-07-15 15:56:25,688,689,7.2,5.5,14.2,22.4,688,0,1.0
28,2026-07-15 15:57:25,545,546,6.6,5.3,10.5,21.8,545,0,1.0
29,2026-07-15 15:58:25,550,551,7.2,5.3,15.6,22.4,550,0,1.0
30,2026-07-15 15:59:24,643,644,7.3,5.4,15.2,22.4,643,0,1.0
31,2026-07-15 16:00:24,592,593,7.7,5.4,16.6,22.1,592,0,1.0
