step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-15 19:31:56,5,3,5,55,292,5.4,1.0,5,1,rl-dqn,baseline,0,0.0,CPU-intensive
1,2026-07-15 19:32:56,5,5,10,55,259,5.3,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
2,2026-07-15 19:33:57,5,5,9,55,200,5.5,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
3,2026-07-15 19:34:57,5,5,9,55,205,5.2,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
4,2026-07-15 19:35:57,5,5,9,55,222,5.4,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
5,2026-07-15 19:36:57,5,5,9,55,286,5.4,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
6,2026-07-15 19:37:58,5,5,11,55,575,5.4,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
7,2026-07-15 19:38:58,5,5,16,55,776,5.5,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
8,2026-07-15 19:39:58,5,5,23,55,746,5.3,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
9,2026-07-15 19:40:59,5,5,23,55,639,5.4,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
10,2026-07-15 19:41:59,5,5,22,55,727,5.6,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
11,2026-07-15 19:42:59,5,5,24,55,686,5.4,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
12,2026-07-15 19:43:59,5,5,20,55,561,5.4,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
13,2026-07-15 19:45:00,5,5,18,55,577,5.4,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
14,2026-07-15 19:46:00,5,5,21,55,575,5.3,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
15,2026-07-15 19:47:00,5,5,20,55,590,5.7,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
