step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-15 21:33:03,15,3,5,55,960,5.3,1.0,15,1,rl-dqn,baseline,0,0.0,CPU-intensive
1,2026-07-15 21:34:04,15,13,28,143,1022,5.4,1.0,15,1,rl-dqn,baseline,0,0.0,CPU-intensive
2,2026-07-15 21:35:04,15,13,27,143,1122,5.3,1.0,15,1,rl-dqn,baseline,0,0.0,CPU-intensive
3,2026-07-15 21:36:04,15,13,35,143,1096,6.4,1.0,15,1,rl-dqn,baseline,0,0.0,CPU-intensive
4,2026-07-15 21:37:05,15,13,32,143,905,5.3,1.0,15,1,rl-dqn,baseline,0,0.0,CPU-intensive
5,2026-07-15 21:38:05,5,13,29,143,703,5.3,1.0,5,1,rl-dqn,baseline,0,0.0,CPU-intensive
6,2026-07-15 21:39:05,5,5,20,55,572,5.6,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
7,2026-07-15 21:40:06,5,5,17,55,486,5.3,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
8,2026-07-15 21:41:06,5,5,16,55,458,5.3,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
9,2026-07-15 21:42:06,5,5,15,55,488,5.4,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
10,2026-07-15 21:43:06,5,5,12,55,515,5.4,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
11,2026-07-15 21:44:07,5,5,13,55,592,5.3,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
12,2026-07-15 21:45:07,5,5,14,55,786,5.3,1.0,5,0,rl-dqn,baseline,0,0.0,CPU-intensive
13,2026-07-15 21:46:07,15,5,15,55,1041,5.3,1.0,15,1,rl-dqn,baseline,0,0.0,CPU-intensive
14,2026-07-15 21:47:08,15,13,25,143,1258,5.4,1.0,15,1,rl-dqn,baseline,0,0.0,CPU-intensive
15,2026-07-15 21:48:08,15,13,29,143,1359,5.3,1.0,15,1,rl-dqn,baseline,0,0.0,CPU-intensive
16,2026-07-15 21:49:08,15,13,30,143,1406,5.7,1.0,15,1,rl-dqn,baseline,0,0.0,CPU-intensive
17,2026-07-15 21:50:09,15,13,28,143,1405,5.7,1.0,15,1,rl-dqn,baseline,0,0.0,CPU-intensive
18,2026-07-15 21:51:09,15,13,29,143,1396,6.6,1.0,15,1,rl-dqn,baseline,0,0.0,CPU-intensive
19,2026-07-15 21:52:10,15,13,27,143,1411,5.4,1.0,15,1,rl-dqn,baseline,0,0.0,CPU-intensive
20,2026-07-15 21:53:10,15,13,30,143,1437,5.3,1.0,15,1,rl-dqn,baseline,0,0.0,CPU-intensive
21,2026-07-15 21:54:10,15,13,32,143,1392,5.3,1.0,15,1,rl-dqn,baseline,0,0.0,CPU-intensive
22,2026-07-15 21:55:11,15,13,31,143,1242,6.4,1.0,15,1,rl-dqn,baseline,0,0.0,CPU-intensive
23,2026-07-15 21:56:11,15,13,28,143,1054,5.5,1.0,15,1,rl-dqn,baseline,0,0.0,CPU-intensive
24,2026-07-15 21:57:11,15,13,27,143,968,11.0,1.0,15,1,rl-dqn,baseline,0,0.0,CPU-intensive
25,2026-07-15 21:58:12,15,13,26,143,1008,5.4,1.0,15,1,rl-dqn,baseline,0,0.0,CPU-intensive
26,2026-07-15 21:59:12,15,13,27,143,1107,5.4,1.0,15,1,rl-dqn,baseline,0,0.0,CPU-intensive
