step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-15 21:32:50,960,961,7.2,5.4,13.9,22.1,960,0,1.0
1,2026-07-15 21:33:50,1022,1023,7.0,5.4,14.6,21.3,1022,0,1.0
2,2026-07-15 21:34:50,1122,1123,7.6,5.5,16.3,21.8,1122,0,1.0
3,2026-07-15 21:35:50,1096,1097,8.6,6.0,19.1,24.0,1096,0,1.0
4,2026-07-15 21:36:50,905,906,9.2,6.3,20.1,23.7,905,0,1.0
5,2026-07-15 21:37:50,703,704,9.9,7.0,21.0,24.1,703,0,1.0
6,2026-07-15 21:38:50,572,573,10.3,6.6,22.9,24.6,572,0,1.0
7,2026-07-15 21:39:50,486,487,9.9,6.6,22.2,23.8,486,0,1.0
8,2026-07-15 21:40:50,458,459,9.1,6.6,18.6,24.0,458,0,1.0
9,2026-07-15 21:41:49,488,489,8.4,5.8,19.2,24.1,488,0,1.0
10,2026-07-15 21:42:49,515,516,7.4,5.3,16.3,23.1,515,0,1.0
11,2026-07-15 21:43:49,592,593,6.3,5.1,10.0,20.8,592,0,1.0
12,2026-07-15 21:44:49,786,787,6.1,5.2,6.0,20.9,786,0,1.0
13,2026-07-15 21:45:49,1041,1042,5.9,5.3,6.1,17.3,1041,0,1.0
14,2026-07-15 21:46:49,1258,1259,5.6,5.3,5.7,16.4,1258,0,1.0
15,2026-07-15 21:47:49,1359,1360,5.4,5.2,5.6,8.4,1359,0,1.0
16,2026-07-15 21:48:49,1406,1407,5.5,5.3,5.6,10.0,1406,0,1.0
17,2026-07-15 21:49:49,1405,1406,5.5,5.3,5.7,11.5,1405,0,1.0
18,2026-07-15 21:50:49,1396,1397,5.8,5.5,6.2,12.5,1396,0,1.0
19,2026-07-15 21:51:49,1411,1412,5.7,5.3,5.7,16.6,1411,0,1.0
20,2026-07-15 21:52:49,1437,1438,6.2,5.3,6.8,21.0,1437,0,1.0
21,2026-07-15 21:53:49,1392,1393,6.5,5.3,8.9,21.3,1392,0,1.0
22,2026-07-15 21:54:49,1242,1243,6.3,5.3,6.9,21.0,1242,0,1.0
23,2026-07-15 21:55:49,1054,1055,6.4,5.3,7.8,21.3,1054,0,1.0
24,2026-07-15 21:56:49,968,969,6.0,5.3,6.4,20.9,968,0,1.0
25,2026-07-15 21:57:49,1008,1009,6.3,5.3,7.4,21.0,1008,0,1.0
26,2026-07-15 21:58:48,1107,1108,6.8,5.3,12.3,21.2,1107,0,1.0
27,2026-07-15 21:59:48,1108,1109,7.9,5.6,17.2,21.9,1108,0,1.0
28,2026-07-15 22:00:48,998,999,8.4,5.7,19.5,23.3,998,0,1.0
29,2026-07-15 22:01:48,817,818,9.1,6.1,21.1,24.8,817,0,1.0
30,2026-07-15 22:02:48,655,656,8.8,6.0,21.0,24.2,655,0,1.0
31,2026-07-15 22:03:48,560,561,8.5,5.9,19.6,24.2,560,0,1.0
32,2026-07-15 22:04:48,517,518,8.7,5.9,18.8,23.8,517,0,1.0
33,2026-07-15 22:05:48,533,534,8.3,5.6,20.8,24.2,533,0,1.0
34,2026-07-15 22:06:48,548,549,6.6,5.3,10.8,22.1,548,0,1.0
35,2026-07-15 22:07:48,596,597,6.4,5.3,8.5,21.3,596,0,1.0
36,2026-07-15 22:08:48,768,769,5.7,5.2,5.7,17.1,768,0,1.0
37,2026-07-15 22:09:48,1035,1036,5.6,5.2,5.8,14.2,1035,0,1.0
38,2026-07-15 22:10:48,1295,1296,5.5,5.3,5.6,18.1,1295,0,1.0
39,2026-07-15 22:11:48,1435,1436,5.5,5.3,5.8,12.3,1435,0,1.0
40,2026-07-15 22:12:48,1538,1539,5.4,5.3,5.7,7.4,1538,0,1.0
41,2026-07-15 22:13:48,1547,1548,5.5,5.3,5.8,14.5,1547,0,1.0
42,2026-07-15 22:14:47,1562,1563,5.5,5.3,5.6,9.5,1562,0,1.0
43,2026-07-15 22:15:47,1588,1589,5.7,5.3,5.8,16.8,1588,0,1.0
44,2026-07-15 22:16:47,1649,1650,6.7,5.5,9.5,21.8,1649,0,1.0
