step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-12 04:14:55,3,3,6,66,292,99.4,1.0,3,0,qwen3-80b,cot,529,17664.4,CPU-intensive
1,2026-07-12 04:16:14,3,3,138,34,259,81.2,1.0,3,0,qwen3-80b,cot,487,77401.7,CPU-intensive
2,2026-07-12 04:18:32,3,3,116,33,200,94.0,1.0,3,0,qwen3-80b,cot,496,249152.5,CPU-intensive
3,2026-07-12 04:23:42,3,3,410,34,205,118.7,1.0,3,0,qwen3-80b,cot,464,8654.3,CPU-intensive
4,2026-07-12 04:24:51,3,3,328,33,222,82.6,1.0,3,0,qwen3-80b,cot,442,120661.2,CPU-intensive
5,2026-07-12 04:27:52,3,3,287,34,286,88.3,1.0,3,0,qwen3-80b,cot,540,13864.6,CPU-intensive
6,2026-07-12 04:29:07,3,3,308,34,575,107.7,1.0,3,0,qwen3-80b,cot,542,210243.7,CPU-intensive
7,2026-07-12 04:33:38,1,3,385,34,776,102.6,1.0,1,1,qwen3-80b,cot,750,144580.6,CPU-intensive
8,2026-07-12 04:37:04,2,1,349,11,746,294.6,1.0,2,1,qwen3-80b,cot,513,24733.8,CPU-intensive
9,2026-07-12 04:38:31,2,2,313,23,639,106.4,1.0,2,0,qwen3-80b,cot,509,308493.7,CPU-intensive
10,2026-07-12 04:44:40,2,2,314,23,727,165.3,1.0,2,0,qwen3-80b,cot,591,28249.3,CPU-intensive
11,2026-07-12 04:46:09,2,2,326,23,686,147.1,1.0,2,0,qwen3-80b,cot,452,8634.3,CPU-intensive
12,2026-07-12 04:47:19,2,2,235,23,561,102.7,1.0,2,0,qwen3-80b,cot,460,42846.7,CPU-intensive
13,2026-07-12 04:49:03,2,2,241,24,577,109.8,1.0,2,0,qwen3-80b,cot,689,13670.3,CPU-intensive
14,2026-07-12 04:50:17,2,2,193,23,575,107.2,1.0,2,0,qwen3-80b,cot,489,233838.4,CPU-intensive
15,2026-07-12 04:55:12,2,2,233,22,590,95.4,1.0,2,0,qwen3-80b,cot,621,357894.2,CPU-intensive
16,2026-07-12 05:02:11,2,2,274,23,604,114.5,1.0,2,0,qwen3-80b,cot,482,190508.0,CPU-intensive
17,2026-07-12 05:06:22,2,2,331,23,729,96.9,1.0,2,0,qwen3-80b,cot,610,115398.7,CPU-intensive
18,2026-07-12 05:09:18,2,2,217,22,760,97.5,1.0,2,0,qwen3-80b,cot,532,84421.4,CPU-intensive
19,2026-07-12 05:11:44,2,2,226,23,763,165.3,1.0,2,0,qwen3-80b,cot,0,0.0,CPU-intensive
20,2026-07-12 05:27:52,2,2,301,23,735,137.0,1.0,2,0,qwen3-80b,cot,607,114260.6,CPU-intensive
21,2026-07-12 05:30:47,4,2,376,23,718,203.6,1.0,4,1,qwen3-80b,cot,612,158155.5,CPU-intensive
22,2026-07-12 05:34:27,14,4,1000,46,623,297.5,1.0,14,1,qwen3-80b,cot,750,206404.8,CPU-intensive
23,2026-07-12 05:38:55,6,14,674,157,559,113.8,1.0,6,1,qwen3-80b,cot,751,728567.1,CPU-intensive
24,2026-07-12 05:52:04,6,6,619,68,569,75.0,1.0,6,0,qwen3-80b,cot,512,52363.5,CPU-intensive
25,2026-07-12 05:53:57,6,6,614,68,640,119.6,1.0,6,0,qwen3-80b,cot,556,319598.5,CPU-intensive
26,2026-07-12 06:00:17,2,6,484,68,640,134.5,1.0,2,1,qwen3-80b,cot,749,198093.0,CPU-intensive
27,2026-07-12 06:04:36,2,2,410,24,688,116.5,1.0,2,0,qwen3-80b,cot,461,50768.5,CPU-intensive
28,2026-07-12 06:06:28,2,2,478,24,545,177.4,1.0,2,0,qwen3-80b,cot,506,87174.0,CPU-intensive
29,2026-07-12 06:08:57,2,2,403,24,550,143.5,1.0,2,0,qwen3-80b,cot,611,125979.2,CPU-intensive
30,2026-07-12 06:12:04,2,2,328,24,643,162.5,1.0,2,0,qwen3-80b,cot,505,112955.1,CPU-intensive
31,2026-07-12 06:14:58,2,2,117,24,592,69.9,1.0,2,0,qwen3-80b,cot,596,115692.1,CPU-intensive
32,2026-07-12 06:17:54,2,2,2,24,443,81.4,1.0,2,0,qwen3-80b,cot,598,68100.3,CPU-intensive
33,2026-07-12 06:20:03,2,2,2,24,442,41.3,1.0,2,0,qwen3-80b,cot,243,67740.7,CPU-intensive
34,2026-07-12 06:22:11,2,2,2,24,401,82.3,1.0,2,0,qwen3-80b,cot,243,192535.9,CPU-intensive
35,2026-07-12 06:26:25,2,2,2,24,378,82.4,1.0,2,0,qwen3-80b,cot,731,93745.5,CPU-intensive
36,2026-07-12 06:28:59,2,2,2,24,296,85.1,1.0,2,0,qwen3-80b,cot,664,83406.2,CPU-intensive
37,2026-07-12 06:31:23,2,2,2,24,381,78.1,1.0,2,0,qwen3-80b,cot,602,80710.4,CPU-intensive
38,2026-07-12 06:33:45,2,2,2,24,340,78.9,1.0,2,0,qwen3-80b,cot,243,228125.8,CPU-intensive
39,2026-07-12 06:38:33,2,2,2,24,358,81.8,1.0,2,0,qwen3-80b,cot,0,0.0,CPU-intensive
40,2026-07-12 06:39:34,2,2,2,24,451,81.7,1.0,2,0,qwen3-80b,cot,678,479005.1,CPU-intensive
41,2026-07-12 06:48:34,2,2,2,24,623,81.0,1.0,2,0,qwen3-80b,cot,482,139014.1,CPU-intensive
42,2026-07-12 06:51:54,2,2,2,24,518,61.9,1.0,2,0,qwen3-80b,cot,0,0.0,CPU-intensive
43,2026-07-12 06:57:57,2,2,2,24,548,70.0,1.0,2,0,qwen3-80b,cot,0,0.0,CPU-intensive
44,2026-07-12 06:58:58,2,2,2,24,499,78.8,1.0,2,0,qwen3-80b,cot,581,108381.4,CPU-intensive
45,2026-07-12 07:01:47,2,2,2,24,517,68.7,1.0,2,0,qwen3-80b,cot,0,0.0,CPU-intensive
46,2026-07-12 07:02:48,2,2,2,24,471,72.8,1.0,2,0,qwen3-80b,cot,0,0.0,CPU-intensive
47,2026-07-12 07:03:48,2,2,2,24,503,81.3,1.0,2,0,qwen3-80b,cot,0,0.0,CPU-intensive
48,2026-07-12 07:04:49,2,2,2,24,605,81.1,1.0,2,0,qwen3-80b,cot,0,0.0,CPU-intensive
49,2026-07-12 07:05:50,2,2,2,24,621,80.9,1.0,2,0,qwen3-80b,cot,0,0.0,CPU-intensive
50,2026-07-12 07:06:51,2,2,2,24,646,81.2,1.0,2,0,qwen3-80b,cot,696,152852.5,CPU-intensive
