step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-11 16:51:55,1,3,3,33,292,82.6,1.0,1,1,qwen3-80b,domain,285,858878.3,CPU-intensive
1,2026-07-11 17:07:15,14,1,501,16,259,5019.6,0.0,14,1,qwen3-80b,domain,290,268638.5,CPU-intensive
2,2026-07-11 17:12:54,14,14,526,158,200,36.4,1.0,14,0,qwen3-80b,domain,289,556957.8,CPU-intensive
3,2026-07-11 17:23:12,1,14,480,158,205,66.7,1.0,1,1,qwen3-80b,domain,288,458065.9,CPU-intensive
4,2026-07-11 17:31:51,14,1,321,11,222,5016.7,0.4,14,1,qwen3-80b,domain,290,25925.3,CPU-intensive
5,2026-07-11 17:33:36,11,14,450,157,286,55.4,1.0,11,1,qwen3-80b,domain,289,11499.3,CPU-intensive
6,2026-07-11 17:34:48,11,11,429,124,575,36.6,1.0,11,0,qwen3-80b,domain,289,23959.3,CPU-intensive
7,2026-07-11 17:36:13,11,11,446,124,776,123.5,1.0,11,0,qwen3-80b,domain,290,27594.5,CPU-intensive
8,2026-07-11 17:37:41,11,11,410,125,746,36.9,1.0,11,0,qwen3-80b,domain,289,352584.0,CPU-intensive
9,2026-07-11 17:44:34,11,11,491,124,639,64.6,1.0,11,0,qwen3-80b,domain,289,79770.1,CPU-intensive
10,2026-07-11 17:46:54,1,11,363,125,727,37.0,1.0,1,1,qwen3-80b,domain,288,50170.7,CPU-intensive
11,2026-07-11 17:48:45,14,1,500,15,686,5008.1,0.1,14,1,qwen3-80b,domain,290,315407.9,CPU-intensive
12,2026-07-11 17:55:11,14,14,465,161,561,39.5,1.0,14,0,qwen3-80b,domain,0,0.0,CPU-intensive
13,2026-07-11 18:11:19,14,14,767,161,577,51.4,1.0,14,0,qwen3-80b,domain,289,24940.5,CPU-intensive
14,2026-07-11 18:12:45,14,14,871,160,575,42.6,1.0,14,0,qwen3-80b,domain,289,14298.7,CPU-intensive
15,2026-07-11 18:14:00,14,14,757,160,590,118.7,1.0,14,0,qwen3-80b,domain,290,20740.4,CPU-intensive
16,2026-07-11 18:15:21,14,14,723,160,604,35.7,1.0,14,0,qwen3-80b,domain,289,139943.2,CPU-intensive
17,2026-07-11 18:18:42,14,14,776,160,729,101.6,1.0,14,0,qwen3-80b,domain,290,20483.0,CPU-intensive
18,2026-07-11 18:20:03,14,14,800,160,760,56.3,1.0,14,0,qwen3-80b,domain,289,19029.3,CPU-intensive
19,2026-07-11 18:21:22,14,14,820,160,763,75.1,1.0,14,0,qwen3-80b,domain,289,551382.4,CPU-intensive
20,2026-07-11 18:31:34,14,14,686,163,735,35.9,1.0,14,0,qwen3-80b,domain,289,384320.3,CPU-intensive
21,2026-07-11 18:38:59,14,14,585,163,718,35.6,1.0,14,0,qwen3-80b,domain,289,10054.1,CPU-intensive
22,2026-07-11 18:40:10,14,14,546,160,623,41.0,1.0,14,0,qwen3-80b,domain,289,34884.1,CPU-intensive
23,2026-07-11 18:41:45,14,14,531,162,559,36.6,1.0,14,0,qwen3-80b,domain,289,18762.7,CPU-intensive
24,2026-07-11 18:43:05,14,14,591,161,569,36.2,1.0,14,0,qwen3-80b,domain,289,51942.1,CPU-intensive
25,2026-07-11 18:44:57,14,14,536,161,640,45.5,1.0,14,0,qwen3-80b,domain,289,495435.9,CPU-intensive
26,2026-07-11 18:54:13,1,14,14,160,640,71.4,1.0,1,1,qwen3-80b,domain,287,120764.3,CPU-intensive
27,2026-07-11 18:57:15,4,1,1,11,688,168.6,1.0,4,1,qwen3-80b,domain,286,18972.4,CPU-intensive
28,2026-07-11 18:58:35,1,4,4,44,545,68.2,1.0,1,1,qwen3-80b,domain,285,19858.9,CPU-intensive
29,2026-07-11 18:59:55,3,1,1,11,550,114.1,1.0,3,1,qwen3-80b,domain,286,53026.6,CPU-intensive
30,2026-07-11 19:01:50,3,3,3,33,643,71.9,1.0,3,0,qwen3-80b,domain,285,11806.8,CPU-intensive
31,2026-07-11 19:03:02,1,3,3,33,592,46.6,1.0,1,1,qwen3-80b,domain,285,774932.7,CPU-intensive
32,2026-07-11 19:16:58,1,1,1,12,443,84.9,1.0,1,0,qwen3-80b,domain,285,88552.5,CPU-intensive
33,2026-07-11 19:19:27,3,1,1,11,442,80.9,1.0,3,1,qwen3-80b,domain,285,63674.5,CPU-intensive
34,2026-07-11 19:21:32,3,3,3,33,401,80.6,1.0,3,0,qwen3-80b,domain,285,42878.4,CPU-intensive
35,2026-07-11 19:23:15,1,3,3,33,378,44.2,1.0,1,1,qwen3-80b,domain,285,34052.8,CPU-intensive
36,2026-07-11 19:24:50,1,1,1,11,296,79.8,1.0,1,0,qwen3-80b,domain,285,131650.0,CPU-intensive
37,2026-07-11 19:28:02,2,1,1,11,381,80.4,1.0,2,1,qwen3-80b,domain,285,16219.1,CPU-intensive
38,2026-07-11 19:29:19,2,2,2,22,340,72.2,1.0,2,0,qwen3-80b,domain,285,59298.4,CPU-intensive
39,2026-07-11 19:31:19,2,2,2,23,358,83.4,1.0,2,0,qwen3-80b,domain,285,34825.0,CPU-intensive
