step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-11 16:51:45,292,293,73.2,52.5,139.0,169.5,292,0,1.0
1,2026-07-11 16:52:45,259,259,72.2,53.0,138.7,160.6,259,0,1.0
2,2026-07-11 16:53:45,200,201,63.7,51.2,94.1,169.4,200,0,1.0
3,2026-07-11 16:54:44,205,206,72.1,52.6,137.8,163.1,205,0,1.0
4,2026-07-11 16:55:44,222,223,69.4,51.0,134.4,166.7,222,0,1.0
5,2026-07-11 16:56:44,286,287,67.8,52.8,128.6,160.8,286,0,1.0
6,2026-07-11 16:57:44,575,575,78.7,49.5,135.9,523.4,575,0,1.0
7,2026-07-11 16:58:44,776,776,63.2,46.9,112.6,356.9,776,0,1.0
8,2026-07-11 16:59:44,746,746,68.6,46.9,115.8,454.7,746,0,1.0
9,2026-07-11 17:00:44,639,640,67.4,48.1,118.3,251.0,639,0,1.0
10,2026-07-11 17:01:44,727,727,63.9,48.4,112.8,296.2,727,0,1.0
11,2026-07-11 17:02:44,686,686,64.6,47.2,109.9,312.6,686,0,1.0
12,2026-07-11 17:03:44,561,561,67.9,51.2,126.1,215.6,561,0,1.0
13,2026-07-11 17:04:44,577,577,71.2,51.1,129.3,264.7,577,0,1.0
14,2026-07-11 17:05:44,575,531,1521.5,94.8,5019.8,5022.1,468,107,0.8139
15,2026-07-11 17:06:49,590,552,3755.5,5019.7,5021.9,5022.6,62,528,0.1051
16,2026-07-11 17:07:53,604,557,3641.5,5019.6,5021.8,5022.5,56,548,0.0927
17,2026-07-11 17:08:58,729,664,2768.3,4945.9,5021.8,5023.2,61,668,0.0837
18,2026-07-11 17:10:04,760,756,2376.3,47.5,5021.6,5022.4,65,695,0.0855
19,2026-07-11 17:11:04,763,714,2811.4,4270.9,5021.3,5022.4,135,628,0.1769
20,2026-07-11 17:12:08,735,736,56.4,43.3,95.8,150.0,735,0,1.0
21,2026-07-11 17:13:08,718,718,58.5,45.7,104.0,151.4,718,0,1.0
22,2026-07-11 17:14:08,623,623,63.6,45.4,118.2,152.3,623,0,1.0
23,2026-07-11 17:15:08,559,560,66.3,46.9,127.0,162.6,559,0,1.0
24,2026-07-11 17:16:08,569,570,66.2,46.6,126.6,160.9,569,0,1.0
25,2026-07-11 17:17:08,640,641,61.3,44.1,113.2,157.7,640,0,1.0
26,2026-07-11 17:18:08,640,640,61.6,45.5,114.1,153.7,640,0,1.0
27,2026-07-11 17:19:08,688,689,57.0,43.7,99.1,138.7,688,0,1.0
28,2026-07-11 17:20:08,545,545,68.5,49.3,129.0,230.8,545,0,1.0
