step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-14 07:37:02,3,3,22,33,292,6.1,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
1,2026-07-14 07:53:10,3,3,32,33,259,5.2,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
2,2026-07-14 08:09:18,3,3,27,33,200,5.2,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
3,2026-07-14 08:25:26,3,3,33,33,205,6.1,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
4,2026-07-14 08:41:34,3,3,41,33,222,9.9,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
5,2026-07-14 08:57:42,3,3,93,33,286,5.7,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
6,2026-07-14 09:17:43,3,3,3,33,575,5.8,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
7,2026-07-14 09:33:51,3,3,14,33,776,5.4,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
8,2026-07-14 09:49:59,3,3,11,33,746,5.3,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
9,2026-07-14 10:06:06,3,3,19,33,639,5.2,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
10,2026-07-14 10:22:14,3,3,18,33,727,5.5,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
11,2026-07-14 10:38:22,3,3,30,33,686,5.4,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
12,2026-07-14 10:54:30,3,3,27,33,561,5.3,1.0,3,0,qwen3-80b,history_5,365,364850.6,CPU-intensive
13,2026-07-14 11:01:35,3,3,20,33,577,5.3,1.0,3,0,qwen3-80b,history_5,365,315527.7,CPU-intensive
14,2026-07-14 11:07:51,3,3,19,33,575,5.3,1.0,3,0,qwen3-80b,history_5,365,560652.6,CPU-intensive
15,2026-07-14 11:18:12,3,3,3,33,590,5.7,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
16,2026-07-14 11:34:20,3,3,3,33,604,5.3,1.0,3,0,qwen3-80b,history_5,365,73978.2,CPU-intensive
17,2026-07-14 11:36:34,3,3,3,33,729,5.5,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
18,2026-07-14 11:52:42,3,3,3,33,760,5.9,1.0,3,0,qwen3-80b,history_5,364,255871.8,CPU-intensive
19,2026-07-14 11:57:58,3,3,3,33,763,5.2,1.0,3,0,qwen3-80b,history_5,364,62385.3,CPU-intensive
20,2026-07-14 12:00:01,3,3,3,33,735,5.3,1.0,3,0,qwen3-80b,history_5,364,70195.4,CPU-intensive
21,2026-07-14 12:02:11,3,3,3,33,718,6.3,1.0,3,0,qwen3-80b,history_5,364,135854.7,CPU-intensive
22,2026-07-14 12:05:28,3,3,3,33,623,6.9,1.0,3,0,qwen3-80b,history_5,364,211187.1,CPU-intensive
23,2026-07-14 12:09:59,3,3,3,33,559,5.7,1.0,3,0,qwen3-80b,history_5,364,27692.5,CPU-intensive
24,2026-07-14 12:11:27,3,3,3,33,569,5.3,1.0,3,0,qwen3-80b,history_5,364,103380.7,CPU-intensive
25,2026-07-14 12:14:11,3,3,3,33,640,6.6,1.0,3,0,qwen3-80b,history_5,364,156552.6,CPU-intensive
26,2026-07-14 12:17:48,3,3,3,33,640,5.7,1.0,3,0,qwen3-80b,history_5,364,20091.4,CPU-intensive
27,2026-07-14 12:19:08,3,3,3,33,688,7.1,1.0,3,0,qwen3-80b,history_5,364,10034.7,CPU-intensive
28,2026-07-14 12:20:18,3,3,3,33,545,5.6,1.0,3,0,qwen3-80b,history_5,364,137267.8,CPU-intensive
29,2026-07-14 12:23:36,3,3,3,33,550,6.7,1.0,3,0,qwen3-80b,history_5,364,42508.8,CPU-intensive
30,2026-07-14 12:25:19,3,3,3,33,643,6.7,1.0,3,0,qwen3-80b,history_5,364,19370.8,CPU-intensive
31,2026-07-14 12:26:38,3,3,3,33,592,9.3,1.0,3,0,qwen3-80b,history_5,364,23228.7,CPU-intensive
32,2026-07-14 12:28:02,3,3,3,33,443,5.6,1.0,3,0,qwen3-80b,history_5,364,176395.4,CPU-intensive
33,2026-07-14 12:31:58,3,3,3,33,442,8.1,1.0,3,0,qwen3-80b,history_5,364,34646.3,CPU-intensive
34,2026-07-14 12:33:33,3,3,3,33,401,9.9,1.0,3,0,qwen3-80b,history_5,364,228034.2,CPU-intensive
35,2026-07-14 12:38:22,3,3,3,33,378,5.8,1.0,3,0,qwen3-80b,history_5,364,167758.7,CPU-intensive
36,2026-07-14 12:42:10,3,3,3,33,296,5.5,1.0,3,0,qwen3-80b,history_5,364,6703.3,CPU-intensive
37,2026-07-14 12:43:17,3,3,3,33,381,6.3,1.0,3,0,qwen3-80b,history_5,364,217808.4,CPU-intensive
38,2026-07-14 12:47:55,3,3,3,33,340,6.4,1.0,3,0,qwen3-80b,history_5,364,315274.7,CPU-intensive
39,2026-07-14 12:54:10,3,3,3,33,358,5.6,1.0,3,0,qwen3-80b,history_5,364,70613.3,CPU-intensive
40,2026-07-14 12:56:21,3,3,3,33,451,5.5,1.0,3,0,qwen3-80b,history_5,364,44476.6,CPU-intensive
41,2026-07-14 12:58:06,3,3,3,33,623,5.7,1.0,3,0,qwen3-80b,history_5,364,352623.7,CPU-intensive
42,2026-07-14 13:04:59,3,3,3,33,518,8.1,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
43,2026-07-14 13:21:07,3,3,3,33,548,7.1,1.0,3,0,qwen3-80b,history_5,364,141662.7,CPU-intensive
44,2026-07-14 13:24:29,3,3,3,33,499,6.4,1.0,3,0,qwen3-80b,history_5,364,161573.1,CPU-intensive
45,2026-07-14 13:28:11,3,3,3,33,517,5.9,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
46,2026-07-14 13:44:18,3,3,3,33,471,5.1,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
47,2026-07-14 14:00:27,3,3,3,33,503,5.6,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
48,2026-07-14 14:16:34,3,3,3,33,605,5.5,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
49,2026-07-14 14:32:42,3,3,3,33,621,7.6,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
50,2026-07-14 14:48:50,3,3,3,33,646,5.3,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
51,2026-07-14 15:04:59,3,3,3,33,639,5.2,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
52,2026-07-14 15:21:06,3,3,3,33,493,5.2,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
53,2026-07-14 15:37:14,3,3,3,33,446,5.3,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
54,2026-07-15 09:05:46,3,3,3,33,435,5.5,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
55,2026-07-15 09:21:54,3,3,18,33,425,5.4,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
56,2026-07-15 15:00:39,3,3,3,33,401,11.0,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
57,2026-07-15 15:16:47,3,3,20,33,491,7.0,1.0,3,0,qwen3-80b,history_5,365,272081.9,CPU-intensive
58,2026-07-15 15:22:19,3,3,22,33,382,7.0,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
59,2026-07-15 15:38:28,3,3,9,33,414,5.9,1.0,3,0,qwen3-80b,history_5,365,294292.0,CPU-intensive
60,2026-07-15 15:44:22,3,3,13,33,515,6.0,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
61,2026-07-15 16:00:30,3,3,12,33,575,6.0,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
62,2026-07-15 16:16:38,3,3,27,33,603,6.0,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
63,2026-07-15 16:32:46,3,3,52,33,720,5.8,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
64,2026-07-15 16:48:54,3,3,35,33,702,7.6,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
65,2026-07-15 17:05:02,3,3,3,33,689,5.9,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
66,2026-07-15 17:21:10,3,3,3,33,641,5.9,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
67,2026-07-15 17:37:17,3,3,3,33,618,6.0,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
68,2026-07-15 17:53:25,3,3,3,33,701,6.1,1.0,3,0,qwen3-80b,history_5,0,0.0,CPU-intensive
