step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-14 13:38:45,292,293,76.0,54.4,140.0,166.2,292,0,1.0
1,2026-07-14 13:39:45,259,260,76.9,55.6,136.2,159.4,259,0,1.0
2,2026-07-14 13:40:45,200,201,66.5,70.9,90.6,106.6,200,0,1.0
3,2026-07-14 13:41:45,205,206,78.4,54.6,142.2,173.4,205,0,1.0
4,2026-07-14 13:42:44,222,223,79.6,74.1,140.6,165.8,222,0,1.0
5,2026-07-14 13:43:44,286,287,76.2,55.0,138.0,165.4,286,0,1.0
6,2026-07-14 13:44:44,575,576,74.7,51.3,139.2,336.1,575,0,1.0
7,2026-07-14 13:45:44,776,776,63.5,45.9,123.7,264.0,776,0,1.0
8,2026-07-14 13:46:44,746,747,58.5,45.2,96.3,229.4,746,0,1.0
9,2026-07-14 13:47:44,639,640,63.6,45.7,122.2,185.4,639,0,1.0
10,2026-07-14 13:48:44,727,726,75.3,47.4,133.6,530.8,727,0,1.0
11,2026-07-14 13:49:44,686,686,66.1,47.7,121.0,261.0,686,0,1.0
12,2026-07-14 13:50:44,561,562,71.1,49.7,125.1,250.9,561,0,1.0
13,2026-07-14 13:51:44,577,577,69.1,46.8,126.8,229.9,577,0,1.0
14,2026-07-14 13:52:44,575,572,75.9,52.0,134.2,421.3,575,0,1.0
15,2026-07-14 13:53:44,590,591,73.2,51.9,133.5,325.1,590,0,1.0
16,2026-07-14 13:54:44,604,604,77.8,49.3,131.5,555.4,604,0,1.0
17,2026-07-14 13:55:44,729,730,58.8,45.2,105.6,223.8,729,0,1.0
18,2026-07-14 13:56:44,760,760,59.6,45.0,103.1,250.4,760,0,1.0
19,2026-07-14 13:57:44,763,764,58.3,45.3,101.9,213.9,763,0,1.0
20,2026-07-14 13:58:44,735,735,57.2,45.9,99.9,191.4,735,0,1.0
21,2026-07-14 13:59:44,718,715,64.1,47.7,116.5,260.2,718,0,1.0
22,2026-07-14 14:00:44,623,624,71.1,53.5,128.8,214.0,623,0,1.0
23,2026-07-14 14:01:44,559,560,62.1,41.8,116.9,225.1,559,0,1.0
24,2026-07-14 14:02:44,569,569,69.7,44.8,129.9,239.3,569,0,1.0
25,2026-07-14 14:03:44,640,641,69.2,49.8,130.8,229.0,640,0,1.0
26,2026-07-14 14:04:44,640,640,76.7,61.0,138.9,264.8,640,0,1.0
27,2026-07-14 14:05:44,688,688,71.4,48.6,131.5,277.5,688,0,1.0
28,2026-07-14 14:06:44,545,546,76.8,52.2,135.0,499.2,545,0,1.0
29,2026-07-14 14:07:44,550,551,86.7,74.0,146.9,347.5,550,0,1.0
30,2026-07-14 14:08:44,643,643,72.6,53.8,128.3,267.1,643,0,1.0
31,2026-07-14 14:09:44,592,592,82.6,64.9,144.1,332.2,592,0,1.0
32,2026-07-14 14:10:44,443,443,87.3,81.4,148.7,246.3,443,0,1.0
33,2026-07-14 14:11:44,442,442,81.6,75.5,141.7,232.8,442,0,1.0
34,2026-07-14 14:12:44,401,401,93.8,88.8,151.3,232.3,401,0,1.0
35,2026-07-14 14:13:44,378,378,89.3,88.7,144.1,211.6,378,0,1.0
36,2026-07-14 14:14:44,296,297,77.1,71.1,128.7,165.8,296,0,1.0
37,2026-07-14 14:15:44,381,382,87.4,83.6,138.4,162.6,381,0,1.0
38,2026-07-14 14:16:44,340,340,91.0,88.2,142.4,162.3,340,0,1.0
39,2026-07-14 14:17:44,358,358,91.9,87.6,143.0,183.0,358,0,1.0
40,2026-07-14 14:18:43,451,451,92.3,68.6,143.1,751.4,451,0,1.0
41,2026-07-14 14:19:43,623,623,73.3,59.4,129.7,286.3,623,0,1.0
42,2026-07-14 14:20:43,518,518,80.2,68.7,138.7,273.0,518,0,1.0
43,2026-07-14 14:21:43,548,548,73.8,63.4,132.0,216.9,548,0,1.0
44,2026-07-14 14:22:43,499,500,80.8,60.7,142.6,337.4,499,0,1.0
45,2026-07-14 14:23:43,517,517,84.5,76.6,142.4,262.6,517,0,1.0
46,2026-07-14 14:24:43,471,472,88.8,77.8,147.9,403.7,471,0,1.0
47,2026-07-14 14:25:43,503,504,83.4,60.9,153.3,295.7,503,0,1.0
48,2026-07-14 14:26:43,605,597,113.7,61.1,238.3,823.1,605,0,1.0
49,2026-07-14 14:27:44,621,622,66.7,51.8,104.3,352.0,621,0,1.0
50,2026-07-14 14:28:44,646,643,60.9,54.7,84.2,155.5,646,0,1.0
51,2026-07-14 14:29:44,639,639,50.5,43.9,63.5,162.5,639,0,1.0
52,2026-07-14 14:30:44,493,494,88.9,56.6,163.5,516.3,493,0,1.0
53,2026-07-14 14:31:44,446,447,106.1,69.1,216.2,521.1,446,0,1.0
54,2026-07-14 14:32:44,435,436,168.0,116.8,346.3,757.4,435,0,1.0
55,2026-07-14 14:33:44,425,426,65.8,56.3,100.3,250.2,425,0,1.0
56,2026-07-14 14:34:44,401,402,62.3,48.4,115.5,185.9,401,0,1.0
57,2026-07-14 14:35:44,491,491,68.4,48.9,130.4,283.9,491,0,1.0
58,2026-07-14 14:36:44,382,382,88.1,86.2,138.6,162.4,382,0,1.0
59,2026-07-14 14:37:44,414,414,83.7,79.5,140.9,178.3,414,0,1.0
60,2026-07-14 14:38:44,515,516,77.3,62.3,135.9,225.1,515,0,1.0
61,2026-07-14 14:39:44,575,575,117.3,64.8,305.1,628.2,575,0,1.0
62,2026-07-14 14:40:43,603,603,68.7,60.0,113.7,160.1,603,0,1.0
63,2026-07-14 14:41:43,720,721,68.1,54.3,118.6,226.0,720,0,1.0
64,2026-07-14 14:42:43,702,703,56.6,45.9,76.9,240.6,702,0,1.0
65,2026-07-14 14:43:43,689,690,115.3,51.2,283.0,917.5,689,0,1.0
66,2026-07-14 14:44:43,641,641,120.1,59.1,297.8,732.5,641,0,1.0
67,2026-07-14 14:45:43,618,618,71.6,62.9,115.1,161.2,618,0,1.0
68,2026-07-14 14:46:43,701,701,57.4,47.3,94.4,176.6,701,0,1.0
69,2026-07-14 14:47:43,625,623,65.8,47.8,117.6,264.2,625,0,1.0
70,2026-07-14 14:48:43,692,692,63.7,42.1,121.9,275.2,692,0,1.0
71,2026-07-14 14:49:43,612,611,78.9,63.8,134.4,334.4,612,0,1.0
72,2026-07-14 14:50:44,579,580,75.2,62.9,131.9,242.7,579,0,1.0
73,2026-07-14 14:51:43,635,635,78.4,61.7,137.6,343.6,635,0,1.0
74,2026-07-14 14:52:43,614,615,79.7,58.1,132.8,435.7,614,0,1.0
75,2026-07-14 14:53:43,723,721,69.1,50.4,123.6,249.5,723,0,1.0
76,2026-07-14 14:54:44,1000,1000,58.7,39.3,106.1,384.3,1000,0,1.0
77,2026-07-14 14:55:44,1169,1168,58.8,37.3,119.8,266.2,1169,0,1.0
78,2026-07-14 14:56:44,1379,1379,63.4,36.2,123.4,399.8,1379,0,1.0
79,2026-07-14 14:57:44,1764,1764,76.2,36.5,164.4,537.6,1764,0,1.0
80,2026-07-14 14:58:44,1578,1558,72.2,36.3,146.2,543.6,1578,0,1.0
81,2026-07-14 14:59:44,1426,1426,54.9,35.8,96.8,265.2,1426,0,1.0
82,2026-07-14 15:00:44,1247,1247,57.8,36.3,104.4,342.4,1247,0,1.0
83,2026-07-14 15:01:44,1240,1240,59.3,36.5,109.6,380.8,1240,0,1.0
84,2026-07-14 15:02:44,1292,1292,51.3,36.0,84.1,241.3,1292,0,1.0
85,2026-07-14 15:03:44,1546,1546,65.5,36.3,137.7,345.9,1546,0,1.0
86,2026-07-14 15:04:44,1445,1445,59.1,36.0,103.2,404.8,1445,0,1.0
87,2026-07-14 15:05:44,1413,1413,52.7,35.9,94.9,226.1,1413,0,1.0
88,2026-07-14 15:06:44,1495,1495,60.7,35.9,118.5,396.0,1495,0,1.0
89,2026-07-14 15:07:44,1438,1438,59.9,36.0,117.2,358.5,1438,0,1.0
90,2026-07-14 15:08:44,1491,1489,57.4,36.1,105.6,331.1,1491,0,1.0
91,2026-07-14 15:09:44,1513,1513,58.8,36.1,111.0,329.2,1513,0,1.0
92,2026-07-14 15:10:44,1500,1484,64.1,36.0,121.3,462.6,1500,0,1.0
93,2026-07-14 15:11:45,1609,1608,56.3,35.9,95.7,331.1,1609,0,1.0
94,2026-07-14 15:12:45,1458,1458,52.8,35.9,90.6,248.4,1458,0,1.0
95,2026-07-14 15:13:45,1380,1380,49.7,35.6,84.9,223.9,1380,0,1.0
96,2026-07-14 15:14:45,1211,1208,56.3,36.6,107.7,303.9,1211,0,1.0
97,2026-07-14 15:15:45,1106,1106,54.5,38.0,100.4,261.3,1106,0,1.0
98,2026-07-14 15:16:45,1181,1180,55.7,36.8,100.3,277.2,1181,0,1.0
99,2026-07-14 15:17:45,1131,1131,57.1,37.4,101.0,335.5,1131,0,1.0
100,2026-07-14 15:18:45,983,983,56.0,39.5,104.5,263.1,983,0,1.0
101,2026-07-14 15:19:45,933,933,54.6,40.7,98.5,228.8,933,0,1.0
102,2026-07-14 15:20:45,827,827,56.9,43.9,98.0,220.8,827,0,1.0
103,2026-07-14 15:21:45,804,804,59.7,44.1,107.7,268.4,804,0,1.0
104,2026-07-14 15:22:45,1032,1032,58.4,39.3,112.5,300.1,1032,0,1.0
105,2026-07-14 15:23:45,938,938,64.6,40.9,120.7,363.9,938,0,1.0
106,2026-07-14 15:24:45,821,821,60.9,44.2,114.4,247.5,821,0,1.0
107,2026-07-14 15:25:45,834,834,64.2,44.1,121.3,287.5,834,0,1.0
108,2026-07-14 15:26:45,809,809,59.3,44.3,113.8,235.4,809,0,1.0
109,2026-07-14 15:27:45,760,761,63.0,46.3,121.7,235.8,760,0,1.0
110,2026-07-14 15:28:45,840,840,68.4,44.0,127.8,352.6,840,0,1.0
111,2026-07-14 15:29:45,860,860,59.0,42.6,113.1,276.3,860,0,1.0
112,2026-07-14 15:30:45,754,754,65.0,47.3,120.5,296.8,754,0,1.0
113,2026-07-14 15:31:45,750,750,59.3,45.1,103.8,224.9,750,0,1.0
114,2026-07-14 15:32:45,748,749,60.8,46.8,111.6,227.6,748,0,1.0
115,2026-07-14 15:33:45,672,672,67.8,48.8,127.0,254.6,672,0,1.0
116,2026-07-14 15:34:45,636,637,74.2,52.8,130.5,293.2,636,0,1.0
117,2026-07-14 15:35:45,595,596,73.9,53.3,129.2,354.4,595,0,1.0
118,2026-07-14 15:36:45,616,616,77.8,53.2,136.1,369.5,616,0,1.0
119,2026-07-14 15:37:45,532,532,75.3,51.6,133.2,274.2,532,0,1.0
