step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-13 18:03:28,292,293,6.4,6.4,7.0,7.8,292,0,1.0
1,2026-07-13 18:04:28,259,260,6.4,6.3,7.0,8.0,259,0,1.0
2,2026-07-13 18:05:28,200,201,6.3,6.3,7.0,7.9,200,0,1.0
3,2026-07-13 18:06:28,205,206,6.3,6.3,6.9,7.7,205,0,1.0
4,2026-07-13 18:07:27,222,223,6.3,6.3,7.0,7.8,222,0,1.0
5,2026-07-13 18:08:27,286,287,6.3,6.2,6.8,7.7,286,0,1.0
6,2026-07-13 18:09:27,575,576,6.3,6.2,6.9,8.4,575,0,1.0
7,2026-07-13 18:10:27,776,777,6.3,6.3,6.9,7.8,776,0,1.0
8,2026-07-13 18:11:27,746,747,6.3,6.3,6.9,7.9,746,0,1.0
9,2026-07-13 18:12:27,639,640,6.3,6.2,6.9,8.2,639,0,1.0
10,2026-07-13 18:13:27,727,728,6.1,6.0,6.6,7.9,727,0,1.0
11,2026-07-13 18:14:27,686,687,6.1,6.0,6.5,7.8,686,0,1.0
12,2026-07-13 18:15:27,561,562,6.1,6.0,6.5,7.8,561,0,1.0
13,2026-07-13 18:16:26,577,578,6.0,5.9,6.4,7.5,577,0,1.0
14,2026-07-13 18:17:26,575,576,6.0,5.9,6.3,7.2,575,0,1.0
15,2026-07-13 18:18:26,590,591,6.0,5.9,6.4,7.1,590,0,1.0
16,2026-07-13 18:19:26,604,605,6.0,5.9,6.4,7.1,604,0,1.0
17,2026-07-13 18:20:26,729,730,6.0,5.9,6.4,7.5,729,0,1.0
18,2026-07-13 18:21:26,760,761,6.1,6.0,6.5,7.6,760,0,1.0
19,2026-07-13 18:22:26,763,764,6.0,5.9,6.3,7.1,763,0,1.0
20,2026-07-13 18:23:26,735,736,6.0,6.0,6.4,7.4,735,0,1.0
21,2026-07-13 18:24:26,718,719,6.0,5.9,6.4,7.2,718,0,1.0
22,2026-07-13 18:25:26,623,624,6.0,6.0,6.4,7.3,623,0,1.0
23,2026-07-13 18:26:26,559,560,6.0,6.0,6.4,7.5,559,0,1.0
24,2026-07-13 18:27:26,569,570,5.9,5.9,6.3,7.3,569,0,1.0
25,2026-07-13 18:28:25,640,641,5.7,5.7,6.1,6.6,640,0,1.0
26,2026-07-13 18:29:25,640,641,5.6,5.6,6.0,6.4,640,0,1.0
27,2026-07-13 18:30:25,688,689,5.7,5.7,6.0,6.4,688,0,1.0
28,2026-07-13 18:31:25,545,546,5.7,5.7,6.0,6.5,545,0,1.0
29,2026-07-13 18:32:25,550,551,5.7,5.6,6.0,6.4,550,0,1.0
30,2026-07-13 18:33:25,643,644,5.7,5.7,6.0,6.5,643,0,1.0
31,2026-07-13 18:34:25,592,593,5.7,5.6,6.0,6.4,592,0,1.0
32,2026-07-13 18:35:25,443,444,5.7,5.7,6.0,6.4,443,0,1.0
33,2026-07-13 18:36:25,442,443,5.7,5.7,6.1,6.5,442,0,1.0
34,2026-07-13 18:37:25,401,402,5.7,5.7,6.1,6.6,401,0,1.0
35,2026-07-13 18:38:24,378,379,5.7,5.6,6.0,6.4,378,0,1.0
36,2026-07-13 18:39:24,296,297,5.7,5.7,6.0,6.5,296,0,1.0
37,2026-07-13 18:40:24,381,382,5.7,5.7,6.0,6.4,381,0,1.0
38,2026-07-13 18:41:24,340,341,5.7,5.6,6.0,6.4,340,0,1.0
39,2026-07-13 18:42:24,358,359,5.7,5.6,6.1,6.5,358,0,1.0
40,2026-07-13 18:43:24,451,452,5.7,5.7,6.1,6.5,451,0,1.0
41,2026-07-13 18:44:23,623,624,5.7,5.6,6.0,6.6,623,0,1.0
42,2026-07-13 18:45:23,518,519,5.7,5.7,6.0,6.7,518,0,1.0
43,2026-07-13 18:46:23,548,549,5.7,5.7,6.1,6.6,548,0,1.0
44,2026-07-13 18:47:23,499,500,5.7,5.7,6.1,6.5,499,0,1.0
45,2026-07-13 18:48:23,517,518,5.7,5.7,6.1,6.5,517,0,1.0
46,2026-07-13 18:49:23,471,472,5.7,5.6,6.0,6.5,471,0,1.0
47,2026-07-13 18:50:23,503,504,5.7,5.6,6.0,6.4,503,0,1.0
48,2026-07-13 18:51:23,605,606,5.7,5.6,6.0,6.4,605,0,1.0
49,2026-07-13 18:52:23,621,622,5.7,5.6,6.0,6.5,621,0,1.0
50,2026-07-13 18:53:23,646,647,5.7,5.6,6.0,6.3,646,0,1.0
51,2026-07-13 18:54:22,639,640,5.7,5.7,6.0,6.4,639,0,1.0
52,2026-07-13 18:55:22,493,494,5.7,5.6,6.0,6.4,493,0,1.0
53,2026-07-13 18:56:22,446,447,5.7,5.7,6.0,6.6,446,0,1.0
54,2026-07-13 18:57:22,435,436,5.7,5.7,6.0,6.5,435,0,1.0
55,2026-07-13 18:58:22,425,426,5.7,5.6,6.0,6.5,425,0,1.0
56,2026-07-13 18:59:22,401,402,5.7,5.6,6.0,6.4,401,0,1.0
57,2026-07-13 19:00:22,491,492,5.7,5.7,6.1,6.6,491,0,1.0
58,2026-07-13 19:01:22,382,383,5.7,5.7,6.0,6.5,382,0,1.0
59,2026-07-13 19:02:21,414,415,5.7,5.6,6.0,6.4,414,0,1.0
60,2026-07-13 19:03:21,515,516,5.7,5.7,6.1,6.4,515,0,1.0
61,2026-07-13 19:04:21,575,576,5.7,5.7,6.1,6.5,575,0,1.0
62,2026-07-13 19:05:21,603,604,5.7,5.7,6.1,6.5,603,0,1.0
63,2026-07-13 19:06:21,720,721,5.7,5.7,6.1,6.6,720,0,1.0
64,2026-07-13 19:07:21,702,703,5.7,5.7,6.1,6.5,702,0,1.0
65,2026-07-13 19:08:21,689,690,5.7,5.7,6.1,6.6,689,0,1.0
66,2026-07-13 19:09:21,641,642,5.7,5.7,6.1,6.5,641,0,1.0
67,2026-07-13 19:10:21,618,619,5.7,5.7,6.1,6.5,618,0,1.0
68,2026-07-13 19:11:21,701,702,5.7,5.7,6.1,6.5,701,0,1.0
69,2026-07-13 19:12:21,625,626,5.7,5.6,6.0,6.4,625,0,1.0
70,2026-07-13 19:13:20,692,693,5.7,5.7,6.1,6.5,692,0,1.0
71,2026-07-13 19:14:20,612,613,5.8,5.7,6.1,8.5,612,0,1.0
72,2026-07-13 19:15:20,579,580,5.7,5.7,6.1,7.1,579,0,1.0
73,2026-07-13 19:16:20,635,636,5.7,5.7,6.1,6.7,635,0,1.0
74,2026-07-13 19:17:20,614,615,5.7,5.7,6.1,7.0,614,0,1.0
75,2026-07-13 19:18:20,723,724,5.7,5.7,6.0,6.4,723,0,1.0
76,2026-07-13 19:19:20,1000,1001,5.7,5.7,6.0,6.5,1000,0,1.0
77,2026-07-13 19:20:20,1169,1170,5.7,5.7,6.0,7.0,1169,0,1.0
78,2026-07-13 19:21:20,1379,1380,5.7,5.7,6.0,6.7,1379,0,1.0
79,2026-07-13 19:22:20,1764,1765,5.7,5.7,6.0,6.4,1764,0,1.0
80,2026-07-13 19:23:20,1578,1579,5.7,5.7,6.0,7.3,1578,0,1.0
81,2026-07-13 19:24:20,1426,1427,5.8,5.7,6.0,7.1,1426,0,1.0
82,2026-07-13 19:25:20,1247,1248,5.7,5.7,6.1,6.9,1247,0,1.0
83,2026-07-13 19:26:20,1240,1241,5.8,5.7,6.1,7.5,1240,0,1.0
84,2026-07-13 19:27:20,1292,1293,5.7,5.7,6.0,6.6,1292,0,1.0
85,2026-07-13 19:28:20,1546,1547,5.7,5.7,6.1,6.7,1546,0,1.0
86,2026-07-13 19:29:20,1445,1446,5.7,5.7,6.1,6.5,1445,0,1.0
87,2026-07-13 19:30:20,1413,1414,5.7,5.7,6.0,6.5,1413,0,1.0
88,2026-07-13 19:31:19,1495,1496,5.7,5.7,6.1,6.6,1495,0,1.0
89,2026-07-13 19:32:19,1438,1439,5.7,5.7,6.0,6.5,1438,0,1.0
90,2026-07-13 19:33:19,1491,1492,5.7,5.7,6.0,6.6,1491,0,1.0
91,2026-07-13 19:34:19,1513,1514,5.7,5.7,6.0,6.4,1513,0,1.0
92,2026-07-13 19:35:19,1500,1501,5.7,5.7,6.0,6.5,1500,0,1.0
93,2026-07-13 19:36:19,1609,1610,5.7,5.7,6.0,6.4,1609,0,1.0
94,2026-07-13 19:37:19,1458,1459,5.7,5.7,6.1,6.4,1458,0,1.0
95,2026-07-13 19:38:19,1380,1381,5.7,5.7,6.0,6.4,1380,0,1.0
96,2026-07-13 19:39:19,1211,1212,5.7,5.6,6.0,6.4,1211,0,1.0
97,2026-07-13 19:40:19,1106,1107,5.7,5.7,6.0,6.4,1106,0,1.0
98,2026-07-13 19:41:19,1181,1182,5.7,5.7,6.1,6.5,1181,0,1.0
99,2026-07-13 19:42:19,1131,1132,5.7,5.7,6.0,6.6,1131,0,1.0
100,2026-07-13 19:43:19,983,984,5.7,5.7,6.0,6.5,983,0,1.0
101,2026-07-13 19:44:19,933,934,5.7,5.7,6.0,6.5,933,0,1.0
102,2026-07-13 19:45:19,827,828,5.7,5.7,6.1,6.6,827,0,1.0
103,2026-07-13 19:46:19,804,805,5.7,5.7,6.0,6.4,804,0,1.0
104,2026-07-13 19:47:19,1032,1033,5.7,5.7,6.0,6.3,1032,0,1.0
105,2026-07-13 19:48:19,938,939,5.7,5.7,6.0,6.5,938,0,1.0
106,2026-07-13 19:49:19,821,822,5.7,5.7,6.0,6.4,821,0,1.0
107,2026-07-13 19:50:19,834,835,5.7,5.7,6.1,6.5,834,0,1.0
108,2026-07-13 19:51:19,809,810,5.7,5.7,6.1,6.5,809,0,1.0
109,2026-07-13 19:52:19,760,761,5.7,5.7,6.1,6.4,760,0,1.0
110,2026-07-13 19:53:18,840,841,5.7,5.6,6.0,6.4,840,0,1.0
111,2026-07-13 19:54:18,860,861,5.7,5.7,6.0,6.5,860,0,1.0
112,2026-07-13 19:55:18,754,755,5.7,5.6,6.0,6.5,754,0,1.0
113,2026-07-13 19:56:18,750,751,5.6,5.6,6.0,6.4,750,0,1.0
114,2026-07-13 19:57:18,748,749,5.6,5.6,5.9,6.4,748,0,1.0
115,2026-07-13 19:58:18,672,673,5.6,5.6,5.9,6.3,672,0,1.0
116,2026-07-13 19:59:18,636,637,5.7,5.6,6.0,6.8,636,0,1.0
117,2026-07-13 20:00:18,595,596,5.7,5.6,6.1,6.6,595,0,1.0
118,2026-07-13 20:01:18,616,617,5.6,5.6,6.0,6.4,616,0,1.0
119,2026-07-13 20:02:18,532,533,5.7,5.6,6.0,6.4,532,0,1.0
