step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-15 08:09:58,3,3,3,33,292,5.3,1.0,3,0,qwen3-80b,zero_shot,191,211185.1,CPU-intensive
1,2026-07-15 08:14:29,3,3,6,33,259,5.2,1.0,3,0,qwen3-80b,zero_shot,0,0.0,CPU-intensive
2,2026-07-15 08:30:37,3,3,29,33,200,5.5,1.0,3,0,qwen3-80b,zero_shot,0,0.0,CPU-intensive
3,2026-07-15 08:46:45,3,3,9,33,205,5.3,1.0,3,0,qwen3-80b,zero_shot,0,0.0,CPU-intensive
4,2026-07-15 09:02:52,3,3,16,33,222,5.8,1.0,3,0,qwen3-80b,zero_shot,0,0.0,CPU-intensive
5,2026-07-15 09:19:00,3,3,19,33,286,5.5,1.0,3,0,qwen3-80b,zero_shot,0,0.0,CPU-intensive
6,2026-07-15 09:35:08,3,3,33,33,575,5.4,1.0,3,0,qwen3-80b,zero_shot,0,0.0,CPU-intensive
7,2026-07-15 09:51:16,3,3,18,33,776,5.4,1.0,3,0,qwen3-80b,zero_shot,0,0.0,CPU-intensive
8,2026-07-15 10:07:24,3,3,13,33,746,5.4,1.0,3,0,qwen3-80b,zero_shot,191,611532.1,CPU-intensive
9,2026-07-15 10:18:36,3,3,3,33,639,5.4,1.0,3,0,qwen3-80b,zero_shot,191,384005.6,CPU-intensive
10,2026-07-15 10:26:00,3,3,3,33,727,5.5,1.0,3,0,qwen3-80b,zero_shot,191,16042.6,CPU-intensive
11,2026-07-15 10:27:16,3,3,3,33,686,6.8,1.0,3,0,qwen3-80b,zero_shot,191,17984.1,CPU-intensive
12,2026-07-15 10:28:35,3,3,3,33,561,5.7,1.0,3,0,qwen3-80b,zero_shot,191,129384.8,CPU-intensive
13,2026-07-15 10:31:44,3,3,3,33,577,6.4,1.0,3,0,qwen3-80b,zero_shot,191,95523.2,CPU-intensive
14,2026-07-15 10:34:20,3,3,3,34,575,5.7,1.0,3,0,qwen3-80b,zero_shot,191,39545.0,CPU-intensive
15,2026-07-15 10:36:00,3,3,3,33,590,6.9,1.0,3,0,qwen3-80b,zero_shot,191,24521.4,CPU-intensive
16,2026-07-15 10:37:25,3,3,3,33,604,5.3,1.0,3,0,qwen3-80b,zero_shot,191,475430.3,CPU-intensive
17,2026-07-15 10:46:21,3,3,3,33,729,5.3,1.0,3,0,qwen3-80b,zero_shot,191,472889.2,CPU-intensive
18,2026-07-15 10:55:14,3,3,3,33,760,5.3,1.0,3,0,qwen3-80b,zero_shot,191,10469.3,CPU-intensive
19,2026-07-15 10:56:24,3,3,3,33,763,5.4,1.0,3,0,qwen3-80b,zero_shot,191,36381.3,CPU-intensive
20,2026-07-15 10:58:01,3,3,3,33,735,5.3,1.0,3,0,qwen3-80b,zero_shot,191,229554.0,CPU-intensive
21,2026-07-15 11:02:51,3,3,3,33,718,5.3,1.0,3,0,qwen3-80b,zero_shot,191,27113.8,CPU-intensive
22,2026-07-15 11:04:18,3,3,3,33,623,5.5,1.0,3,0,qwen3-80b,zero_shot,191,33695.0,CPU-intensive
23,2026-07-15 11:05:52,3,3,3,33,559,5.2,1.0,3,0,qwen3-80b,zero_shot,191,236618.4,CPU-intensive
24,2026-07-15 11:10:49,3,3,3,33,569,6.1,1.0,3,0,qwen3-80b,zero_shot,191,15680.6,CPU-intensive
25,2026-07-15 11:12:05,3,3,3,33,640,5.3,1.0,3,0,qwen3-80b,zero_shot,191,682605.6,CPU-intensive
26,2026-07-15 11:24:28,3,3,3,33,640,5.2,1.0,3,0,qwen3-80b,zero_shot,191,5609.1,CPU-intensive
27,2026-07-15 11:25:34,3,3,3,33,688,5.3,1.0,3,0,qwen3-80b,zero_shot,191,20763.2,CPU-intensive
28,2026-07-15 11:26:55,3,3,3,33,545,5.4,1.0,3,0,qwen3-80b,zero_shot,191,440276.8,CPU-intensive
29,2026-07-15 11:35:16,3,3,3,33,550,5.5,1.0,3,0,qwen3-80b,zero_shot,191,70184.3,CPU-intensive
30,2026-07-15 11:37:26,3,3,3,33,643,5.6,1.0,3,0,qwen3-80b,zero_shot,191,303072.7,CPU-intensive
31,2026-07-15 11:43:29,3,3,3,33,592,6.1,1.0,3,0,qwen3-80b,zero_shot,191,26225.9,CPU-intensive
32,2026-07-15 11:44:56,3,3,3,33,443,5.3,1.0,3,0,qwen3-80b,zero_shot,191,245945.0,CPU-intensive
33,2026-07-15 11:50:02,3,3,3,33,442,5.3,1.0,3,0,qwen3-80b,zero_shot,0,0.0,CPU-intensive
34,2026-07-15 12:06:10,3,3,3,33,401,5.5,1.0,3,0,qwen3-80b,zero_shot,191,61473.1,CPU-intensive
35,2026-07-15 12:08:12,3,3,3,33,378,5.3,1.0,3,0,qwen3-80b,zero_shot,191,451319.3,CPU-intensive
36,2026-07-15 12:16:43,3,3,3,33,296,5.9,1.0,3,0,qwen3-80b,zero_shot,0,0.0,CPU-intensive
37,2026-07-15 12:32:51,3,3,3,33,381,5.3,1.0,3,0,qwen3-80b,zero_shot,0,0.0,CPU-intensive
38,2026-07-15 12:48:59,3,3,3,33,340,5.8,1.0,3,0,qwen3-80b,zero_shot,0,0.0,CPU-intensive
39,2026-07-15 13:05:07,3,3,3,33,358,5.3,1.0,3,0,qwen3-80b,zero_shot,0,0.0,CPU-intensive
40,2026-07-15 13:21:15,3,3,3,33,451,5.3,1.0,3,0,qwen3-80b,zero_shot,0,0.0,CPU-intensive
41,2026-07-15 13:37:23,3,3,3,33,623,5.2,1.0,3,0,qwen3-80b,zero_shot,0,0.0,CPU-intensive
42,2026-07-15 13:53:31,3,3,3,33,518,5.3,1.0,3,0,qwen3-80b,zero_shot,0,0.0,CPU-intensive
43,2026-07-15 14:09:39,3,3,3,33,548,5.4,1.0,3,0,qwen3-80b,zero_shot,0,0.0,CPU-intensive
44,2026-07-15 14:25:47,3,3,3,33,499,5.3,1.0,3,0,qwen3-80b,zero_shot,0,0.0,CPU-intensive
45,2026-07-15 15:00:39,3,3,3,33,517,5.6,1.0,3,0,qwen3-80b,zero_shot,0,0.0,CPU-intensive
46,2026-07-15 15:16:47,3,3,16,33,471,15.3,1.0,3,0,qwen3-80b,zero_shot,192,270708.1,CPU-intensive
47,2026-07-15 15:22:18,3,3,16,33,503,5.5,1.0,3,0,qwen3-80b,zero_shot,0,0.0,CPU-intensive
48,2026-07-15 15:38:26,3,3,8,33,605,5.3,1.0,3,0,qwen3-80b,zero_shot,0,0.0,CPU-intensive
49,2026-07-15 15:54:34,3,3,10,33,621,5.4,1.0,3,0,qwen3-80b,zero_shot,0,0.0,CPU-intensive
50,2026-07-15 16:10:42,3,3,15,33,646,6.7,1.0,3,0,qwen3-80b,zero_shot,0,0.0,CPU-intensive
51,2026-07-15 16:26:50,3,3,43,33,639,5.4,1.0,3,0,qwen3-80b,zero_shot,0,0.0,CPU-intensive
52,2026-07-15 16:42:57,3,3,33,33,493,6.6,1.0,3,0,qwen3-80b,zero_shot,0,0.0,CPU-intensive
53,2026-07-15 16:59:06,3,3,15,33,446,5.4,1.0,3,0,qwen3-80b,zero_shot,0,0.0,CPU-intensive
54,2026-07-15 17:15:13,3,3,3,33,435,5.9,1.0,3,0,qwen3-80b,zero_shot,0,0.0,CPU-intensive
55,2026-07-15 17:31:21,3,3,3,33,425,5.3,1.0,3,0,qwen3-80b,zero_shot,0,0.0,CPU-intensive
