step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-16 09:28:41,3,3,8,88,292,84.5,1.0,3,0,gpt-oss-120b,domain,497,218569.7,CPU-intensive
1,2026-07-16 09:33:20,3,3,215,33,259,100.7,1.0,3,0,gpt-oss-120b,domain,463,800726.7,CPU-intensive
2,2026-07-16 10:02:49,3,3,428,33,200,54.4,1.0,3,0,gpt-oss-120b,domain,465,677179.2,CPU-intensive
3,2026-07-16 10:15:07,3,3,446,33,205,138.8,1.0,3,0,gpt-oss-120b,domain,466,371639.4,CPU-intensive
4,2026-07-16 10:22:20,3,3,415,33,222,85.2,1.0,3,0,gpt-oss-120b,domain,449,489136.7,CPU-intensive
5,2026-07-16 10:31:29,3,3,468,33,286,96.2,1.0,3,0,gpt-oss-120b,domain,455,109442.5,CPU-intensive
6,2026-07-16 10:34:20,6,3,532,33,575,215.3,1.0,6,1,gpt-oss-120b,domain,533,3097.6,CPU-intensive
7,2026-07-16 10:35:24,6,6,531,66,776,87.8,1.0,6,0,gpt-oss-120b,domain,467,219890.1,CPU-intensive
8,2026-07-16 10:40:04,6,6,506,66,746,111.4,1.0,6,0,gpt-oss-120b,domain,484,409601.0,CPU-intensive
9,2026-07-16 10:47:55,6,6,778,66,639,79.6,1.0,6,0,gpt-oss-120b,domain,454,64294.6,CPU-intensive
10,2026-07-16 10:50:00,6,6,744,66,727,106.5,1.0,6,0,gpt-oss-120b,domain,484,94868.8,CPU-intensive
11,2026-07-16 10:52:35,6,6,712,66,686,131.3,1.0,6,0,gpt-oss-120b,domain,503,13523.5,CPU-intensive
12,2026-07-16 10:53:50,6,6,761,66,561,52.1,1.0,6,0,gpt-oss-120b,domain,473,705708.4,CPU-intensive
13,2026-07-16 11:06:36,6,6,714,66,577,58.2,1.0,6,0,gpt-oss-120b,domain,473,339273.4,CPU-intensive
14,2026-07-16 11:13:16,6,6,618,66,575,87.9,1.0,6,0,gpt-oss-120b,domain,490,171157.4,CPU-intensive
15,2026-07-16 11:17:08,6,6,539,66,590,76.8,1.0,6,0,gpt-oss-120b,domain,490,99633.9,CPU-intensive
16,2026-07-16 11:19:48,6,6,637,66,604,92.1,1.0,6,0,gpt-oss-120b,domain,487,39235.4,CPU-intensive
17,2026-07-16 11:21:28,6,6,588,66,729,77.1,1.0,6,0,gpt-oss-120b,domain,499,2702.8,CPU-intensive
18,2026-07-16 11:22:31,3,6,597,66,760,47.4,1.0,3,1,gpt-oss-120b,domain,518,96785.7,CPU-intensive
19,2026-07-16 11:25:09,3,3,493,33,763,121.6,1.0,3,0,gpt-oss-120b,domain,473,35472.2,CPU-intensive
20,2026-07-16 11:26:45,3,3,487,33,735,61.3,1.0,3,0,gpt-oss-120b,domain,477,608950.2,CPU-intensive
21,2026-07-16 11:37:54,3,3,3,33,718,84.2,1.0,3,0,gpt-oss-120b,domain,501,367.3,CPU-intensive
22,2026-07-16 11:54:03,1,3,3,33,623,44.0,1.0,1,1,gpt-oss-120b,domain,517,333.6,CPU-intensive
23,2026-07-16 11:55:04,4,1,1,11,559,160.6,1.0,4,1,gpt-oss-120b,domain,545,350.4,CPU-intensive
24,2026-07-16 11:56:06,4,4,4,44,569,82.2,1.0,4,0,gpt-oss-120b,domain,485,314.3,CPU-intensive
25,2026-07-16 11:57:07,4,4,4,44,640,83.3,1.0,4,0,gpt-oss-120b,domain,501,302.2,CPU-intensive
26,2026-07-16 11:58:08,4,4,4,44,640,113.4,1.0,4,0,gpt-oss-120b,domain,514,364.8,CPU-intensive
27,2026-07-16 11:59:09,1,4,4,44,688,40.5,1.0,1,1,gpt-oss-120b,domain,670,410.3,CPU-intensive
28,2026-07-16 12:00:10,4,1,1,11,545,190.8,1.0,4,1,gpt-oss-120b,domain,735,1265.3,CPU-intensive
29,2026-07-16 12:01:13,4,4,4,44,550,90.0,1.0,4,0,gpt-oss-120b,domain,494,309.0,CPU-intensive
30,2026-07-16 12:02:14,4,4,4,44,643,87.2,1.0,4,0,gpt-oss-120b,domain,507,390.3,CPU-intensive
31,2026-07-16 12:03:15,7,4,4,44,592,175.2,1.0,7,1,gpt-oss-120b,domain,643,516.8,CPU-intensive
32,2026-07-16 12:04:16,4,7,7,77,443,40.7,1.0,4,1,gpt-oss-120b,domain,501,461.3,CPU-intensive
33,2026-07-16 12:05:17,4,4,4,44,442,84.6,1.0,4,0,gpt-oss-120b,domain,477,440.5,CPU-intensive
34,2026-07-16 12:06:19,4,4,4,44,401,67.7,1.0,4,0,gpt-oss-120b,domain,514,352.9,CPU-intensive
35,2026-07-16 12:07:20,4,4,4,44,378,107.6,1.0,4,0,gpt-oss-120b,domain,501,356.7,CPU-intensive
36,2026-07-16 12:08:21,4,4,4,44,296,107.6,1.0,4,0,gpt-oss-120b,domain,534,372.8,CPU-intensive
37,2026-07-16 12:09:22,7,4,4,44,381,171.6,1.0,7,1,gpt-oss-120b,domain,568,547.5,CPU-intensive
38,2026-07-16 12:10:23,7,7,7,77,340,109.0,1.0,7,0,gpt-oss-120b,domain,498,298.8,CPU-intensive
39,2026-07-16 12:11:24,7,7,7,77,358,89.8,1.0,7,0,gpt-oss-120b,domain,499,389.0,CPU-intensive
40,2026-07-16 12:12:26,7,7,7,77,451,116.3,1.0,7,0,gpt-oss-120b,domain,505,315.8,CPU-intensive
41,2026-07-16 12:13:27,4,7,7,77,623,37.6,1.0,4,1,gpt-oss-120b,domain,478,299.6,CPU-intensive
42,2026-07-16 12:14:28,4,4,4,44,518,94.0,1.0,4,0,gpt-oss-120b,domain,491,309.5,CPU-intensive
43,2026-07-16 12:15:29,1,4,4,44,548,38.1,1.0,1,1,gpt-oss-120b,domain,506,648.0,CPU-intensive
44,2026-07-16 12:16:30,1,1,1,11,499,111.1,1.0,1,0,gpt-oss-120b,domain,488,302.8,CPU-intensive
45,2026-07-16 12:17:31,4,1,1,11,517,178.1,1.0,4,1,gpt-oss-120b,domain,680,921.6,CPU-intensive
46,2026-07-16 12:18:34,4,4,4,44,471,64.0,1.0,4,0,gpt-oss-120b,domain,527,333.8,CPU-intensive
47,2026-07-16 12:19:35,4,4,4,44,503,53.8,1.0,4,0,gpt-oss-120b,domain,515,294.7,CPU-intensive
48,2026-07-16 12:20:36,4,4,4,44,605,99.8,1.0,4,0,gpt-oss-120b,domain,531,329.0,CPU-intensive
49,2026-07-16 12:21:37,1,4,4,44,621,44.9,1.0,1,1,gpt-oss-120b,domain,551,859.9,CPU-intensive
50,2026-07-16 12:22:38,4,1,1,11,646,186.2,1.0,4,1,gpt-oss-120b,domain,574,387.7,CPU-intensive
51,2026-07-16 12:23:40,1,4,4,44,639,43.2,1.0,1,1,gpt-oss-120b,domain,541,762.6,CPU-intensive
52,2026-07-16 12:24:41,4,1,1,11,493,194.2,1.0,4,1,gpt-oss-120b,domain,679,578.9,CPU-intensive
53,2026-07-16 12:25:44,1,4,4,44,446,36.7,1.0,1,1,gpt-oss-120b,domain,571,543.0,CPU-intensive
54,2026-07-16 12:26:45,1,1,1,11,435,114.5,1.0,1,0,gpt-oss-120b,domain,501,572.8,CPU-intensive
55,2026-07-16 12:27:46,1,1,1,11,425,116.7,1.0,1,0,gpt-oss-120b,domain,551,480.6,CPU-intensive
56,2026-07-16 12:28:48,1,1,1,11,401,92.1,1.0,1,0,gpt-oss-120b,domain,507,416.5,CPU-intensive
57,2026-07-16 12:29:49,4,1,1,11,491,195.1,1.0,4,1,gpt-oss-120b,domain,640,595.5,CPU-intensive
58,2026-07-16 12:30:51,4,4,4,44,382,74.2,1.0,4,0,gpt-oss-120b,domain,505,301.5,CPU-intensive
59,2026-07-16 12:31:52,1,4,4,44,414,43.8,1.0,1,1,gpt-oss-120b,domain,485,280.7,CPU-intensive
60,2026-07-16 12:32:53,4,1,1,11,515,187.3,1.0,4,1,gpt-oss-120b,domain,650,410.0,CPU-intensive
61,2026-07-16 12:33:55,1,4,4,44,575,37.6,1.0,1,1,gpt-oss-120b,domain,544,343.4,CPU-intensive
62,2026-07-16 12:34:56,4,1,1,11,603,190.1,1.0,4,1,gpt-oss-120b,domain,664,444.1,CPU-intensive
63,2026-07-16 12:35:58,1,4,4,44,720,36.4,1.0,1,1,gpt-oss-120b,domain,482,3794.2,CPU-intensive
64,2026-07-16 12:37:02,4,1,1,11,702,201.9,1.0,4,1,gpt-oss-120b,domain,635,1695.9,CPU-intensive
65,2026-07-16 12:38:05,4,4,4,44,689,63.7,1.0,4,0,gpt-oss-120b,domain,505,329.2,CPU-intensive
66,2026-07-16 12:39:06,4,4,4,44,641,57.9,1.0,4,0,gpt-oss-120b,domain,518,701.0,CPU-intensive
67,2026-07-16 12:40:08,4,4,4,44,618,76.7,1.0,4,0,gpt-oss-120b,domain,506,322.8,CPU-intensive
68,2026-07-16 12:41:09,1,4,4,44,701,42.7,1.0,1,1,gpt-oss-120b,domain,598,416.1,CPU-intensive
69,2026-07-16 12:42:10,4,1,1,11,625,176.9,1.0,4,1,gpt-oss-120b,domain,585,360.5,CPU-intensive
70,2026-07-16 12:43:12,4,4,4,44,692,82.9,1.0,4,0,gpt-oss-120b,domain,497,743.2,CPU-intensive
71,2026-07-16 12:44:13,1,4,4,44,612,43.8,1.0,1,1,gpt-oss-120b,domain,822,1159.2,CPU-intensive
72,2026-07-16 12:45:15,4,1,1,11,579,206.6,1.0,4,1,gpt-oss-120b,domain,571,765.4,CPU-intensive
73,2026-07-16 12:46:17,1,4,4,44,635,44.5,1.0,1,1,gpt-oss-120b,domain,826,1329.2,CPU-intensive
74,2026-07-16 12:47:19,4,1,1,11,614,201.1,1.0,4,1,gpt-oss-120b,domain,741,1160.8,CPU-intensive
75,2026-07-16 12:48:22,4,4,4,44,723,78.0,1.0,4,0,gpt-oss-120b,domain,496,753.6,CPU-intensive
76,2026-07-16 12:49:23,4,4,4,44,1000,117.9,1.0,4,0,gpt-oss-120b,domain,527,588.5,CPU-intensive
77,2026-07-16 12:50:25,1,4,4,44,1169,48.1,1.0,1,1,gpt-oss-120b,domain,827,1325.5,CPU-intensive
78,2026-07-16 12:51:27,4,1,1,11,1379,155.4,1.0,4,1,gpt-oss-120b,domain,537,709.5,CPU-intensive
79,2026-07-16 12:52:29,4,4,4,44,1764,86.0,1.0,4,0,gpt-oss-120b,domain,497,628.7,CPU-intensive
80,2026-07-16 12:53:30,1,4,4,44,1578,47.9,1.0,1,1,gpt-oss-120b,domain,581,699.5,CPU-intensive
81,2026-07-16 12:54:31,4,1,1,11,1426,159.6,1.0,4,1,gpt-oss-120b,domain,686,1026.5,CPU-intensive
82,2026-07-16 12:55:34,7,4,4,44,1247,169.4,1.0,7,1,gpt-oss-120b,domain,505,600.4,CPU-intensive
83,2026-07-16 12:56:35,7,7,7,77,1240,66.1,1.0,7,0,gpt-oss-120b,domain,483,703.8,CPU-intensive
84,2026-07-16 12:57:36,7,7,7,77,1292,83.6,1.0,7,0,gpt-oss-120b,domain,506,670.9,CPU-intensive
85,2026-07-16 12:58:38,4,7,7,77,1546,37.3,1.0,4,1,gpt-oss-120b,domain,664,1098.4,CPU-intensive
86,2026-07-16 12:59:40,1,4,4,44,1445,38.1,1.0,1,1,gpt-oss-120b,domain,742,1110.1,CPU-intensive
87,2026-07-16 13:00:41,4,1,1,11,1413,159.8,1.0,4,1,gpt-oss-120b,domain,520,872.1,CPU-intensive
88,2026-07-16 13:01:44,4,4,4,44,1495,90.3,1.0,4,0,gpt-oss-120b,domain,490,569.8,CPU-intensive
89,2026-07-16 13:02:45,1,4,4,44,1438,49.7,1.0,1,1,gpt-oss-120b,domain,604,853.3,CPU-intensive
90,2026-07-16 13:03:46,1,1,1,11,1491,100.3,1.0,1,0,gpt-oss-120b,domain,567,804.5,CPU-intensive
91,2026-07-16 13:04:48,4,1,1,11,1513,182.0,1.0,4,1,gpt-oss-120b,domain,623,1948.6,CPU-intensive
92,2026-07-16 13:05:52,4,4,4,44,1500,62.4,1.0,4,0,gpt-oss-120b,domain,573,791.5,CPU-intensive
93,2026-07-16 13:06:53,1,4,5,44,1609,37.4,1.0,1,1,gpt-oss-120b,domain,516,1208.3,CPU-intensive
94,2026-07-16 13:07:55,4,1,1,11,1458,186.9,1.0,4,1,gpt-oss-120b,domain,635,984.5,CPU-intensive
95,2026-07-16 13:08:57,4,4,4,44,1380,68.1,1.0,4,0,gpt-oss-120b,domain,483,524.0,CPU-intensive
96,2026-07-16 13:09:58,4,4,4,44,1211,83.0,1.0,4,0,gpt-oss-120b,domain,524,593.3,CPU-intensive
97,2026-07-16 13:11:00,1,4,4,44,1106,36.7,1.0,1,1,gpt-oss-120b,domain,765,1189.4,CPU-intensive
98,2026-07-16 13:12:02,4,1,1,11,1181,171.8,1.0,4,1,gpt-oss-120b,domain,783,1229.0,CPU-intensive
99,2026-07-16 13:13:04,1,4,4,44,1131,36.0,1.0,1,1,gpt-oss-120b,domain,700,1479.8,CPU-intensive
100,2026-07-16 13:14:06,4,1,1,11,983,170.9,1.0,4,1,gpt-oss-120b,domain,553,771.8,CPU-intensive
101,2026-07-16 13:15:08,1,4,4,44,933,40.3,1.0,1,1,gpt-oss-120b,domain,726,1096.1,CPU-intensive
102,2026-07-16 13:16:10,1,1,1,11,827,121.2,1.0,1,0,gpt-oss-120b,domain,560,851.1,CPU-intensive
103,2026-07-16 13:17:12,4,1,1,11,804,193.3,1.0,4,1,gpt-oss-120b,domain,586,833.0,CPU-intensive
104,2026-07-16 13:18:14,4,4,4,44,1032,80.7,1.0,4,0,gpt-oss-120b,domain,485,1304.0,CPU-intensive
105,2026-07-16 13:19:16,4,4,4,44,938,72.0,1.0,4,0,gpt-oss-120b,domain,661,1080.0,CPU-intensive
106,2026-07-16 13:20:18,4,4,4,44,821,94.5,1.0,4,0,gpt-oss-120b,domain,526,782.0,CPU-intensive
107,2026-07-16 13:21:20,1,4,4,44,834,39.9,1.0,1,1,gpt-oss-120b,domain,671,891.8,CPU-intensive
108,2026-07-16 13:22:21,4,1,1,11,809,184.9,1.0,4,1,gpt-oss-120b,domain,683,1013.9,CPU-intensive
