step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-16 11:48:49,1,3,28,33,292,5.7,1.0,1,1,gpt-oss-120b,history_5,502,306174.9,CPU-intensive
1,2026-07-16 11:54:55,1,1,15,11,259,5.8,1.0,1,0,gpt-oss-120b,history_5,699,5636.0,CPU-intensive
2,2026-07-16 11:56:01,1,1,39,11,200,5.3,1.0,1,0,gpt-oss-120b,history_5,497,34162.9,CPU-intensive
3,2026-07-16 11:57:36,1,1,35,12,205,5.9,1.0,1,0,gpt-oss-120b,history_5,473,36951.9,CPU-intensive
4,2026-07-16 11:59:13,1,1,35,11,222,5.3,1.0,1,0,gpt-oss-120b,history_5,575,34314.6,CPU-intensive
5,2026-07-16 12:00:48,1,1,31,11,286,5.3,1.0,1,0,gpt-oss-120b,history_5,571,830645.4,CPU-intensive
6,2026-07-16 12:15:38,3,1,36,11,575,5.4,1.0,3,1,gpt-oss-120b,history_5,628,607615.0,CPU-intensive
7,2026-07-16 12:26:46,1,3,22,33,776,5.3,1.0,1,1,gpt-oss-120b,history_5,822,307572.7,CPU-intensive
8,2026-07-16 12:32:54,2,1,28,11,746,5.4,1.0,2,1,gpt-oss-120b,history_5,750,34912.3,CPU-intensive
9,2026-07-16 12:34:30,1,2,32,22,639,6.4,1.0,1,1,gpt-oss-120b,history_5,588,6134.5,CPU-intensive
10,2026-07-16 12:35:36,1,1,29,12,727,5.5,1.0,1,0,gpt-oss-120b,history_5,590,5125.9,CPU-intensive
11,2026-07-16 12:36:42,1,1,29,11,686,5.9,1.0,1,0,gpt-oss-120b,history_5,562,4971.1,CPU-intensive
12,2026-07-16 12:37:47,1,1,35,11,561,6.1,1.0,1,0,gpt-oss-120b,history_5,576,41589.4,CPU-intensive
13,2026-07-16 12:39:29,1,1,34,12,577,5.2,1.0,1,0,gpt-oss-120b,history_5,514,342853.1,CPU-intensive
14,2026-07-16 12:46:12,1,1,29,11,575,6.8,1.0,1,0,gpt-oss-120b,history_5,560,12422.3,CPU-intensive
15,2026-07-16 12:47:25,1,1,22,12,590,5.3,1.0,1,0,gpt-oss-120b,history_5,525,138315.8,CPU-intensive
16,2026-07-16 12:50:44,1,1,31,12,604,5.3,1.0,1,0,gpt-oss-120b,history_5,506,7819.5,CPU-intensive
17,2026-07-16 12:51:52,2,1,31,11,729,5.4,1.0,2,1,gpt-oss-120b,history_5,623,304497.5,CPU-intensive
18,2026-07-16 12:57:57,2,2,33,22,760,5.6,1.0,2,0,gpt-oss-120b,history_5,694,38819.5,CPU-intensive
19,2026-07-16 12:59:36,3,2,36,22,763,5.3,1.0,3,1,gpt-oss-120b,history_5,756,3232.9,CPU-intensive
20,2026-07-16 13:00:39,2,3,35,33,735,5.6,1.0,2,1,gpt-oss-120b,history_5,701,24652.1,CPU-intensive
21,2026-07-16 13:02:04,1,2,32,22,718,5.3,1.0,1,1,gpt-oss-120b,history_5,634,22120.9,CPU-intensive
22,2026-07-16 13:03:27,1,1,31,12,623,5.6,1.0,1,0,gpt-oss-120b,history_5,580,8373.2,CPU-intensive
23,2026-07-16 13:04:36,1,1,38,11,559,5.3,1.0,1,0,gpt-oss-120b,history_5,593,37841.5,CPU-intensive
24,2026-07-16 13:06:14,1,1,56,11,569,5.4,1.0,1,0,gpt-oss-120b,history_5,564,313206.7,CPU-intensive
25,2026-07-16 13:12:27,2,1,58,11,640,5.3,1.0,2,1,gpt-oss-120b,history_5,688,5611.0,CPU-intensive
26,2026-07-16 13:13:33,1,2,69,22,640,5.4,1.0,1,1,gpt-oss-120b,history_5,568,12510.9,CPU-intensive
27,2026-07-16 13:14:46,3,1,73,12,688,5.3,1.0,3,1,gpt-oss-120b,history_5,819,40327.9,CPU-intensive
28,2026-07-16 13:16:27,1,3,75,33,545,5.5,1.0,1,1,gpt-oss-120b,history_5,690,4363.1,CPU-intensive
29,2026-07-16 13:17:32,1,1,67,11,550,5.6,1.0,1,0,gpt-oss-120b,history_5,651,7236.1,CPU-intensive
30,2026-07-16 13:18:39,1,1,74,12,643,7.0,1.0,1,0,gpt-oss-120b,history_5,598,3775.1,CPU-intensive
31,2026-07-16 13:19:43,1,1,77,11,592,5.4,1.0,1,0,gpt-oss-120b,history_5,580,5500.7,CPU-intensive
32,2026-07-16 13:20:49,1,1,71,12,443,5.4,1.0,1,0,gpt-oss-120b,history_5,619,47425.9,CPU-intensive
33,2026-07-16 13:22:37,1,1,80,11,442,5.3,1.0,1,0,gpt-oss-120b,history_5,537,4224.5,CPU-intensive
