step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-10 13:01:46,3,3,8,90,292,84.4,1.0,3,0,llama-70b,domain,284,151758.3,CPU-intensive
1,2026-07-10 13:05:18,3,3,223,35,259,66.5,1.0,3,0,llama-70b,domain,284,340433.8,CPU-intensive
2,2026-07-10 13:11:59,6,3,532,36,200,297.7,1.0,6,1,llama-70b,domain,284,43724.2,CPU-intensive
3,2026-07-10 13:13:44,9,6,491,70,205,197.4,1.0,9,1,llama-70b,domain,284,23940.4,CPU-intensive
4,2026-07-10 13:15:09,12,9,431,101,222,222.9,1.0,12,1,llama-70b,domain,284,21213.6,CPU-intensive
5,2026-07-10 13:16:31,9,12,437,135,286,106.4,1.0,9,1,llama-70b,domain,284,26047.2,CPU-intensive
6,2026-07-10 13:17:58,9,9,489,103,575,79.4,1.0,9,0,llama-70b,domain,284,20829.5,CPU-intensive
7,2026-07-10 13:19:20,9,9,536,102,776,63.7,1.0,9,0,llama-70b,domain,284,13887.3,CPU-intensive
8,2026-07-10 13:20:34,9,9,563,101,746,122.0,1.0,9,0,llama-70b,domain,284,80404.3,CPU-intensive
9,2026-07-10 13:22:55,9,9,498,102,639,54.2,1.0,9,0,llama-70b,domain,284,16958.1,CPU-intensive
10,2026-07-10 13:24:13,9,9,490,101,727,41.0,1.0,9,0,llama-70b,domain,284,16538.0,CPU-intensive
11,2026-07-10 13:25:30,9,9,454,102,686,37.5,1.0,9,0,llama-70b,domain,284,16250.5,CPU-intensive
12,2026-07-10 13:26:47,9,9,429,101,561,42.9,1.0,9,0,llama-70b,domain,284,16083.9,CPU-intensive
13,2026-07-10 13:28:03,9,9,460,101,577,60.4,1.0,9,0,llama-70b,domain,284,14389.1,CPU-intensive
14,2026-07-10 13:29:19,9,9,499,101,575,49.0,1.0,9,0,llama-70b,domain,284,12951.0,CPU-intensive
15,2026-07-10 13:30:32,9,9,444,101,590,114.9,1.0,9,0,llama-70b,domain,284,31893.0,CPU-intensive
16,2026-07-10 13:32:05,9,9,501,101,604,36.9,1.0,9,0,llama-70b,domain,284,30587.0,CPU-intensive
17,2026-07-10 13:33:36,9,9,490,102,729,102.3,1.0,9,0,llama-70b,domain,284,11563.4,CPU-intensive
18,2026-07-10 13:34:48,9,9,364,101,760,74.3,1.0,9,0,llama-70b,domain,284,40608.1,CPU-intensive
19,2026-07-10 13:36:29,6,9,302,102,763,59.4,1.0,6,1,llama-70b,domain,284,12709.9,CPU-intensive
20,2026-07-10 13:37:43,6,6,295,69,735,40.0,1.0,6,0,llama-70b,domain,284,17283.6,CPU-intensive
21,2026-07-10 13:39:01,6,6,333,68,718,37.8,1.0,6,0,llama-70b,domain,284,9468.2,CPU-intensive
22,2026-07-10 13:40:11,6,6,310,68,623,63.5,1.0,6,0,llama-70b,domain,284,23402.1,CPU-intensive
23,2026-07-10 13:41:35,6,6,353,69,559,117.1,1.0,6,0,llama-70b,domain,284,17412.3,CPU-intensive
24,2026-07-10 13:42:53,6,6,434,69,569,80.3,1.0,6,0,llama-70b,domain,284,14552.6,CPU-intensive
25,2026-07-10 13:44:08,6,6,436,69,640,55.5,1.0,6,0,llama-70b,domain,284,20658.5,CPU-intensive
26,2026-07-10 13:45:29,6,6,529,69,640,58.7,1.0,6,0,llama-70b,domain,284,20148.2,CPU-intensive
27,2026-07-10 13:46:50,6,6,445,68,688,47.7,1.0,6,0,llama-70b,domain,284,49941.6,CPU-intensive
28,2026-07-10 13:48:41,6,6,356,68,545,50.1,1.0,6,0,llama-70b,domain,284,3761.7,CPU-intensive
29,2026-07-10 13:49:45,6,6,427,68,550,82.2,1.0,6,0,llama-70b,domain,284,12625.5,CPU-intensive
30,2026-07-10 13:50:58,6,6,434,68,643,62.2,1.0,6,0,llama-70b,domain,284,77635.7,CPU-intensive
31,2026-07-10 13:53:17,6,6,489,68,592,37.9,1.0,6,0,llama-70b,domain,284,19054.6,CPU-intensive
32,2026-07-10 13:54:36,6,6,253,68,443,104.9,1.0,6,0,llama-70b,domain,284,625947.0,CPU-intensive
33,2026-07-10 14:06:03,6,6,381,70,442,81.9,1.0,6,0,llama-70b,domain,284,28030.0,CPU-intensive
34,2026-07-10 14:07:32,6,6,352,69,401,84.5,1.0,6,0,llama-70b,domain,284,17307.4,CPU-intensive
35,2026-07-10 14:08:49,6,6,341,68,378,93.1,1.0,6,0,llama-70b,domain,284,51016.0,CPU-intensive
36,2026-07-10 14:10:41,6,6,376,68,296,64.2,1.0,6,0,llama-70b,domain,284,22499.6,CPU-intensive
37,2026-07-10 14:12:04,6,6,355,68,381,107.9,1.0,6,0,llama-70b,domain,284,17451.3,CPU-intensive
38,2026-07-10 14:13:23,6,6,311,68,340,50.0,1.0,6,0,llama-70b,domain,284,13638.7,CPU-intensive
39,2026-07-10 14:14:37,6,6,319,69,358,76.7,1.0,6,0,llama-70b,domain,284,327290.7,CPU-intensive
40,2026-07-10 14:21:05,6,6,953,68,451,129.5,1.0,6,0,llama-70b,domain,284,336108.7,CPU-intensive
41,2026-07-10 14:27:42,3,6,758,69,623,60.7,1.0,3,1,llama-70b,domain,284,44119.5,CPU-intensive
42,2026-07-10 14:29:26,4,3,748,34,518,195.3,1.0,4,1,llama-70b,domain,284,61075.4,CPU-intensive
43,2026-07-10 14:31:29,4,4,758,46,548,76.1,1.0,4,0,llama-70b,domain,284,67844.6,CPU-intensive
44,2026-07-10 14:33:37,7,4,784,46,499,161.6,1.0,7,1,llama-70b,domain,284,84124.7,CPU-intensive
45,2026-07-10 14:36:03,7,7,764,78,517,46.0,1.0,7,0,llama-70b,domain,284,85444.9,CPU-intensive
46,2026-07-10 14:38:29,7,7,663,78,471,81.5,1.0,7,0,llama-70b,domain,284,34243.7,CPU-intensive
47,2026-07-10 14:40:04,7,7,610,79,503,86.8,1.0,7,0,llama-70b,domain,284,30640.3,CPU-intensive
48,2026-07-10 14:41:35,7,7,579,79,605,103.9,1.0,7,0,llama-70b,domain,284,58975.8,CPU-intensive
49,2026-07-10 14:43:35,7,7,480,79,621,61.1,1.0,7,0,llama-70b,domain,284,25003.6,CPU-intensive
50,2026-07-10 14:45:00,7,7,437,78,646,104.7,1.0,7,0,llama-70b,domain,284,85189.0,CPU-intensive
