step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-10 17:20:06,3,3,36,34,292,73.5,1.0,3,0,llama-70b,history_5,212,27329.3,CPU-intensive
1,2026-07-10 17:21:34,3,3,140,33,259,108.1,1.0,3,0,llama-70b,history_5,245,21272.4,CPU-intensive
2,2026-07-10 17:22:56,3,3,113,33,200,111.1,1.0,3,0,llama-70b,history_5,278,28785.9,CPU-intensive
3,2026-07-10 17:24:25,4,3,114,33,205,108.8,1.0,4,1,llama-70b,history_5,311,33945.1,CPU-intensive
4,2026-07-10 17:26:00,4,4,165,45,222,158.2,1.0,4,0,llama-70b,history_5,344,42767.7,CPU-intensive
5,2026-07-10 17:27:44,6,4,414,45,286,147.7,1.0,6,1,llama-70b,history_5,377,42943.6,CPU-intensive
6,2026-07-10 17:29:28,8,6,339,66,575,58.1,1.0,8,1,llama-70b,history_5,377,16723.6,CPU-intensive
7,2026-07-10 17:30:45,8,8,407,88,776,42.0,1.0,8,0,llama-70b,history_5,377,21011.6,CPU-intensive
8,2026-07-10 17:32:07,8,8,372,89,746,42.1,1.0,8,0,llama-70b,history_5,377,32506.9,CPU-intensive
9,2026-07-10 17:33:40,8,8,332,88,639,109.0,1.0,8,0,llama-70b,history_5,377,34393.6,CPU-intensive
10,2026-07-10 17:35:15,8,8,323,88,727,76.8,1.0,8,0,llama-70b,history_5,377,31604.1,CPU-intensive
11,2026-07-10 17:36:47,8,8,337,89,686,44.3,1.0,8,0,llama-70b,history_5,377,37442.1,CPU-intensive
12,2026-07-10 17:38:25,8,8,430,88,561,49.0,1.0,8,0,llama-70b,history_5,377,24800.4,CPU-intensive
13,2026-07-10 17:39:51,8,8,417,88,577,105.9,1.0,8,0,llama-70b,history_5,377,18771.5,CPU-intensive
14,2026-07-10 17:41:10,8,8,404,89,575,80.7,1.0,8,0,llama-70b,history_5,377,25182.7,CPU-intensive
15,2026-07-10 17:42:36,8,8,330,89,590,44.8,1.0,8,0,llama-70b,history_5,377,26844.0,CPU-intensive
16,2026-07-10 17:44:04,8,8,312,89,604,94.8,1.0,8,0,llama-70b,history_5,377,28009.7,CPU-intensive
17,2026-07-10 17:45:32,10,8,334,89,729,60.4,1.0,10,1,llama-70b,history_5,377,17415.6,CPU-intensive
18,2026-07-10 17:46:51,8,10,343,110,760,38.8,1.0,8,1,llama-70b,history_5,377,57395.7,CPU-intensive
19,2026-07-10 17:48:49,10,8,306,89,763,108.6,1.0,10,1,llama-70b,history_5,377,62913.8,CPU-intensive
20,2026-07-10 17:50:52,10,10,347,110,735,84.9,1.0,10,0,llama-70b,history_5,377,30720.7,CPU-intensive
21,2026-07-10 17:52:24,10,10,272,110,718,51.0,1.0,10,0,llama-70b,history_5,377,21992.6,CPU-intensive
22,2026-07-10 17:53:47,10,10,234,110,623,44.5,1.0,10,0,llama-70b,history_5,377,28508.8,CPU-intensive
23,2026-07-10 17:55:16,8,10,214,111,559,47.3,1.0,8,1,llama-70b,history_5,377,48092.3,CPU-intensive
24,2026-07-10 17:57:04,8,8,160,88,569,42.8,1.0,8,0,llama-70b,history_5,377,108074.1,CPU-intensive
25,2026-07-10 17:59:53,8,8,183,88,640,57.3,1.0,8,0,llama-70b,history_5,0,0.0,CPU-intensive
26,2026-07-10 18:16:02,8,8,241,88,640,75.6,1.0,8,0,llama-70b,history_5,377,123783.3,CPU-intensive
27,2026-07-10 18:19:06,10,8,236,88,688,81.7,1.0,10,1,llama-70b,history_5,377,38862.9,CPU-intensive
28,2026-07-10 18:20:46,8,10,291,110,545,44.6,1.0,8,1,llama-70b,history_5,377,32469.1,CPU-intensive
29,2026-07-10 18:22:19,10,8,344,88,550,100.8,1.0,10,1,llama-70b,history_5,377,118769.8,CPU-intensive
30,2026-07-10 18:25:19,8,10,355,110,643,67.3,1.0,8,1,llama-70b,history_5,377,33682.8,CPU-intensive
31,2026-07-10 18:26:53,10,8,356,88,592,63.8,1.0,10,1,llama-70b,history_5,377,382017.1,CPU-intensive
32,2026-07-10 18:34:16,10,10,342,110,443,44.5,1.0,10,0,llama-70b,history_5,377,36296.6,CPU-intensive
33,2026-07-10 18:35:53,10,10,388,111,442,81.2,1.0,10,0,llama-70b,history_5,377,35414.5,CPU-intensive
34,2026-07-10 18:37:29,10,10,645,112,401,43.3,1.0,10,0,llama-70b,history_5,377,31601.0,CPU-intensive
35,2026-07-10 18:39:01,10,10,772,111,378,89.0,1.0,10,0,llama-70b,history_5,377,265977.0,CPU-intensive
36,2026-07-10 18:44:28,8,10,710,111,296,56.4,1.0,8,1,llama-70b,history_5,377,25603.7,CPU-intensive
37,2026-07-10 18:45:54,12,8,840,92,381,194.4,1.0,12,1,llama-70b,history_5,377,31655.3,CPU-intensive
38,2026-07-10 18:47:27,12,12,733,132,340,73.6,1.0,12,0,llama-70b,history_5,377,31856.8,CPU-intensive
39,2026-07-10 18:49:00,12,12,772,133,358,80.6,1.0,12,0,llama-70b,history_5,377,73293.2,CPU-intensive
40,2026-07-10 18:51:14,12,12,821,133,451,41.1,1.0,12,0,llama-70b,history_5,377,139130.0,CPU-intensive
41,2026-07-10 18:54:33,14,12,786,134,623,68.4,1.0,14,1,llama-70b,history_5,377,19353.4,CPU-intensive
42,2026-07-10 18:55:53,8,14,679,154,518,41.6,1.0,8,1,llama-70b,history_5,377,20349.5,CPU-intensive
43,2026-07-10 18:57:14,10,8,578,89,548,118.6,1.0,10,1,llama-70b,history_5,377,76594.8,CPU-intensive
44,2026-07-10 18:59:32,10,10,599,110,499,37.7,1.0,10,0,llama-70b,history_5,377,20555.8,CPU-intensive
45,2026-07-10 19:00:53,10,10,488,111,517,43.6,1.0,10,0,llama-70b,history_5,377,28925.7,CPU-intensive
46,2026-07-10 19:02:23,10,10,434,111,471,37.5,1.0,10,0,llama-70b,history_5,377,46229.6,CPU-intensive
47,2026-07-10 19:04:09,10,10,415,111,503,38.0,1.0,10,0,llama-70b,history_5,377,20720.1,CPU-intensive
48,2026-07-10 19:05:31,12,10,479,111,605,52.1,1.0,12,1,llama-70b,history_5,377,65649.0,CPU-intensive
49,2026-07-10 19:07:37,12,12,439,132,621,84.6,1.0,12,0,llama-70b,history_5,377,31502.4,CPU-intensive
50,2026-07-10 19:09:09,12,12,408,132,646,59.4,1.0,12,0,llama-70b,history_5,377,21114.7,CPU-intensive
51,2026-07-10 19:10:31,12,12,444,132,639,75.6,1.0,12,0,llama-70b,history_5,377,35653.4,CPU-intensive
52,2026-07-10 19:12:07,12,12,435,133,493,95.5,1.0,12,0,llama-70b,history_5,377,20398.5,CPU-intensive
53,2026-07-10 19:13:28,12,12,399,132,446,39.3,1.0,12,0,llama-70b,history_5,377,22779.3,CPU-intensive
54,2026-07-10 19:14:52,12,12,391,132,435,83.0,1.0,12,0,llama-70b,history_5,377,54069.9,CPU-intensive
55,2026-07-10 19:16:46,12,12,339,132,425,64.7,1.0,12,0,llama-70b,history_5,377,30901.7,CPU-intensive
56,2026-07-10 19:18:18,12,12,310,132,401,38.7,1.0,12,0,llama-70b,history_5,377,360080.2,CPU-intensive
57,2026-07-10 19:25:19,12,12,12,133,491,37.7,1.0,12,0,llama-70b,history_5,377,24549.8,CPU-intensive
58,2026-07-10 19:26:44,12,12,12,132,382,39.2,1.0,12,0,llama-70b,history_5,377,19068.2,CPU-intensive
59,2026-07-10 19:28:03,12,12,12,132,414,37.5,1.0,12,0,llama-70b,history_5,377,12448.1,CPU-intensive
60,2026-07-10 19:29:16,7,12,12,133,515,81.2,1.0,7,1,llama-70b,history_5,377,16546.8,CPU-intensive
61,2026-07-10 19:30:34,14,7,7,78,575,38.0,1.0,14,1,llama-70b,history_5,377,116091.4,CPU-intensive
62,2026-07-10 19:33:30,7,14,14,154,603,39.3,1.0,7,1,llama-70b,history_5,377,2449.6,CPU-intensive
63,2026-07-10 19:34:34,14,7,7,77,720,37.6,1.0,14,1,llama-70b,history_5,377,60452.8,CPU-intensive
64,2026-07-10 19:36:35,14,14,14,155,702,39.3,1.0,14,0,llama-70b,history_5,377,7658.5,CPU-intensive
65,2026-07-10 19:37:43,7,14,14,155,689,37.4,1.0,7,1,llama-70b,history_5,377,19293.0,CPU-intensive
66,2026-07-10 19:39:03,14,7,7,77,641,44.6,1.0,14,1,llama-70b,history_5,377,8700.7,CPU-intensive
67,2026-07-10 19:40:12,7,14,14,154,618,39.8,1.0,7,1,llama-70b,history_5,377,11201.8,CPU-intensive
68,2026-07-10 19:41:24,7,7,7,77,701,37.5,1.0,7,0,llama-70b,history_5,377,29192.8,CPU-intensive
69,2026-07-10 19:42:54,7,7,7,77,625,37.5,1.0,7,0,llama-70b,history_5,377,142859.0,CPU-intensive
70,2026-07-10 19:46:17,7,7,7,77,692,37.2,1.0,7,0,llama-70b,history_5,377,59319.9,CPU-intensive
71,2026-07-10 19:48:17,7,7,7,78,612,73.2,1.0,7,0,llama-70b,history_5,377,328433.2,CPU-intensive
72,2026-07-10 19:54:46,7,7,7,77,579,38.3,1.0,7,0,llama-70b,history_5,377,16640.3,CPU-intensive
73,2026-07-10 19:56:04,7,7,7,77,635,37.9,1.0,7,0,llama-70b,history_5,377,6295.5,CPU-intensive
74,2026-07-10 19:57:10,7,7,7,77,614,76.7,1.0,7,0,llama-70b,history_5,377,6869.7,CPU-intensive
75,2026-07-10 19:58:18,7,7,7,77,723,48.4,1.0,7,0,llama-70b,history_5,377,11123.5,CPU-intensive
76,2026-07-10 19:59:30,10,7,7,77,1000,38.4,1.0,10,1,llama-70b,history_5,378,12047.9,CPU-intensive
77,2026-07-10 20:00:42,10,10,10,110,1169,45.2,1.0,10,0,llama-70b,history_5,379,84976.5,CPU-intensive
78,2026-07-10 20:03:08,14,10,10,110,1379,37.9,1.0,14,1,llama-70b,history_5,380,27822.6,CPU-intensive
79,2026-07-10 20:04:36,14,14,14,154,1764,44.0,1.0,14,0,llama-70b,history_5,381,18556.3,CPU-intensive
80,2026-07-10 20:05:56,8,14,14,154,1578,37.4,1.0,8,1,llama-70b,history_5,382,14338.0,CPU-intensive
81,2026-07-10 20:07:11,8,8,8,88,1426,52.9,1.0,8,0,llama-70b,history_5,383,22938.9,CPU-intensive
82,2026-07-10 20:08:34,8,8,8,88,1247,37.0,1.0,8,0,llama-70b,history_5,383,328409.3,CPU-intensive
83,2026-07-10 20:15:03,8,8,8,88,1240,48.3,1.0,8,0,llama-70b,history_5,383,23804.1,CPU-intensive
84,2026-07-10 20:16:28,8,8,8,88,1292,61.1,1.0,8,0,llama-70b,history_5,383,19167.8,CPU-intensive
85,2026-07-10 20:17:47,8,8,8,88,1546,38.1,1.0,8,0,llama-70b,history_5,383,100255.4,CPU-intensive
86,2026-07-10 20:20:28,8,8,8,88,1445,37.1,1.0,8,0,llama-70b,history_5,383,58130.9,CPU-intensive
