step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-10 00:49:43,3,3,58,124,292,189.2,1.0,3,0,llama-8b,zero_shot,204,805.4,CPU-intensive
1,2026-07-10 00:50:44,3,3,210,33,259,85.3,1.0,3,0,llama-8b,zero_shot,204,628.5,CPU-intensive
2,2026-07-10 00:51:46,4,3,196,33,200,236.0,1.0,4,1,llama-8b,zero_shot,204,560.3,CPU-intensive
3,2026-07-10 00:52:47,4,4,156,44,205,99.9,1.0,4,0,llama-8b,zero_shot,204,1268.3,CPU-intensive
4,2026-07-10 00:53:49,4,4,151,44,222,67.7,1.0,4,0,llama-8b,zero_shot,204,583.4,CPU-intensive
5,2026-07-10 00:54:50,4,4,177,44,286,197.4,1.0,4,0,llama-8b,zero_shot,204,858.6,CPU-intensive
6,2026-07-10 00:55:52,4,4,305,44,575,96.0,1.0,4,0,llama-8b,zero_shot,204,2225.1,CPU-intensive
7,2026-07-10 00:56:55,4,4,451,44,776,72.6,1.0,4,0,llama-8b,zero_shot,204,498.5,CPU-intensive
8,2026-07-10 00:57:56,4,4,545,44,746,84.6,1.0,4,0,llama-8b,zero_shot,204,567.8,CPU-intensive
9,2026-07-10 00:58:57,4,4,488,45,639,181.8,1.0,4,0,llama-8b,zero_shot,204,488.5,CPU-intensive
10,2026-07-10 00:59:58,4,4,499,44,727,95.2,1.0,4,0,llama-8b,zero_shot,204,614.8,CPU-intensive
11,2026-07-10 01:01:00,4,4,525,44,686,128.9,1.0,4,0,llama-8b,zero_shot,204,462.2,CPU-intensive
12,2026-07-10 01:02:01,4,4,429,46,561,157.6,1.0,4,0,llama-8b,zero_shot,204,2382.3,CPU-intensive
13,2026-07-10 01:03:04,4,4,431,44,577,82.5,1.0,4,0,llama-8b,zero_shot,204,1981.3,CPU-intensive
14,2026-07-10 01:04:07,4,4,444,44,575,176.2,1.0,4,0,llama-8b,zero_shot,204,2601.3,CPU-intensive
