step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-11 07:48:13,3,3,25,133,292,145.7,1.0,3,0,mistral-small4,cot,252,774.6,CPU-intensive
1,2026-07-11 07:49:14,3,3,226,33,259,42.2,1.0,3,0,mistral-small4,cot,252,478.1,CPU-intensive
2,2026-07-11 07:50:15,2,3,208,33,200,197.6,1.0,2,1,mistral-small4,cot,347,2027.4,CPU-intensive
3,2026-07-11 07:51:18,1,2,160,22,205,116.3,1.0,1,1,mistral-small4,cot,349,1229.4,CPU-intensive
4,2026-07-11 07:52:20,14,1,177,12,222,5019.6,0.9,14,1,mistral-small4,cot,256,458.4,CPU-intensive
5,2026-07-11 07:53:42,14,14,270,156,286,37.0,1.0,14,0,mistral-small4,cot,255,639.8,CPU-intensive
6,2026-07-11 07:54:44,14,14,432,157,575,39.9,1.0,14,0,mistral-small4,cot,255,524.2,CPU-intensive
7,2026-07-11 07:55:45,14,14,570,156,776,38.2,1.0,14,0,mistral-small4,cot,255,455.7,CPU-intensive
8,2026-07-11 07:56:46,14,14,572,158,746,39.3,1.0,14,0,mistral-small4,cot,255,458.8,CPU-intensive
9,2026-07-11 07:57:47,14,14,480,156,639,38.7,1.0,14,0,mistral-small4,cot,255,504.9,CPU-intensive
10,2026-07-11 07:58:48,14,14,492,157,727,36.5,1.0,14,0,mistral-small4,cot,255,472.9,CPU-intensive
11,2026-07-11 07:59:49,14,14,544,156,686,63.7,1.0,14,0,mistral-small4,cot,255,588.7,CPU-intensive
12,2026-07-11 08:00:50,14,14,475,156,561,37.7,1.0,14,0,mistral-small4,cot,255,507.9,CPU-intensive
13,2026-07-11 08:01:51,14,14,461,156,577,123.2,1.0,14,0,mistral-small4,cot,256,501.2,CPU-intensive
14,2026-07-11 08:02:52,14,14,463,156,575,52.3,1.0,14,0,mistral-small4,cot,255,519.9,CPU-intensive
15,2026-07-11 08:03:54,14,14,449,156,590,38.1,1.0,14,0,mistral-small4,cot,255,623.3,CPU-intensive
16,2026-07-11 08:04:55,14,14,494,156,604,54.9,1.0,14,0,mistral-small4,cot,255,658.2,CPU-intensive
17,2026-07-11 08:05:56,14,14,573,156,729,37.2,1.0,14,0,mistral-small4,cot,255,668.9,CPU-intensive
18,2026-07-11 08:06:57,14,14,561,156,760,36.4,1.0,14,0,mistral-small4,cot,255,548.4,CPU-intensive
19,2026-07-11 08:07:58,14,14,569,156,763,109.1,1.0,14,0,mistral-small4,cot,256,500.0,CPU-intensive
20,2026-07-11 08:09:00,14,14,561,156,735,36.4,1.0,14,0,mistral-small4,cot,255,419.9,CPU-intensive
21,2026-07-11 08:10:01,14,14,506,156,718,37.1,1.0,14,0,mistral-small4,cot,255,1002.7,CPU-intensive
22,2026-07-11 08:11:02,14,14,481,157,623,35.5,1.0,14,0,mistral-small4,cot,255,491.7,CPU-intensive
23,2026-07-11 08:12:03,14,14,471,156,559,45.7,1.0,14,0,mistral-small4,cot,255,440.4,CPU-intensive
24,2026-07-11 08:13:04,14,14,469,156,569,42.6,1.0,14,0,mistral-small4,cot,255,431.4,CPU-intensive
25,2026-07-11 08:14:05,14,14,490,156,640,55.6,1.0,14,0,mistral-small4,cot,255,522.4,CPU-intensive
26,2026-07-11 08:15:06,14,14,539,157,640,82.7,1.0,14,0,mistral-small4,cot,255,522.7,CPU-intensive
27,2026-07-11 08:16:07,14,14,486,157,688,39.6,1.0,14,0,mistral-small4,cot,255,1723.2,CPU-intensive
28,2026-07-11 08:17:10,14,14,463,157,545,38.2,1.0,14,0,mistral-small4,cot,255,463.7,CPU-intensive
29,2026-07-11 08:18:11,14,14,426,156,550,36.2,1.0,14,0,mistral-small4,cot,255,1365.2,CPU-intensive
30,2026-07-11 08:19:13,14,14,487,158,643,44.2,1.0,14,0,mistral-small4,cot,255,454.8,CPU-intensive
31,2026-07-11 08:20:14,14,14,512,158,592,43.2,1.0,14,0,mistral-small4,cot,255,408.1,CPU-intensive
32,2026-07-11 08:21:15,14,14,342,156,443,37.8,1.0,14,0,mistral-small4,cot,255,477.4,CPU-intensive
33,2026-07-11 08:22:16,14,14,364,156,442,42.8,1.0,14,0,mistral-small4,cot,255,505.6,CPU-intensive
34,2026-07-11 08:23:17,14,14,346,156,401,44.3,1.0,14,0,mistral-small4,cot,255,409.1,CPU-intensive
35,2026-07-11 08:24:18,14,14,261,157,378,83.1,1.0,14,0,mistral-small4,cot,255,1080.7,CPU-intensive
