step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-11 03:42:19,3,3,14,159,292,81.5,1.0,3,0,mistral-small4,domain,293,808.7,CPU-intensive
1,2026-07-11 03:43:21,3,3,283,33,259,107.1,1.0,3,0,mistral-small4,domain,295,559.9,CPU-intensive
2,2026-07-11 03:44:22,7,3,220,33,200,366.9,1.0,7,1,mistral-small4,domain,295,456.3,CPU-intensive
3,2026-07-11 03:45:24,4,7,140,77,205,42.3,1.0,4,1,mistral-small4,domain,294,485.7,CPU-intensive
4,2026-07-11 03:46:25,4,4,167,44,222,45.3,1.0,4,0,mistral-small4,domain,294,1368.1,CPU-intensive
5,2026-07-11 03:47:27,7,4,252,44,286,276.9,1.0,7,1,mistral-small4,domain,295,673.0,CPU-intensive
6,2026-07-11 03:48:29,7,7,388,77,575,43.3,1.0,7,0,mistral-small4,domain,294,434.3,CPU-intensive
7,2026-07-11 03:49:30,7,7,473,78,776,67.3,1.0,7,0,mistral-small4,domain,294,519.9,CPU-intensive
8,2026-07-11 03:50:31,7,7,528,77,746,86.5,1.0,7,0,mistral-small4,domain,294,529.0,CPU-intensive
9,2026-07-11 03:51:32,7,7,469,77,639,54.4,1.0,7,0,mistral-small4,domain,294,467.2,CPU-intensive
10,2026-07-11 03:52:33,7,7,498,78,727,125.5,1.0,7,0,mistral-small4,domain,295,476.9,CPU-intensive
11,2026-07-11 03:53:34,7,7,479,77,686,75.5,1.0,7,0,mistral-small4,domain,294,450.8,CPU-intensive
12,2026-07-11 03:54:35,7,7,521,78,561,102.9,1.0,7,0,mistral-small4,domain,295,536.8,CPU-intensive
13,2026-07-11 03:55:36,7,7,426,77,577,38.2,1.0,7,0,mistral-small4,domain,294,675.5,CPU-intensive
14,2026-07-11 03:56:38,8,7,427,77,575,166.3,1.0,8,1,mistral-small4,domain,295,475.3,CPU-intensive
15,2026-07-11 03:57:39,8,8,498,88,590,69.8,1.0,8,0,mistral-small4,domain,294,537.5,CPU-intensive
16,2026-07-11 03:58:40,8,8,492,89,604,38.0,1.0,8,0,mistral-small4,domain,294,413.7,CPU-intensive
17,2026-07-11 03:59:41,8,8,494,88,729,70.0,1.0,8,0,mistral-small4,domain,294,510.8,CPU-intensive
18,2026-07-11 04:00:42,8,8,543,89,760,110.4,1.0,8,0,mistral-small4,domain,295,450.7,CPU-intensive
19,2026-07-11 04:01:43,8,8,532,89,763,105.5,1.0,8,0,mistral-small4,domain,295,433.5,CPU-intensive
20,2026-07-11 04:02:44,8,8,566,89,735,58.5,1.0,8,0,mistral-small4,domain,294,523.8,CPU-intensive
21,2026-07-11 04:03:46,8,8,541,88,718,56.0,1.0,8,0,mistral-small4,domain,294,446.8,CPU-intensive
