step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-11 23:19:19,3,3,9,33,292,77.5,1.0,3,0,qwen3-80b,history_5,200,9411.7,CPU-intensive
1,2026-07-11 23:20:29,3,3,141,33,259,73.6,1.0,3,0,qwen3-80b,history_5,235,99659.7,CPU-intensive
2,2026-07-11 23:23:09,3,3,115,33,200,67.3,1.0,3,0,qwen3-80b,history_5,270,95985.0,CPU-intensive
3,2026-07-11 23:25:46,3,3,295,34,205,94.3,1.0,3,0,qwen3-80b,history_5,305,52206.8,CPU-intensive
4,2026-07-11 23:27:39,3,3,382,33,222,81.9,1.0,3,0,qwen3-80b,history_5,341,39720.1,CPU-intensive
5,2026-07-11 23:29:19,4,3,340,34,286,127.2,1.0,4,1,qwen3-80b,history_5,378,51791.2,CPU-intensive
6,2026-07-11 23:31:12,4,4,336,45,575,42.1,1.0,4,0,qwen3-80b,history_5,379,43387.5,CPU-intensive
7,2026-07-11 23:32:56,5,4,301,44,776,81.4,1.0,5,1,qwen3-80b,history_5,379,193554.2,CPU-intensive
8,2026-07-11 23:37:10,5,5,386,56,746,119.6,1.0,5,0,qwen3-80b,history_5,380,11734.2,CPU-intensive
9,2026-07-11 23:38:23,5,5,400,55,639,113.3,1.0,5,0,qwen3-80b,history_5,381,322306.7,CPU-intensive
10,2026-07-11 23:44:46,5,5,346,56,727,99.8,1.0,5,0,qwen3-80b,history_5,380,20555.5,CPU-intensive
11,2026-07-11 23:46:07,6,5,348,55,686,161.2,1.0,6,1,qwen3-80b,history_5,379,775817.2,CPU-intensive
12,2026-07-12 00:00:04,5,6,249,66,561,46.1,1.0,5,1,qwen3-80b,history_5,379,315364.3,CPU-intensive
13,2026-07-12 00:06:20,5,5,250,55,577,81.9,1.0,5,0,qwen3-80b,history_5,379,29051.5,CPU-intensive
14,2026-07-12 00:07:50,5,5,312,55,575,64.1,1.0,5,0,qwen3-80b,history_5,378,123712.7,CPU-intensive
15,2026-07-12 00:10:54,5,5,324,56,590,124.7,1.0,5,0,qwen3-80b,history_5,378,16876.5,CPU-intensive
16,2026-07-12 00:12:12,5,5,277,55,604,80.2,1.0,5,0,qwen3-80b,history_5,378,2090.3,CPU-intensive
17,2026-07-12 00:13:14,6,5,234,55,729,94.1,1.0,6,1,qwen3-80b,history_5,377,38406.8,CPU-intensive
18,2026-07-12 00:14:54,6,6,248,67,760,94.6,1.0,6,0,qwen3-80b,history_5,377,48992.2,CPU-intensive
19,2026-07-12 00:16:43,6,6,262,67,763,58.4,1.0,6,0,qwen3-80b,history_5,377,15293.3,CPU-intensive
20,2026-07-12 00:17:59,6,6,214,66,735,78.0,1.0,6,0,qwen3-80b,history_5,377,251907.4,CPU-intensive
21,2026-07-12 00:23:12,6,6,388,66,718,56.5,1.0,6,0,qwen3-80b,history_5,376,164166.9,CPU-intensive
22,2026-07-12 00:26:57,6,6,331,67,623,65.4,1.0,6,0,qwen3-80b,history_5,376,196036.0,CPU-intensive
23,2026-07-12 00:31:14,6,6,321,66,559,98.2,1.0,6,0,qwen3-80b,history_5,376,11509.5,CPU-intensive
24,2026-07-12 00:32:26,6,6,335,66,569,56.1,1.0,6,0,qwen3-80b,history_5,376,314875.4,CPU-intensive
25,2026-07-12 00:38:41,7,6,943,68,640,194.3,1.0,7,1,qwen3-80b,history_5,378,164572.6,CPU-intensive
26,2026-07-12 00:42:27,7,7,679,78,640,93.1,1.0,7,0,qwen3-80b,history_5,378,22442.7,CPU-intensive
27,2026-07-12 00:43:50,7,7,688,77,688,108.4,1.0,7,0,qwen3-80b,history_5,379,50886.1,CPU-intensive
28,2026-07-12 00:45:42,7,7,750,77,545,156.3,1.0,7,0,qwen3-80b,history_5,381,9496.8,CPU-intensive
29,2026-07-12 00:46:52,8,7,786,77,550,152.0,1.0,8,1,qwen3-80b,history_5,383,46858.3,CPU-intensive
30,2026-07-12 00:48:40,7,8,768,89,643,83.6,1.0,7,1,qwen3-80b,history_5,383,11744.1,CPU-intensive
31,2026-07-12 00:49:53,7,7,859,78,592,98.8,1.0,7,0,qwen3-80b,history_5,382,166183.5,CPU-intensive
32,2026-07-12 00:53:40,7,7,821,78,443,119.2,1.0,7,0,qwen3-80b,history_5,384,33716.7,CPU-intensive
33,2026-07-12 00:55:15,7,7,730,78,442,84.9,1.0,7,0,qwen3-80b,history_5,384,11628.4,CPU-intensive
34,2026-07-12 00:56:27,5,7,583,77,401,50.4,1.0,5,1,qwen3-80b,history_5,382,39261.3,CPU-intensive
35,2026-07-12 00:58:07,5,5,621,56,378,82.3,1.0,5,0,qwen3-80b,history_5,381,13840.0,CPU-intensive
36,2026-07-12 00:59:22,5,5,632,56,296,92.4,1.0,5,0,qwen3-80b,history_5,382,29484.5,CPU-intensive
37,2026-07-12 01:00:52,5,5,491,55,381,117.3,1.0,5,0,qwen3-80b,history_5,382,104576.1,CPU-intensive
38,2026-07-12 01:03:37,5,5,522,55,340,77.1,1.0,5,0,qwen3-80b,history_5,381,10801.6,CPU-intensive
39,2026-07-12 01:04:49,5,5,494,56,358,97.9,1.0,5,0,qwen3-80b,history_5,380,20954.4,CPU-intensive
40,2026-07-12 01:06:11,5,5,424,55,451,71.3,1.0,5,0,qwen3-80b,history_5,380,11825.7,CPU-intensive
41,2026-07-12 01:07:23,7,5,441,55,623,116.4,1.0,7,1,qwen3-80b,history_5,380,36708.4,CPU-intensive
42,2026-07-12 01:09:01,5,7,397,78,518,81.7,1.0,5,1,qwen3-80b,history_5,379,154895.6,CPU-intensive
43,2026-07-12 01:12:36,7,5,386,55,548,79.9,1.0,7,1,qwen3-80b,history_5,378,13827.2,CPU-intensive
44,2026-07-12 01:13:51,5,7,377,78,499,75.7,1.0,5,1,qwen3-80b,history_5,377,202869.5,CPU-intensive
45,2026-07-12 01:18:15,5,5,319,56,517,93.2,1.0,5,0,qwen3-80b,history_5,0,0.0,CPU-intensive
46,2026-07-12 01:34:23,5,5,5,55,471,40.8,1.0,5,0,qwen3-80b,history_5,376,168407.0,CPU-intensive
47,2026-07-12 01:38:12,5,5,5,55,503,53.9,1.0,5,0,qwen3-80b,history_5,374,15168.8,CPU-intensive
48,2026-07-12 01:39:28,5,5,5,56,605,68.6,1.0,5,0,qwen3-80b,history_5,373,12819.4,CPU-intensive
49,2026-07-12 01:40:41,5,5,5,55,621,68.5,1.0,5,0,qwen3-80b,history_5,372,556123.2,CPU-intensive
50,2026-07-12 01:50:58,5,5,5,55,646,40.8,1.0,5,0,qwen3-80b,history_5,371,12255.7,CPU-intensive
51,2026-07-12 01:52:11,6,5,5,56,639,85.5,1.0,6,1,qwen3-80b,history_5,370,44176.9,CPU-intensive
52,2026-07-12 01:53:56,6,6,6,66,493,76.8,1.0,6,0,qwen3-80b,history_5,370,165507.4,CPU-intensive
53,2026-07-12 01:57:42,6,6,6,66,446,60.0,1.0,6,0,qwen3-80b,history_5,370,13866.8,CPU-intensive
54,2026-07-12 01:58:57,6,6,6,66,435,44.7,1.0,6,0,qwen3-80b,history_5,370,130085.6,CPU-intensive
55,2026-07-12 02:02:07,6,6,6,66,425,61.3,1.0,6,0,qwen3-80b,history_5,370,81437.6,CPU-intensive
56,2026-07-12 02:04:29,6,6,6,66,401,77.6,1.0,6,0,qwen3-80b,history_5,370,145036.2,CPU-intensive
57,2026-07-12 02:07:55,6,6,6,66,491,84.0,1.0,6,0,qwen3-80b,history_5,370,164887.3,CPU-intensive
58,2026-07-12 02:11:41,6,6,6,66,382,37.8,1.0,6,0,qwen3-80b,history_5,370,470516.3,CPU-intensive
59,2026-07-12 02:20:32,6,6,6,66,414,76.5,1.0,6,0,qwen3-80b,history_5,370,43871.6,CPU-intensive
60,2026-07-12 02:22:16,6,6,6,66,515,65.1,1.0,6,0,qwen3-80b,history_5,370,8910.4,CPU-intensive
61,2026-07-12 02:23:26,6,6,6,66,575,37.9,1.0,6,0,qwen3-80b,history_5,370,74131.8,CPU-intensive
62,2026-07-12 02:25:41,6,6,6,66,603,38.7,1.0,6,0,qwen3-80b,history_5,370,47126.7,CPU-intensive
63,2026-07-12 02:27:28,8,6,6,66,720,72.9,1.0,8,1,qwen3-80b,history_5,370,206288.8,CPU-intensive
64,2026-07-12 02:31:55,6,8,8,88,702,38.3,1.0,6,1,qwen3-80b,history_5,370,14963.3,CPU-intensive
65,2026-07-12 02:33:11,8,6,6,66,689,81.8,1.0,8,1,qwen3-80b,history_5,370,47009.0,CPU-intensive
66,2026-07-12 02:34:59,6,8,8,88,641,38.1,1.0,6,1,qwen3-80b,history_5,370,2387.6,CPU-intensive
67,2026-07-12 02:36:02,8,6,6,66,618,68.0,1.0,8,1,qwen3-80b,history_5,370,194135.1,CPU-intensive
68,2026-07-12 02:40:17,6,8,8,89,701,45.5,1.0,6,1,qwen3-80b,history_5,370,14524.3,CPU-intensive
69,2026-07-12 02:41:32,6,6,6,66,625,57.6,1.0,6,0,qwen3-80b,history_5,370,3589.2,CPU-intensive
70,2026-07-12 02:42:36,6,6,6,67,692,38.0,1.0,6,0,qwen3-80b,history_5,370,1041.6,CPU-intensive
71,2026-07-12 02:43:38,8,6,6,67,612,77.4,1.0,8,1,qwen3-80b,history_5,370,151135.8,CPU-intensive
72,2026-07-12 02:47:10,6,8,8,88,579,38.1,1.0,6,1,qwen3-80b,history_5,370,7624.4,CPU-intensive
