step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-11 09:51:37,3,3,12,134,292,81.3,1.0,3,0,qwen3-80b,zero_shot,192,46241.5,CPU-intensive
1,2026-07-11 09:53:24,3,3,279,35,259,87.1,1.0,3,0,qwen3-80b,zero_shot,193,299605.1,CPU-intensive
2,2026-07-11 09:59:24,3,3,516,36,200,175.0,1.0,3,0,qwen3-80b,zero_shot,195,11662.4,CPU-intensive
3,2026-07-11 10:00:37,5,3,531,34,205,408.4,1.0,5,1,qwen3-80b,zero_shot,195,582567.5,CPU-intensive
4,2026-07-11 10:11:20,6,5,573,56,222,230.6,1.0,6,1,qwen3-80b,zero_shot,195,208829.9,CPU-intensive
5,2026-07-11 10:15:50,6,6,437,68,286,36.7,1.0,6,0,qwen3-80b,zero_shot,193,272332.5,CPU-intensive
6,2026-07-11 10:21:23,6,6,459,67,575,97.0,1.0,6,0,qwen3-80b,zero_shot,193,15946.5,CPU-intensive
7,2026-07-11 10:22:40,6,6,475,68,776,46.2,1.0,6,0,qwen3-80b,zero_shot,193,174070.5,CPU-intensive
8,2026-07-11 10:26:34,6,6,359,68,746,61.2,1.0,6,0,qwen3-80b,zero_shot,193,626451.0,CPU-intensive
9,2026-07-11 10:38:01,6,6,410,68,639,77.7,1.0,6,0,qwen3-80b,zero_shot,193,779.7,CPU-intensive
10,2026-07-11 10:39:03,6,6,381,68,727,43.2,1.0,6,0,qwen3-80b,zero_shot,193,898544.8,CPU-intensive
11,2026-07-11 10:55:02,6,6,515,68,686,61.6,1.0,6,0,qwen3-80b,zero_shot,193,20136.5,CPU-intensive
12,2026-07-11 10:56:23,6,6,495,69,561,91.0,1.0,6,0,qwen3-80b,zero_shot,193,19488.2,CPU-intensive
13,2026-07-11 10:57:43,6,6,475,68,577,63.7,1.0,6,0,qwen3-80b,zero_shot,193,142029.5,CPU-intensive
14,2026-07-11 11:01:06,6,6,451,70,575,104.1,1.0,6,0,qwen3-80b,zero_shot,194,114503.8,CPU-intensive
15,2026-07-11 11:04:01,10,6,446,70,590,348.3,1.0,10,1,qwen3-80b,zero_shot,195,3817.4,CPU-intensive
16,2026-07-11 11:05:06,5,10,505,113,604,35.8,1.0,5,1,qwen3-80b,zero_shot,195,53794.6,CPU-intensive
17,2026-07-11 11:07:00,5,5,519,59,729,40.9,1.0,5,0,qwen3-80b,zero_shot,194,173971.4,CPU-intensive
18,2026-07-11 11:10:55,5,5,853,59,760,91.9,1.0,5,0,qwen3-80b,zero_shot,194,24428.3,CPU-intensive
19,2026-07-11 11:12:20,5,5,819,60,763,97.8,1.0,5,0,qwen3-80b,zero_shot,194,80141.3,CPU-intensive
20,2026-07-11 11:14:41,5,5,706,57,735,138.0,1.0,5,0,qwen3-80b,zero_shot,195,478847.8,CPU-intensive
21,2026-07-11 11:23:41,5,5,829,58,718,107.7,1.0,5,0,qwen3-80b,zero_shot,195,7989.6,CPU-intensive
22,2026-07-11 11:24:49,14,5,828,58,623,423.5,1.0,14,1,qwen3-80b,zero_shot,196,270750.5,CPU-intensive
23,2026-07-11 11:30:22,14,14,754,157,559,78.9,1.0,14,0,qwen3-80b,zero_shot,196,239031.2,CPU-intensive
24,2026-07-11 11:35:22,3,14,574,157,569,52.0,1.0,3,1,qwen3-80b,zero_shot,195,1223.8,CPU-intensive
25,2026-07-11 11:36:24,3,3,626,36,640,181.2,1.0,3,0,qwen3-80b,zero_shot,195,20937.3,CPU-intensive
26,2026-07-11 11:37:45,3,3,525,36,640,125.8,1.0,3,0,qwen3-80b,zero_shot,195,140029.5,CPU-intensive
27,2026-07-11 11:41:06,3,3,551,35,688,68.1,1.0,3,0,qwen3-80b,zero_shot,194,140060.9,CPU-intensive
28,2026-07-11 11:44:27,3,3,515,36,545,75.8,1.0,3,0,qwen3-80b,zero_shot,194,14389.7,CPU-intensive
29,2026-07-11 11:45:42,5,3,491,36,550,291.3,1.0,5,1,qwen3-80b,zero_shot,195,80914.6,CPU-intensive
30,2026-07-11 11:48:04,5,5,431,57,643,189.9,1.0,5,0,qwen3-80b,zero_shot,194,14620.0,CPU-intensive
31,2026-07-11 11:49:20,5,5,483,57,592,55.4,1.0,5,0,qwen3-80b,zero_shot,193,22083.3,CPU-intensive
32,2026-07-11 11:50:42,5,5,446,57,443,51.3,1.0,5,0,qwen3-80b,zero_shot,193,128288.2,CPU-intensive
33,2026-07-11 11:53:51,5,5,5,57,442,43.8,1.0,5,0,qwen3-80b,zero_shot,192,503362.0,CPU-intensive
34,2026-07-11 12:03:15,5,5,5,57,401,87.2,1.0,5,0,qwen3-80b,zero_shot,192,281493.1,CPU-intensive
35,2026-07-11 12:08:57,5,5,5,57,378,58.8,1.0,5,0,qwen3-80b,zero_shot,192,26738.5,CPU-intensive
36,2026-07-11 12:10:25,5,5,5,58,296,35.9,1.0,5,0,qwen3-80b,zero_shot,192,34420.7,CPU-intensive
37,2026-07-11 12:12:00,5,5,5,57,381,71.7,1.0,5,0,qwen3-80b,zero_shot,192,172031.1,CPU-intensive
38,2026-07-11 12:15:52,5,5,5,57,340,70.9,1.0,5,0,qwen3-80b,zero_shot,192,18636.8,CPU-intensive
