step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-07-15 15:29:42,8,3,4,33,292,5.5,1.0,8,1,rl-ppo,baseline,0,0.0,CPU-intensive
1,2026-07-15 15:30:42,8,8,10,88,259,5.5,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
2,2026-07-15 15:31:42,8,8,8,88,200,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
3,2026-07-15 15:32:43,8,8,8,88,205,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
4,2026-07-15 15:33:43,8,8,8,88,222,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
5,2026-07-15 15:34:43,8,8,9,88,286,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
6,2026-07-15 15:35:44,8,8,12,88,575,6.8,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
7,2026-07-15 15:36:44,8,8,18,88,776,5.8,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
8,2026-07-15 15:37:44,8,8,18,88,746,5.2,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
9,2026-07-15 15:38:44,8,8,18,88,639,5.6,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
10,2026-07-15 15:39:45,8,8,16,88,727,6.6,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
11,2026-07-15 15:40:45,8,8,17,88,686,5.5,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
12,2026-07-15 15:41:45,8,8,17,88,561,6.5,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
13,2026-07-15 15:42:46,8,8,16,88,577,5.5,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
14,2026-07-15 15:43:46,8,8,15,88,575,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
15,2026-07-15 15:44:46,8,8,15,88,590,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
16,2026-07-15 15:45:46,8,8,15,88,604,5.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
17,2026-07-15 15:46:47,8,8,16,88,729,5.5,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
18,2026-07-15 15:47:47,8,8,16,88,760,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
19,2026-07-15 15:48:47,8,8,19,88,763,5.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
20,2026-07-15 15:49:48,8,8,17,88,735,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
21,2026-07-15 15:50:48,8,8,16,88,718,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
22,2026-07-15 15:51:48,8,8,16,88,623,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
23,2026-07-15 15:52:48,8,8,16,88,559,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
24,2026-07-15 15:53:49,8,8,14,88,569,6.5,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
25,2026-07-15 15:54:49,8,8,18,88,640,5.6,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
26,2026-07-15 15:55:49,8,8,17,88,640,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
27,2026-07-15 15:56:50,8,8,18,88,688,9.1,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
28,2026-07-15 15:57:50,8,8,17,88,545,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
29,2026-07-15 15:58:50,8,8,15,88,550,5.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
30,2026-07-15 15:59:50,8,8,17,88,643,5.2,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
31,2026-07-15 16:00:51,8,8,17,88,592,6.7,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
32,2026-07-15 16:01:51,8,8,16,88,443,5.3,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
33,2026-07-15 16:02:51,8,8,16,88,442,5.9,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
34,2026-07-15 16:03:52,8,8,16,88,401,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
35,2026-07-15 16:04:52,8,8,14,88,378,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
36,2026-07-15 16:05:52,8,8,12,88,296,5.4,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
37,2026-07-15 16:06:52,8,8,11,88,381,5.5,1.0,8,0,rl-ppo,baseline,0,0.0,CPU-intensive
