step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-19 20:48:54,292,292,95.0,89.1,144.4,256.1,292,0,1.0
1,2026-07-19 20:49:54,259,259,94.5,90.9,145.2,168.1,259,0,1.0
2,2026-07-19 20:50:54,200,201,84.3,88.8,98.2,114.5,200,0,1.0
3,2026-07-19 20:51:54,205,206,99.7,91.1,155.9,216.0,205,0,1.0
4,2026-07-19 20:52:53,222,223,96.9,89.5,152.1,220.4,222,0,1.0
5,2026-07-19 20:53:53,286,286,97.3,93.3,145.0,168.8,286,0,1.0
6,2026-07-19 20:54:53,575,575,88.0,57.7,143.2,597.5,575,0,1.0
7,2026-07-19 20:55:53,776,775,116.3,52.4,255.7,929.7,776,0,1.0
8,2026-07-19 20:56:53,746,747,71.4,46.7,128.6,483.2,746,0,1.0
9,2026-07-19 20:57:53,639,639,75.5,53.8,136.3,328.5,639,0,1.0
10,2026-07-19 20:58:53,727,727,84.6,49.6,149.9,578.8,727,0,1.0
11,2026-07-19 20:59:53,686,626,1039.0,88.0,5014.3,5021.9,615,71,0.8965
12,2026-07-19 21:00:59,561,561,119.3,67.6,201.9,891.0,561,0,1.0
13,2026-07-19 21:01:59,577,550,1087.8,82.5,5018.5,5022.2,509,68,0.8821
14,2026-07-19 21:03:02,575,575,2582.8,3000.4,5020.9,5022.3,267,308,0.4643
15,2026-07-19 21:04:02,590,546,1328.9,85.2,5020.7,5022.6,467,123,0.7915
16,2026-07-19 21:05:07,604,603,2492.6,2458.4,5020.9,5022.4,280,324,0.4636
17,2026-07-19 21:06:07,729,669,3871.8,4715.5,5020.4,5023.5,397,332,0.5446
18,2026-07-19 21:07:12,760,760,191.4,49.3,299.6,2215.9,760,0,1.0
19,2026-07-19 21:08:12,763,763,64.7,46.4,120.1,246.4,763,0,1.0
20,2026-07-19 21:09:12,735,736,67.0,48.3,126.8,275.1,735,0,1.0
21,2026-07-19 21:10:12,718,668,2588.8,2729.2,5015.3,5021.3,586,132,0.8162
22,2026-07-19 21:11:17,623,624,126.8,52.5,152.5,1457.5,623,0,1.0
23,2026-07-19 21:12:16,559,559,78.5,57.3,132.4,321.3,559,0,1.0
24,2026-07-19 21:13:17,569,569,78.3,56.0,142.4,317.1,569,0,1.0
25,2026-07-19 21:14:17,640,641,75.5,52.2,136.7,427.8,640,0,1.0
26,2026-07-19 21:15:16,640,636,94.0,56.7,192.6,563.0,640,0,1.0
27,2026-07-19 21:16:17,688,688,172.3,55.1,186.4,2150.6,688,0,1.0
28,2026-07-19 21:17:17,545,546,81.5,62.5,144.7,301.6,545,0,1.0
29,2026-07-19 21:18:17,550,551,77.9,56.0,140.8,265.7,550,0,1.0
30,2026-07-19 21:19:17,643,643,74.7,51.8,135.5,348.5,643,0,1.0
31,2026-07-19 21:20:17,592,593,79.5,53.8,135.9,471.9,592,0,1.0
32,2026-07-19 21:21:17,443,444,80.6,64.6,138.8,241.7,443,0,1.0
33,2026-07-19 21:22:16,442,442,78.3,65.6,137.0,185.3,442,0,1.0
34,2026-07-19 21:23:17,401,401,86.0,81.1,141.4,227.9,401,0,1.0
35,2026-07-19 21:24:16,378,378,88.8,87.7,144.3,242.7,378,0,1.0
36,2026-07-19 21:25:16,296,297,90.4,89.4,143.4,167.7,296,0,1.0
37,2026-07-19 21:26:16,381,382,1109.7,95.5,5019.5,5022.0,325,56,0.853
38,2026-07-19 21:27:16,340,340,1125.0,97.6,5019.1,5021.9,264,76,0.7765
39,2026-07-19 21:28:16,358,359,90.5,88.4,146.5,224.6,358,0,1.0
40,2026-07-19 21:29:16,451,452,2642.2,2813.5,5021.5,5022.5,161,290,0.357
41,2026-07-19 21:30:16,623,578,864.4,89.8,4216.8,5021.2,579,44,0.9294
42,2026-07-19 21:31:21,518,518,74.4,58.1,132.7,171.1,518,0,1.0
43,2026-07-19 21:32:21,548,549,96.9,69.7,160.0,647.0,548,0,1.0
44,2026-07-19 21:33:20,499,499,84.4,56.5,138.8,529.6,499,0,1.0
45,2026-07-19 21:34:20,517,518,79.3,58.1,142.3,245.5,517,0,1.0
46,2026-07-19 21:35:20,471,450,2384.8,2370.9,5021.1,5022.3,241,230,0.5117
47,2026-07-19 21:36:23,503,503,1489.7,92.5,5020.3,5022.2,359,144,0.7137
48,2026-07-19 21:37:23,605,606,72.8,52.7,131.0,260.5,605,0,1.0
49,2026-07-19 21:38:23,621,621,212.3,67.2,592.2,2123.1,621,0,1.0
50,2026-07-19 21:39:23,646,602,1625.5,379.9,5015.1,5021.1,565,81,0.8746
51,2026-07-19 21:40:27,639,640,152.5,62.1,393.6,1172.3,639,0,1.0
52,2026-07-19 21:41:27,493,493,76.4,58.8,135.7,188.6,493,0,1.0
53,2026-07-19 21:42:27,446,446,82.8,67.1,143.9,249.3,446,0,1.0
54,2026-07-19 21:43:27,435,435,81.8,63.1,138.4,284.1,435,0,1.0
55,2026-07-19 21:44:27,425,425,86.4,77.8,146.6,302.8,425,0,1.0
56,2026-07-19 21:45:27,401,402,83.8,82.0,137.9,186.0,401,0,1.0
57,2026-07-19 21:46:27,491,491,92.4,72.1,160.2,424.3,491,0,1.0
58,2026-07-19 21:47:27,382,383,83.6,85.1,144.4,194.2,382,0,1.0
59,2026-07-19 21:48:27,414,414,84.8,83.3,149.6,221.2,414,0,1.0
60,2026-07-19 21:49:27,515,515,165.9,84.4,400.2,1251.1,515,0,1.0
61,2026-07-19 21:50:27,575,575,78.5,56.0,136.8,373.0,575,0,1.0
62,2026-07-19 21:51:27,603,603,71.9,51.2,130.1,319.9,603,0,1.0
63,2026-07-19 21:52:27,720,721,62.0,48.7,110.8,229.4,720,0,1.0
64,2026-07-19 21:53:27,702,702,71.1,50.5,127.5,333.7,702,0,1.0
65,2026-07-19 21:54:27,689,689,69.6,50.6,126.4,423.5,689,0,1.0
66,2026-07-19 21:55:27,641,592,447.6,55.2,176.4,5021.9,604,37,0.9423
67,2026-07-19 21:56:32,618,570,3290.6,5009.6,5021.6,5022.5,197,421,0.3188
68,2026-07-19 21:57:37,701,702,333.3,47.4,282.0,3965.8,634,67,0.9044
69,2026-07-19 21:58:37,625,626,67.4,49.2,122.7,186.1,625,0,1.0
70,2026-07-19 21:59:37,692,692,66.9,50.0,125.6,244.5,692,0,1.0
71,2026-07-19 22:00:37,612,612,67.6,48.9,125.3,175.5,612,0,1.0
72,2026-07-19 22:01:37,579,570,3028.5,4657.3,5021.5,5022.5,246,333,0.4249
73,2026-07-19 22:02:38,635,636,1432.7,82.6,5019.8,5022.3,462,173,0.7276
74,2026-07-19 22:03:38,614,614,81.1,57.2,135.5,442.6,614,0,1.0
75,2026-07-19 22:04:38,723,722,71.7,50.4,129.9,348.5,723,0,1.0
76,2026-07-19 22:05:38,1000,1000,65.2,40.4,126.8,396.7,1000,0,1.0
77,2026-07-19 22:06:38,1169,1169,65.0,37.3,117.5,428.2,1169,0,1.0
78,2026-07-19 22:07:38,1379,1379,53.5,36.6,95.2,256.8,1379,0,1.0
79,2026-07-19 22:08:38,1764,1760,58.0,36.6,95.4,348.5,1764,0,1.0
80,2026-07-19 22:09:38,1578,1578,55.6,36.2,95.3,296.6,1578,0,1.0
81,2026-07-19 22:10:38,1426,1426,61.3,36.3,119.5,375.0,1426,0,1.0
82,2026-07-19 22:11:38,1247,1247,53.5,36.4,100.9,244.8,1247,0,1.0
83,2026-07-19 22:12:38,1240,1240,46.6,36.2,70.1,194.7,1240,0,1.0
84,2026-07-19 22:13:38,1292,1292,52.6,36.2,82.9,302.6,1292,0,1.0
85,2026-07-19 22:14:38,1546,1546,50.7,35.9,76.6,268.6,1546,0,1.0
86,2026-07-19 22:15:38,1445,1445,64.1,36.2,128.0,350.6,1445,0,1.0
87,2026-07-19 22:16:38,1413,1413,53.7,36.1,91.4,320.7,1413,0,1.0
88,2026-07-19 22:17:38,1495,1179,1137.2,39.5,4836.2,5019.8,1350,145,0.903
89,2026-07-19 22:18:54,1438,1438,1417.8,48.0,5006.2,5020.3,812,626,0.5647
90,2026-07-19 22:19:54,1491,1491,44.7,36.1,65.9,180.2,1491,0,1.0
91,2026-07-19 22:20:54,1513,1513,51.1,36.4,81.4,252.7,1513,0,1.0
92,2026-07-19 22:21:54,1500,1500,67.8,36.7,140.1,374.3,1500,0,1.0
93,2026-07-19 22:22:54,1609,1539,461.0,83.1,1350.5,5008.0,1585,24,0.9851
94,2026-07-19 22:23:57,1458,1213,590.9,36.1,3501.7,5019.8,1386,72,0.9506
95,2026-07-19 22:25:09,1380,1320,2074.1,1386.5,5017.0,5022.0,472,908,0.342
96,2026-07-19 22:26:12,1211,1049,2649.9,2648.9,5011.2,5022.9,1032,179,0.8522
97,2026-07-19 22:27:21,1106,1106,52.1,37.8,97.3,197.9,1106,0,1.0
98,2026-07-19 22:28:21,1181,1181,57.2,36.9,96.3,328.7,1181,0,1.0
99,2026-07-19 22:29:21,1131,1131,54.5,37.1,93.6,248.2,1131,0,1.0
