step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-16 09:28:30,292,293,92.4,87.9,135.7,167.3,292,0,1.0
1,2026-07-16 09:29:30,259,260,95.7,88.1,135.6,166.5,259,0,1.0
2,2026-07-16 09:30:30,200,201,78.3,80.6,88.3,140.9,200,0,1.0
3,2026-07-16 09:31:30,205,206,86.5,80.8,126.4,147.9,205,0,1.0
4,2026-07-16 09:32:29,222,223,80.6,74.6,124.7,151.7,222,0,1.0
5,2026-07-16 09:33:29,286,287,82.1,76.7,124.2,152.0,286,0,1.0
6,2026-07-16 09:34:29,575,576,67.5,58.0,111.7,200.5,575,0,1.0
7,2026-07-16 09:35:29,776,775,71.0,48.3,131.9,348.6,776,0,1.0
8,2026-07-16 09:36:29,746,746,70.0,49.4,130.5,306.6,746,0,1.0
9,2026-07-16 09:37:29,639,639,70.3,57.4,124.2,252.4,639,0,1.0
10,2026-07-16 09:38:29,727,727,63.3,49.0,116.2,187.9,727,0,1.0
11,2026-07-16 09:39:29,686,686,67.5,52.9,119.0,245.3,686,0,1.0
12,2026-07-16 09:40:29,561,561,77.9,63.1,128.0,327.5,561,0,1.0
13,2026-07-16 09:41:29,577,578,67.4,62.1,111.5,152.8,577,0,1.0
14,2026-07-16 09:42:29,575,575,73.7,62.8,120.8,269.7,575,0,1.0
15,2026-07-16 09:43:29,590,590,80.9,60.6,129.9,606.1,590,0,1.0
16,2026-07-16 09:44:29,604,604,78.6,62.0,131.6,417.8,604,0,1.0
17,2026-07-16 09:45:29,729,730,67.2,51.6,121.0,257.0,729,0,1.0
18,2026-07-16 09:46:29,760,759,69.1,48.8,132.8,265.2,760,0,1.0
19,2026-07-16 09:47:29,763,763,68.6,48.1,117.7,411.3,763,0,1.0
20,2026-07-16 09:48:29,735,734,65.3,48.8,122.1,196.4,735,0,1.0
21,2026-07-16 09:49:29,718,718,72.9,52.0,130.4,372.6,718,0,1.0
22,2026-07-16 09:50:29,623,623,68.3,56.1,118.1,182.5,623,0,1.0
23,2026-07-16 09:51:29,559,559,79.9,69.7,137.0,315.4,559,0,1.0
24,2026-07-16 09:52:29,569,569,79.7,64.7,132.2,331.2,569,0,1.0
25,2026-07-16 09:53:29,640,640,73.3,56.8,132.6,264.8,640,0,1.0
26,2026-07-16 09:54:29,640,640,80.2,62.6,135.3,356.8,640,0,1.0
27,2026-07-16 09:55:29,688,688,73.3,53.3,132.6,316.4,688,0,1.0
28,2026-07-16 09:56:29,545,545,74.8,67.8,127.8,166.6,545,0,1.0
29,2026-07-16 09:57:29,550,551,75.2,64.6,123.1,268.6,550,0,1.0
30,2026-07-16 09:58:29,643,640,71.9,57.4,127.0,261.6,643,0,1.0
31,2026-07-16 09:59:29,592,592,73.2,62.8,128.3,233.1,592,0,1.0
32,2026-07-16 10:00:29,443,443,80.9,75.4,127.6,172.5,443,0,1.0
33,2026-07-16 10:01:29,442,442,81.1,75.2,130.9,174.0,442,0,1.0
34,2026-07-16 10:02:29,401,401,88.1,82.3,131.7,167.2,401,0,1.0
