step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-07-16 09:22:12,292,293,6.4,5.4,8.4,21.2,292,0,1.0
1,2026-07-16 09:23:11,259,260,7.0,5.4,12.1,21.8,259,0,1.0
2,2026-07-16 09:24:11,200,201,11.2,5.6,23.2,23.6,200,0,1.0
3,2026-07-16 09:25:11,205,206,22.0,23.2,23.6,23.9,205,0,1.0
4,2026-07-16 09:26:11,222,223,22.1,23.2,23.6,23.8,222,0,1.0
5,2026-07-16 09:27:10,286,287,21.2,23.2,23.5,24.8,286,0,1.0
6,2026-07-16 09:28:10,575,576,15.8,18.4,23.5,25.1,575,0,1.0
7,2026-07-16 09:29:10,776,777,14.7,14.7,23.4,24.1,776,0,1.0
8,2026-07-16 09:30:10,746,747,16.4,20.8,23.4,24.1,746,0,1.0
9,2026-07-16 09:31:10,639,640,16.3,20.3,23.4,23.8,639,0,1.0
10,2026-07-16 09:32:10,727,728,15.4,16.5,23.4,24.0,727,0,1.0
11,2026-07-16 09:33:10,686,687,14.0,13.8,23.3,24.5,686,0,1.0
12,2026-07-16 09:34:10,561,562,10.4,6.8,22.8,24.5,561,0,1.0
13,2026-07-16 09:35:10,577,578,9.2,6.1,21.2,23.9,577,0,1.0
14,2026-07-16 09:36:10,575,576,9.1,6.1,19.4,23.4,575,0,1.0
15,2026-07-16 09:37:10,590,591,9.5,6.3,21.0,23.9,590,0,1.0
16,2026-07-16 09:38:09,604,605,9.2,6.2,20.9,23.6,604,0,1.0
17,2026-07-16 09:39:09,729,730,9.1,6.1,21.1,23.5,729,0,1.0
18,2026-07-16 09:40:09,760,761,9.8,6.5,21.3,23.7,760,0,1.0
19,2026-07-16 09:41:09,763,764,9.7,6.6,21.1,23.9,763,0,1.0
20,2026-07-16 09:42:09,735,736,9.8,6.7,20.9,23.6,735,0,1.0
21,2026-07-16 09:43:09,718,719,9.8,6.6,21.2,23.5,718,0,1.0
22,2026-07-16 09:44:09,623,624,10.0,6.6,21.3,23.5,623,0,1.0
23,2026-07-16 09:45:09,559,560,9.4,6.1,21.2,23.8,559,0,1.0
24,2026-07-16 09:46:09,569,570,9.2,6.1,21.3,23.7,569,0,1.0
25,2026-07-16 09:47:09,640,641,8.5,5.9,20.7,23.7,640,0,1.0
26,2026-07-16 09:48:09,640,641,8.4,5.9,19.9,23.9,640,0,1.0
27,2026-07-16 09:49:09,688,689,9.2,6.1,21.1,23.7,688,0,1.0
28,2026-07-16 09:50:09,545,546,9.6,6.3,21.5,23.7,545,0,1.0
29,2026-07-16 09:51:08,550,551,10.4,6.7,23.0,24.0,550,0,1.0
30,2026-07-16 09:52:08,643,644,10.3,6.8,22.4,23.7,643,0,1.0
31,2026-07-16 09:53:08,592,593,9.7,6.7,21.1,23.6,592,0,1.0
32,2026-07-16 09:54:08,443,444,9.5,6.6,21.0,23.7,443,0,1.0
33,2026-07-16 09:55:08,442,443,9.6,6.6,21.1,23.9,442,0,1.0
34,2026-07-16 09:56:08,401,402,10.0,7.2,21.3,23.7,401,0,1.0
35,2026-07-16 09:57:08,378,379,10.6,6.9,22.7,24.0,378,0,1.0
36,2026-07-16 09:58:08,296,297,9.2,6.2,20.9,23.7,296,0,1.0
37,2026-07-16 09:59:07,381,382,9.8,6.7,21.2,23.6,381,0,1.0
38,2026-07-16 10:00:07,340,341,11.0,8.1,22.8,23.9,340,0,1.0
39,2026-07-16 10:01:07,358,359,11.6,8.5,23.2,24.7,358,0,1.0
40,2026-07-16 10:02:07,451,452,11.9,9.3,23.2,23.8,451,0,1.0
41,2026-07-16 10:03:07,623,624,12.4,9.6,23.3,24.4,623,0,1.0
